"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"117",0.0031204628,30.7588333333,0.4130952574,135.535,5.2843266667,6,-58.15625,-58.5104179382,-67.0104192098,0.048925,133.9,5.2826116667,3.4916667,0.84375,4.1250001589,0.4270833333,181.874960661,0.1247264445,130,132.083333333,670,133.5,5.2821983333,3.1816667,-36.46875,-34.9375,-38.9739596049,137.04,5.288035,191.21,-58.6875,-59.0625025431,-81.1145858765,1.663913212,1.5940708221,1.7151178265,-79.635635376,"Sst-IRES-Cre",12.1855588782,32.5109860041,67.4375025431,59,62.6354180971
"128",1,26.98,0.0944196293,52.2,10.04312,4.252,-55.7187538147,-55.3333358765,-58.3437530518,0.0253,51.12,10.0419866667,3.216,24.6250019073,23.9375012716,25.6125011444,116.56242609,0.0344483964,249.999984741,251,900,50.76,10.04156,2.88,-39.0625,-33.5729192098,-46.7812515259,52.26,10.0432,564.416,-55.7812538147,-55.4062525431,-74.2062545776,1.8944433152,1.6759465027,1.967410558,-74.1498794556,"Sst-IRES-Cre",31.3458055123,37.0644922165,83.9562541962,80.343755722,79.2708371481
"133",0.0059147157,15.7613541667,0.9858333333,14.245,12.5953533333,4.267,-60.59375,-58.0937525431,-63.3500030518,0.009245,13.355,12.5943733333,3.362,13.25,17.5416673024,23.3937503815,92.3437848687,0.054768987,270,314.833333333,114,13.03,12.59399,3.061,-37.5937538147,-32.5104173024,-45.0437515259,14.27,12.5954233333,637.443,-60.75,-58.1770846049,-74.9000015259,1.4477902365,1.3567130539,1.5644423922,-74.0444335938,"Pvalb-IRES-Cre",7.89982199,63.4463250698,86.7437534333,73.84375,75.6354198455
"157",0.0699279652,115.305,0.1346405199,193.16,3.61536,5.1466667,-48.65625,-44.9270846049,-51.161462148,0.06006,189.9,3.613,3.41,41.3750038147,44.6666666667,41.135418574,190.937533975,0.131219402,59.9999961853,90.2916641235,750,189.42,3.6125333333,3.0233333,-40.34375,-37.5312538147,-45.354168574,235.34,3.6539,640.9133333,-58.8125038147,-55.708337148,-76.4531300863,3.8814775544,3.9930017827,3.7751103465,-76.5436096191,"Chrna2-Cre_OE25",23.7065810963,8.67265079572,92.296880722,90.0312538147,89.5937512716
"160",0.0583637423,16.679,0.2499596589,45.245,9.125285,4.368,-53.4687538147,-48.46875,-60.3687515259,0.013055,44.215,9.12418,3.239,7.6875,7.0625004768,7.9250003815,189.531251788,0.0383005105,160,228.125,570,43.83,9.12368,2.903,-35.5625,-25.0625019073,-40.3562507629,45.33,9.12537,734.065,-53.6875,-48.625,-76.1562530518,1.4130297242,0.9618972522,1.5000986445,-75.6874694824,"Gad2-IRES-Cre",14.6019432692,59.9556328317,68.2937519074,61.1562538147,55.5312504768
"163",1,1000,0.3898881956,71.84,9.7087266667,4.314,-54.25,-54.3229204814,-61.3500030518,0.053065,70.635,9.707695,3.433,14.3125009537,20.9687519073,28.7125015259,143.124967814,0.0922901481,190,242.666666667,690,70.29,9.7072883333,3.146,-32.46875,-28.4270839691,-43.5687515259,71.95,9.7088433333,355.837,-54.3437538147,-54.4375012716,-73.1812515259,1.624742875,1.3680700865,1.7141476027,-71.6164016724,"Sst-IRES-Cre",12.6415111691,1,90.0625045777,68.5625009537,75.2916723887
"169",1,1000,0.2170212589,24.44,8.7775533333,5.2266667,-50.5,-50.458337148,-53.770837148,0.01254,22.74,8.7739733333,3.4833333,28.15625,32.9687512716,32.1145846049,111.093707383,0.1088854969,249.999984741,219.375,560,22.3,8.7735133333,3.1,-44.7187538147,-41.1250012716,-48.119793574,29.54,8.78338,337.2133333,-51.9687538147,-53.5104204814,-71.9791679382,3.7245529751,4.5496120244,3.4417168032,-71.4365158081,"Vip-IRES-Cre",9.16050287912,1,85.8854217529,78.65625,83.4270884196
"186",0.2519843334,23.65,0.3839149022,48.24,2.2961,4.7533333,-59.7812538147,-55.8437538147,-60.2812538147,0.0208,47.06,2.29482,3.6,25,25.7916673024,20.9687506358,340.624958277,0.0928596333,50,57.3333320618,380,46.48,2.2942333333,3.07,-46.75,-40.2708346049,-46.9791704814,48.28,2.29622,560.0966667,-59.8125,-55.9791704814,-72.3229204814,1.6251155415,1.5888202516,1.5507288459,-71.0309524536,"Chrna2-Cre_OE25",23.755904472,42.2832980973,81.2500044505,84.7812538147,81.6354211171
"196",-0.0176142753,36.248,1.1470588235,149.72,8.71396,3.995,-57.1562538147,-54.4843769073,-60.960940361,0.08348,149.08,8.71326,3.375,12.71875,12.5937509537,19.5312509537,121.87499553,0.0165599696,270,217.8125,0,148.78,8.71294,3.09,-38.78125,-35.015625,-46.8515663147,149.74,8.71403,548.86,-57.2187538147,-54.5625038147,-75.148443222,1.2891489916,1.2931437726,1.3291828931,-73.5458374023,"Pvalb-IRES-Cre",6.2928525163,27.5877289782,80.4921913147,69.8750038147,67.078127861
"222",-0.0206421903,161.302,0.1916228843,408.065,3.251255,7.09,-52.40625,-53.2187538147,-54.71875,0.16219,404.71,3.247035,3.555,29.5625019073,31.5,22.3125019073,118.906289339,0.0781399831,60.0000038147,81.125,460,404.255,3.24659,3.145,-41.40625,-38.28125,-42.65625,421.885,3.26027,27.64,-59.8125,-59.4375038147,-66.71875,2.625872419,2.9690248501,1.9092163744,-63.9528121948,"Htr3a-Cre_NO152",7.14566537192,6.1995511525,77.0312519073,81.9687519073,84.7187538147
