"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"87",2.34348,-47.0208346049,2.3399666667,40.3958346049,58.5,2.3394283333,-37.4166679382,2.3837166667,-55.458337148,3.9828134155,87.4166692098,"Cux2-CreERT2"
"88",2.44798,-48.65625,2.44545,37.53125,61.125,2.44498,-33.6875038147,2.47128,-55,3.0306799947,86.1875,"Nr5a1-Cre"
"89",4.2767183333,-49.9062525431,4.2748983333,44.1666692098,106.916671753,4.27447,-37.1145833333,4.3158516667,-56.6354192098,3.3374489963,94.0729217529,"Cux2-CreERT2"
"91",7.741275,-46.2916679382,7.7392533333,26.9687519073,193.41666158,7.7385966667,-34.2604179382,7.755585,-47.895837148,1.99134582,73.2604198455,"Rorb-IRES2-Cre"
"93",2.2078466667,-47.2291692098,2.2055733333,47.7812525431,55.125,2.2050966667,-37.7916679382,2.2528216667,-56.145837148,3.513540135,95.0104217529,"Rorb-IRES2-Cre"
"94",4.8708866667,-44.8541666667,4.8692533333,31.0416673024,121.66666158,4.8686533333,-32.1770846049,4.89192,-53.958337148,1.8692291679,75.8958339691,"Scnn1a-Tg3-Cre"
"95",4.78178,-47.2916704814,4.7801866667,50.1562538147,119.499992371,4.7798,-39.2916679382,4.8251033333,-54.1250025431,3.8413954768,97.4479242961,"Rbp4-Cre_KL100"
"96",3.37875,-51.3593769073,3.3770425,41.875,84.375,3.376665,-42.7187519073,3.415555,-58.3906288147,3.2268222561,93.2343769073,"Rbp4-Cre_KL100"
"97",3.33376,-51.8437525431,3.3306933333,35.3750012716,83.25,3.3301133333,-40.2083333333,3.3786666667,-56.9479192098,3.6073560039,87.2187538147,"Rorb-IRES2-Cre"
"98",3.5237666667,-45.78125,3.5213916667,37.8854192098,88.0416666667,3.520735,-36.5520846049,3.5520966667,-50.5104192098,2.6133343996,83.6666692098,"Rorb-IRES2-Cre"
"99",1.96699,-49.0937512716,1.9649716667,45.3229179382,49.125,1.9645383333,-36.3854179382,2.0046166667,-52.4062512716,3.7882966343,94.4166692098,"Scnn1a-Tg3-Cre"
"101",2.7646833333,-43.5729192098,2.76313,41.9270858765,69.0833333333,2.76272,-41.0000025431,2.7647566667,-43.7083346049,3.3462739757,85.5000050863,"Rbp4-Cre_KL100"
"111",1.4559375,-47.203125,1.4535425,34.03125,36.3125,1.453055,-34.921875,1.488675,-54.5625,2.8669443365,81.234375,"Scnn1a-Tg3-Cre"
"113",6.7423466667,-51.1250025431,6.7388866667,49.6666679382,168.458333333,6.7384066667,-40.5104179382,6.76842,-56.427087148,4.6145018645,100.791670481,"Ctgf-T2A-dgCre"
"115",2.560725,-47.8125038147,2.55477,42.40625,63.8750038147,2.55418,-34.59375,2.573095,-51.1562538147,5.3864399823,90.2187538147,"Scnn1a-Tg2-Cre"
"116",2.3242283333,-47.8854179382,2.3222283333,30.322918574,58.0416666667,2.3217566667,-36.53125,2.355925,-53.4479166667,2.7680449577,78.2083365122,"Scnn1a-Tg3-Cre"
"118",2.2418583333,-50.0520846049,2.2390783333,38.2604166667,55.9583320618,2.238485,-38.2083346049,2.2802933333,-53.625,3.2845733018,88.3125012716,"Rorb-IRES2-Cre"
"119",1.5205,-50.2500025431,1.5178333333,45.2916692098,37.9583333333,1.5173866667,-35.8437525431,1.5420666667,-58.1562512716,3.9641114836,95.5416717529,"Cux2-CreERT2"
"123",2.138835,-47.90625,2.1367025,36.125,53.3749980927,2.1363,-36.3125019073,2.1606825,-54.4687538147,3.0956400061,84.03125,"Cux2-CreERT2"
"124",4.4890416667,-47.4166679382,4.487565,44.8541692098,112.16666921,4.4871716667,-35.9166692098,4.5064833333,-53.8750012716,2.7856893914,92.270837148,"Rorb-IRES2-Cre"
"125",3.249355,-43.0312538147,3.2474983333,46.5937512716,81.1666666667,3.2469816667,-28.7500019073,3.2808366667,-47.1875038147,2.7354953355,89.6250050863,"Scnn1a-Tg3-Cre"
"126",3.8149266667,-48.6666692098,3.8109583333,33.3020846049,95.2499974569,3.810475,-36.1979179382,3.84961,-57.2916692098,4.0197224542,81.9687538147,"Cux2-CreERT2"
"129",10.05332,-52.2916666667,10.0520533333,7.8958341281,251.291656494,10.0516,-31.0833333333,10.0534933333,-52.4791679382,1.3748092416,60.1875007948,"Nr5a1-Cre"
"131",2.6064616667,-47.8541692098,2.604465,46.6875025431,65.1250012716,2.6040533333,-37.5104204814,2.640065,-52.9166679382,3.5937530175,94.5416717529,"Rorb-IRES2-Cre"
"134",10.9916266667,-46.6041692098,10.98966,31.8958352407,274.708333333,10.9890466667,-32.7604198456,11.0112666667,-50.2812525431,2.0981962343,78.5000044505,"Ntsr1-Cre_GN220"
"136",4.0842333333,-53.3854192098,4.08269,47.6458346049,102.041664123,4.0822033333,-45.4375025431,4.119565,-56.4791704814,2.6994918978,101.031253815,"Ntsr1-Cre_GN220"
"137",5.241465,-52.0625012716,5.2395366667,41.9583358765,130.958333333,5.23906,-40.1458333333,5.27017,-58.1354179382,3.7028573619,94.0208371481,"Nr5a1-Cre"
"140",3.4041216667,-47.28125,3.4023916667,44.2291679382,85.0416666667,3.4019916667,-34.8125,3.4296983333,-54.9375,2.9842956052,91.5104179382,"Nr5a1-Cre"
"143",3.4211733333,-46.8854192098,3.419255,31.1979173024,85.5,3.41877,-31.6145852407,3.44532,-54.9479204814,2.0862672899,78.0833365122,"Rbp4-Cre_KL100"
"146",2.6256333333,-53.5833346049,2.62226,29.1979179382,65.5,2.6216733333,-44.6250025431,2.6668666667,-60.395837148,3.9542149854,82.7812525431,"Rorb-IRES2-Cre"
"147",2.9627766667,-49.1458346049,2.9609733333,48.1250038147,74.0416641235,2.9605633333,-38.9895846049,3.01179,-52.833337148,3.6635134804,97.2708384196,"Rbp4-Cre_KL100"
"151",9.400175,-47.6562525431,9.3987666667,33.2395852407,234.958323161,9.3982416667,-32.1875025431,9.4136416667,-53.239587148,1.8575177708,80.8958377838,"Ntsr1-Cre_GN220"
"152",2.750245,-43.4687538147,2.74856,42.7656269073,68.7500019073,2.7481725,-35.0312519073,2.788815,-52.6718769073,3.1107647576,86.234380722,"Cux2-CreERT2"
"153",3.8342233333,-49.3020833333,3.832005,39.2604192098,95.7499974569,3.831575,-32.0937506358,3.8581583333,-54.1562538147,3.0551942558,88.5625025431,"Rorb-IRES2-Cre"
"155",3.3768666667,-48.0104179382,3.37286,39.552087148,84.2916666667,3.3724066667,-43.4270858765,3.40072,-54.8541679382,5.6746059384,87.5625050862,"Ctgf-T2A-dgCre"
"156",4.7103016667,-49.1250012716,4.7079583333,35.5104166667,117.708335877,4.7075183333,-36.1458358765,4.7318733333,-56.1354179382,2.7930379895,84.6354179383,"Rorb-IRES2-Cre"
"161",2.4157233333,-49.4375012716,2.4132883333,42.4687525431,60.3333333333,2.4128666667,-34.8958333333,2.4426983333,-56.6979192098,3.5257134352,91.9062538147,"Nr5a1-Cre"
"166",2.0337083333,-47.4166692098,2.031765,45.8229204814,50.7916666667,2.03135,-38.4687538147,2.0682466667,-53.7187512716,4.0003925983,93.2395896912,"Rorb-IRES2-Cre"
"167",5.840495,-46.864587148,5.8379583333,37.1041679382,145.958323161,5.8375266667,-36.739587148,5.8788766667,-55.6250038147,3.9715798597,83.9687550862,"Rbp4-Cre_KL100"
"168",3.5021133333,-43.2291692098,3.499095,46.2500012716,87.4583333333,3.4985966667,-33.3541679382,3.5437683333,-49.6354192098,4.2223572552,89.4791704814,"Scnn1a-Tg2-Cre"
"170",2.3145,-50.9687538147,2.3127125,44.828125,57.8124980927,2.3122875,-39.7500019073,2.36579,-55.875,3.0975564179,95.7968788147,"Rorb-IRES2-Cre"
"172",2.8735333333,-55.4270858765,2.87036,49.9791692098,71.7916641235,2.8699533333,-47.9687525431,2.9072066667,-60.5625025431,6.2967074082,105.406255086,"Ctgf-T2A-dgCre"
"178",4.4991583333,-46.2604192098,4.4967083333,42.5104179382,112.41666921,4.4963166667,-37.9791679382,4.5487866667,-54.9583358765,3.8152643876,88.770837148,"Cux2-CreERT2"
"179",6.5548383333,-51.1666704814,6.55237,41.8333346049,163.791666667,6.5518683333,-40.0625025431,6.6061416667,-57.0208358765,3.3476937506,93.0000050863,"Rorb-IRES2-Cre"
"180",1.9301266667,-50.6770833333,1.9276466667,38.9895846049,48.1666666667,1.9271933333,-39.2812525431,1.9553066667,-56.4687525431,4.3830206539,89.6666679382,"Rorb-IRES2-Cre"
"182",2.6176,-39.2708346049,2.61566,41.9791666667,65.375,2.6152033333,-27.1250006358,2.644705,-46.5104166667,2.9337051575,81.2500012716,"Scnn1a-Tg2-Cre"
