"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"1",0.0643841749,76.2833333333,0.1952468018,0.03188,109.776884317,0.2447049916,12.1499615827,-66.085067749,13.1090233778,82.66,-48.71875,80.88,56.5000038147,110,80.46,-44.2187538147,82.8,-48.8437538147,4.231335161,105.218753815,"Chrna2-Cre_OE25"
"2",0.0487088251,118.397142857,0.3075892912,0.02369,147.65624702,0.1171039641,13.7579577113,-65.5030441284,8.4461497623,49.77,-45.9687538147,48.27,13.21875,170,47.88,-32.0937538147,49.995,-46.1562538147,2.0260001477,59.1875038147,"Sst-IRES-Cre"
"4",0.0025599038,18.2821698113,0.6564732336,0.01267,149.062544107,0.0552238002,8.35511306192,-73.0082244873,54.6981025951,30.44,-59.5,29.235,20.9375,150,28.82,-35.6875038147,30.46,-59.5937538147,1.6085892896,80.4375,"Pvalb-IRES-Cre"
"6",0.0552294484,65.1996428571,0.2904244319,0.031455,392.499923706,0.1238510758,29.7855539635,-63.3182563782,15.3375073264,174.985,-47.21875,173.02,6.8750004768,30.0000019073,172.355,-38.21875,212.745,-47.9062538147,1.5606648549,54.0937504768,"Htr3a-Cre_NO152"
"7",0.0114506457,51.8227777778,0.1644670138,0.005875,257.656246424,0.0991026983,14.5592839187,-66.219039917,19.2965341281,17.9,-60.5000038147,16.98,32.7500038147,90,16.595,-41.5625,17.995,-60.6562538147,1.934570444,93.2500076294,"Htr3a-Cre_NO152"
"13",0.0479778872,50.6313888889,0.2912946534,0.02136,188.749924302,0.0210860185,16.7264549613,-76.1265106201,19.7505938894,58.045,-62.3437538147,57.37,27.9375019073,90,56.99,-49.78125,58.07,-62.4375038147,1.5145105049,90.281255722,"Sst-IRES-Cre"
"14",0.0080075192,42.8673913043,0.3255244725,0.01323,358.353376389,0.1233621985,23.5896544304,-66.2410736084,23.3277549572,81.295,-67.40625,79.06,39.375,20,78.38,-48.09375,81.59,-67.65625,2.3500174063,106.78125,"Sst-IRES-Cre"
"15",0.000606499,6.2868670886,2.5092513928,0.00598,114.843562245,0.0471121594,6.78485877938,-77.1630325317,159.061737095,12.065,-65.84375,11.545,6.6875004768,230,11.285,-37.71875,12.08,-65.9375076294,0.9866171007,72.5312504768,"Pvalb-IRES-Cre"
"17",0.0239068846,29.8609375,0.5583579903,0.021375,337.94644475,0.1777706742,25.7562151138,-69.2231445313,33.488566794,169.42,-61.3750038147,168.42,23.6250019073,20,168.02,-45.1250038147,169.505,-61.4687538147,1.6485235306,85.000005722,"Sst-IRES-Cre"
"18",0.0528032087,92.848,0.1847740668,0.03838,402.764409781,0.1547615081,33.0468695413,-73.0341339111,10.7702912287,148.54,-46.8125,145.62,43.6875038147,50,145.12,-35.3125,189.82,-55.6875038147,3.4306170271,90.5000038147,"Chrna2-Cre_OE25"
