"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"31",0.0423226332,83.7481818182,0.1900442562,186.21,4.4107816667,5.1316667,-44.28125,-42.7500038147,-50.9895846049,0.054805,182.2,4.4089666667,3.3966667,18.78125,32.5104179382,21.3697926203,187.343835831,0.0894831419,90,110.208333333,758.333384196,181.635,4.4084683333,2.9425,-36.46875,-34.0520833333,-41.8593775431,231.33,4.4494116667,513.8708333,-55.7812538147,-53.239587148,-79.255212148,2.6789959347,2.7594340109,2.6773210472,-78.4394836426,"Rbp4-Cre_KL100",20.6980678321,11.9405577326,72.3593772252,63.0625,75.2604217529
"32",0.0311050608,62.4966666667,0.2859043901,249.505,1.3980525,5.11,-52.09375,-51.4375038147,-54.0437530518,0.041805,247.385,1.395935,3.375,39.6875038147,42.390625,38.1875022888,339.620679617,0.026388593,30.0000019073,34.8749990463,450,246.9,1.3954475,2.96,-42.8125038147,-42.1718769073,-48.4062507629,285.3,1.42975,699.038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-72.08177948,"Slc17a6-IRES-Cre",35.1773729723,16.0008533788,92.2312553406,91.7812538147,93.8281288147
"33",1,315.8,0.2418936446,214.845,2.1229016667,5.4583333,-49.8125038147,-45.364587148,-49.3958358765,0.139925,212.6,2.120345,3.555,45.5937538147,40.9687512716,46.8333358765,214.999929071,0.1055687144,40,52.9999987284,550,212.13,2.1198266667,3.125,-41.0312538147,-36.4583358765,-43.8958346049,273.445,2.175075,199.73,-57.7812538147,-54.0104204814,-69.0833358765,3.8059332009,3.5857822672,4.0439766439,-68.580871582,"Cux2-CreERT2",28.2906596791,3.16656111463,96.229171753,95.4062576294,86.3333384196
"39",0.0091525921,55.5352941176,0.2783333333,199.02,2.0175333333,6.32,-51.5000038147,-50.3750012716,-51.7395858765,0.02666,195.4,2.0143,3.5933333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704,50,50.3333333333,300,194.86,2.0137533333,3.1333333,-46.0000038147,-45.4687525431,-47.0208346049,221.9,2.0552466667,820.5666667,-55.84375,-54.2916692098,-66.3125025431,4.0431381903,4.3652231808,4.1387199243,-66.0966186523,"Ctgf-T2A-dgCre",10.1986055903,18.006567101,92.8854204814,94.0625076294,96.8333358765
"42",0.0399574818,103.737777778,0.1358940397,159.24,3.1791333333,5.356,-52.4687538147,-52.1666704814,-55.8750015259,0.05102,156.66,3.1764,3.528,37.875,34.5833333333,35.4687515259,184.843823314,0.1374426186,70,79.375,780,156.22,3.1758666667,3.136,-41.46875,-40.1250025431,-47.4312507629,201.68,3.2171933333,240.108,-63.3125,-60.1666704814,-77.0750015259,4.0391183387,3.5062108851,3.5400513279,-76.536239624,"Rorb-IRES2-Cre",22.9521681877,9.6396898162,91.3437530518,90.3437538147,86.7500038147
"43",0.174034525,124.386666667,0.1119047657,92.2,3.0196533333,5.13875,-50.3125,-49.7083333333,-52.671875,0.044125,89.215,3.0174233333,3.4075,38.53125,42.8333333333,42.3359375,169.999882579,0.0129319085,130,75.4166666667,880,88.82,3.017025,3.05125,-36.21875,-36.6354179382,-48.0390644073,104.02,3.0419166667,616.30625,-54.53125,-57.0833346049,-79.0546894073,4.1473791549,3.8816394559,4.296803327,-78.5291442871,"Rorb-IRES2-Cre",21.0301888631,8.03944688605,95.0078125,88.84375,92.5416666666
"48",0.1505945359,121.0825,0.1151419558,65.42,1.6474416667,5.33,-44.5,-43.2500025431,-50.2812538147,0.028715,60.925,1.6451466667,3.385,36.6875,37.8333358765,38.4062519073,197.187453508,0.0051550046,90,41.125,225,60.455,1.64464,2.98,-32.375,-32.5937512716,-41.5781288147,79.12,1.6755633333,59.095,-49.59375,-52.9479166667,-58.6718769073,3.7091375648,3.195395876,3.2697515634,-57.1328697205,"Rorb-IRES2-Cre",29.7304313784,8.25883178824,88.687505722,81.1875,81.0833384196
"49",1,1000,0.1222165554,157.08,4.0738466667,5.132,-48.25,-47.9166692098,-49.3375022888,0.1058,154.84,4.0718333333,3.408,36.2500038147,38.2916692098,32.9500007629,153.437465429,0.0041912519,110,101.791666667,1100,154.38,4.0713666667,2.976,-38.6875,-36.6041666667,-42.5187515259,184.86,4.1005133333,693.212,-56.2187538147,-55.3125012716,-75.9625061035,3.7715877618,3.6035451629,3.4926943242,-75.4887542725,"Cux2-CreERT2",27.5812462127,1,82.2875030517,84.5000038147,86.2083384196
"51",0.0868781787,101.536111111,0.1365522202,255.455,2.3869383333,5.401,-44.96875,-45.6770846049,-48.7375015259,0.05453,253.605,2.3851166667,3.547,30.8125019073,33.3437506358,23.7625015259,118.080377579,0.0944587663,50,59.5833333333,630,253.13,2.384635,3.114,-40.8125038147,-42.1562512716,-47.4000022888,423.175,2.42091,662.607,-56.3437538147,-48.7604192098,-68.5937545776,2.9693590104,3.0438174153,3.0140318107,-68.4131774902,"Rbp4-Cre_KL100",16.1776718329,9.84871282795,72.5000030518,75.7812519073,79.0208352407
"52",1,1000,0.0237227589,79.94,4.5817,5.244,-46.1250038147,-43.9479166667,-51.9875015259,0.04512,76.7,4.5798866667,3.54,29.2812519073,30.8854173024,38.0375022888,173.59367013,0.0820133761,150,114.458333333,939.999938965,76.12,4.5792733333,3.084,-32.0937538147,-29.4687519073,-48.2312530518,113.36,4.6096,507.872,-51.84375,-52.7083346049,-76.8500015259,2.4615950708,2.1631889429,2.9663139099,-75.2498779297,"Rbp4-Cre_KL100",25.5547534197,1,90.0250038147,75.406255722,74.8333339691
"55",1,42.005,0.0666666698,161.825,3.3087283333,4.913,-48.4375038147,-51.1562525431,-50.4437538147,0.0329,160.015,3.3070366667,3.43,27.125,42.020837148,41.8062530518,173.995539546,0.0387143195,130,82.6666666667,142,159.51,3.3066166667,3.076,-48.5625,-35.5729166667,-46.8437538147,182.945,3.330725,575.207,-51.5625038147,-55.6562512716,-76.0312515259,2.9083137042,2.9832091976,3.5467651713,-75.2556762695,"Nr5a1-Cre",15.0959429687,23.8066896798,92.2500068665,75.5625038147,93.1770896911
"57",0.0200593683,61.381,0.1996212208,98.42,2.6729616667,5.69125,-48.34375,-45.8437525431,-51.7734384537,0.044355,95.56,2.67031,3.49375,33.8125,37.8958358765,36.0937519073,178.28117311,0.0534816235,90,66.75,820,95.1,2.669865,3.105,-34.9687538147,-32.3958339691,-42.8437519073,119.46,2.7108966667,606.94375,-54.40625,-57.1666679382,-79.8984394073,3.3345517426,3.38663802,3.6195365115,-79.4305877686,"Rbp4-Cre_KL100",18.6733564981,16.2916863525,87.867190361,82.15625,83.7395884196
"58",0.1004902901,80.4504545455,0.2221446793,106.865,4.2866366667,5.46375,-43.6562538147,-45.4062525431,-46.843752861,0.049,104.815,4.2844083333,3.5475,26.1875019073,34.5833333333,25.0078129768,197.812542319,0.0240997374,90,107.083333333,920,104.285,4.2839033333,3.11625,-39.1875038147,-36.3541666667,-34.1250014305,117.835,4.3361516667,609.0325,-44.28125,-52.5729179382,-82.2890644073,3.2999292534,3.3662233421,2.8606385869,-81.9204101563,"Rorb-IRES2-Cre",22.8412526885,12.4300105655,71.8515658378,69.843755722,79.9895858764
"59",1,1000,0.1020366672,120.28,3.47471,5.396,-42.7187538147,-45.4895858765,-50.0187522888,0.08209,117.125,3.4721383333,3.474,40.5,43.7916666667,45.5500030518,145.156219602,0.0200218763,150,86.7916666667,930,116.685,3.471695,3.092,-32.6875,-33.4583346049,-45.6375015259,140.08,3.5027983333,791.77,-47.5000038147,-50.677087148,-81.8125061035,3.6589712908,3.6455874465,4.0161468932,-81.0480804443,"Rorb-IRES2-Cre",16.3408782644,1,95.5687553406,83.2187538147,89.2812525432
"61",0.0763599331,116.445,0.1541666753,119.98,4.0128466667,5.515,-46.6250038147,-48.5208358765,-52.1375038147,0.047445,117.32,4.01032,3.38,38.1562538147,40.3333358765,38.2437522888,136.87504828,0.2040595114,70,100.25,780,116.845,4.0098566667,2.979,-43.7500038147,-43.4687512716,-49.8625022888,192.86,4.073455,90.434,-56.78125,-56.5312538147,-69.3875061035,3.8862715922,4.175687352,3.9722071505,-68.0052108765,"Rbp4-Cre_KL100",18.6989093448,8.58774528747,90.3812561035,84.7812576294,88.854171753
"63",0.0411127832,126.037142857,0.1864341227,141.98,5.7699666667,4.8,-43.375,-42.2812525431,-48.8562522888,0.08262,139.66,5.76766,2.992,38.5625038147,42.1666679382,44.0312515259,114.375077188,0.0083082104,110,144.208333333,900,139.12,5.7671466667,2.572,-35.34375,-32.5208333333,-46.9562515259,169.1,5.80152,627.676,-48.4375038147,-49.9479179382,-74.3375061035,3.4161073918,3.5977578755,4.5985135023,-74.8086242676,"Rorb-IRES2-Cre",16.7570747806,7.93416906581,92.8875038147,81.9375038147,84.4479204813
"67",1,42.315,0.0509680838,74.18,3.80059,5.8183333,-44.6875038147,-42.1354192098,-48.2656281789,0.03385,69.39,3.7969733333,3.2808333,21.25,33.0000031789,39.7760423024,86.249999702,0.0111183869,230,94.9166692098,960.000061035,68.775,3.7965166667,2.9816667,-28.0937519073,-26.7291673024,-41.7864602407,84.41,3.8261833333,472.5041667,-49.6875,-50.6979192098,-71.8333384196,2.9211096496,3.1022655796,3.9133132655,-74.0055999756,"Scnn1a-Tg3-Cre",13.7658263198,23.6322816968,88.0416704813,65.9375038147,75.1354223887
"69",0.0584582705,74.53,0.2107579462,428.28,2.24562,5.776,-46.8437538147,-49.6250025431,-53.2812538147,0.05854,425.32,2.2427866667,3.288,35.40625,36.1458358765,38.3437522888,200.468793511,0.0824973285,70,56.0833320618,550,424.84,2.24232,2.912,-38.03125,-37.9791679382,-44.3062515259,451.66,2.2811266667,387.764,-54.2812538147,-56.1041679382,-68.8625045776,3.6975132356,3.7212710578,3.946979417,-67.3841094971,"Ctgf-T2A-dgCre",83.6099317423,13.4174158057,91.6250061035,82.2500038147,85.7708384196
