"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"1",4.8733333,-51.5000038147,3.3,53.5312538147,670,2.9133333,-47.8645833333,324.9133333,-67.4166692098,3.9390825509,105.031257629,"Chrna2-Cre_OE25"
"2",4.593,-53.8000022888,3.48,27.4875007629,730,3.159,-33.9437515259,213.473,-66.3187530518,1.818157779,81.2875030517,"Sst-IRES-Cre"
"4",4.6658333,-61.6093775431,3.5083333,27.052084287,460,3.13,-44.8906275431,475.5716667,-73.239587148,1.8227807894,88.6614618301,"Pvalb-IRES-Cre"
"6",5.615,-52.8750022888,3.597,7.5125004768,340,2.979,-37.825,453.574,-64.5187522888,1.4298383286,60.3875027656,"Htr3a-Cre_NO152"
"7",4.461,-62.4625022888,3.541,37.5062515259,0,3.197,-47.5000022888,527.561,-66.625,2.0405820868,99.9687538147,"Htr3a-Cre_NO152"
"13",4.1958333,-63.0104198456,3.5083333,28.0208349228,71.6666717529,3.15,-50.6250019073,377.6216667,-77.2135467529,1.5088935227,91.0312547684,"Sst-IRES-Cre"
"14",5.8825,-67.8020846049,3.8416667,50.8385423024,200,3.2666667,-46.0885423024,34.1241667,-68.546875,2.2625250108,118.640626907,"Sst-IRES-Cre"
"15",3.625,-66.2000030518,3.14,19.3875011444,352,2.917,-51.6312522888,673.986,-77.7812530518,1.1934464482,85.5875041962,"Pvalb-IRES-Cre"
"17",4.42,-61.859377861,3.4275,25.3750014305,350,3.04375,-46.7500009537,291.54125,-69.7109394073,1.6799470649,87.2343792915,"Sst-IRES-Cre"
"18",4.8466667,-48.8541679382,3.16,44.1354192098,660,2.7466667,-43.1041692098,811.8266667,-74.6458384196,3.3828298725,92.989587148,"Chrna2-Cre_OE25"
"19",4.18,-64.6718788147,3.31875,38.164065361,210,3.0025,-44.9375019073,230.33375,-66.8203125,1.8348471312,102.835944176,"Sst-IRES-Cre"
"22",4.358,-58.0375022888,3.432,24.8812511444,0,3.123,-47.6687538147,395.886,-67.5812530518,2.0347158005,82.9187534332,"Sst-IRES-Cre"
"30",4.485,-60.5750015259,3.344,27.8812507629,410,2.985,-47.9,720.821,-70.7875045776,2.0368430599,88.4562522888,"Sst-IRES-Cre"
"34",4.4333333,-56.7500038147,3.48,35.3541692098,300,3.1,-47.4583333333,910.8266667,-70.1562550863,1.8611079257,92.1041730245,"Vip-IRES-Cre"
"36",5.204,-55.5000038147,3.48,37.3500015259,270,3.096,-47.3250038147,677.7,-69.5375015259,3.3363243934,92.8500053406,"Chat-IRES-Cre-neo"
"38",4.60125,-58.773440361,3.28875,10.8984382153,440,2.935,-42.0859375,316.69875,-65.5078144073,1.6310524952,69.6718785763,"Sst-IRES-Cre"
"44",4.15625,-62.500002861,3.04625,22.9531259537,160,2.685,-49.3671894073,760.35875,-65.8281269073,1.954102419,85.4531288147,"Htr3a-Cre_NO152"
"46",3.9425,-57.7031275431,3.0658333,34.1302102407,150,2.7783333,-48.182293574,355.44,-60.6822948456,2.0849301555,91.8333377838,"Htr3a-Cre_NO152"
"47",4.238,-58.4875007629,3.351,32.2625019073,0,3.046,-41.0125007629,522.911,-77.6187530518,1.6882714694,90.7500026702,"Pvalb-IRES-Cre"
