"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"58",0.1004902901,80.4504545455,0.2221446793,0.049,197.812542319,0.0240997374,22.8412526885,-81.9204101563,12.4300105655,106.865,-43.6562538147,104.815,26.1875019073,90,104.285,-39.1875038147,117.835,-44.28125,3.2999292534,69.843755722,"Rorb-IRES2-Cre"
"59",1,1000,0.1020366672,0.08209,145.156219602,0.0200218763,16.3408782644,-81.0480804443,1,120.28,-42.7187538147,117.125,40.5,150,116.685,-32.6875,140.08,-47.5000038147,3.6589712908,83.2187538147,"Rorb-IRES2-Cre"
"61",0.0763599331,116.445,0.1541666753,0.047445,136.87504828,0.2040595114,18.6989093448,-68.0052108765,8.58774528747,119.98,-46.6250038147,117.32,38.1562538147,70,116.845,-43.7500038147,192.86,-56.78125,3.8862715922,84.7812576294,"Rbp4-Cre_KL100"
"63",0.0411127832,126.037142857,0.1864341227,0.08262,114.375077188,0.0083082104,16.7570747806,-74.8086242676,7.93416906581,141.98,-43.375,139.66,38.5625038147,110,139.12,-35.34375,169.1,-48.4375038147,3.4161073918,81.9375038147,"Rorb-IRES2-Cre"
"67",1,42.315,0.0509680838,0.03385,86.249999702,0.0111183869,13.7658263198,-74.0055999756,23.6322816968,74.18,-44.6875038147,69.39,21.25,230,68.775,-28.0937519073,84.41,-49.6875,2.9211096496,65.9375038147,"Scnn1a-Tg3-Cre"
"69",0.0584582705,74.53,0.2107579462,0.05854,200.468793511,0.0824973285,83.6099317423,-67.3841094971,13.4174158057,428.28,-46.8437538147,425.32,35.40625,70,424.84,-38.03125,451.66,-54.2812538147,3.6975132356,82.2500038147,"Ctgf-T2A-dgCre"
"70",0.0455503957,94.072,0.2083333387,0.05872,149.151861668,0.1280240119,11.782991498,-73.0108566284,10.6301556255,253.52,-52.5000038147,251.62,46.5,150,251.18,-34.0312538147,259.72,-53.03125,2.8329930535,99.0000038147,"Ntsr1-Cre_GN220"
"76",0.0503965892,76.6381818182,0.121361509,0.05434,202.812537551,0.062282633,20.7574754721,-77.232673645,13.0483262556,102.04,-46.59375,98.18,36.375,130,97.72,-32.21875,117.68,-51.375,4.2642714544,82.96875,"Cux2-CreERT2"
"77",0.1291978713,50.5925,0.1235294036,0.03008,124.062463641,0.0150359999,17.1659822889,-80.3704452515,19.7657755596,61.785,-49.6562538147,57.925,29.59375,190,57.37,-37.5,74.28,-54.1875038147,3.8895726102,79.2500038147,"Cux2-CreERT2"
"85",1,1000,0.01461039,0.02006,194.218784571,0.1414680332,17.9649075208,-77.8036346436,1,44.94,-43.40625,42.88,28.1875019073,190,42.26,-29.2187519073,797.86,-46.65625,2.1574245857,71.5937519073,"Ntsr1-Cre_GN220"
"87",0.0640748559,98.0666666667,0.179113936,0.061335,208.906248212,0.0733392835,27.6165733133,-72.9885177612,10.1971447995,160.315,-47.5937538147,155.715,35.6250038147,70,155.15,-37.40625,204.55,-53.6562538147,4.1967505762,83.2187576294,"Cux2-CreERT2"
