"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"30",278.821728,343.125075102,0.0152803426608,-101.093757629,-70.1568450928,88.4562522888,"Inhibitory",2.77798,-56.8125,2.776795,28.6875012716,43.9166666667,2.776385,-43.3229166667,2.77804333333,-56.9270858765,2.0623776388
"31",243.125056,187.343835831,0.0894831418991,-96.5312576294,-78.4394836426,72.3593772252,"Excitatory",5.43078166667,-42.7500038147,5.42896666667,32.5104179382,110.208333333,5.42846833333,-34.0520833333,5.46941166667,-53.239587148,2.75943401093
"32",338.62912,339.620679617,0.0263885930181,-101.906257629,-72.08177948,92.2312553406,"Excitatory",2.4180525,-51.4375038147,2.415935,42.390625,34.8749990463,2.4154475,-42.1718769073,2.44975,-55.9687519073,3.87975891275
"34",302.033856,287.343800068,0.155002474785,-100.375007629,-69.8161087036,92.1041730245,"Inhibitory",11.0209266667,-50.6354179382,11.0196266667,18.9791676203,250,11.0190333333,-38.71875,11.0210866667,-50.7916679382,1.5811534012
"39",190.132208,150.156363845,0.0869927704334,-83.9375,-66.0966186523,92.8854204814,"Excitatory",3.03753333333,-50.3750012716,3.0343,46.4583346049,50.3333333333,3.03375333333,-45.4687525431,3.07524666667,-54.2916692098,4.36522318077
"41",271.40336,263.750106096,0.0334620662034,-94.21875,-66.1558990479,93.5416704814,"Inhibitory",3.39117666667,-42.8750025431,3.38986333333,32.7291692098,59.25,3.38945833333,-32.4479179382,3.406125,-46.0000025431,2.06929940294
"42",184.994368,184.843823314,0.137442618608,-94.5000076294,-76.536239624,91.3437530518,"Excitatory",4.19913333333,-52.1666704814,4.1964,34.5833333333,79.375,4.19586666667,-40.1250025431,4.23719333333,-60.1666704814,3.5062108851
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,85.4531288147,"Inhibitory",1.86675,-59.2291679382,1.86562,25.4479179382,21.125,1.86521166667,-48.0312512716,1.86682166667,-59.3541692098,1.9957399011
"47",146.467936,65.7813698053,0.0459909923375,-94.1562576294,-77.5109786987,90.7500026703,"Inhibitory",10.923485,-54.8541692098,10.9223883333,20.2187519073,247.541641235,10.9220366667,-33.21875,10.9281616667,-56.9166692098,1.6225415344
"50",238.507488,136.406257749,0.0212017614394,-94.3750076294,-79.3803024292,83.8958384196,"Inhibitory",8.50692166667,-51.5416704814,8.50547833333,7.46875055631,187.125,8.50501166667,-27.1458346049,8.50796333333,-52.239587148,1.12385979067
