"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","binary_neuron"
"43",0.174034524966,124.386666667,0.111904765711,1.1122,4.03965333333,1.02513875,-50.3125,-49.7083333333,-52.671875,364.885504,0.044125,1.109215,4.03742333333,1.0234075,38.53125,42.8333333333,42.3359375,169.999882579,0.0129319084808,1.63630625,-79.0546894073,130,75.4166666667,880,1.10882,4.037025,1.02305125,-36.21875,-36.6354179382,-48.0390644073,1.12402,4.06191666667,1.63630625,-54.53125,-57.0833346049,-79.0546894073,4.14737915491,3.88163945586,4.29680332701,-96.6562576294,-78.5291442871,"Rorb-IRES2-Cre",95.0078125,"Excitatory"
"48",0.150594535912,121.0825,0.115141955836,1.08542,2.66744166667,1.02533,-44.5,-43.2500025431,-50.2812538147,222.037824,0.028715,1.080925,2.66514666667,1.023385,36.6875,37.8333358765,38.4062519073,197.187453508,0.00515500456095,1.079095,-58.6718769073,90,41.125,225,1.080455,2.66464,1.02298,-32.375,-32.5937512716,-41.5781288147,1.09912,2.69556333333,1.079095,-49.59375,-52.9479166667,-58.6718769073,3.70913756481,3.195395876,3.26975156341,-81.84375,-57.1328697205,"Rorb-IRES2-Cre",88.687505722,"Excitatory"
"51",0.0868781786667,101.536111111,0.136552220174,1.275455,3.40693833333,1.025401,-44.96875,-45.6770846049,-48.7375015259,149.066784,0.05453,1.273605,3.40511666667,1.023547,30.8125019073,33.3437506358,23.7625015259,118.080377579,0.0944587662816,1.682607,-68.5937530518,50,59.5833333333,630,1.27313,3.404635,1.023114,-40.8125038147,-42.1562512716,-47.4000022888,1.443175,3.44091,1.682607,-56.3437538147,-48.7604192098,-68.5937545776,2.9693590104,3.04381741532,3.01403181074,-80.6250076294,-68.4131774902,"Rbp4-Cre_KL100",72.5000030518,"Excitatory"
"58",0.100490290119,80.4504545455,0.222144679258,1.126865,5.30663666667,1.02546375,-43.6562538147,-45.4062525431,-46.843752861,132.65108,0.049,1.124815,5.30440833333,1.0235475,26.1875019073,34.5833333333,25.0078129768,197.812542319,0.0240997374058,1.6290325,-82.2890644073,90,107.083333333,920,1.124285,5.30390333333,1.02311625,-39.1875038147,-36.3541666667,-34.1250014305,1.137835,5.35615166667,1.6290325,-44.28125,-52.5729179382,-82.2890644073,3.29992925338,3.36622334209,2.86063858686,-100.468757629,-81.9204101562,"Rorb-IRES2-Cre",71.8515658379,"Excitatory"
"60",0.0265356304415,97.82,0.115714285714,1.15001,6.009055,1.02523375,-44.75,-44.2916679382,-47.5546875,89.69156,0.073615,1.14605,6.00630666667,1.02351375,24.84375,32.8229166667,28.6484379768,116.718634963,0.101548105478,1.51315625,-74.078125,130,124.625,0,1.145605,6.00588833333,1.0231525,-34.9687538147,-34.9270833333,-41.6796884537,1.18508,6.04769333333,1.51315625,-54.0312538147,-56.0208333333,-74.078125,3.11670159398,3.04764947117,2.99896670683,-86.96875,-73.244430542,"Scnn1a-Tg2-Cre",76.2031254768,"Excitatory"
"61",0.0763599330869,116.445,0.154166675288,1.13998,5.03284666667,1.025515,-46.6250038147,-48.5208358765,-52.1375038147,141.49072,0.047445,1.13732,5.03032,1.02338,38.1562538147,40.3333358765,38.2437522888,136.87504828,0.204059511423,1.110434,-69.3875061035,70,100.25,780,1.136845,5.02985666667,1.022979,-43.7500038147,-43.4687512716,-49.8625022888,1.21286,5.093455,1.110434,-56.78125,-56.5312538147,-69.3875061035,3.88627159221,4.17568735203,3.97220715053,-82.21875,-68.0052108765,"Rbp4-Cre_KL100",90.3812561035,"Excitatory"
"63",0.0411127831953,126.037142857,0.18643412269,1.16198,6.78996666667,1.0248,-43.375,-42.2812525431,-48.8562522888,121.629184,0.08262,1.15966,6.78766,1.022992,38.5625038147,42.1666679382,44.0312515259,114.375077188,0.00830821041018,1.647676,-74.3375061035,110,144.208333333,900,1.15912,6.78714666667,1.022572,-35.34375,-32.5208333333,-46.9562515259,1.1891,6.82152,1.647676,-48.4375038147,-49.9479179382,-74.3375061035,3.41610739183,3.59775787553,4.59851350234,-87.96875,-74.8086242676,"Rorb-IRES2-Cre",92.8875038147,"Excitatory"
"70",0.045550395712,94.072,0.20833333868,1.27352,6.03582666667,1.02533333333,-52.5000038147,-54.4583346049,-57.9166704814,264.798528,0.05872,1.27162,6.03404,1.02354666667,46.5,47.8333358765,43.645837148,149.151861668,0.12802401185,1.08333333333,-73.5625,150,125.33333079,580,1.27118,6.03356666667,1.02315333333,-34.0312538147,-36.4270858765,-44.3333346049,1.27972,6.04588,1.08333333333,-53.03125,-55.9270846049,-73.5625025431,2.83299305354,2.71166003642,2.66119913601,-89.5312576294,-73.0108566284,"Ntsr1-Cre_GN220",101.562507629,"Excitatory"
"71",-0.0168356848018,51.3175,0.253218889093,1.53066,4.35640666667,1.02504,-53.6562538147,-53.114587148,-56.5750015259,222.887792,0.14006,1.5277,4.35354666667,1.022852,26.5000019073,26.4479173024,29.5312511444,179.53132093,0.0298339929432,1.242056,-68.1375061035,110,83.3333333333,499.999969482,1.52722,4.35306666667,1.022484,-37.09375,-35.2708346049,-43.0687522888,1.53254,4.36135333333,1.242056,-54.5000038147,-55.1562538147,-68.1375061035,3.27769707502,3.29313199563,2.61938132981,-86.7812576294,-67.0462722778,"Ndnf-IRES2-dgCre",86.1062526703,"Excitatory"
"72",0.0527321787203,78.8357142857,0.156818187519,1.102505,5.278715,1.024327,-47.9062538147,-49.1354204814,-51.2937530518,99.352144,0.05146,1.10078,5.27692166667,1.023163,41.78125,44.8854192098,42.5937522888,153.437390924,0.0158438868821,1.537228,-78.9375030518,130,106.416666667,939.999938965,1.100455,5.276585,1.022875,-36.4062538147,-35.7916679382,-47.3062515259,1.929355,5.29696166667,1.537228,-50.7500038147,-53.8229204814,-78.9375030518,3.6315394591,3.39834230497,3.69225263971,-94.4375,-78.2422027588,"Cux2-CreERT2",93.8875053406,"Excitatory"
