"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"373",249.948128,203.906327486,0.0947432816029,-93.625,-71.2786102295,"Ctgf-T2A-dgCre",10.5253309632,3.48384666667,-52.7604192098,3.48072,47.0729179382,61.5000025431,3.48028666667,-43.2500012716,3.52321333333,-58.7604204814,4.82387475876
"399",189.376096,232.81249404,0.100696012378,-91.2812576294,-64.3289031982,"Cux2-CreERT2",13.1743626902,2.42207166667,-48.6250012716,2.42017666667,48.7604192098,35,2.419785,-35.5625,2.44637666667,-55.96875,3.36306624654
"400",195.639696,186.562463641,0.0307361148298,-98.2812576294,-77.5233535767,"Cux2-CreERT2",15.3067360572,3.93675,-51.1145858765,3.934915,45.4583358765,72.875,3.934515,-41.84375,3.972325,-55.5625025431,4.18354542687
"414",157.871936,152.499973774,0.0793471187353,-91.78125,-75.5931091309,"Scnn1a-Tg3-Cre",13.8442205704,4.42197333333,-50.8854192098,4.42005333333,40.4479179382,85,4.41962666667,-39.5312525431,4.46170666667,-59.6979192098,3.64295670571
"419",281.314944,123.906247318,0.119535215199,-95.0312576294,-79.6576766968,"Scnn1a-Tg3-Cre",13.5611608354,3.32364,-51.9687512716,3.32169333333,40.8125025431,57.5833307902,3.32126666667,-41.3958358765,3.37398,-59.2812512716,3.91536868527
"426",154.913792,173.593640327,0.0580313242972,-90.53125,-71.9915924072,"Scnn1a-Tg3-Cre",10.8331277045,3.73547833333,-47.3541692098,3.73273166667,52.4583358765,67.7916653951,3.73227166667,-36.6354166667,3.78376,-57.1562512716,4.35983918432
"432",83.012416,118.750080466,0.094195432961,-83.5937576294,-70.9766464233,"Rbp4-Cre_KL100",9.84106677164,5.97453166667,-48.6354179382,5.97286166667,42.6354192098,123.833333333,5.97243666667,-40.9270846049,6.025045,-57.3854204814,3.23722126264
"441",217.930304,177.031293511,0.0687024816871,-93,-73.6229324341,"Cux2-CreERT2",11.3271449365,4.20871166667,-49.2187525431,4.20657833333,43.2083358765,79.6666666667,4.20616,-36.4375012716,4.22854333333,-55.6875025431,3.77237813281
"479",165.120592,142.968714237,0.00469936151057,-93.5625076294,-78.8050384521,"Nr5a1-Cre",6.70825786543,8.17106,-53.3125025431,8.16806,39.0729179382,178.708328247,8.16758,-36.4166679382,8.18033333333,-57.6145833333,3.6613043182
"480",100.953352,180.937469006,0.00467415805906,-81,-62.4188423157,"Scnn1a-Tg3-Cre",6.82419175979,3.22626833333,-45.8958346049,3.224705,46.1458346049,55.1249987284,3.22437833333,-34.75,3.24763333333,-52.1354204814,3.34080046339
"509",150.380464,171.093717217,0.0406936816871,-95.3125076294,-76.9504776001,"Rorb-IRES2-Cre",18.2363321372,4.13093666667,-43.1979192098,4.128825,42.3437512716,77.75,4.12840833333,-31.6666673024,4.16484666667,-52.0625012716,3.12726154386
"522",120.899968,121.093638241,0.0830635204911,-86.8125,-73.8577346802,"Scnn1a-Tg2-Cre",6.66715559141,4.91551666667,-47.0416704814,4.91246666667,36.0937512716,97.3333333333,4.91195,-37.4687525431,4.96868666667,-56.1770858765,3.41300939826
