"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","height","binary_neuron","firing_rate"
"150",0.00865127294142931,32.9784482758621,0.33130844953652,1.04258,4.59096,1.02671,-50.9062538146973,-52.0625038146973,-57.5062522888184,338.230464,0.00818500000000011,1.040455,4.58795166666667,1.023252,28.2812519073486,27.9270846048991,35.9250022888184,214.843794703484,0.0324125289916992,1.042814,-66.7750015258789,120.000007629395,89.1666641235352,360,1.040015,4.58738666666667,1.02287,-34.59375,-32.8750012715658,-38.1000022888184,1.043295,4.59320333333333,1.042814,-51.6250038146973,-53.0833346048991,-66.7750015258789,2.52540744172461,2.49505567584291,2.63125434753618,-88.3437576293945,-65.2329788208008,93.4312545776368,"Inhibitory",30.3228336165207
"156",0.0233147925123534,72.1273076923077,0.178253437476391,1.19066,5.73030166666667,1.024895,-48.8437538146973,-49.1250012715658,-51.0468769073486,135.071536,0.0601750000000001,1.18838,5.72795833333333,1.0234075,39.9062538146973,35.5104166666667,43.921875,150.312572717667,0.0128363044932485,1.9102275,-85.0625038146973,110,117.708335876465,1030,1.18798,5.72751833333333,1.0230625,-36.28125,-36.1458358764648,-50.3281269073486,1.21617,5.75187333333333,1.9102275,-57.40625,-56.1354179382324,-85.0625038146973,3.13302037984184,2.79303798950382,3.70482436200491,-97.3750076293945,-82.9683837890625,94.9687519073486,"Excitatory",13.8643744234287
"159",0.0489789939637175,74.37875,0.242635658914728,1.17219,2.91856,1.02565416666667,-51.6562538146973,-49.1875,-55.0677108764648,171.60632,0.0470250000000001,1.17017,2.916345,1.023565,46.5,48.9270871480306,47.8541685740153,190.937504172325,0.0479762889444828,1.51758333333333,-72.6093788146973,50,47.4166666666667,520,1.16972,2.91589333333333,1.023155,-43.40625,-42.3020858764648,-48.5677096048991,1.213115,2.964955,1.51758333333333,-56.0625,-54.5416704813639,-72.6093788146973,3.89097900341029,4.26943608218418,4.20822914240582,-90.2812576293945,-71.7251586914062,102.92187945048,"Excitatory",13.4447002672134
"160",0.0583637422520784,16.679,0.249959658912174,1.065245,10.145285,1.024368,-53.4687538146973,-48.46875,-60.3687515258789,235.689568,0.013055,1.064215,10.14418,1.023239,7.6875,7.06250047683716,7.92500038146973,189.531251788139,0.0383005104959011,1.754065,-76.1562530517578,160,228.125,570,1.06383,10.14368,1.022903,-35.5625,-25.0625019073486,-40.3562507629395,1.06533,10.14537,1.754065,-53.6875,-48.625,-76.1562530517578,1.41302972422023,0.961897252244322,1.50009864447969,-96.59375,-75.6874694824219,68.2937519073486,"Inhibitory",59.9556328317045
"161",0.0481019466166628,76.1216666666667,0.189556532353824,1.228135,3.43572333333333,1.025315,-50,-49.4375012715658,-51.6875025431315,165.977264,0.050805,1.225325,3.43328833333333,1.02338666666667,36.0937538146973,42.4687525431315,41.1562525431315,181.093752384186,0.040950171649456,1.49569666666667,-83.2916692097982,110,60.3333333333333,920,1.224875,3.43286666666667,1.02300666666667,-33.8437538146973,-34.8958333333333,-48.1562525431315,1.24699,3.46269833333333,1.49569666666667,-57.34375,-56.6979192097982,-83.2916692097982,3.13334429730832,3.52571343523956,3.85286825276062,-100.031257629395,-82.3311004638672,92.843755086263,"Excitatory",13.1368642305082
"165",0.0168134899207553,117.521428571429,0.175363992064466,1.276875,14.490275,1.029535,-51.53125,-52.3125038146973,-66.5125045776367,86.305232,0.0697700000000001,1.272995,14.48495,1.023371,23.125,28.3958346048991,28.7312507629395,72.1874982118607,0.0210853274911642,1.385703,-77.5375030517578,310,336.625,1060,1.272535,14.4845016666667,1.023016,-34.71875,-34.7916666666667,-40.4437530517578,1.28338,14.4951933333333,1.385703,-54.9687538146973,-54.6770858764648,-77.5375030517578,3.38815811623948,4.08968804304455,2.6635729426358,-83.7812576293945,-76.1771469116211,95.2437553405762,"Inhibitory",8.50908648878621
"166",0.0368844851294716,65.8692307692308,0.233664021164021,1.21072,3.05370833333333,1.02508375,-48.8750038146973,-47.4166692097982,-50.1484394073486,296.814144,0.06385,1.2088,3.051765,1.0234075,46.3750038146973,45.8229204813639,43.8125038146973,241.406247019768,0.0152476401999593,1.785885,-79.7421913146973,50,50.7916666666667,750,1.208385,3.05135,1.02303375,-41.09375,-38.4687538146973,-47.8593769073486,1.240675,3.08824666666667,1.785885,-55.8750038146973,-53.7187512715658,-79.7421913146973,4.02763322204473,4.00039259830761,3.99639218013956,-98.3750076293945,-78.1602478027344,93.9609432220459,"Excitatory",15.1815952353147
"173",0.0167704502862876,64.4128571428571,0.175000009621892,1.19094,4.47104666666667,1.025776,-56.9062538146973,-53.0937538146973,-58.4000030517578,294.03296,0.04234,1.1868,4.46743333333333,1.023428,25.5000019073486,26.7604179382324,29.2812511444092,192.455351352692,0.047018401324749,1.400732,-75.2812545776367,110,86.1666666666667,520,1.18634,4.4669,1.023048,-36.6562538146973,-34.7708358764648,-38.1625015258789,1.19644,4.47865333333333,1.400732,-59.0625038146973,-57.2812538146973,-75.2812545776367,4.47381298910879,4.22485123751265,2.9167237540295,-96.28125,-75.0899429321289,87.681254196167,"Inhibitory",15.5248508505401
"178",0.194776278318071,143.756666666667,0.0336691217576919,1.28197,5.51915833333333,1.025369,-46.1250038146973,-46.2604192097982,-51.5937538146973,114.021752,0.0739050000000001,1.27858,5.51670833333333,1.023435,39.46875,42.5104179382324,43.1187515258789,127.812504768372,0.106968931853771,1.279397,-75.2312561035156,150,112.416669209798,1040,1.27816,5.51631666666667,1.023089,-38.4375,-37.9791679382324,-47.6250015258789,1.32517,5.56878666666667,1.279397,-55.7187538146973,-54.9583358764648,-75.2312561035156,3.81240136904405,3.81526438759158,3.7815717030159,-88.3437576293945,-74.2105255126953,94.7125053405762,"Excitatory",6.95619913279383
"182",0.0221943325698944,61.623,0.198121648756083,1.22343,3.6376,1.02496166666667,-32.5625,-39.2708346048991,-40.8229179382324,227.302992,0.0606450000000001,1.220875,3.63566,1.0233875,47.0937538146973,41.9791666666667,42.2864583333333,202.812537550926,0.0736343935132027,1.57914666666667,-70.4583333333333,70,65.375,310,1.220435,3.63520333333333,1.02300916666667,-21.25,-27.1250006357829,-27.5104173024495,1.260615,3.664705,1.57914666666667,-41.84375,-46.5104166666667,-70.4583333333333,2.89381750180098,2.9337051575482,2.7353519152839,-89.4687576293945,-66.8419036865234,83.1093762715657,"Excitatory",16.2277071872515
