"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"51",149.066784,118.080377578735,0.0944587662816048,-80.6250076293945,-68.4131774902344,72.5000030517578,"Excitatory",1.025401,-48.7375015258789,1.023547,23.7625015258789,1.682607,-68.5937530517578,630,1.023114,-47.4000022888184,1.682607,-68.5937545776367,3.01403181074077
"53",128.370248,96.2498858571053,0.115608237683773,-84.0312576293945,-73.3089828491211,90.2250045776367,"Inhibitory",1.028391,-60.8375030517578,1.023523,29.3875015258789,1.139618,-74.2937561035156,760,1.023144,-42.9187515258789,1.139618,-74.2937561035156,2.47461868838542
"56",245.483136,342.343896627426,0.0631874278187752,-97.7812576293945,-71.8004760742188,85.6937526702881,"Excitatory",1.025009,-52.5312522888184,1.02327,33.1625003814697,1.598273,-71.6875045776367,419.999969482422,1.022845,-43.4062522888184,1.598273,-71.6875045776367,2.89991307576877
"60",89.69156,116.718634963036,0.101548105478287,-86.96875,-73.2444305419922,76.2031254768372,"Excitatory",1.02523375,-47.5546875,1.02351375,28.6484379768372,1.51315625,-74.078125,0,1.0231525,-41.6796884536743,1.51315625,-74.078125,2.99896670683136
"61",141.49072,136.875048279762,0.204059511423111,-82.21875,-68.0052108764648,90.3812561035157,"Excitatory",1.025515,-52.1375038146973,1.02338,38.2437522888184,1.110434,-69.3875061035156,780,1.022979,-49.8625022888184,1.110434,-69.3875061035156,3.97220715053117
"63",121.629184,114.375077188015,0.00830821041017771,-87.96875,-74.8086242675781,92.8875038146973,"Excitatory",1.0248,-48.8562522888184,1.022992,44.0312515258789,1.647676,-74.3375061035156,900,1.022572,-46.9562515258789,1.647676,-74.3375061035156,4.59851350234018
"64",295.471392,381.116092205048,0.0323237255215645,-97.2500076293945,-61.246337890625,81.2343792915344,"Inhibitory",1.0252725,-50.4843778610229,1.0234575,30.7500014305115,1.2777825,-62.7226605415344,410,1.02301,-40.6132845878601,1.2777825,-62.7226605415344,2.51703824857989
"65",457.05392,429.464250802994,0.0329337976872921,-101.125,-61.4177131652832,72.3375032424927,"Inhibitory",1.024488,-57.5687522888184,1.023331,14.7687509536743,1.604589,-63.1812561035156,92,1.022967,-45.8312522888184,1.604589,-63.1812561035156,1.75450126147248
"68",184.539952,182.500004768372,0.11977082490921,-92.1875,-71.7014846801758,96.6000064849853,"Inhibitory",1.02443,-67.3125045776367,1.02337,29.2875019073486,1.043153,-72.8187561035156,380,1.023031,-46.4000007629395,1.043153,-72.8187561035156,1.70693600765492
"69",190.300928,200.468793511391,0.0824973285198212,-88.1875,-67.3841094970703,91.6250061035157,"Excitatory",1.025776,-53.2812538146973,1.023288,38.3437522888184,1.407764,-68.8625045776367,550,1.022912,-44.3062515258789,1.407764,-68.8625045776367,3.94697941699698
"70",264.798528,149.151861667633,0.128024011850357,-89.5312576293945,-73.010856628418,101.562507629395,"Excitatory",1.02533333333333,-57.9166704813639,1.02354666666667,43.6458371480306,1.08333333333333,-73.5625,580,1.02315333333333,-44.3333346048991,1.08333333333333,-73.5625025431315,2.66119913601387
"71",222.887792,179.531320929527,0.0298339929431677,-86.7812576293945,-67.046272277832,86.1062526702881,"Excitatory",1.02504,-56.5750015258789,1.022852,29.5312511444092,1.242056,-68.1375061035156,499.999969482422,1.022484,-43.0687522888184,1.242056,-68.1375061035156,2.61938132980733
"72",99.352144,153.4373909235,0.0158438868820667,-94.4375,-78.2422027587891,93.8875053405762,"Excitatory",1.024327,-51.2937530517578,1.023163,42.5937522888184,1.537228,-78.9375030517578,939.999938964844,1.022875,-47.3062515258789,1.537228,-78.9375030517578,3.69225263971312
"73",220.59136,98.9955067634583,0.0657196864485741,-88.90625,-74.5770797729492,85.5750038146973,"Inhibitory",1.023784,-64.2562530517578,1.02324,21.3187507629395,1.177052,-76.2125061035156,336,1.022984,-48.3437515258789,1.177052,-76.2125061035156,1.33184309755992
"74",272.130624,270.312130451202,0.0580473504960537,-101.4375,-78.727424621582,87.4937530517579,"Inhibitory",1.025196,-50.9500007629395,1.023436,36.5437522888184,1.805636,-78.5000045776367,710,1.023,-44.4125015258789,1.805636,-78.5000045776367,3.32823941749732
"75",210.982144,189.374998211861,0.113283351063728,-92.78125,-72.2372360229492,100.453129768371,"Excitatory",1.02581,-51.1562519073486,1.023365,49.2968778610229,1.32048875,-72.2734451293945,700,1.02301,-46.4453153610229,1.32048875,-72.2734451293945,4.53861343004363
"76",259.181008,202.812537550926,0.062282633036375,-98.4687576293945,-77.2326736450195,94.5781326293946,"Excitatory",1.0256,-54.0625038146973,1.02325,40.5156288146973,1.52288,-78.0781288146973,800,1.02287,-47.0156288146973,1.52288,-78.0781288146973,4.13659617716008
"78",116.209488,84.3750014901161,0.0581761337816715,-85.1250076293945,-75.4689025878906,96.9062538146972,"Inhibitory",1.02778,-63.4609384536743,1.023425,33.4453153610229,1.152265,-75.8203144073486,840,1.02309,-39.2421894073486,1.152265,-75.8203144073486,2.56839546685967
"79",218.646752,135.312616825104,0.0169601105153561,-83.96875,-68.6992721557617,80.1822945276896,"Inhibitory",1.02428,-58.9427108764648,1.02338,21.2395836512248,1.243265,-68.7447929382324,0,1.02309583333333,-41.5520839691162,1.243265,-68.7447929382324,1.59308404621355
"80",290.759008,258.593797683716,0.146825417876244,-98.2812576293945,-75.1858596801758,69.7031269073486,"Inhibitory",1.02573,-53.8750019073486,1.02376,15.828125,1.43405,-75.8906326293945,290,1.02341,-47.2343769073486,1.43405,-75.8906326293945,2.51657007381612
"83",138.529536,82.8124955296516,0.0359153226017952,-93.03125,-83.3805465698242,85.4531265894572,"Inhibitory",1.02423666666667,-67.9531262715658,1.02333166666667,17.5000003178914,1.67586083333333,-82.5989634195964,226.666666666667,1.02305,-45.614585240682,1.67586083333333,-82.5989634195964,1.48230866624888
"84",109.64168,122.812502086163,0.0203067641705275,-93.90625,-80.4940795898438,94.6718759536743,"Excitatory",1.026725,-56.21875,1.0235875,38.4531259536743,1.7471675,-80.3515625,959.999938964844,1.02311375,-54.6250009536743,1.7471675,-80.3515625,4.67807273497822
"86",267.333216,244.375079870224,0.148372203111649,-99.7187576293945,-72.7958526611328,81.9000030517578,"Inhibitory",1.024772,-58.9000015258789,1.023582,23.0000015258789,1.471306,-73.0875030517578,0,1.023139,-41.1750022888184,1.471306,-73.0875045776367,1.53834144439821
"87",201.156832,208.906248211861,0.0733392834663391,-94.96875,-72.9885177612305,92.6979204813639,"Excitatory",1.02645666666667,-52.9791679382324,1.02352,39.7187525431315,1.31331833333333,-74.9270858764648,770,1.02304166666667,-46.5520858764648,1.31331833333333,-74.9270858764648,3.95726501364415
"89",116.282496,109.218865633011,0.0487773641943932,-82.3437576293945,-69.3731918334961,97.1354192097982,"Excitatory",1.02469833333333,-52.9375012715658,1.02320666666667,44.1979179382324,1.388025,-70.28125,610,1.02286166666667,-48.1666679382324,1.388025,-70.28125,3.80403755102362
"90",81.808176,82.5000405311584,0.0312513895332813,-86.0625076293945,-69.6435470581055,74.0104211171468,"Inhibitory",1.0248925,-56.3802121480306,1.02328916666667,17.6302089691162,1.32689666666667,-69.9375025431315,820,1.02302333333333,-43.4479192097982,1.32689666666667,-69.9375025431315,1.59894055949684
"92",105.004096,106.250002980232,0.0707838535308838,-85.4375076293945,-73.8230819702148,86.1500019073486,"Inhibitory",1.029002,-64.3312515258789,1.023125,21.8187503814697,1.475093,-74.7562545776367,740,1.022826,-42.6312522888184,1.475093,-74.7562545776367,2.73870846118891
"95",124.2884,121.562540531158,0.192191585898399,-84.34375,-70.8589324951172,100.725003051758,"Excitatory",1.025108,-50.5125015258789,1.023416,50.2125015258789,1.113651,-72.2250030517578,979.999938964844,1.023054,-46.2500022888184,1.113651,-72.2250030517578,3.5774376865275
"97",197.458272,148.43761920929,0.0588746517896652,-95.5000076293945,-78.72412109375,89.791670481364,"Excitatory",1.02612666666667,-55.1979192097982,1.02359333333333,34.5937512715658,1.52446666666667,-79.187505086263,0,1.02310666666667,-42.8750012715658,1.52446666666667,-79.187505086263,3.70504751145086
"98",188.39744,248.125046491623,0.178474470973015,-99.8437576293945,-72.474250793457,91.1937538146973,"Excitatory",1.025698,-52.0937522888184,1.02352,39.1000015258789,1.576521,-72.9187515258789,530,1.023013,-48.7562522888184,1.576521,-72.9187561035156,3.19242655648482
"99",272.356064,195.937529206276,0.0292322263121605,-100.8125,-78.8551330566406,94.2604173024496,"Excitatory",1.02527666666667,-54.4010416666667,1.02343833333333,39.8593756357829,1.47204,-80.1718762715658,105,1.0230325,-42.6510435740153,1.47204,-80.1718762715658,3.48244378937389
"101",148.17216,154.218822717667,0.174613907933235,-83.53125,-66.199348449707,87.3500061035156,"Excitatory",1.024762,-47.3062530517578,1.02328,40.0437530517578,1.190634,-67.4312515258789,568,1.02293,-43.2062507629395,1.190634,-67.4312515258789,3.44253349275322
"104",161.001792,105.156250298023,0.0280808564275503,-100.468757629395,-74.0991973876953,79.0703158378601,"Inhibitory",1.0242,-62.7812528610229,1.02343375,16.2890629768372,1.698995,-75.1718769073486,0,1.02316125,-41.6015663146973,1.698995,-75.1718769073486,1.34655380539531
"105",227.981824,312.18758225441,0.0285992901772261,-94.5937576293945,-61.9263076782227,86.8359394073486,"Inhibitory",1.02547,-50.4843759536743,1.02361,36.3515634536743,1.352735,-62.8828153610229,479.999969482422,1.023115,-43.359375,1.352735,-62.8828153610229,2.74799510096908
"106",107.266272,91.2500023841858,0.0420052446424961,-88.5,-78.792106628418,83.3515663146972,"Excitatory",1.025255,-45.0937519073486,1.0233925,38.2578144073486,1.55397875,-78.8359413146973,1330,1.0230275,-47.0000019073486,1.55397875,-78.8359413146973,3.88184989071812
"107",282.708064,215.000107884407,0.0680718347430229,-96.5,-72.8924713134766,94.5125038146973,"Excitatory",1.026236,-54.3562522888184,1.023512,40.1562515258789,1.520652,-73.3500045776367,479.999969482422,1.023132,-45.3687522888184,1.520652,-73.3500045776367,4.30908829995773
"110",130.90852,101.250037550926,0.0176252461969852,-86.2812576293945,-75.1085433959961,80.2083350817362,"Inhibitory",1.0240175,-66.9791679382324,1.02319083333333,13.2291671435038,1.5513425,-76.0625025431315,433.333333333333,1.02294666666667,-45.3281269073486,1.5513425,-76.062505086263,1.41283992757964
"111",285.755872,267.968744039536,0.16237710416317,-103.59375,-73.1547622680664,83.5729185740153,"Excitatory",1.02533166666667,-53.5000012715658,1.023495,30.0729173024495,1.27025666666667,-73.71875,410,1.02308666666667,-46.9270846048991,1.27025666666667,-73.71875,2.86289173494915
"112",177.17712,132.656246423721,0.184340372681618,-89.4687576293945,-73.6015090942383,96.2968788146973,"Inhibitory",1.02423,-63.4531288146973,1.02338,32.84375,1.30271,-74.2500038146973,890,1.023075,-45.0000019073486,1.30271,-74.2500038146973,1.95227771667287
"113",110.029904,99.0625768899918,0.0279425401240587,-86.1562576293945,-75.1433410644531,89.6041717529297,"Excitatory",1.02605333333333,-48.3541704813639,1.02361333333333,41.2500012715658,1.64114666666667,-75.7083384195964,1190,1.02315333333333,-42.0416692097982,1.64114666666667,-75.7083384195964,4.0349123419963
"114",117.547536,150.468826293945,0.0630087703466415,-90.3125,-74.7002639770508,84.3125057220459,"Excitatory",1.02652,-53.6562538146973,1.02348,30.6562519073486,1.53612,-75.2500076293945,830,1.02306,-41.71875,1.53612,-75.2500076293945,3.90644355857511
"115",112.069712,58.2812875509262,0.0498790591955185,-70.90625,-63.5755844116211,97.78125,"Excitatory",1.030045,-54.5625,1.02351,43.21875,1.08543,-64.53125,0,1.02304,-42.5,1.08543,-64.53125,5.94957544574483
"116",184.10248,189.10713493824,0.0259323790669441,-96,-77.3416595458984,85.9375022888184,"Excitatory",1.02506,-51.9437515258789,1.02337,33.9937507629395,1.508234,-78.3937530517578,608,1.022989,-41.4125007629395,1.508234,-78.3937530517578,2.96731726726757
"117",220.36152,181.874960660934,0.124726444482803,-100.53125,-79.6356353759766,67.4375025431315,"Inhibitory",1.026,-67.0104192097982,1.02349166666667,0.427083333333333,1.21121,-81.1145858764648,670,1.02318166666667,-38.9739596048991,1.21121,-81.1145858764648,1.71511782648871
"118",199.901376,210.624992847443,0.283523201942444,-91.1875,-68.5026245117188,91.7937507629395,"Excitatory",1.025906,-55.9562507629395,1.023721,35.8375,1.144104,-69.18125,660,1.023236,-44.7125,1.144104,-69.18125,2.98633535722657
"120",343.51312,174.374997615814,0.0474362894892693,-93.09375,-73.5498428344727,94.3828153610229,"Inhibitory",1.02554,-53.5937519073486,1.0235075,40.7890634536743,1.663965,-74.3789100646973,360,1.0231275,-44.7500009536743,1.663965,-74.3789100646973,3.53679025169967
"122",140.350912,132.812693715096,0.0285200737416744,-88.5625,-75.2428283691406,86.5208361943563,"Inhibitory",1.02822583333333,-62.864585240682,1.02322,23.6562509536743,1.67033833333333,-75.562505086263,730,1.02292333333333,-43.8020858764648,1.67033833333333,-75.562505086263,2.44980269197981
