"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","adaptation","avg_isi","f_i_curve_slope","latency","height","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"118",199.901376,210.624992847,0.283523201942,-91.1875,-68.5026245117,"Rorb-IRES2-Cre",15.7862986204,0.0145937568566,63.3460714286,0.182361658375,0.06211,91.7937507629,1.502145,-48.96875,1.49903,36.0625,59.9999961853,1.4984,-38.5625038147,1.549615,-54.71875,3.32915240764
"140",293.105056,170.31249404,0.0473887436092,-97.21875,-78.7213439941,"Nr5a1-Cre",10.0096760202,0.0557216459252,99.9033333333,0.157034060743,0.05736,95.8854166667,1.191825,-47.75,1.189375,40.25,110,1.18897,-34.4062538147,1.219855,-54.9062538147,2.87455060291
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,"Scnn1a-Tg2-Cre",13.9428130162,0.0273849560216,71.7215384615,0.172544649826,0.06211,98.6484413147,1.158605,-41.5937538147,1.15489,35.71875,90,1.15435,-32.46875,1.19447,-47.9375,4.15000956924
"170",248.194624,214.531287551,0.0620325468481,-97.5937576294,-74.4105987549,"Rorb-IRES2-Cre",13.0785201654,0.036128323443,76.46125,0.222500015577,0.04385,94.3500038147,1.177535,-54.5937538147,1.175845,41.9062538147,70,1.1754,-42.59375,1.2241,-59.6875038147,2.70989768298
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,"Cux2-CreERT2",6.95619913279,0.194776278318,143.756666667,0.0336691217577,0.073905,94.7125053406,1.28197,-46.1250038147,1.27858,39.46875,150,1.27816,-38.4375,1.32517,-55.7187538147,3.81240136904
"198",214.522896,164.062529802,0.219570100307,-87.0937576294,-69.3629837036,"Rorb-IRES2-Cre",10.8608293329,0.0147999527962,92.074,0.177671232877,0.04876,97.6250038147,1.18116,-45.8437538147,1.1785,45.5625038147,70,1.17808,-38.0937538147,1.23708,-57.2812538147,4.05999460039
"236",334.118944,278.794765472,0.0985685810447,-102.5,-74.1093292236,"Ntsr1-Cre_GN220",16.7532249958,0.0226394565263,59.69,0.196153846154,0.038845,103.512502289,1.5342,-55.28125,1.52998,44.3125,70,1.52943,-36.5625038147,1.5441,-58.84375,4.31481912564
"245",205.579328,214.84375,0.0380297340453,-94.625,-62.6768341064,"Scnn1a-Tg3-Cre",11.592858799,0.0394658867123,86.26,0.162322274882,0.043375,85.8437530518,1.11183,-48.4375038147,1.10734,34.0937538147,50,1.10685,-33.5,1.13387,-55.34375,3.92076141919
"247",105.3152,155.781254172,0.0507714226842,-99.0625,-81.7539978027,"Nr5a1-Cre",15.6261335923,0.0320481522716,63.9953571429,0.15297620164,0.05055,83.541668574,1.125425,-49.34375,1.123485,34,110,1.12306,-36.1562538147,1.139325,-53.6875,3.05444884735
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,"Rbp4-Cre_KL100",16.1412683809,0.0101593608978,61.953,0.235501066098,0.0387,83.820315361,1.118045,-53.8125,1.115835,29.375,70,1.11537,-42.4687538147,1.13476,-58.9375,2.92140439502
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,"Cux2-CreERT2",16.2601626016,0.0144138953618,61.5,0.214845275827,0.03966,98.6484413147,1.1034,-50.34375,1.0995,40.6562538147,110,1.09902,-36.5625038147,1.11356,-54.875,4.24038494249
"272",176.646384,231.562495232,0.0547779798508,-99,-74.4558258057,"Rorb-IRES2-Cre",12.2174031354,0.025948571503,81.8504545455,0.183333333333,0.06451,84.6062515259,1.24339,-45.875,1.24039,37.78125,70,1.239875,-35.65625,1.276835,-54.5937538147,3.60986538484
"276",181.728032,210.937574506,0.0956082567573,-86.9687576294,-61.8505935669,"Ntsr1-Cre_GN220",12.2680228408,0.0143658817897,81.5127272727,0.185,0.0274,101.731255341,1.16434,-51.9062538147,1.16154,45.875,50,1.16106,-41.0312538147,1.18266,-56.4062538147,3.3301299366
"319",106.392456,69.2187920213,0.173849254847,-88.1875,-80.2801742554,"Rbp4-Cre_KL100",8.60626859088,0.034951930331,116.194375,0.155555594857,0.032215,90.7062545776,1.078225,-46.8437538147,1.07574,35.875,370,1.07522,-45.8125038147,1.11354,-55.4062538147,3.31427309769
"323",126.105232,108.593635261,0.155113935471,-86.4687576294,-75.1248931885,"Ctgf-T2A-dgCre",13.9511922904,0.00848211075351,71.6784615385,0.170570870384,0.05194,91.0703163147,1.18754,-48.4687538147,1.18554,31.34375,140,1.18504,-42.4687538147,1.24128,-57.5625038147,3.12803712498
"329",138.22736,131.093755364,0.0597853958607,-92.1875,-77.7642974854,"Rbp4-Cre_KL100",10.6944881796,0.0158222799954,93.5061111111,0.12842377261,0.07467,98.2083358765,1.249365,-52.6562538147,1.24528,39.3437538147,90,1.24483,-38.78125,1.291675,-62.34375,4.40807384253
"333",120.818576,197.142958641,0.0730278193951,-96.3125076294,-76.7895889282,"Nr5a1-Cre",20.2851757626,0.0376878658407,49.2970833333,0.224731192479,0.022735,87.2687553406,1.07677,-47.5000038147,1.07531,38.7187538147,90,1.074955,-33.6250038147,1.089595,-51.6875,3.03996835612
"336",216.366,200.156211853,0.0591901093721,-95.15625,-72.7270736694,"Rorb-IRES2-Cre",13.0933676142,0.0088135923795,76.3745454545,0.190265483378,0.0713,89.0312530518,1.51356,-47.4062538147,1.51004,35.4687538147,50,1.50954,-37,1.55174,-58.4062538147,3.28955350544
"338",114.36252,132.142856717,0.082345187664,-87.75,-72.100112915,"Rbp4-Cre_KL100",6.38320960545,0.193592090156,156.661,0.0347826104984,0.050415,97.9562545776,1.100325,-47.3125,1.09802,44.5,130,1.09766,-36.28125,1.13169,-54.3437538147,4.03217087008
"344",210.964864,151.56249702,0.0824915841222,-88.8125,-71.3918457031,"Rorb-IRES2-Cre",14.8899737298,0.097919786496,67.1592857143,0.0200000078201,0.01965,100.250001272,1.05858,-48.25,1.0559,35.40625,190,1.05544,-38.78125,1.06787,-50.5937538147,3.66136832151
"346",102.552104,125.937506557,0.0573241859674,-92.0625,-78.1010055542,"Rbp4-Cre_KL100",6.51911731152,0.103914187598,153.395,0.0683593821526,0.081125,90.6015691757,1.17049,-45,1.166895,36.0000038147,150,1.166425,-35.8437538147,1.21119,-54.6875038147,3.95220515219
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,"Scnn1a-Tg3-Cre",11.7613095684,0.0223981014994,85.0245454545,0.102976195628,0.058865,86.7562522888,1.136185,-48.875,1.131975,31.6875019073,130,1.131395,-38.28125,1.148295,-52.15625,3.98766840898
"376",88.841184,163.671776652,0.0431517995894,-83.65625,-64.7870788574,"Scnn1a-Tg3-Cre",11.6176402249,0.0607535815263,86.076,0.23705752648,0.061395,92.8750038147,1.251505,-41.78125,1.250055,43,50,1.24971,-30.0625019073,1.292135,-51.6250038147,2.63907718847
"384",263.157632,267.96874404,0.105482265353,-103.343757629,-80.1675643921,"Rbp4-Cre_KL100",12.0621441667,0.173939331193,82.904,0.122536873156,0.0343,85.6406288147,1.14358,-48.1562538147,1.1409,33.59375,70,1.14032,-35.03125,1.17794,-57.03125,2.77178770434
"393",175.722784,141.562610865,0.0726919919252,-92.6562576294,-76.4054412842,"Rorb-IRES2-Cre",11.396011396,0.279829059829,87.75,0.0444444402732,0.05044,91.0250038147,1.125385,-44.5625038147,1.121465,36.1562538147,190,1.12102,-32.0312538147,1.15058,-51.53125,3.44732087547
"399",189.376096,232.81249404,0.100696012378,-91.2812576294,-64.3289031982,"Cux2-CreERT2",13.1743626902,0.0307136335296,75.905,0.214566475869,0.03189,101.612506104,1.1403,-46.5312538147,1.138445,47.125,50,1.138035,-36.4062538147,1.173395,-55.7187538147,3.27865883714
"415",169.58944,126.71867013,0.0435944460332,-89.9687576294,-76.2541275024,"Ctgf-T2A-dgCre",12.5441897594,0.0305429514575,79.7181818182,0.168080359164,0.0668,93.3750038147,1.70436,-46.96875,1.69888,45.53125,170,1.69838,-37,1.72012,-52.25,5.37153078797
