"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"123",0.0180185395816,46.556,0.264264976307,1.23072,3.158835,1.02490666667,-47.5937538147,-47.90625,-50.6875038147,202.347344,0.035175,1.2286,3.1567025,1.02336166667,38.4687538147,36.125,33.9791692098,212.031289935,0.0468316674232,1.79030166667,-75.9791692098,70,53.3749980927,690,1.2282,3.1563,1.02300833333,-36.0937538147,-36.3125019073,-44.1979179382,1.25381,3.1806825,1.79030166667,-55.4687538147,-54.4687538147,-75.9791692098,3.09871297335,3.09564000605,3.23600092112,-97.84375,-73.9191589355,"Cux2-CreERT2",84.6666730245,21.4795085488
"124",0.0362674314528,62.1703333333,0.239350180505,1.07479,5.50904166667,1.024631,-46.4375,-47.4166679382,-53.7062530518,104.156048,0.02706,1.072995,5.507565,1.023265,36.375,44.8541692098,40.5125015259,162.812381983,0.116804018617,1.804775,-75.0187515259,150,112.16666921,378,1.07259,5.50717166667,1.022924,-34.625,-35.9166692098,-46.3312522888,1.08444,5.52648333333,1.804775,-49.21875,-53.8750012716,-75.0187515259,2.76146199122,2.78568939138,2.85398766645,-94.5937576294,-73.9795761108,"Rorb-IRES2-Cre",94.2187545776,16.0848421809
"129",0.00275687376869,12.5740384615,0.824576145875,1.029555,11.07332,1.0242125,-60.5,-52.2916666667,-61.1875009537,146.92272,0.00759,1.02866,11.0720533333,1.02312625,13.03125,7.89583412806,17.6562514305,103.90625149,0.0919351428747,1.55408875,-72.3828163147,249.999984741,251.291656494,397.5,1.02832,11.0716,1.02281875,-42.09375,-31.0833333333,-42.3515625,1.02959,11.0734933333,1.55408875,-60.53125,-52.4791679382,-72.3828163147,1.55732838004,1.37480924155,1.64806893554,-84.6875,-72.3729629517,"Nr5a1-Cre",78.8437523842,79.5289439474
"131",0.0233020464716,56.7364705882,0.186829278533,1.15678,3.62646166667,1.025062,-47.2812538147,-47.8541692098,-52.8125038147,141.152544,0.029705,1.154755,3.624465,1.023392,46.03125,46.6875025431,46.9062522888,136.718794703,0.0877228975296,1.08181,-61.9750015259,70,65.1250012716,540,1.15435,3.62405333333,1.023055,-37.3750038147,-37.5104204814,-45.2312522888,1.18777,3.660065,1.08181,-53.7812538147,-52.9166679382,-61.9750015259,3.53909845229,3.59375301749,3.56616982371,-75.9687576294,-61.491153717,"Rorb-IRES2-Cre",99.7187561035,17.625347323
"136",0.0237073067789,51.0925,0.34852114072,1.106795,5.10423333333,1.025126,-55.8125038147,-53.3854192098,-56.0312515259,100.70636,0.0266,1.10513,5.10269,1.023595,45.9687538147,47.6458346049,43.2750030518,147.499918938,0.137995809317,1.123507,-75.1000045776,90,102.041664124,509.999969482,1.104665,5.10220333333,1.023175,-47.0937538147,-45.4375025431,-51.4937538147,1.14142,5.139565,1.123507,-58.0312538147,-56.4791704814,-75.1000045776,2.65557073563,2.69949189775,2.75114308122,-90.9062576294,-74.173248291,"Ntsr1-Cre_GN220",99.3062545776,19.5723442775
"147",0.0171561136295,53.4020588235,0.24448819787,1.774925,3.98277666667,1.02493125,-49.0312538147,-49.1458346049,-52.468752861,190.287488,0.035225,1.77302,3.98097333333,1.02346375,44.6250038147,48.1250038147,45.2812538147,144.062504172,0.268266767263,1.1009775,-70.6718769073,80,74.0416641235,610,1.77259,3.98056333333,1.02310875,-40.28125,-38.9895846049,-45.609377861,1.827815,4.03179,1.1009775,-56.0625,-52.833337148,-70.6718769073,3.48796293874,3.66351348037,3.47141272836,-84.96875,-68.8367080688,"Rbp4-Cre_KL100",97.7500066757,18.7258697891
"152",0.0614919915794,92.6515,0.202884624368,1.45727,3.770245,1.02461333333,-42.9375038147,-43.4687538147,-50.9010454814,227.508608,0.055515,1.45519,3.76856,1.02327083333,40.6250038147,42.7656269073,42.2187519073,197.343707085,0.0717815309763,1.44612583333,-73.4531300863,90,68.7500019073,575,1.454805,3.7681725,1.022955,-33.1875,-35.0312519073,-45.2031275431,1.48496,3.808815,1.44612583333,-54.15625,-52.6718769073,-73.4531300863,2.96768904853,3.11076475757,3.45025455965,-91.03125,-72.4250030518,"Cux2-CreERT2",93.1197973887,10.7931334085
"182",0.0221943325699,61.623,0.198121648756,1.22343,3.6376,1.02496166667,-32.5625,-39.2708346049,-40.8229179382,227.302992,0.060645,1.220875,3.63566,1.0233875,47.0937538147,41.9791666667,42.2864583333,202.812537551,0.0736343935132,1.57914666667,-70.4583333333,70,65.375,310,1.220435,3.63520333333,1.02300916667,-21.25,-27.1250006358,-27.5104173024,1.260615,3.664705,1.57914666667,-41.84375,-46.5104166667,-70.4583333333,2.8938175018,2.93370515755,2.73535191528,-89.4687576294,-66.8419036865,"Scnn1a-Tg2-Cre",83.1093762716,16.2277071873
"184",0.0232530314783,86.6536363636,0.140803108808,1.139955,4.89379166667,1.02576375,-58.46875,-57.3854192098,-61.054690361,201.381808,0.044805,1.13746,4.89116833333,1.02352625,34.7500038147,40.1979192098,36.2890663147,171.093553305,0.10041770339,1.114405,-77.8515644073,90,96.7499974569,630,1.136925,4.890665,1.0230775,-45.2812538147,-41.8020846049,-49.1093788147,1.17643,4.93345,1.114405,-62.21875,-62.1979192098,-77.8515644073,3.47131380407,3.59954959512,3.39348736882,-97.09375,-77.6002655029,"Rbp4-Cre_KL100",97.3437566757,11.540196603
"198",0.0147999527962,92.074,0.177671232877,1.18116,3.36792666667,1.025052,-45.8437538147,-47.1458358765,-51.7000022888,214.522896,0.04876,1.1785,3.36571333333,1.023368,45.5625038147,48.5520833333,45.9250015259,164.062529802,0.219570100307,1.105444,-70.5375015259,70,58.625,720,1.17808,3.3653,1.023028,-38.0937538147,-38.6979179382,-45.3062515259,1.23708,3.43060666667,1.105444,-57.2812538147,-56.4062525431,-70.5375015259,4.05999460039,4.12174537889,4.01724432461,-87.0937576294,-69.3629837036,"Rorb-IRES2-Cre",97.6250038147,10.8608293329
