"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,76.2031254768,"Excitatory",1.02523375,-47.5546875,1.02351375,28.6484379768,1.51315625,-74.078125,0,1.0231525,-41.6796884537,1.51315625,-74.078125,2.99896670683
"66",252.332384,274.062603712,0.00390733359382,-94.53125,-64.5871353149,53.3125019073,"Inhibitory",1.026495,-50.4687519073,1.0236825,2.84375,1.606105,-64.3125,0,1.0231175,-39.5625,1.606105,-64.3125,2.8410738781
"88",160.389952,186.875000596,0.0202918145806,-95.6875,-75.2422332764,87.9140644073,"Excitatory",1.02533125,-50.6171894073,1.02350375,37.296875,1.82248375,-74.8984394073,830,1.02309125,-43.09375,1.82248375,-74.8984394073,3.40111784582
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,74.0104211171,"Inhibitory",1.0248925,-56.380212148,1.02328916667,17.6302089691,1.32689666667,-69.9375025431,820,1.02302333333,-43.4479192098,1.32689666667,-69.9375025431,1.5989405595
"99",272.356064,195.937529206,0.0292322263122,-100.8125,-78.8551330566,94.2604173024,"Excitatory",1.02527666667,-54.4010416667,1.02343833333,39.8593756358,1.47204,-80.1718762716,105,1.0230325,-42.651043574,1.47204,-80.1718762716,3.48244378937
"105",227.981824,312.187582254,0.0285992901772,-94.5937576294,-61.9263076782,86.8359394073,"Inhibitory",1.02547,-50.4843759537,1.02361,36.3515634537,1.352735,-62.882815361,479.999969482,1.023115,-43.359375,1.352735,-62.882815361,2.74799510097
"111",285.755872,267.96874404,0.162377104163,-103.59375,-73.1547622681,83.572918574,"Excitatory",1.02533166667,-53.5000012716,1.023495,30.0729173024,1.27025666667,-73.71875,410,1.02308666667,-46.9270846049,1.27025666667,-73.71875,2.86289173495
"113",110.029904,99.06257689,0.0279425401241,-86.1562576294,-75.1433410645,89.6041717529,"Excitatory",1.02605333333,-48.3541704814,1.02361333333,41.2500012716,1.64114666667,-75.7083384196,1190,1.02315333333,-42.0416692098,1.64114666667,-75.7083384196,4.034912342
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,84.6666730245,"Excitatory",1.02490666667,-50.6875038147,1.02336166667,33.9791692098,1.79030166667,-75.9791692098,690,1.02300833333,-44.1979179382,1.79030166667,-75.9791692098,3.23600092112
"145",262.940592,197.968780994,0.121957555413,-100.90625,-72.2550735474,65.7291679382,"Inhibitory",1.02441166667,-60.9895846049,1.02339833333,4.73958333333,1.52568333333,-72.1666666667,0,1.023135,-45.8750012716,1.52568333333,-72.1666666667,1.49448179527
"155",151.449984,156.874880195,0.0137283848599,-83.4687576294,-67.0353393555,89.4791692098,"Excitatory",1.02670333333,-52.3177089691,1.02348666667,37.1614602407,1.78405333333,-68.0208346049,530,1.02310333333,-48.182293574,1.78405333333,-68.0208346049,5.18909898526
"159",171.60632,190.937504172,0.0479762889445,-90.2812576294,-71.7251586914,102.92187945,"Excitatory",1.02565416667,-55.0677108765,1.023565,47.854168574,1.51758333333,-72.6093788147,520,1.023155,-48.5677096049,1.51758333333,-72.6093788147,4.20822914241
"165",86.305232,72.1874982119,0.0210853274912,-83.7812576294,-76.1771469116,95.2437553406,"Inhibitory",1.029535,-66.5125045776,1.023371,28.7312507629,1.385703,-77.5375030518,1060,1.023016,-40.4437530518,1.385703,-77.5375030518,2.66357294264
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,98.6484413147,"Excitatory",1.0257775,-49.4140644073,1.023425,49.2343769073,1.32515375,-73.210943222,760,1.02303,-41.9609384537,1.32515375,-73.210943222,4.00422926708
"171",191.084912,113.749966025,0.05627226457,-100.71875,-79.1717681885,74.9062523842,"Inhibitory",1.02440125,-59.2578144073,1.02336875,15.6484379768,1.70828625,-79.648443222,0,1.02308375,-44.5859413147,1.70828625,-79.648443222,1.66232940197
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,94.7125053406,"Excitatory",1.025369,-51.5937538147,1.023435,43.1187515259,1.279397,-75.2312561035,1040,1.023089,-47.6250015259,1.279397,-75.2312561035,3.78157170302
"183",86.913328,63.2810592651,0.136888489127,-92.4062576294,-75.2600326538,79.4625041962,"Inhibitory",1.023832,-58.9250030518,1.02331,20.5375011444,1.160615,-76.2062561035,870,1.023088,-42.6937507629,1.160615,-76.2062561035,1.26135484164
"187",332.401536,214.687585831,0.110406376421,-99.2187576294,-75.1252746582,98.9739608765,"Inhibitory",1.02496666667,-58.8072942098,1.02346,40.1666666667,1.5453025,-75.9739583333,350,1.02316583333,-45.1666679382,1.5453025,-75.9739596049,2.98034023086
"191",99.909832,101.562425494,0.0296605732292,-85.90625,-74.6041259766,92.5312545776,"Excitatory",1.026608,-54.2937515259,1.023364,38.2375030518,1.57106,-75.0062530518,840,1.022944,-48.2250030518,1.57106,-75.0062530518,4.52125691308
"193",147.077856,151.093795896,0.0657483264804,-90.125,-73.7776107788,84.6437530518,"Excitatory",1.02448,-46.8312515259,1.023342,37.8125015259,1.236623,-75.2937545776,1030,1.02305,-45.3937522888,1.236623,-75.2937545776,3.30677019094
"194",169.12584,151.56288445,0.112007252872,-97.6875076294,-78.5200042725,71.4375030518,"Excitatory",1.026102,-54.7187522888,1.023705,16.7187507629,1.121797,-79.4312530518,720,1.023187,-41.4875030518,1.121797,-79.4312530518,2.32978840263
"195",181.7188,150.468751788,0.0196336731315,-92.5625076294,-75.2881317139,98.6375045776,"Excitatory",1.025128,-53.6500030518,1.023336,44.9875015259,1.636216,-75.5937530518,680,1.023016,-47.2750038147,1.636216,-75.5937530518,4.25483504934
"202",93.91992,52.3437894881,0.0390145964921,-81.8437576294,-75.7674789429,79.9531291326,"Inhibitory",1.023555,-62.7916704814,1.02308083333,17.1614586512,1.21761583333,-75.1093788147,820,1.02288,-44.916668574,1.21761583333,-75.1093788147,1.24902792342
"212",253.627056,202.723219991,0.0289534665644,-92.9375076294,-71.8275680542,80.4187530518,"Inhibitory",1.027488,-58.3812515259,1.023452,22.0375015259,1.39562,-71.9812530518,590,1.023108,-35.0000007629,1.39562,-71.9812530518,2.40931369637
"213",205.585184,165.803566575,0.114712543786,-90.9062576294,-73.2946472168,98.8625045776,"Inhibitory",1.024655,-61.0125038147,1.023534,37.8500007629,1.479514,-73.6750045776,610,1.023148,-37.9250030518,1.479514,-73.6750045776,1.61793940799
"217",354.898944,291.875004768,0.239930257201,-99.4062576294,-68.5587463379,71.8515663147,"Inhibitory",1.024675,-54.4375038147,1.02344625,17.4140625,1.52288625,-69.0312519073,310,1.02314625,-44.4687538147,1.52288625,-69.0312519073,2.39580276617
"228",97.848864,59.062615037,0.0487442165613,-81.5,-73.6921920776,90.5750041962,"Inhibitory",1.023809,-60.4437530518,1.023232,30.1312511444,1.419797,-75.2000045776,516.000036621,1.022999,-42.7562515259,1.419797,-75.2000045776,1.43465223749
"233",110.729696,67.9086819291,0.0338015183806,-93.71875,-76.3146133423,97.4375030518,"Inhibitory",1.02392,-63.7875022888,1.023288,33.6500007629,1.515657,-76.9562530518,760,1.023044,-41.1625030518,1.515657,-76.9562530518,1.31881641886
"239",354.501888,248.571425676,0.103792816401,-99.3437576294,-75.8354644775,88.3250022888,"Excitatory",1.025063,-55.8312522888,1.023403,32.49375,1.270807,-77.0937545776,224,1.023033,-45.9500007629,1.270807,-77.0937545776,2.88323944805
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,83.820315361,"Excitatory",1.0259325,-59.0156269073,1.0235225,24.8046884537,1.24417375,-77.5078125,760,1.02313,-38.8593759537,1.24417375,-77.5078125,2.38437091677
"251",134.68496,146.093830466,0.0842964947224,-89.21875,-73.2192153931,77.5812545776,"Excitatory",1.025195,-52.8250030518,1.02345,24.7562515259,1.103703,-73.5625045776,144,1.023049,-39.7375007629,1.103703,-73.5625045776,2.21985885676
"258",199.163616,128.78613174,0.103579640388,-86.5625076294,-74.2342147827,89.6328163147,"Excitatory",1.02512,-54.3984394073,1.023475,35.2343769073,1.245045,-75.007818222,810,1.023085,-50.101565361,1.245045,-75.007818222,3.17560412493
"262",200.542144,115.468747914,0.0158823784441,-89.625,-77.1948776245,80.8385454814,"Inhibitory",1.02692666667,-56.3281275431,1.02348333333,24.5104179382,1.52113333333,-77.2604217529,770,1.02308333333,-36.6562519073,1.52113333333,-77.2604230245,2.38330587213
"263",184.926912,196.874961257,0.0152577310801,-94.7187576294,-73.4410629272,97.9479192098,"Excitatory",1.02530333333,-53.1822929382,1.02346166667,44.7656262716,1.45273333333,-73.8958346049,650,1.02311083333,-46.1458333333,1.45273333333,-73.8958346049,4.42052621973
"264",370.4088,201.87497139,0.0250958018005,-100.625007629,-77.4324569702,98.5625030518,"Excitatory",1.025479,-54.9687515259,1.022873,43.5937515259,1.796269,-77.9875045776,680,1.022551,-49.7437530518,1.796269,-77.9875045776,5.22847801961
