"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","binary_neuron"
"92",0.00430307808238,76.96625,0.120964568385,1.12592,7.152035,1.029002,-58.0937538147,-58.5104179382,-64.3312515259,105.004096,0.031065,1.120345,7.14704,1.023125,17,25.2187512716,21.8187503815,106.25000298,0.0707838535309,1.475093,-74.7562545776,160,153.166666667,740,1.11998,7.14668333333,1.022826,-34.875,-36.28125,-42.6312522888,1.130915,7.15906,1.475093,-60.5937538147,-62.1562525431,-74.7562545776,3.34104255613,3.51677224265,2.73870846119,-85.4375076294,-73.8230819702,"Htr3a-Cre_NO152",86.1500019073,"Inhibitory"
"144",0.00944234850825,29.113030303,0.00597826284775,1.06693,1.772655,1.024946,-55.28125,-53.7812512716,-57.9750007629,443.305856,0.01362,1.065435,1.77125833333,1.023571,12.6875009537,16.6875,16.1000001907,491.874992847,0.0494608357549,1.559341,-60.8437507629,29.9999980927,18.75,47.9999969482,1.064945,1.77073333333,1.023144,-40.84375,-38.7604166667,-41.4000015259,1.067175,1.77773833333,1.559341,-55.5,-54.0833333333,-60.8437507629,1.6628376235,1.57320120179,1.63644646546,-94.46875,-58.3895721436,"Sst-IRES-Cre",74.0750009537,"Inhibitory"
"162",0.0370010448732,35.725,0.307341281808,1.04931,6.69832333333,1.024261,-55.6875038147,-50.833337148,-57.0000022888,160.333904,0.010725,1.048275,6.69680166667,1.023257,32.46875,28.3437519073,36.3437530518,148.750036955,0.129600584507,1.408845,-72.7125015259,90,141.91666158,300,1.047985,6.69641333333,1.023002,-46.1875,-36.8229179382,-48.4375022888,1.04948,6.70035833333,1.408845,-55.7812538147,-51.208337148,-72.7125015259,2.83203484181,2.87746479614,2.91790891709,-88.46875,-71.991607666,"Htr3a-Cre_NO152",93.3437553406,"Inhibitory"
"183",0.00117062146581,21.5631818182,0.602008955302,1.19158,14.4204516667,1.023832,-55.5312538147,-55.7291692098,-58.9250030518,86.913328,0.03281,1.191,14.4198816667,1.02331,11.0000009537,17.3958339691,20.5375011444,63.2810592651,0.136888489127,1.160615,-76.2062561035,330,334.958333333,870,1.190745,14.4196283333,1.023088,-32.0312538147,-31.7291666667,-42.6937507629,1.191615,14.4212116667,1.160615,-55.6875038147,-55.9270858765,-76.2062561035,1.12619823915,1.17029539539,1.26135484164,-92.4062576294,-75.2600326538,"Pvalb-IRES-Cre",79.4625041962,"Inhibitory"
"207",-0.0215717586653,56.0914285714,0.204037272997,1.88452,6.24154,1.02827,-51.125,-51.1979192098,-63.4687538147,178.153936,0.19982,1.88048,6.23770666667,1.02345,11.3125009537,16.5104166667,14.8750011921,150.625005364,0.020873464644,1.70239,-74.3593788147,150,130.416666667,570,1.8799,6.23717333333,1.023065,-33.59375,-35.4687512716,-38.4140634537,1.8914,6.24780666667,1.70239,-54.1250038147,-54.833337148,-74.3593788147,2.95525470566,3.08689870657,2.42781652736,-90.1562576294,-73.6513824463,"Nkx2-1-CreERT2",78.3437550068,"Inhibitory"
"212",-0.00941554688451,72.2433333333,0.160497578083,1.6913,5.06384666667,1.027488,-52.71875,-52.7916704814,-58.3812515259,253.627056,0.12866,1.68698,5.05978666667,1.023452,16.15625,21.7708339691,22.0375015259,202.723219991,0.0289534665644,1.39562,-71.9812530518,110,100.958333333,590,1.68646,5.05931333333,1.023108,-28.0937519073,-30.7083352407,-35.0000007629,1.69884,5.07193333333,1.39562,-56.3437538147,-57.7500025431,-71.9812530518,2.63410965572,2.73866042436,2.40931369637,-92.9375076294,-71.8275680542,"Nkx2-1-CreERT2",80.4187530518,"Inhibitory"
"222",-0.0206421902808,161.302,0.191622884276,1.428065,4.271255,1.02709,-52.40625,-53.2187538147,-54.71875,172.376336,0.16219,1.42471,4.267035,1.023555,29.5625019073,31.5,22.3125019073,118.906289339,0.0781399831176,1.04764,-66.71875,60.0000038147,81.125,460,1.424255,4.26659,1.023145,-41.40625,-38.28125,-42.65625,1.441885,4.28027,1.04764,-59.8125,-59.4375038147,-66.71875,2.62587241896,2.96902485007,1.90921637445,-77.7187576294,-63.9528121948,"Htr3a-Cre_NO152",77.0312519073,"Inhibitory"
"232",0.000337265467676,11.1551136364,1.04285746594,1.030645,14.1225525,1.02455416667,-60.65625,-54.6875019073,-63.0520839691,167.413408,0.00721,1.02971,14.121235,1.023385,11.15625,3.484375,13.0937501589,103.75007242,0.0313009656966,1.75895916667,-83.078125,370,327.5,121.666666667,1.02936,14.12075,1.02303416667,-42.5625,-29.7968759537,-46.8697929382,1.030705,14.12267,1.75895916667,-60.7187538147,-54.859375,-83.078125,1.54561502044,1.09312576677,1.58079055923,-90.1875076294,-81.0082778931,"Pvalb-IRES-Cre",76.1458341281,"Inhibitory"
"243",0.0107067074995,30.236875,0.52572815049,1.25127,1.752475,1.024125,-53.59375,-54.7395846049,-60.53125,387.07952,0.027635,1.250305,1.75146833333,1.023135,34.90625,37.8958346049,34.625,468.415170908,0.0411055423319,1.666,-67.625,20,18.25,430,1.249905,1.75106666667,1.022795,-42.875,-43.2500025431,-44.625,1.99848,1.773645,1.666,-56.6875,-55.6666666667,-67.625,1.87678559538,1.86117047863,1.95877312045,-96.3125,-67.4194869995,"Sst-IRES-Cre",95.15625,"Inhibitory"
"246",0.0215097192163,60.3490625,0.267892656067,1.091885,5.33528166667,1.02448875,-64.8750076294,-60.6666704814,-64.187502861,219.979024,0.016975,1.09096,5.33430333333,1.0233875,23.125,26.3437512716,23.1015634537,186.718642712,0.127457618713,1.41012625,-77.015630722,100,107.83333079,430.000030518,1.090615,5.33394833333,1.02305375,-48.90625,-44.9791692098,-49.117190361,1.09194,5.335415,1.41012625,-64.96875,-60.8437512716,-77.0156326294,1.72287060284,1.78926610089,1.82917491978,-96.9375076294,-76.3768463135,"Sst-IRES-Cre",87.2890663147,"Inhibitory"
