"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"23",594.601088,476.562440395355,0.0150903426110744,-101.343757629395,-66.9524688720703,"Sst-IRES-Cre",81.7500038146972,1.69307,-54.8593769073486,1.691635,26.203125,16.7500004768372,1.6911675,-43.5625019073486,1.7019875,-55.0468769073486,2.20533166477699
"34",302.033856,287.343800067902,0.155002474784851,-100.375007629395,-69.8161087036133,"Vip-IRES-Cre",92.1041730244955,11.0209266666667,-50.6354179382324,11.0196266666667,18.979167620341,250,11.0190333333333,-38.71875,11.0210866666667,-50.7916679382324,1.58115340119576
"37",190.409872,143.749997019768,0.0830477774143219,-91.375,-70.9986572265625,"Sst-IRES-Cre",85.619792620341,6.878055,-53.90625,6.87723,22.0104179382324,146.416666666667,6.87676166666667,-37.4583333333333,6.87809166666667,-54.0312512715658,1.20203389784114
"38",246.92152,249.33035671711,0.12509985268116,-94.46875,-65.5227432250977,"Sst-IRES-Cre",69.6718785762786,3.83761333333333,-53.1458346048991,3.83644166666667,14.8333336512248,70.375,3.83602333333333,-35.9375,3.83766666666667,-53.2291666666667,1.55796621216876
"41",271.40336,263.750106096268,0.0334620662033558,-94.21875,-66.1558990478516,"Htr3a-Cre_NO152",93.5416704813639,3.39117666666667,-42.8750025431315,3.38986333333333,32.7291692097982,59.25,3.38945833333333,-32.4479179382324,3.406125,-46.0000025431315,2.06929940294135
"44",438.913472,454.531192779541,0.00303306360729039,-97.125,-64.803352355957,"Htr3a-Cre_NO152",85.4531288146972,1.86675,-59.2291679382324,1.86562,25.4479179382324,21.125,1.86521166666667,-48.0312512715658,1.86682166666667,-59.3541692097982,1.99573990110411
"47",146.467936,65.781369805336,0.0459909923374653,-94.1562576293945,-77.5109786987305,"Pvalb-IRES-Cre",90.7500026702881,10.923485,-54.8541692097982,10.9223883333333,20.2187519073486,247.541641235352,10.9220366666667,-33.21875,10.9281616666667,-56.9166692097982,1.62254153439955
"53",128.370248,96.2498858571053,0.115608237683773,-84.0312576293945,-73.3089828491211,"Htr3a-Cre_NO152",90.2250045776367,9.65169333333333,-53.8125025431315,9.64778666666667,26.9791679382324,215.708333333333,9.64736833333333,-35.6458346048991,9.65733166666667,-56.4895871480306,3.44326829177281
"64",295.471392,381.116092205048,0.0323237255215645,-97.2500076293945,-61.246337890625,"Chrna2-Cre_OE25",81.2343792915344,2.88732,-44.2083346048991,2.88524,31.6875006357829,46.6666666666667,2.88463333333333,-30.9895846048991,2.90584666666667,-52.5104192097982,2.21522804361226
"65",457.05392,429.464250802994,0.0329337976872921,-101.125,-61.4177131652832,"Htr3a-Cre_NO152",72.3375032424927,1.598535,-53.6979179382324,1.597305,14.6145842870077,14.4583330154419,1.596895,-44.0520871480306,1.61139,-56.0104204813639,1.7981909380045
"66",252.332384,274.062603712082,0.00390733359381557,-94.53125,-64.5871353149414,"Htr3a-Cre_NO152",53.3125019073486,2.02568833333333,-49.7604204813639,2.02199833333333,9.03125063578288,25.0416666666667,2.021205,-46.2187525431315,2.055805,-52.3854179382324,3.28433034732306
"68",184.539952,182.500004768372,0.11977082490921,-92.1875,-71.7014846801758,"Sst-IRES-Cre",96.6000064849853,5.49869666666667,-65.312505086263,5.49777,33.8541692097982,111.958333333333,5.49740333333333,-44.3229204813639,5.49880166666667,-65.4479166666667,1.69346096878831
"73",220.59136,98.9955067634583,0.0657196864485741,-88.90625,-74.5770797729492,"Pvalb-IRES-Cre",85.5750038146973,5.29267,-65.09375,5.29197,13.2656259536743,106.75,5.29164,-41.4687519073486,5.29272,-65.1875019073486,1.28540712480856
