"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","height","binary_neuron","firing_rate"
"18",0.052803208722645,92.848,0.184774066797642,1.16854,2.25046666666667,1.02484666666667,-46.8125,-46.5937512715658,-48.8541679382324,504.248832,0.0383800000000001,1.16562,2.24792666666667,1.02316,43.6875038146973,45.9687512715658,44.1354192097982,402.764409780502,0.154761508107185,1.83182666666667,-74.6458384195964,50,30.7083326975505,660,1.16512,2.24742,1.02274666666667,-35.3125,-35.2812512715658,-43.1041692097982,1.20982,2.29513333333333,1.83182666666667,-55.6875038146973,-55.9583371480306,-74.6458384195964,3.43061702705275,3.35407549737599,3.38282987251483,-104.968757629395,-73.0341339111328,92.9895871480306,"Inhibitory",10.7702912286748
"19",0.0140817883168554,51.6847222222222,0.329910714285714,1.18923,3.00639833333333,1.02418,-63.0625038146973,-62.1562525431315,-64.6718788146973,203.879312,0.02328,1.188445,3.00560833333333,1.02331875,36.5000038146973,37.9583346048991,38.1640653610229,264.68750834465,0.0848891288042068,1.25033375,-66.8203125,50,49.625,210,1.18812,3.00526,1.0230025,-42.0625038146973,-43.2604192097982,-44.9375019073486,1.18926,3.00643333333333,1.25033375,-63.1562538146973,-62.2708346048991,-66.8203125,1.74920958040928,1.69277806227914,1.83484713115001,-94.8750076293945,-65.8635711669922,102.83594417572,"Inhibitory",19.3480772848198
"22",0.0872583040789154,67.7532142857143,0.216294642857143,1.07639,3.117295,1.024358,-57.6875038146973,-55.1458358764648,-58.0375022888184,277.678944,0.0169400000000002,1.075405,3.116345,1.023432,24.9375019073486,24.6041679382324,24.8812511444092,238.28125,0.0131897740066051,1.415886,-67.5812530517578,50,52.4166666666667,0,1.07507,3.11600333333333,1.023123,-46.8437538146973,-44.4791692097982,-47.6687538146973,1.07642,3.11739,1.415886,-57.75,-55.2916704813639,-67.5812530517578,2.0673130842014,1.9615790797264,2.03471580048334,-92.0000076293945,-66.5560607910156,82.9187534332276,"Inhibitory",14.7594473641208
"23",0.0361738299881702,39.7744736842105,0.272144673314158,1.08975,1.69307,1.02447166666667,-56.0625,-54.8593769073486,-57.6145858764648,594.601088,0.023255,1.08839,1.691635,1.02325666666667,24.1875019073486,26.203125,24.1354179382324,476.562440395355,0.0150903426110744,1.83023166666667,-70.125005086263,30.0000019073486,16.7500004768372,380,1.08792,1.6911675,1.02285666666667,-44.7187538146973,-43.5625019073486,-45.6354192097982,1.089815,1.7019875,1.83023166666667,-56.2500038146973,-55.0468769073486,-70.125005086263,2.08763124465058,2.20533166477699,2.03631990100366,-101.343757629395,-66.9524688720703,81.7500038146972,"Inhibitory",25.1417531741464
"24",0.0154623126732958,71.5476923076923,0.141274452748486,1.23948,5.74135333333333,1.025428,-48.5312538146973,-46.1770833333333,-51.8750022888184,169.609664,0.05996,1.23638,5.73885333333333,1.02346,32,38.9791666666667,36.8625022888184,123.906247317791,0.0693726539611816,1.605676,-78.3750045776367,100,117.70832824707,1080,1.23594,5.73842666666667,1.023104,-38.21875,-35.6354166666667,-45.3062515258789,1.27496,5.78220666666667,1.605676,-59.2500038146973,-55.6458333333333,-78.3750045776367,3.82407298377769,3.99762224157484,3.83065047133696,-92.0625,-77.8588638305664,88.7375045776368,"Excitatory",13.9766911796327
"26",0.0238049459206248,64.0257142857143,0.192937236984491,1.15694,4.25414,1.024895,-47.84375,-49.3437525431315,-50.8593769073486,250.077936,0.05254,1.15528,4.25242666666667,1.023525,45.3437538146973,44.7812512715658,45.3359394073486,133.437380194664,0.0483482480049133,1.53851,-81.1953125,110,80.7916666666667,0,1.15486,4.25197333333333,1.023155,-37.40625,-36.4270846048991,-47.9765644073486,1.18186,4.29098,1.53851,-52.4375038146973,-53.7812525431315,-81.1953125,3.56934188396268,3.42686631551087,4.01802602132239,-96.5,-80.5925750732422,96.1953163146972,"Excitatory",15.6187246195725
"30",0.134182159010335,28.2175,0.0338008415147265,1.149425,2.77798,1.024485,-59.3750038146973,-56.8125,-60.5750015258789,278.821728,0.0246150000000001,1.14831,2.776795,1.023344,27.3750019073486,28.6875012715658,27.8812507629395,343.125075101852,0.0152803426608443,1.740821,-70.7875045776367,40,43.9166666666667,410,1.14791,2.776385,1.022985,-46.2187538146973,-43.3229166666667,-47.9,1.14951,2.77804333333333,1.740821,-59.5312538146973,-56.9270858764648,-70.7875045776367,2.01047351750228,2.06237763879744,2.03684305990347,-101.093757629395,-70.1568450927734,88.4562522888184,"Inhibitory",35.4390006201825
"31",0.0423226332033429,83.7481818181818,0.190044256197082,1.20621,5.43078166666667,1.02513166666667,-44.28125,-42.7500038146973,-50.9895846048991,243.125056,0.054805,1.2022,5.42896666666667,1.02339666666667,18.78125,32.5104179382324,21.369792620341,187.343835830688,0.0894831418991089,1.53387083333333,-79.2552121480306,90,110.208333333333,758.333384195964,1.201635,5.42846833333333,1.0229425,-36.46875,-34.0520833333333,-41.8593775431315,1.25133,5.46941166666667,1.53387083333333,-55.7812538146973,-53.2395871480306,-79.2552121480306,2.67899593469152,2.75943401092876,2.67732104720954,-96.5312576293945,-78.4394836425781,72.3593772252401,"Excitatory",11.9405577325966
"32",0.0311050607804699,62.4966666666667,0.285904390113368,1.269505,2.4180525,1.02511,-52.09375,-51.4375038146973,-54.0437530517578,338.62912,0.0418050000000001,1.267385,2.415935,1.023375,39.6875038146973,42.390625,38.1875022888184,339.620679616928,0.026388593018055,1.719038,-74.9750045776367,30.0000019073486,34.8749990463257,450,1.2669,2.4154475,1.02296,-42.8125038146973,-42.1718769073486,-48.4062507629395,1.3053,2.44975,1.719038,-57.5,-55.9687519073486,-74.9750045776367,3.70159492503179,3.87975891274582,3.67776544233017,-101.906257629395,-72.0817794799805,92.2312553405762,"Excitatory",16.0008533788469
"34",0.410374374792146,24.8866666666666,0.0531630740393627,1.19904,11.0209266666667,1.02443333333333,-54.5937538146973,-50.6354179382324,-56.7500038146973,302.033856,0.0222200000000001,1.19812,11.0196266666667,1.02348,32.84375,18.979167620341,35.3541692097982,287.343800067902,0.155002474784851,1.93082666666667,-70.156255086263,40,250,300,1.19772,11.0190333333333,1.0231,-40.0000038146973,-38.71875,-47.4583333333333,1.74374,11.0210866666667,1.93082666666667,-57.1875,-50.7916679382324,-70.156255086263,1.78395503434556,1.58115340119576,1.86110792567326,-100.375007629395,-69.8161087036133,92.1041730244955,"Inhibitory",40.1821591213502
