"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"96",137.701248,85.9374776482582,0.108218982815742,-78.21875,-70.4233016967773,"Rbp4-Cre_KL100",93.2656294504802,0.00837115840464048,138.005,0.167996124448892,0.0531900000000001,7.24611427122206,1.107815,-50.34375,1.10579,37.7812538146973,130,1.10539,-42.03125,1.139105,-58.21875,3.5580965198161
"97",197.458272,148.43761920929,0.0588746517896652,-95.5000076293945,-78.72412109375,"Rorb-IRES2-Cre",89.791670481364,0.0201171852254824,65.7785714285714,0.189066190313626,0.0560200000000002,15.2025192746227,1.55956,-52.6562538146973,1.55656,37.0625038146973,59.9999961853027,1.55598,-41.0312538146973,1.62666,-62.375,3.68525685395123
"98",188.39744,248.125046491623,0.178474470973015,-99.8437576293945,-72.474250793457,"Rorb-IRES2-Cre",91.1937538146973,0.595758516540288,293.97,0.203861264415628,0.0281200000000001,3.40170765724394,1.0839,-46.6875038146973,1.08137,37.25,90,1.080745,-37,1.093475,-48.4687538146973,2.75426103202374
"99",272.356064,195.937529206276,0.0292322263121605,-100.8125,-78.8551330566406,"Scnn1a-Tg3-Cre",94.2604173024496,0.0187310267331961,49.4557894736842,0.245974814527192,0.03755,20.2200796032608,1.419255,-54.3125,1.417325,39.625,50,1.41683,-41.5000038146973,1.460715,-61.1875038146973,3.34823501508598
"100",191.749056,134.843826293945,0.0294129494577646,-88.5312576293945,-72.8857345581055,"Ndnf-IRES2-dgCre",84.543754196167,0.00843448985920636,36.0992592592593,0.480000012676526,0.0142800000000001,27.7013994336602,1.04764,-47.4375038146973,1.04602,25,190,1.04564,-31.5937519073486,1.04916,-48.0625038146973,2.78068767410302
"101",148.17216,154.218822717667,0.174613907933235,-83.53125,-66.199348449707,"Rbp4-Cre_KL100",87.3500061035156,0.186436397421307,133.743333333333,0.118261920504281,0.0415800000000002,7.47700819978568,1.116105,-42.0937538146973,1.11444,37.8125,70,1.114035,-40.1562538146973,1.116235,-42.28125,3.34548206295318
"106",107.266272,91.2500023841858,0.0420052446424961,-88.5,-78.792106628418,"Rbp4-Cre_KL100",83.3515663146972,0.015226471026161,85.318,0.15942931350317,0.0621700000000001,11.7208560913289,1.21119,-43.1250038146973,1.207475,35.6875038146973,209.999984741211,1.207025,-39.71875,1.252915,-52.5312538146973,3.92781554389551
"107",282.708064,215.000107884407,0.0680718347430229,-96.5,-72.8924713134766,"Ctgf-T2A-dgCre",94.5125038146973,0.0202565351683262,53.3344444444445,0.227808988764045,0.0383,18.7496093831378,1.28144,-49.6562538146973,1.27822,38.3125038146973,40,1.27778,-40.53125,1.31686,-57.9375038146973,4.59012616182779
"108",197.70776,183.750033378601,0.0408375635743141,-98.96875,-78.2534942626953,"Nr5a1-Cre",78.6484379768372,0.0506358445444906,94.6985,0.194509345794393,0.03979,10.5598293531577,1.11824,-46.46875,1.115335,35.4375038146973,70,1.11488,-36.7187538146973,1.14744,-56.8125038146973,3.7967368984653
"111",285.755872,267.968744039536,0.16237710416317,-103.59375,-73.1547622680664,"Scnn1a-Tg3-Cre",83.5729185740153,0.0297156416156401,49.5855263157895,0.205737704918033,0.0218850000000002,20.1671752686745,1.07379,-50.7500038146973,1.071875,26.84375,50,1.07138,-41.6562538146973,1.080365,-51.6875,2.62868207709795
"113",110.029904,99.0625768899918,0.0279425401240587,-86.1562576293945,-75.1433410644531,"Ctgf-T2A-dgCre",89.6041717529297,0.0278465493189408,151.652,0.10744520285006,0.08578,6.59404425922507,1.2812,-49.4062538146973,1.27704,40.03125,130,1.27648,-39.7500038146973,1.327,-57.59375,4.0615370028064
"116",184.10248,189.10713493824,0.0259323790669441,-96,-77.3416595458984,"Scnn1a-Tg3-Cre",85.9375022888184,0.0127354027721803,46.165,0.284980613221687,0.05064,21.6614318206433,1.22632,-48.5,1.22451,31.6875019073486,59.9999961853027,1.22404,-39.4375038146973,1.263295,-55.15625,2.93783926901415
"119",321.108416,217.187687754631,0.0523097552359104,-90.4687576293945,-70.7851715087891,"Cux2-CreERT2",99.1000061035156,0.0135167677268518,56.1635294117647,0.223913043478261,0.0402200000000001,17.805148830097,1.25394,-48.5625,1.25092,44.125,50,1.25048,-33.6875038146973,1.27852,-56.46875,3.80478953174667
