"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"88",160.389952,186.875000596,0.0202918145806,-95.6875,-75.2422332764,87.9140644073,"Excitatory",3.46798,-48.65625,3.46545,37.53125,61.125,3.46498,-33.6875038147,3.49128,-55,3.03067999475
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,74.0104211171,"Inhibitory",15.75947,-50.0729204814,15.7576,3.79166698456,368.416666667,15.7571916667,-26.1354179382,15.7609983333,-51.270837148,1.12830995678
"99",272.356064,195.937529206,0.0292322263122,-100.8125,-78.8551330566,94.2604173024,"Excitatory",2.98699,-49.0937512716,2.98497166667,45.3229179382,49.125,2.98453833333,-36.3854179382,3.02461666667,-52.4062512716,3.78829663431
"105",227.981824,312.187582254,0.0285992901772,-94.5937576294,-61.9263076782,86.8359394073,"Inhibitory",4.30658666667,-41.6041692098,4.30418,32.90625,82.0416666667,4.30344666667,-30.2291679382,4.33254666667,-49.7916679382,2.26663728378
"111",285.755872,267.96874404,0.162377104163,-103.59375,-73.1547622681,83.572918574,"Excitatory",2.4759375,-47.203125,2.4735425,34.03125,36.3125,2.473055,-34.921875,2.508675,-54.5625,2.86694433648
"113",110.029904,99.06257689,0.0279425401241,-86.1562576294,-75.1433410645,89.6041717529,"Excitatory",7.76234666667,-51.1250025431,7.75888666667,49.6666679382,168.458333333,7.75840666667,-40.5104179382,7.78842,-56.427087148,4.61450186447
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,84.6666730245,"Excitatory",3.158835,-47.90625,3.1567025,36.125,53.3749980927,3.1563,-36.3125019073,3.1806825,-54.4687538147,3.09564000605
"145",262.940592,197.968780994,0.121957555413,-100.90625,-72.2550735474,65.7291679382,"Inhibitory",8.84465333333,-54.1354166667,8.843625,0.999999990066,195.583333333,8.84322166667,-28.3750012716,8.844685,-54.1875,0.970260422398
"155",151.449984,156.874880195,0.0137283848599,-83.4687576294,-67.0353393555,89.4791692098,"Excitatory",4.39686666667,-48.0104179382,4.39286,39.552087148,84.2916666667,4.39240666667,-43.4270858765,4.42072,-54.8541679382,5.67460593842
"159",171.60632,190.937504172,0.0479762889445,-90.2812576294,-71.7251586914,102.92187945,"Excitatory",2.91856,-49.1875,2.916345,48.927087148,47.4166666667,2.91589333333,-42.3020858765,2.964955,-54.5416704814,4.26943608218
"165",86.305232,72.1874982119,0.0210853274912,-83.7812576294,-76.1771469116,95.2437553406,"Inhibitory",14.490275,-52.3125038147,14.48495,28.3958346049,336.625,14.4845016667,-34.7916666667,14.4951933333,-54.6770858765,4.08968804304
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,98.6484413147,"Excitatory",4.52211333333,-43.2291692098,4.519095,46.2500012716,87.4583333333,4.51859666667,-33.3541679382,4.56376833333,-49.6354192098,4.22235725517
