"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"87",201.156832,208.906248211861,0.0733392834663391,-94.96875,-72.9885177612305,"Cux2-CreERT2",92.6979204813639,3.36348,-47.0208346048991,3.35996666666667,40.3958346048991,58.5,3.35942833333333,-37.4166679382324,3.40371666666667,-55.4583371480306,3.98281341552291
"89",116.282496,109.218865633011,0.0487773641943932,-82.3437576293945,-69.3731918334961,"Cux2-CreERT2",97.1354192097982,5.29671833333333,-49.9062525431315,5.29489833333333,44.1666692097982,106.91667175293,5.29447,-37.1145833333333,5.33585166666667,-56.6354192097982,3.33744899629128
"93",182.719216,233.281329274178,0.118305526673794,-94.2812576293945,-73.0314865112305,"Rorb-IRES2-Cre",94.2437545776368,3.22784666666667,-47.2291692097982,3.22557333333333,47.7812525431315,55.125,3.22509666666667,-37.7916679382324,3.27282166666667,-56.1458371480306,3.51354013501952
"95",124.2884,121.562540531158,0.192191585898399,-84.34375,-70.8589324951172,"Rbp4-Cre_KL100",100.725003051758,5.80178,-47.2916704813639,5.80018666666667,50.1562538146973,119.499992370605,5.7998,-39.2916679382324,5.84510333333333,-54.1250025431315,3.84139547676286
"96",137.701248,85.9374776482582,0.108218982815742,-78.21875,-70.4233016967773,"Rbp4-Cre_KL100",93.2656294504802,4.39875,-51.3593769073486,4.3970425,41.875,84.375,4.396665,-42.7187519073486,4.435555,-58.3906288146973,3.22682225612339
"97",197.458272,148.43761920929,0.0588746517896652,-95.5000076293945,-78.72412109375,"Rorb-IRES2-Cre",89.791670481364,4.35376,-51.8437525431315,4.35069333333333,35.3750012715658,83.25,4.35011333333333,-40.2083333333333,4.39866666666667,-56.9479192097982,3.60735600394698
"98",188.39744,248.125046491623,0.178474470973015,-99.8437576293945,-72.474250793457,"Rorb-IRES2-Cre",91.1937538146973,4.54376666666667,-45.78125,4.54139166666667,37.8854192097982,88.0416666666667,4.540735,-36.5520846048991,4.57209666666667,-50.5104192097982,2.61333439963091
"99",272.356064,195.937529206276,0.0292322263121605,-100.8125,-78.8551330566406,"Scnn1a-Tg3-Cre",94.2604173024496,2.98699,-49.0937512715658,2.98497166666667,45.3229179382324,49.125,2.98453833333333,-36.3854179382324,3.02461666666667,-52.4062512715658,3.78829663431114
"100",191.749056,134.843826293945,0.0294129494577646,-88.5312576293945,-72.8857345581055,"Ndnf-IRES2-dgCre",84.543754196167,7.64292666666667,-46.3958358764648,7.6399,23.3125006357829,165.5,7.63940666666667,-33.03125,7.64702666666667,-48.1041679382324,3.08943045861507
"101",148.17216,154.218822717667,0.174613907933235,-83.53125,-66.199348449707,"Rbp4-Cre_KL100",87.3500061035156,3.78468333333333,-43.5729192097982,3.78313,41.9270858764648,69.0833333333333,3.78272,-41.0000025431315,3.78475666666667,-43.7083346048991,3.34627397566892
"106",107.266272,91.2500023841858,0.0420052446424961,-88.5,-78.792106628418,"Rbp4-Cre_KL100",83.3515663146972,8.673895,-43.6770858764648,8.66971166666667,41.4166704813639,191.25,8.66929,-38.7604192097982,8.717475,-52.4687538146973,4.18496553773487
"107",282.708064,215.000107884407,0.0680718347430229,-96.5,-72.8924713134766,"Ctgf-T2A-dgCre",94.5125038146973,2.82328666666667,-51.3020871480306,2.82024,40.3645858764648,45,2.8198,-41.8645871480306,2.85941333333333,-58.4270846048991,4.41792288742833
"108",197.70776,183.750033378601,0.0408375635743141,-98.96875,-78.2534942626953,"Nr5a1-Cre",78.6484379768372,3.73406833333333,-47.5625025431315,3.73038833333333,37.5208346048991,67.7916666666667,3.72990666666667,-36.1979192097982,3.76155333333333,-56.4687512715658,3.63734001792571
"111",285.755872,267.968744039536,0.16237710416317,-103.59375,-73.1547622680664,"Scnn1a-Tg3-Cre",83.5729185740153,2.4759375,-47.203125,2.4735425,34.03125,36.3125,2.473055,-34.921875,2.508675,-54.5625,2.86694433648394
"113",110.029904,99.0625768899918,0.0279425401240587,-86.1562576293945,-75.1433410644531,"Ctgf-T2A-dgCre",89.6041717529297,7.76234666666667,-51.1250025431315,7.75888666666667,49.6666679382324,168.458333333333,7.75840666666667,-40.5104179382324,7.78842,-56.4270871480306,4.61450186447117
"116",184.10248,189.10713493824,0.0259323790669441,-96,-77.3416595458984,"Scnn1a-Tg3-Cre",85.9375022888184,3.34422833333333,-47.8854179382324,3.34222833333333,30.3229185740153,58.0416666666667,3.34175666666667,-36.53125,3.375925,-53.4479166666667,2.7680449576603
"119",321.108416,217.187687754631,0.0523097552359104,-90.4687576293945,-70.7851715087891,"Cux2-CreERT2",99.1000061035156,2.5405,-50.2500025431315,2.53783333333333,45.2916692097982,37.9583333333333,2.53738666666667,-35.8437525431315,2.56206666666667,-58.1562512715658,3.96411148360654
"123",202.347344,212.031289935112,0.0468316674232483,-97.84375,-73.9191589355469,"Cux2-CreERT2",84.6666730244955,3.158835,-47.90625,3.1567025,36.125,53.3749980926514,3.1563,-36.3125019073486,3.1806825,-54.4687538146973,3.0956400060534
"124",104.156048,162.812381982803,0.116804018616676,-94.5937576293945,-73.9795761108398,"Rorb-IRES2-Cre",94.2187545776367,5.50904166666667,-47.4166679382324,5.507565,44.8541692097982,112.166669209798,5.50717166666667,-35.9166692097982,5.52648333333333,-53.8750012715658,2.78568939138049
"125",153.991008,250.468790531158,0.154492259025574,-89.28125,-66.1167221069336,"Scnn1a-Tg3-Cre",103.156253814697,4.269355,-43.0312538146973,4.26749833333333,46.5937512715658,81.1666666666667,4.26698166666667,-28.7500019073486,4.30083666666667,-47.1875038146973,2.73549533553113
"126",147.576528,160.000115633011,0.0200274847447872,-91.96875,-77.0050354003906,"Cux2-CreERT2",82.4500045776367,4.83492666666667,-48.6666692097982,4.83095833333333,33.3020846048991,95.2499974568685,4.830475,-36.1979179382324,4.86961,-57.2916692097982,4.01972245422219
"129",146.92272,103.906251490116,0.0919351428747177,-84.6875,-72.3729629516602,"Nr5a1-Cre",78.8437523841858,11.07332,-52.2916666666667,11.0720533333333,7.89583412806193,251.291656494141,11.0716,-31.0833333333333,11.0734933333333,-52.4791679382324,1.37480924155068
"131",141.152544,136.718794703484,0.0877228975296021,-75.9687576293945,-61.491153717041,"Rorb-IRES2-Cre",99.7187561035157,3.62646166666667,-47.8541692097982,3.624465,46.6875025431315,65.1250012715658,3.62405333333333,-37.5104204813639,3.660065,-52.9166679382324,3.59375301748887
"136",100.70636,147.499918937683,0.137995809316635,-90.9062576293945,-74.1732482910156,"Ntsr1-Cre_GN220",99.3062545776367,5.10423333333333,-53.3854192097982,5.10269,47.6458346048991,102.041664123535,5.10220333333333,-45.4375025431315,5.139565,-56.4791704813639,2.69949189775121
