"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"159",171.60632,190.937504172,0.0479762889445,-90.2812576294,-71.7251586914,102.92187945,"Excitatory",0.0489789939637,74.37875,0.242635658915,0.047025,13.4447002672,1.17219,-51.6562538147,1.17017,46.5,50,1.16972,-43.40625,1.213115,-56.0625,3.89097900341
"165",86.305232,72.1874982119,0.0210853274912,-83.7812576294,-76.1771469116,95.2437553406,"Inhibitory",0.0168134899208,117.521428571,0.175363992064,0.06977,8.50908648879,1.276875,-51.53125,1.272995,23.125,310,1.272535,-34.71875,1.28338,-54.9687538147,3.38815811624
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,98.6484413147,"Excitatory",0.0273849560216,71.7215384615,0.172544649826,0.06211,13.9428130162,1.158605,-41.5937538147,1.15489,35.71875,90,1.15435,-32.46875,1.19447,-47.9375,4.15000956924
"171",191.084912,113.749966025,0.05627226457,-100.71875,-79.1717681885,74.9062523842,"Inhibitory",0.00298085795325,18.0475925926,0.739814791548,0.015155,55.4090521974,1.050525,-58.2812538147,1.04958,11.0000009537,190,1.049255,-35.3750038147,1.050585,-58.4375038147,1.4693357914
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,94.7125053406,"Excitatory",0.194776278318,143.756666667,0.0336691217577,0.073905,6.95619913279,1.28197,-46.1250038147,1.27858,39.46875,150,1.27816,-38.4375,1.32517,-55.7187538147,3.81240136904
"183",86.913328,63.2810592651,0.136888489127,-92.4062576294,-75.2600326538,79.4625041962,"Inhibitory",0.00117062146581,21.5631818182,0.602008955302,0.03281,46.3753451801,1.19158,-55.5312538147,1.191,11.0000009537,330,1.190745,-32.0312538147,1.191615,-55.6875038147,1.12619823915
"187",332.401536,214.687585831,0.110406376421,-99.2187576294,-75.1252746582,98.9739608765,"Inhibitory",0.00857216662437,33.8940740741,0.319642857143,0.029625,29.5036824967,1.135145,-49.4687538147,1.133745,37.90625,50,1.133375,-37.2812538147,1.135235,-49.5937538147,2.8094413649
"191",99.909832,101.562425494,0.0296605732292,-85.90625,-74.6041259766,92.5312545776,"Excitatory",0.307380597938,89.7,0.0691854233655,0.0465,11.1482720178,1.14458,-46.90625,1.14062,35.5625,270,1.14,-38.03125,1.15164,-48.96875,4.14310603148
"193",147.077856,151.093795896,0.0657483264804,-90.125,-73.7776107788,84.6437530518,"Excitatory",0.0398470683757,100.118125,0.150351705904,0.074265,9.98820143705,1.145525,-41.46875,1.143455,36.625,70,1.14314,-32.5937538147,1.19225,-53.0625038147,3.34308573334
"194",169.12584,151.56288445,0.112007252872,-97.6875076294,-78.5200042725,71.4375030518,"Excitatory",0.0320279014471,45.110952381,0.209302336128,0.017515,22.1675656846,1.063195,-47.5625038147,1.06079,20.3125019073,180,1.06016,-37.7812538147,1.063195,-47.5625038147,2.52499615406
