"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"29",162.225472,160.156279802,0.16462264955,-93.9687576294,-76.3359832764,89.7250038147,"Excitatory",0.026013695361,84.2527272727,0.174621213842,0.04248,11.8690519864,1.2,-46.90625,1.1975,33.3750038147,170,1.19684,-33.65625,1.22254,-48.03125,2.45921838308
"30",278.821728,343.125075102,0.0152803426608,-101.093757629,-70.1568450928,88.4562522888,"Inhibitory",0.13418215901,28.2175,0.0338008415147,0.024615,35.4390006202,1.149425,-59.3750038147,1.14831,27.3750019073,40,1.14791,-46.2187538147,1.14951,-59.5312538147,2.0104735175
"31",243.125056,187.343835831,0.0894831418991,-96.5312576294,-78.4394836426,72.3593772252,"Excitatory",0.0423226332033,83.7481818182,0.190044256197,0.054805,11.9405577326,1.20621,-44.28125,1.2022,18.78125,90,1.201635,-36.46875,1.25133,-55.7812538147,2.67899593469
"32",338.62912,339.620679617,0.0263885930181,-101.906257629,-72.08177948,92.2312553406,"Excitatory",0.0311050607805,62.4966666667,0.285904390113,0.041805,16.0008533788,1.269505,-52.09375,1.267385,39.6875038147,30.0000019073,1.2669,-42.8125038147,1.3053,-57.5,3.70159492503
"34",302.033856,287.343800068,0.155002474785,-100.375007629,-69.8161087036,92.1041730245,"Inhibitory",0.410374374792,24.8866666667,0.0531630740394,0.02222,40.1821591214,1.19904,-54.5937538147,1.19812,32.84375,40,1.19772,-40.0000038147,1.74374,-57.1875,1.78395503435
"39",190.132208,150.156363845,0.0869927704334,-83.9375,-66.0966186523,92.8854204814,"Excitatory",0.00915259214489,55.5352941176,0.278333333333,0.02666,18.0065671009,1.21902,-51.5000038147,1.2154,42.5625038147,50,1.21486,-46.0000038147,1.2419,-55.84375,4.04313819034
"41",271.40336,263.750106096,0.0334620662034,-94.21875,-66.1558990479,93.5416704814,"Inhibitory",0.0549845832295,26.0741666667,0.0354910737915,0.01764,38.3521365336,1.090215,-45.9062538147,1.089095,36.625,70,1.08876,-34.9062538147,1.097415,-46.59375,2.34738056593
"42",184.994368,184.843823314,0.137442618608,-94.5000076294,-76.536239624,91.3437530518,"Excitatory",0.0399574817659,103.737777778,0.135894039735,0.05102,9.6396898162,1.17924,-52.4687538147,1.17666,37.875,70,1.17622,-41.46875,1.22168,-63.3125,4.03911833869
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,85.4531288147,"Inhibitory",0.109690434427,75.0622727273,0.113037975546,0.007175,13.3222718107,1.09375,-61,1.09248,13.5625,20,1.091985,-51.2500038147,1.09393,-61.2187538147,1.80789499245
"47",146.467936,65.7813698053,0.0459909923375,-94.1562576294,-77.5109786987,90.7500026703,"Inhibitory",0.00311867826631,24.9319230769,0.484112149533,0.022895,40.1092204927,1.08037,-56,1.079485,24.6875,260,1.079175,-32.15625,1.080445,-56.15625,1.51533429777
"50",238.507488,136.406257749,0.0212017614394,-94.3750076294,-79.3803024292,83.8958384196,"Inhibitory",0.00680395272306,16.5130508475,0.834196332838,0.012335,60.5581614953,1.056225,-56.71875,1.055135,16.9687519073,140,1.05476,-36.5000038147,1.056485,-56.9375038147,1.51400652653
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,72.5000030518,"Excitatory",0.0868781786667,101.536111111,0.136552220174,0.05453,9.84871282795,1.275455,-44.96875,1.273605,30.8125019073,50,1.27313,-40.8125038147,1.443175,-56.3437538147,2.9693590104
"53",128.370248,96.2498858571,0.115608237684,-84.0312576294,-73.3089828491,90.2250045776,"Inhibitory",-0.045361179152,83.9513636364,0.276735237916,0.063285,11.9116588068,1.6868,-50.6875038147,1.68324,21.375,230,1.682775,-34.59375,1.690635,-52.71875,2.94851722502
