"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"18",0.0528032087226,92.848,0.184774066798,1.16854,2.25046666667,1.02484666667,-46.8125,-46.5937512716,-48.8541679382,504.248832,0.03838,1.16562,2.24792666667,1.02316,43.6875038147,45.9687512716,44.1354192098,402.764409781,0.154761508107,1.83182666667,-74.6458384196,50,30.7083326976,660,1.16512,2.24742,1.02274666667,-35.3125,-35.2812512716,-43.1041692098,1.20982,2.29513333333,1.83182666667,-55.6875038147,-55.958337148,-74.6458384196,3.43061702705,3.35407549738,3.38282987251,-104.968757629,-73.0341339111,"Chrna2-Cre_OE25",92.989587148,10.7702912287
"19",0.0140817883169,51.6847222222,0.329910714286,1.18923,3.00639833333,1.02418,-63.0625038147,-62.1562525431,-64.6718788147,203.879312,0.02328,1.188445,3.00560833333,1.02331875,36.5000038147,37.9583346049,38.164065361,264.687508345,0.0848891288042,1.25033375,-66.8203125,50,49.625,210,1.18812,3.00526,1.0230025,-42.0625038147,-43.2604192098,-44.9375019073,1.18926,3.00643333333,1.25033375,-63.1562538147,-62.2708346049,-66.8203125,1.74920958041,1.69277806228,1.83484713115,-94.8750076294,-65.863571167,"Sst-IRES-Cre",102.835944176,19.3480772848
"22",0.0872583040789,67.7532142857,0.216294642857,1.07639,3.117295,1.024358,-57.6875038147,-55.1458358765,-58.0375022888,277.678944,0.01694,1.075405,3.116345,1.023432,24.9375019073,24.6041679382,24.8812511444,238.28125,0.0131897740066,1.415886,-67.5812530518,50,52.4166666667,0,1.07507,3.11600333333,1.023123,-46.8437538147,-44.4791692098,-47.6687538147,1.07642,3.11739,1.415886,-57.75,-55.2916704814,-67.5812530518,2.0673130842,1.96157907973,2.03471580048,-92.0000076294,-66.556060791,"Sst-IRES-Cre",82.9187534332,14.7594473641
"23",0.0361738299882,39.7744736842,0.272144673314,1.08975,1.69307,1.02447166667,-56.0625,-54.8593769073,-57.6145858765,594.601088,0.023255,1.08839,1.691635,1.02325666667,24.1875019073,26.203125,24.1354179382,476.562440395,0.0150903426111,1.83023166667,-70.1250050863,30.0000019073,16.7500004768,380,1.08792,1.6911675,1.02285666667,-44.7187538147,-43.5625019073,-45.6354192098,1.089815,1.7019875,1.83023166667,-56.2500038147,-55.0468769073,-70.1250050863,2.08763124465,2.20533166478,2.036319901,-101.343757629,-66.9524688721,"Sst-IRES-Cre",81.7500038147,25.1417531741
"30",0.13418215901,28.2175,0.0338008415147,1.149425,2.77798,1.024485,-59.3750038147,-56.8125,-60.5750015259,278.821728,0.024615,1.14831,2.776795,1.023344,27.3750019073,28.6875012716,27.8812507629,343.125075102,0.0152803426608,1.740821,-70.7875045776,40,43.9166666667,410,1.14791,2.776385,1.022985,-46.2187538147,-43.3229166667,-47.9,1.14951,2.77804333333,1.740821,-59.5312538147,-56.9270858765,-70.7875045776,2.0104735175,2.0623776388,2.0368430599,-101.093757629,-70.1568450928,"Sst-IRES-Cre",88.4562522888,35.4390006202
"34",0.410374374792,24.8866666667,0.0531630740394,1.19904,11.0209266667,1.02443333333,-54.5937538147,-50.6354179382,-56.7500038147,302.033856,0.02222,1.19812,11.0196266667,1.02348,32.84375,18.9791676203,35.3541692098,287.343800068,0.155002474785,1.93082666667,-70.1562550863,40,250,300,1.19772,11.0190333333,1.0231,-40.0000038147,-38.71875,-47.4583333333,1.74374,11.0210866667,1.93082666667,-57.1875,-50.7916679382,-70.1562550863,1.78395503435,1.5811534012,1.86110792567,-100.375007629,-69.8161087036,"Vip-IRES-Cre",92.1041730245,40.1821591214
"38",0.0141153753538,34.3007142857,0.446486486486,1.089295,3.83761333333,1.02460125,-53.75,-53.1458346049,-58.773440361,246.92152,0.02504,1.0882,3.83644166667,1.02328875,12.8125,14.8333336512,10.8984382153,249.330356717,0.125099852681,1.33669875,-65.5078144073,70,70.375,440,1.0878,3.83602333333,1.022935,-39.625,-35.9375,-42.0859375,1.089365,3.83766666667,1.33669875,-53.84375,-53.2291666667,-65.5078144073,1.6605080463,1.55796621217,1.63105249517,-94.46875,-65.5227432251,"Sst-IRES-Cre",69.6718785763,29.1539118302
"41",0.0549845832295,26.0741666667,0.0354910737915,1.090215,3.39117666667,1.02427083333,-45.9062538147,-42.8750025431,-52.7500019073,271.40336,0.01764,1.089095,3.38986333333,1.02324666667,36.625,32.7291692098,40.791668574,263.750106096,0.0334620662034,1.61669583333,-67.2447954814,70,59.25,350,1.08876,3.38945833333,1.02297,-34.9062538147,-32.4479179382,-41.6979192098,1.097415,3.406125,1.61669583333,-46.59375,-46.0000025431,-67.2447954814,2.34738056593,2.06929940294,2.38960234474,-94.21875,-66.1558990479,"Htr3a-Cre_NO152",93.5416704814,38.3521365336
"47",0.00311867826631,24.9319230769,0.484112149533,1.08037,10.923485,1.024238,-56,-54.8541692098,-58.4875007629,146.467936,0.022895,1.079485,10.9223883333,1.023351,24.6875,20.2187519073,32.2625019073,65.7813698053,0.0459909923375,1.542911,-77.6187530518,260,247.541641235,0,1.079175,10.9220366667,1.023046,-32.15625,-33.21875,-41.0125007629,1.080445,10.9281616667,1.542911,-56.15625,-56.9166692098,-77.6187530518,1.51533429777,1.6225415344,1.68827146941,-94.1562576294,-77.5109786987,"Pvalb-IRES-Cre",90.7500026703,40.1092204927
"50",0.00680395272306,16.5130508475,0.834196332838,1.056225,8.50692166667,1.02425,-56.71875,-51.5416704814,-58.8697954814,238.507488,0.012335,1.055135,8.50547833333,1.02334666667,16.9687519073,7.46875055631,25.0260429382,136.406257749,0.0212017614394,1.57356083333,-79.7708358765,140,187.125,520,1.05476,8.50501166667,1.02303833333,-36.5000038147,-27.1458346049,-45.8177102407,1.056485,8.50796333333,1.57356083333,-56.9375038147,-52.239587148,-79.7708358765,1.51400652653,1.12385979067,1.65729675535,-94.3750076294,-79.3803024292,"Pvalb-IRES-Cre",83.8958384196,60.5581614953
"64",0.0319007383669,68.1142857143,0.276785714286,1.08282,2.88732,1.0252725,-48.4375038147,-44.2083346049,-50.484377861,295.471392,0.02318,1.07984,2.88524,1.0234575,27.6562519073,31.6875006358,30.7500014305,381.116092205,0.0323237255216,1.2777825,-62.7226605415,50,46.6666666667,410,1.07928,2.88463333333,1.02301,-35.1250038147,-30.9895846049,-40.6132845879,1.09544,2.90584666667,1.2777825,-52.9375038147,-52.5104192098,-62.7226605415,2.41013214428,2.21522804361,2.51703824858,-97.2500076294,-61.2463378906,"Chrna2-Cre_OE25",81.2343792915,14.6812080537
"65",0.0120166229649,25.8751351351,0.475438599814,1.14718,1.598535,1.024488,-52.3125,-53.6979179382,-57.5687522888,457.05392,0.011025,1.14616,1.597305,1.023331,10.7812509537,14.614584287,14.7687509537,429.464250803,0.0329337976873,1.604589,-63.1812561035,10,14.4583330154,92,1.14577,1.596895,1.022967,-44.65625,-44.052087148,-45.8312522888,1.16536,1.61139,1.604589,-55.4062538147,-56.0104204814,-63.1812561035,1.8165165381,1.798190938,1.75450126147,-101.125,-61.4177131653,"Htr3a-Cre_NO152",72.3375032425,38.6471411561
"66",0.0313114024926,43.6734090909,0.442857142857,1.131345,2.02568833333,1.026495,-39.875,-49.7604204814,-50.4687519073,252.332384,0.02949,1.128695,2.02199833333,1.0236825,14.375,9.03125063578,2.84375,274.062603712,0.00390733359382,1.606105,-64.3125,50,25.0416666667,0,1.12805,2.021205,1.0231175,-37.09375,-46.2187525431,-39.5625,1.179765,2.055805,1.606105,-46.5,-52.3854179382,-64.3125,2.75354843312,3.28433034732,2.8410738781,-94.53125,-64.5871353149,"Htr3a-Cre_NO152",53.3125019073,22.8972278743
"73",0.00211193289692,8.44034188034,1.74097222222,1.03208,5.29267,1.023784,-65.78125,-65.09375,-64.2562530518,220.59136,0.00582,1.03152,5.29197,1.02324,14.6875009537,13.2656259537,21.3187507629,98.9955067635,0.0657196864486,1.177052,-76.2125061035,330,106.75,336,1.0312,5.29164,1.022984,-37.5937538147,-41.4687519073,-48.3437515259,1.03212,5.29272,1.177052,-65.9062576294,-65.1875019073,-76.2125061035,1.08527928622,1.28540712481,1.33184309756,-88.90625,-74.5770797729,"Pvalb-IRES-Cre",85.5750038147,118.478613091
