"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"471",5.3733333,-55.3437525431,3.6533333,33.7500038147,320,3.2733333,-45.5208358765,520.0133333,-71.8020833333,3.2072981183,89.0937563578,"Chat-IRES-Cre-neo"
"478",4.8533333,-54.1510429382,3.2966667,35.5833352407,370,2.91,-43.7812525431,25.7166667,-64.9843800863,2.8991824128,89.7343781789,"Nkx2-1-CreERT2"
"486",4.0416667,-61.708337148,3.245,20.1250006358,350,2.9533333,-42.1354179382,434.635,-70.0520858765,1.400042733,81.8333377838,"Sst-IRES-Cre"
"492",4.232,-59.4875015259,3.46,22.1750003815,780,3.136,-44.6062515259,420.972,-73.7500045776,1.4521160134,81.6625019074,"Nkx2-1-CreERT2"
"493",5.32,-51.7343781789,3.4333333,26.9270852407,370,2.9766667,-37.213543574,320.1133333,-62.6979211171,2.703663968,78.6614634196,"Chrna2-Cre_OE25"
"498",4.285,-60.2125030518,3.368,36.8187507629,600,3.022,-42.8687522888,634.33,-74.5375061035,1.8377684621,97.0312538147,"Sst-IRES-Cre"
"511",3.9366667,-64.3437525431,3.0266667,22.0312506358,469.999969482,2.74,-43.2916704814,606.9166667,-76.8333384196,1.6005724485,86.3750031789,"Sst-IRES-Cre"
"518",5.3228571,-54.8437532697,3.58,35.875,489.999969482,3.1657143,-43.0892868042,633.0314286,-68.102684021,2.8740254997,90.7187532697,"Vip-IRES-Cre"
"542",4.31,-63.5781269073,3.345,38.5078144073,660,3.015,-48.9375038147,644.205,-76.328130722,2.1102867839,102.085941315,"Sst-IRES-Cre"
"552",4.0933333,-63.1406256358,3.3041667,14.7656254768,633.333292643,2.9916667,-50.3489589691,360.1083333,-78.15625,1.3800512571,77.9062511126,"Pvalb-IRES-Cre"
"560",8.988,-65.3312530518,3.448,21.8000007629,989.999938965,3.096,-43.5562522888,330.528,-79.6812530518,2.3214358303,87.1312538147,"Chat-IRES-Cre-neo"
"573",4.51,-65.8671913147,3.415,39.1953144073,440,3.08,-47.421877861,404.395,-73.9375038147,2.4898534261,105.062505722,"Sst-IRES-Cre"
"610",3.586,-65.2437515259,2.889,16.9625007629,509.999969482,2.624,-47.0750030518,397.368,-76.7500030518,1.2837575142,82.2062522888,"Pvalb-IRES-Cre"
"623",7.445,-56.6406262716,3.4316667,29.567709287,440,3.0816667,-40.8906262716,244.1808333,-67.2500012716,2.5346700636,86.2083355586,"Htr3a-Cre_NO152"
"631",11.408,-66.9437561035,3.72,15.5562507629,1009.99993896,3.256,-42.9562507629,335.484,-80.9125045776,2.4873881798,82.5000068664,"Vip-IRES-Cre"
"642",4.005,-67.7343826294,3.29,34.5937519073,560,3.0075,-42.1250038147,695.065,-74.6406288147,1.5811119237,102.328134537,"Sst-IRES-Cre"
"644",4.631,-64.19375,3.521,31.0187519073,610,3.179,-48.0187522888,353.265,-74.2125045776,2.0667682609,95.2125019073,"Sst-IRES-Cre"
"654",3.8675,-61.8593775431,3.2133333,15.5781259537,540,2.9808333,-46.6458365122,330.0041667,-73.0885480245,1.4057880556,77.4375034968,"Pvalb-IRES-Cre"
"673",3.9875,-63.6093762716,3.275,24.7500009537,156.666656494,3.0108333,-44.6927096049,666.1066667,-75.4010454814,1.3366083477,88.3593772253,"Pvalb-IRES-Cre"
"676",4.3625,-59.328127861,3.4225,24.6406259537,450,3.12125,-44.2187519073,479.925,-68.1250038147,1.7984025878,83.9687538147,"Htr3a-Cre_NO152"
"685",3.878,-64.4062515259,3.307,24.2562511444,1030,3.062,-46.6937538147,189.065,-78.1125045776,1.2137963899,88.6625026703,"Pvalb-IRES-Cre"
"692",3.974,-61.8000030518,3.204,24.9875007629,680,2.945,-43.4312538147,551.29,-74.9250015259,1.5828489081,86.7875038147,"Pvalb-IRES-Cre"
"697",8.515,-65.0156243642,3.4433333,17.4479179382,949.999938965,3.0933333,-39.8125019073,342.0833333,-78.1979179382,1.9368023385,82.4635423024,"Htr3a-Cre_NO152"
"716",4.155,-62.1171894073,3.155,35.2812519073,280,2.765,-44.5000019073,4.245,-62.2421894073,1.7671298052,97.3984413146,"Sst-IRES-Cre"
"730",6.3166667,-58.8906262716,3.09,29.9322923024,725,2.8,-38.234375,596.46,-78.4479179382,2.2615161039,88.822918574,"Htr3a-Cre_NO152"
"733",3.435,-65.4937561035,2.82,28.8750007629,260,2.55,-41.1937538147,3.473,-65.6187545776,1.1906092108,94.3687568664,"Pvalb-IRES-Cre"
"744",11.385,-57.5546894073,10.63625,27.3437509537,0,10.34625,-41.734377861,342.01875,-69.171877861,1.6199030407,84.898440361,"Htr3a-Cre_NO152"
"754",3.428,-58.6062515259,2.788,28.9562515259,800,2.508,-42.8062522888,317.068,-72.5250015259,1.3953813312,87.5625030518,"Pvalb-IRES-Cre"
"765",5.5933333,-53.7447942098,3.4866667,31.0572926203,280,3.0466667,-46.6927115122,575.5433333,-74.7968788147,3.1312812843,84.8020868301,"Chat-IRES-Cre-neo"
"771",3.772,-63.5687538147,3.215,24.7375011444,720,2.969,-47.5437538147,376.849,-75.4562530518,1.211396504,88.3062549591,"Sst-IRES-Cre"
"785",5.0675,-54.3906288147,3.395,30.125002861,200,3.065,-45.6718769073,950.2075,-68.4843826294,3.146448231,84.5156316757,"Htr3a-Cre_NO152"
"788",3.90625,-71.015625,3.35625,22.7656254768,117.499992371,3.08375,-55.8671884537,357.395,-77.7890644073,1.1757962574,93.7812504768,"Pvalb-IRES-Cre"
"791",4.0641667,-58.6927108765,3.225,17.6197926203,349.999974569,2.9516667,-43.2031275431,266.0916667,-74.833337148,1.59107339,76.3125034968,"Pvalb-IRES-Cre"
"797",3.86125,-63.2187519073,3.29625,17.5312504768,115,3.025,-53.242190361,641.02375,-73.5703125,1.2510517287,80.7500023841,"Pvalb-IRES-Cre"
"810",4.096,-66.0250015259,3.329,14.7937505722,88,3.079,-45.40625,416.932,-72.1000030518,1.4297069586,80.8187520981,"Pvalb-IRES-Cre"
"818",4.122,-61.5625022888,3.348,42.5375015259,0,3.051,-44.9562515259,322.44,-70.9875045776,1.7491461187,104.100003815,"Sst-IRES-Cre"
"829",3.926,-61.1312538147,3.329,29.1500011444,0,3.069,-44.9312522888,464.515,-75.6812515259,1.3132411971,90.2812549591,"Pvalb-IRES-Cre"
"840",4.0025,-59.1406288147,3.475,27.0937519073,0,3.1975,-43.4375038147,71.1675,-76.9843826294,1.1946383215,86.234380722,"Pvalb-IRES-Cre"
"851",4.1933333,-62.9739602407,3.45,32.0260416667,0,3.1533333,-44.4843762716,127.9875,-77.3593775431,1.4896069397,95.0000019074,"Sst-IRES-Cre"
"871",4.7083333,-58.5312525431,3.4133333,30.4687512716,0,3.09,-49.0104179382,723.4483333,-73.34375,2.737122068,89.0000038147,"Htr3a-Cre_NO152"
"892",7.056,-59.5125022888,3.384,31.2312515259,660,3.048,-39.1687515259,165.696,-76.0437530518,2.7155627201,90.7437538147,"Ndnf-IRES2-dgCre"
"895",4.017,-59.3125030518,3.252,12.6937505722,580,3.014,-42.4812515259,397.969,-69.6062530518,1.3215368099,72.006253624,"Pvalb-IRES-Cre"
"898",3.88,-60.3000007629,3.222,17.4937503815,630,2.99,-45.925,169.003,-76.3125030518,1.3840669722,77.7937511444,"Pvalb-IRES-Cre"
"916",4.225,-65.35,3.392,41.1687515259,0,3.074,-49.6500015259,494.132,-74.2687530518,1.8086359928,106.518751526,"Sst-IRES-Cre"
"922",4.092,-60.1812515259,3.329,35.8,270,3.077,-43.83125,561.836,-72.0437515259,1.868384341,95.9812515259,"Htr3a-Cre_NO152"
"936",4.968,-54.0312530518,3.424,27.5875007629,550,3.084,-36.0187507629,499.22,-72.3437545776,2.5797591093,81.6187538147,"Nkx2-1-CreERT2"
"954",3.877,-62.1125030518,3.227,24.5812511444,312,2.994,-41.4812507629,612.955,-71.4125045776,1.3971173904,86.6937541962,"Pvalb-IRES-Cre"
