"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"248",-0.204913284,51.342,0.9805317777,0.00982,93.5937836766,0.0973421112,6.0174659318,-72.8668365479,19.4772311168,295.315,-64.84375,294.795,20.6875,320,294.53,-36.78125,295.35,-64.9375,1.0492669235,85.53125,"Gad2-IRES-Cre"
"259",0.0053025992,52.4047058824,0.3281249954,0.08436,82.6562866569,0.0443052985,4.76388273059,-76.6352844238,19.0822557471,812.88,-49.9375,809.96,26.9062519073,230,809.54,-36.6875,817.92,-52.0312538147,3.9792604023,76.8437519073,"Ndnf-IRES2-dgCre"
"296",-0.0165641499,51.1505263158,0.1843406593,0.01136,170.312494039,0.0800907835,11.1733582836,-73.2969207764,19.5501409668,304.8,-50.7500038147,302.74,16.78125,70,302.18,-39.3437538147,305.9,-51.0937538147,2.5551521951,67.5312538147,"Htr3a-Cre_NO152"
"349",0.1579015491,38.5333333333,0.0308988764,0.0118,193.437457085,0.0550305173,12.0755784004,-71.559135437,25.9515570934,36.58,-51.4687538147,35,33.6250038147,80,34.6,-42.3750038147,36.68,-51.53125,3.1612024479,85.0937576294,"Vip-IRES-Cre"
"352",0.0239337667,111.165,0.0859304091,0.08058,105.00010848,0.1081390157,19.396197513,-72.03099823,8.995637116,192.3,-49.0000038147,188.12,42.7812538147,130,187.66,-37.90625,229.62,-56,4.6902212158,91.7812576294,"Chrna2-Cre_OE25"
"356",0.0131235671,60.1221875,0.2699356861,0.02422,112.187504768,0.0678921714,6.83821743391,-70.7862167358,16.6327946733,63.365,-46.6250038147,61.35,28.9062519073,190,60.92,-39.6875038147,71.605,-50.8125,3.0218314261,75.531255722,"Htr3a-Cre_NO152"
"357",1,20.16,0.6658,0.01342,283.437490463,0.0736826658,25.9780140442,-62.6981468201,49.6031746032,42.4,-60.8750038147,41.6,26.7812519073,50,41.26,-38.28125,42.52,-60.9687538147,1.4801811082,87.656255722,"Ndnf-IRES2-dgCre"
"361",0.04197886,68.1230769231,0.2663265306,0.05456,184.218749404,0.0322502516,24.5061665571,-74.6732559204,14.6793134598,188.66,-53.7812538147,187.18,36.1562538147,70,186.76,-40.21875,188.9,-54.0625038147,2.8135972084,89.9375076294,"Htr3a-Cre_NO152"
"363",0.0442867069,92.924,0.2995321019,0.0473,216.718822718,0.0732740611,24.3527628332,-71.9751281738,10.7614825018,121.52,-61.5937538147,120.06,42.5,110,119.56,-43.8125038147,121.7,-61.8437538147,2.4281945647,104.093753815,"Chrna2-Cre_OE25"
"403",0.0017407936,13.7625,0.6646874812,0.035345,95.9821417928,0.0352624357,11.5881878613,-75.1253509521,72.6612170754,138.13,-58.6562538147,137.175,8.75,209.999984741,136.82,-33.34375,138.345,-58.9375,1.1604599878,67.4062538147,"Pvalb-IRES-Cre"
"428",-0.0298406635,11.9627586207,1.4351851852,0.0067,158.906280994,0.0123020681,9.27556419046,-68.9107208252,83.5927591375,9.66,-67.1875,8.9,14.3125009537,150,8.56,-50.15625,9.74,-67.3750076294,1.3203843998,81.5000009537,"Pvalb-IRES-Cre"
"443",0.0017615895,10.33,1.0059499419,0.007635,148.749992251,0.0565289408,10.5300635351,-70.4658660889,96.8054211036,21.675,-64.40625,20.865,26.5,110,20.505,-42.125,21.765,-64.5000076294,1.3789210568,90.90625,"Pvalb-IRES-Cre"
"466",1,7.42,0.0178977273,0.01816,180.823802948,0.3747349977,11.8917002384,-74.2144546509,134.770889488,46.34,-55.8750038147,45.58,27.2500019073,90,45.28,-38.6562538147,46.4,-55.9687538147,2.0524478579,83.125005722,"Htr3a-Cre_NO152"
"469",0.0113342969,25.5419736842,0.4910447761,0.020925,230.624958873,0.2173592597,16.5674139226,-72.4381256104,39.1512422792,64.11,-55.5000038147,63.3,35,70,62.94,-35.03125,64.13,-55.59375,1.6158982892,90.5000038147,"Sst-IRES-Cre"
"471",1,503.8,0.0234144549,0.00862,222.343817353,0.0606219023,14.5050398577,-71.31275177,1.98491464867,21.02,-51.3437538147,19.44,32.6562538147,130,19.02,-37.875,21.24,-51.4687538147,3.0499440005,84.0000076294,"Chat-IRES-Cre-neo"
"478",-0.0214219493,56.68875,0.2287090559,0.07998,207.656249404,0.006749962,13.7374103783,-64.1587371826,17.6401843399,807.08,-51.6250038147,803.18,31.0625,90,802.68,-34.9687538147,813.62,-54.875,3.6049763686,82.6875038147,"Nkx2-1-CreERT2"
"486",0.0019681329,12.229047619,0.3312238551,0.008675,291.406184435,0.0525948405,19.6572018417,-68.7102890015,81.7725166469,14.18,-57.34375,13.27,7.6875,120.000007629,12.945,-36.9375,14.22,-57.4687538147,1.3850149928,65.03125,"Sst-IRES-Cre"
"492",0.0015293281,15.985,0.7942425044,0.03448,84.6873819828,0.0045601833,8.39470754288,-72.5855331421,62.5586487332,218.58,-54.6562538147,217.68,13.9375,330,217.3,-32.0312538147,218.62,-54.7500038147,1.2821490672,68.5937538147,"Nkx2-1-CreERT2"
"493",0.0687944492,121.9,0.2524647887,0.02302,320.468693972,0.0631639063,29.3872915644,-61.775352478,8.20344544709,83.46,-45.0312538147,80.62,25.25,50,80.02,-32.9687538147,104.86,-49.7500038147,2.6689114269,70.2812538147,"Chrna2-Cre_OE25"
"498",0.3214729646,32.18,0.08039773,0.02869,197.343677282,0.0626886636,19.0116926295,-74.2608337402,31.0752019888,71.49,-57.7812538147,70.47,37,130,70.07,-40.4062538147,71.615,-57.90625,1.9689104141,94.7812538147,"Sst-IRES-Cre"
"511",0.1071103008,10.97,0.9769041818,0.0081,135.156214237,0.0549155772,7.39733520576,-76.0302276611,91.1577028259,16.345,-64.03125,15.485,19.1250019073,170,15.165,-39.65625,16.395,-64.0625076294,1.4716980682,83.1562519073,"Sst-IRES-Cre"
"518",0.559148265,101.44,0.0493168697,0.01586,162.343710661,0.0556559265,22.1338128796,-67.3401947021,9.85804416404,45.68,-45,44,29.8125019073,150,43.5,-33.28125,45.8,-45.0625,2.638843145,74.8125019073,"Vip-IRES-Cre"
"542",1,15.8,0.0241071428,0.01918,128.124922514,0.0273503903,11.2996947999,-75.439125061,63.2911392405,50.56,-62.4375038147,49.58,36.0937538147,210,49.22,-46.1875,50.6,-62.5625038147,1.9605306038,98.5312576294,"Sst-IRES-Cre"
"552",1,1000,0.0545454545,0.007595,67.5000026822,0.021108618,6.52352915938,-76.8938217163,1,8.16,-62.4687538147,7.455,13.1875009537,630,7.135,-45.90625,8.2,-62.59375,1.2851960602,75.6562547684,"Pvalb-IRES-Cre"
"560",-0.0496944984,70.9369230769,0.2557799198,0.07454,80.6251466274,0.018194763,7.04623134374,-79.0847549438,14.0970309484,630.2,-46.8750038147,627.76,20.90625,370,627.28,-40.2500038147,635.72,-49.78125,3.1632116489,67.7812538147,"Chat-IRES-Cre-neo"
"573",0.0212711488,50.1411111111,0.4540662651,0.01926,234.218791127,0.0632673725,18.5129031452,-73.0428314209,19.943714406,67.68,-64.7812576294,66.52,38.3125038147,90,66.16,-45.53125,67.68,-64.7812576294,2.4154843157,103.093761444,"Sst-IRES-Cre"
"610",0.0034258705,16.3288333333,0.9160714282,0.01156,128.906175494,0.0333370417,5.65473791679,-75.9636688232,61.2413624163,24.145,-64.65625,23.39,14,170,23.095,-41.8125,24.225,-64.84375,1.2678411868,78.65625,"Pvalb-IRES-Cre"
"623",0.0108590646,52.0844444444,0.2365839369,0.016285,152.812540531,0.0303231068,8.73545270738,-66.510597229,19.1995904088,341.505,-50,338.025,16.34375,100,337.475,-34.8125038147,348.01,-53.5,2.443984163,66.34375,"Htr3a-Cre_NO152"
"631",-0.0059934386,90.968,0.1908918968,0.08572,90.9376144409,0.0073339492,6.53207598427,-80.3424911499,10.992876616,691.56,-49.7500038147,685.92,13.65625,249.999984741,685.28,-39.09375,699.94,-53.6250038147,3.5159843346,63.4062538147,"Vip-IRES-Cre"
"642",0.00774559,30.8896774194,0.3990551912,0.020865,137.031286955,0.1278235763,9.18893679431,-72.8742828369,32.3732742956,48.695,-63.71875,47.96,23.5000019073,160,47.64,-37,48.725,-63.84375,1.4157886907,87.2187519073,"Sst-IRES-Cre"
"644",0.0087990362,45.4195238095,0.373477421,0.04263,212.499886751,0.2742293477,24.9753227551,-73.6112442017,22.0169635462,238.995,-59.5312538147,237.775,32.6562538147,90,237.37,-42.34375,239.05,-59.6250038147,2.1410151276,92.1875076294,"Sst-IRES-Cre"
"654",0.0212807293,12.2414285714,0.5199999487,0.00885,111.250080168,0.0098585226,6.778162521,-72.4832229614,81.6898121136,15.875,-62.4062538147,15.275,11.5937509537,249.999984741,15,-38.125,15.895,-62.4687538147,1.1575909537,74.0000047684,"Pvalb-IRES-Cre"
"673",0.0089474985,9.046,1.6952378444,0.00543,130.624964833,0.0472249612,6.10116583599,-74.789932251,110.546097723,9.125,-61.4062538147,8.45,16.625,290,8.165,-38.78125,9.135,-61.5,1.2913288219,78.0312538147,"Pvalb-IRES-Cre"
"676",1,21.18,0.031415345,0.02441,202.524065971,0.0633326694,33.4935106386,-67.2024230957,47.2143531634,65.65,-56.71875,64.665,20.53125,90,64.335,-42.34375,65.715,-56.8437538147,1.8060889336,77.25,"Htr3a-Cre_NO152"
"685",-0.0001158789,13.1805172414,0.8049080805,0.229105,36.8750393391,0.0624788702,3.47211353613,-77.294883728,75.8695566862,897.515,-56.15625,896.89,12.8750009537,720,896.615,-30.6875019073,897.52,-56.2500038147,1.1193674549,69.0312509537,"Pvalb-IRES-Cre"
"692",1,1000,0.6959105414,0.01101,93.5937091708,0.0474311709,6.12901705554,-73.8991775513,1,16.08,-59.90625,15.26,17.3750019073,280,14.96,-37.46875,16.155,-60.0625,1.5055027568,77.2812519073,"Pvalb-IRES-Cre"
"697",1,1000,0.1919565723,0.679515,73.2813253999,0.0087927906,7.3239132658,-78.1568908691,1,980.435,-47.9375,976.42,11.15625,390,975.8,-31.5312519073,983.205,-49.1562538147,2.5025860631,59.09375,"Htr3a-Cre_NO152"
"716",0.011739927,37.1746153846,0.4016,0.0149,525.000452995,0.0300615542,37.9927690264,-63.0599975586,26.9000765618,82,-61.7500038147,80.9,27.875,50,80.48,-41,82.1,-61.8437538147,1.6981605579,89.6250038147,"Sst-IRES-Cre"
"730",0.0267437901,112.6075,0.1004999943,0.0312,106.25000298,0.0521581024,6.65957628153,-78.2598419189,8.8804031703,124.97,-43.9375,121.835,45.15625,230,121.285,-31.21875,138.28,-48.46875,4.843871421,89.09375,"Htr3a-Cre_NO152"
"733",1,8.66,0.3916675008,0.00376,168.124958873,0.0399486497,6.89679370879,-60.3886985779,115.473441109,7.135,-66.40625,6.565,28.0625019073,150,6.285,-36.375,7.2,-66.5,1.1197165033,94.4687519073,"Pvalb-IRES-Cre"
"744",0.0942549279,59.6,0.4425471698,0.03099,238.281443715,0.0552924275,27.9413998817,-71.1841888428,16.7785234899,87.605,-58.0937538147,86.825,25.71875,50,86.51,-43.0312538147,342.34,-58.9062538147,1.6260585366,83.8125038147,"Htr3a-Cre_NO152"
"754",0.0001519259,9.1657943925,0.7818181968,0.01134,82.03125,0.0204274096,6.02509992356,-72.513130188,109.101290862,37.2,-54.9062538147,36.5,18.9687519073,430,36.14,-30.2500019073,37.22,-54.9375038147,1.1231936722,73.875005722,"Pvalb-IRES-Cre"
"765",1,140.92,0.0224315068,0.01078,195.624962449,0.0724601299,10.1107949439,-74.1927108765,7.0962248084,27.94,-51.21875,26.26,29.0000019073,90,25.8,-43.78125,28.2,-51.375,2.8853445416,80.2187519073,"Chat-IRES-Cre-neo"
"771",0.0105456273,5.2790909091,1.4147637524,0.00431,71.2501108646,0.0188077819,5.28479874355,-73.8435745239,189.426554158,6.395,-66.90625,5.88,17.15625,460,5.61,-46.6875038147,6.435,-66.9375076294,1.1137129688,84.0625,"Sst-IRES-Cre"
"785",1,22.75,0.0133561645,0.01512,230.468943715,0.1119156256,17.3561416343,-68.6468887329,43.956043956,39.345,-52.4375038147,37.81,30.8750019073,30.0000019073,37.435,-43.5000038147,39.555,-52.5937538147,3.1851266479,83.312505722,"Htr3a-Cre_NO152"
"788",1,1000,2.7594267498,0.00471,98.281249404,0.0311981905,6.33594598724,-77.0708236694,1,6.76,-71.40625,6.24,21.125,370,5.96,-52,6.78,-71.53125,1.1304079739,92.53125,"Pvalb-IRES-Cre"
"791",0.0015468202,10.8505494505,1.2329136528,0.00812,221.093714237,0.0425620899,9.39791620982,-74.0521774292,92.1612315175,13.65,-56.9687538147,12.77,13.4062509537,170,12.46,-33.8125,13.75,-57.03125,1.4238245387,70.3750047684,"Pvalb-IRES-Cre"
"797",0.0015176946,5.576488764,2.6300008837,0.00394,74.21875,0.0696823075,7.70513424457,-69.6425094604,179.324310031,7.99,-64.21875,7.445,14.6250009537,390,7.17,-49.65625,8.01,-64.2812576294,1.2198152973,78.8437509537,"Pvalb-IRES-Cre"
"810",0.0033176769,13.7374305556,0.9649606131,0.007665,121.87499553,0.0594092533,6.6501880235,-72.0374450684,72.7938165695,12.34,-65.6250076294,11.625,11.5625,220,11.355,-40.03125,12.42,-65.7187576294,1.346567002,77.1875076294,"Pvalb-IRES-Cre"
"818",1,1000,0.1834168989,0.053915,117.187544704,0.0348579437,9.76257432029,-70.2343597412,1,79.54,-61.1875038147,78.81,40.6250038147,140,78.495,-44.4687538147,79.57,-61.2812538147,1.7006230735,101.812507629,"Sst-IRES-Cre"
"829",1,1000,1.0437236186,0.006385,44.6874238551,0.0178267285,5.1259077212,-74.9673080444,1,753.985,-54.0625038147,753.215,11.3125009537,690,752.865,-30.1250019073,754.045,-54.1875038147,1.0872654552,65.3750047684,"Pvalb-IRES-Cre"
"840",0.0085012037,12.7682,1.0517855796,0.01155,105.223104358,0.0324520804,5.49145403001,-75.937713623,78.3195751946,18.155,-59.0625038147,17.59,17.15625,249.999984741,17.31,-33.90625,18.18,-59.1250038147,1.1211803599,76.2187538147,"Pvalb-IRES-Cre"
"851",0.0162060766,45.2861904762,0.5670498429,0.03231,203.124970198,0.2050630152,15.8790916575,-75.6729660034,22.081786732,71.49,-60.6875038147,70.725,27,110,70.41,-33.5,71.52,-60.8125038147,1.3134160082,87.6875038147,"Sst-IRES-Cre"
"871",0.0437500288,25.2041666667,0.1492857143,0.007535,159.37499702,0.0676599666,9.28812188297,-72.2003326416,39.6759795007,12.64,-55.8750038147,11.47,28.2500019073,110,11.12,-47.9062538147,12.845,-56.15625,2.7542417082,84.125005722,"Htr3a-Cre_NO152"
"892",-0.0119699722,25.2758974359,0.4405342081,0.01062,134.53117013,0.0435074233,8.44157721382,-74.5060882568,39.5633825678,22.06,-51.28125,20.64,28,280,20.28,-34.15625,22.4,-51.5000038147,2.8778333773,79.28125,"Ndnf-IRES2-dgCre"
"895",1,10.025,0.93112715,0.005435,78.2812535763,0.0584532246,8.3145705482,-69.0012664795,99.7506234414,116.54,-51.5625038147,115.705,1.8125001192,370,115.43,-30.3125,116.6,-51.6562538147,1.2658652411,53.3750039339,"Pvalb-IRES-Cre"
"898",0.0028839112,12.2559375,0.8177029361,0.009485,85.2678567171,0.0462696292,5.37101239513,-75.4902877808,81.5931053826,11.93,-58.9375,11.245,4.21875,290,10.98,-41.0625,12.065,-59.09375,1.3241488602,63.15625,"Pvalb-IRES-Cre"
"916",0.0672948924,32.16,0.3464285892,0.014025,143.906280398,0.0627813786,12.5201058285,-73.186340332,31.0945273632,31.485,-64.125,30.61,35.0625,150,30.27,-44.96875,31.53,-64.34375,1.8047332222,99.1875,"Sst-IRES-Cre"
"922",-0.0003600978,47.465,0.0738636364,0.032045,248.437315226,0.1404868364,12.5912705003,-70.3994216919,21.068155483,138.53,-51.9375,137.665,30.1250019073,90,137.34,-32.46875,138.56,-52.0625,1.7307507128,82.0625019073,"Htr3a-Cre_NO152"
"936",-0.0119260478,56.262,0.2363636423,0.41428,164.174243808,0.0358238146,9.833484585,-71.7546920776,17.7739859941,927.64,-45.5000038147,924.06,18.46875,150,923.54,-29.0625019073,932.02,-47.8750038147,2.8680051844,63.9687538147,"Nkx2-1-CreERT2"
"954",0.0187283963,9.03875,1.4723647167,0.005955,164.687469602,0.0220953692,9.26534750102,-70.6443405151,110.634766976,11.155,-60.1562538147,10.54,22.0000019073,290,10.27,-32.0312538147,11.18,-60.2500038147,1.2639155845,82.156255722,"Pvalb-IRES-Cre"
