specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp,L_tg
521409057,0.0273124145,102.0725,0.1174999998,171.22,6.6249,5.3533333,-46.8437538147,-49.3020846049,-51.4166704814,0.07214,168.92,6.6229,3.5866667,49.7187538147,51.8020858765,50.2604179382,76.4062851667,0.0527104288,210.0,165.583333333,1190.0,168.48,6.62242,3.14,-38.78125,-41.4479192098,-48.4895858765,196.96,6.65852,426.9466667,-54.15625,-53.9375012716,-79.6562576294,3.9403996277,4.116552681,3.9278055827,-79.4310836792,Cux2-CreERT2,Excitatory,12.7815539149,Primary visual area layer 2/3,VISp2/3,101.67708842,96.5625076294,101.104170481,L2tg
487661754,0.0828730521,113.543571429,0.1732612056,136.355,3.5385075,5.144,-48.34375,-45.7031288147,-51.7062530518,0.05755,134.675,3.53687,3.316,43.40625,36.8281269073,43.8687507629,196.406245232,0.008573316,70.0,88.375,760.0,134.215,3.5363075,2.922,-40.21875,-35.3281269073,-48.7625007629,183.015,3.5777025,726.3,-56.5937538147,-54.2656269073,-80.7687530518,3.842614265,2.825120853,4.4339271843,-80.7700653076,Cux2-CreERT2,Excitatory,24.1878296564,Primary visual area layer 2/3,VISp2/3,95.5750038147,91.75,82.531255722,L2tg
521399472,0.0192024244,112.095,0.1212053575,308.0,7.6676533333,5.776,-46.34375,-45.927087148,-50.6312515259,0.09148,305.24,7.6651066667,3.576,33.5625,36.8645846049,36.2562507629,87.187461555,0.047224056,190.0,191.625,1730.0,304.72,7.6646,3.132,-38.9687538147,-37.8541679382,-47.1562530518,341.54,7.7020266667,670.548,-56.1250038147,-54.0104192098,-79.3812530518,3.669870142,3.523345978,3.8162059802,-79.1463012695,Cux2-CreERT2,Excitatory,19.2962646777,Primary visual area layer 2/3,VISp2/3,86.8875022888,79.90625,82.7916717529,L2tg
490982660,0.0249703832,65.9067857143,0.2181329109,67.045,5.4564866667,5.2966667,-44.65625,-41.0833358765,-53.552087148,0.03656,64.125,5.4533983333,3.5025,23.5937519073,19.8854173024,35.4427108765,159.531101584,0.043673683,190.0,136.291666667,690.0,63.39,5.4526116667,3.11,-32.9062538147,-29.7395846049,-48.2187525431,79.135,5.4840433333,563.2758333,-48.8437538147,-49.9583358765,-75.0260480245,2.5794692031,2.2246677053,3.568559831,-75.1710586548,Rbp4-Cre_KL100,Excitatory,18.7328027823,Primary visual area layer 2/3,VISp2/3,88.9947980245,68.2500019073,60.9687531789,L2tg
502359001,0.0148977871,90.02,0.1631578975,460.54,6.2468133333,5.34,-47.7187538147,-49.302087148,-52.6250038147,0.08728,458.24,6.24474,3.48,36.6875,42.3437525431,39.9062538147,76.8750756979,0.0046334364,150.0,156.125,0.0,457.72,6.24426,3.06,-39.0312538147,-39.1562525431,-45.0312538147,498.7,6.2784533333,298.54,-55.6562538147,-54.3437525431,-83.25,3.7030478968,3.9123076985,3.943836469,-83.517868042,Cux2-CreERT2,Excitatory,13.2395486379,Primary visual area layer 2/3,VISp2/3,92.5312576294,84.4062538147,91.6458396911,L2tg
521958756,0.0207695335,58.775,0.2821969697,225.14,3.32714,5.1,-50.9062538147,-50.5781269073,-55.7187522888,0.03318,222.06,3.32462,3.308,32.0,34.21875,39.7312522888,183.281138539,0.0208022743,90.0,83.125,600.0,221.52,3.3241,2.936,-35.5,-36.046875,-49.7125030518,239.04,3.34631,673.576,-57.5,-57.6875038147,-74.9375030518,3.1201105957,3.034932799,4.2021530485,-74.2386169434,Cux2-CreERT2,Excitatory,27.120667223,Primary visual area layer 2/3,VISp2/3,95.4500045776,82.9062538147,84.7968769073,L2tg
477129850,1.0,1000.0,0.0408005121,34.105,2.99089,4.726,-49.375,-47.5156269073,-51.6375022888,0.022655,32.525,2.9891875,3.196,41.3437538147,46.0781269073,44.2250015259,115.625187755,0.026608685,249.999984741,74.6875,560.0,32.13,2.988765,2.856,-39.46875,-35.2343769073,-47.1062515259,814.695,3.0068125,370.964,-50.1250038147,-51.9531288147,-72.5500045776,3.3821239244,3.1578523741,3.7417664389,-70.9210128784,Slc17a6-IRES-Cre,Excitatory,11.4966748723,Primary visual area layer 2/3,VISp2/3,95.8625038147,90.7187538147,93.5937538146,L2tg
505512874,0.0363294894,85.2254545455,0.189999999,100.78,6.22186,6.85,-46.5312538147,-44.5208358765,-51.3489608765,0.0233,98.24,6.21828,3.4766667,42.28125,49.3750012716,43.4062531789,118.281327188,0.0042600171,210.0,155.416666667,700.0,97.68,6.2177466667,3.01,-43.625,-41.4583346049,-45.4635448456,114.04,6.2471533333,447.4033333,-51.7500038147,-51.9687538147,-73.0781288147,3.4800220978,4.0243836904,3.7104175381,-72.6110458374,Cux2-CreERT2,Excitatory,12.5836496076,Primary visual area layer 2/3,VISp2/3,94.7552140554,88.8125038147,93.8958371481,L2tg
500955426,0.018131046,56.16125,0.2013991163,124.94,3.82312,5.052,-47.5625038147,-49.2916692098,-49.4375022888,0.04592,123.14,3.82132,3.476,32.6875,32.4583346049,30.5187515259,142.187535763,0.0362740457,90.0,95.5416666667,180.0,122.66,3.8208,3.016,-36.1562538147,-36.1354192098,-40.6000030518,150.96,3.84668,625.736,-53.0625038147,-55.1875012716,-80.0875061035,2.6711778894,2.5534037615,2.6067542765,-79.633972168,Cux2-CreERT2,Excitatory,14.1134506005,Primary visual area layer 2/3,VISp2/3,79.9562538147,80.2500038147,81.7500038147,L2tg
486262299,1.0,1000.0,0.0348101196,89.405,10.27304,5.2583333,-42.0,-41.71875,-48.3229179382,0.062115,86.385,10.27091,3.4983333,40.4062538147,48.7812538147,45.7083358765,60.6970116496,0.0136078075,489.999969482,256.749992371,1829.99975586,85.965,10.2705325,3.0633333,-32.46875,-33.7968769073,-50.5729192098,114.905,10.3088975,713.4866667,-49.125,-51.5781269073,-79.1145909627,3.9219324933,3.8654396008,3.1357484076,-79.3246078491,Cux2-CreERT2,Excitatory,13.5020592641,Primary visual area layer 2/3,VISp2/3,94.0312538147,82.4062538147,90.5000038147,L2tg
