specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp
490612844,0.2518298676,70.105,0.0900793674,63.07,4.6397016667,5.854,-50.3125038147,-50.8229179382,-54.6375030518,0.029535,59.695,4.6352066667,3.478,25.7500019073,26.8020846049,26.3000015259,170.625045896,0.0146091292,150.0,115.875,780.0,59.065,4.6345166667,2.943,-43.3125,-38.6875025431,-49.9000030518,719.33,4.6603766667,557.57,-55.7812538147,-56.8125025431,-75.2062545776,2.8422846469,2.5382313044,2.9199902984,-75.3428726196,Rbp4-Cre_KL100,Excitatory,21.4795225923,posteromedial visual area layer 5,VISpm5,80.9375045777,76.062505722,77.6250025431
464326210,0.0047466706,7.1788888889,0.0655502392,9.705,,3.790625,-64.5937576294,,-65.71484375,0.005765,8.935,,3.030625,18.8750019073,,21.7265632153,114.218749106,0.0589748584,160.0,,350.0,8.605,,2.731875,-47.125,,-48.1210947037,9.775,,343.485625,-64.71875,,-69.21484375,1.3286690995,,1.3629562922,-69.6380767822,Gad2-IRES-Cre,Inhibitory,5.98494110989,Primary visual area layer 5,VISp5,87.4414069653,83.4687595367,
475517157,0.0479778872,50.6313888889,0.2912946534,58.045,3.0996133333,4.1958333,-62.3437538147,-59.4375012716,-63.0104198456,0.02136,57.37,3.0989066667,3.5083333,27.9375019073,28.6458346049,28.0208349228,188.749924302,0.0210860185,90.0,77.5,71.6666717529,56.99,3.0985283333,3.15,-49.78125,-48.5416692098,-50.6250019073,58.07,3.0996816667,377.6216667,-62.4375038147,-59.5625025431,-77.2135467529,1.5145105049,1.6129978916,1.5088935227,-76.1265106201,Sst-IRES-Cre,Inhibitory,16.7264549613,Primary visual area layer 5,VISp5,91.0312547684,90.281255722,88.0833358765
464198958,0.0080075192,42.8673913043,0.3255244725,81.295,0.7556966667,5.8825,-67.40625,-66.5937525431,-67.8020846049,0.01323,79.06,0.7536033333,3.8416667,39.375,49.8333346049,50.8385423024,358.353376389,0.1233621985,20.0,18.7916663488,200.0,78.38,0.752935,3.2666667,-48.09375,-44.5416692098,-46.0885423024,81.59,0.7559016667,34.1241667,-67.65625,-66.7916692098,-68.546875,2.3500174063,2.1421211064,2.2625250108,-66.2410736084,Sst-IRES-Cre,Inhibitory,23.5896544304,Postrhinal area layer 5,VISpor5,118.640626907,106.78125,116.427087148
487537399,0.000606499,6.2868670886,2.5092513928,12.065,8.0228883333,3.625,-65.84375,-55.895837148,-66.2000030518,0.00598,11.545,8.0221466667,3.14,6.6875004768,2.3854169846,19.3875011444,114.843562245,0.0471121594,230.0,200.54166158,352.0,11.285,8.021805,2.917,-37.71875,-28.479168574,-51.6312522888,12.08,8.0229616667,673.986,-65.9375076294,-56.0312512716,-77.7812530518,0.9866171007,0.8148035265,1.1934464482,-77.1630325317,Pvalb-IRES-Cre,Inhibitory,6.78485877938,Primary visual area layer 5,VISp5,85.5875041962,72.5312504768,58.2812541326
476457450,0.0476945778,62.894,0.1594697074,98.395,3.15376,5.411,-45.6875,-46.9583358765,-47.7625022888,0.04292,96.36,3.1517083333,3.462,37.71875,40.0833339691,40.4937507629,210.468634963,0.0526439473,70.0,78.7916666667,780.0,95.85,3.1512016667,2.979,-37.7812538147,-35.3750025431,-44.6812515259,119.235,3.1898583333,391.247,-48.25,-53.0833358765,-77.4375061035,3.2371678674,3.0344421751,3.6075116359,-75.3036117554,Nr5a1-Cre,Excitatory,24.6336885047,Primary visual area layer 4,VISp4,88.2562530517,83.40625,87.0416698456
478412623,0.0239068846,29.8609375,0.5583579903,169.42,1.225815,4.42,-61.3750038147,-60.2187525431,-61.859377861,0.021375,168.42,1.2248133333,3.4275,23.6250019073,29.0312506358,25.3750014305,337.94644475,0.1777706742,20.0,30.625,350.0,168.02,1.2243833333,3.04375,-45.1250038147,-44.3020846049,-46.7500009537,169.505,1.2258616667,291.54125,-61.4687538147,-60.3229204814,-69.7109394073,1.6485235306,1.6406354083,1.6799470649,-69.2231445313,Sst-IRES-Cre,Inhibitory,25.7562151138,Primary visual area layer 5,VISp5,87.2343792915,85.000005722,89.2500031789
569469018,0.0528032087,92.848,0.1847740668,148.54,1.2304666667,4.8466667,-46.8125,-46.5937512716,-48.8541679382,0.03838,145.62,1.2279266667,3.16,43.6875038147,45.9687512716,44.1354192098,402.764409781,0.1547615081,50.0,30.7083326976,660.0,145.12,1.22742,2.7466667,-35.3125,-35.2812512716,-43.1041692098,189.82,1.2751333333,811.8266667,-55.6875038147,-55.958337148,-74.6458384196,3.4306170271,3.3540754974,3.3828298725,-73.0341339111,Chrna2-Cre_OE25,Inhibitory,33.0468695413,Primary visual area layer 5,VISp5,92.989587148,90.5000038147,92.5625025432
490789494,0.0140817883,51.6847222222,0.3299107143,169.23,1.9863983333,4.18,-63.0625038147,-62.1562525431,-64.6718788147,0.02328,168.445,1.9856083333,3.31875,36.5000038147,37.9583346049,38.164065361,264.687508345,0.0848891288,50.0,49.625,210.0,168.12,1.98526,3.0025,-42.0625038147,-43.2604192098,-44.9375019073,169.26,1.9864333333,230.33375,-63.1562538147,-62.2708346049,-66.8203125,1.7492095804,1.6927780623,1.8348471312,-65.863571167,Sst-IRES-Cre,Inhibitory,25.4514594377,Primary visual area layer 4,VISp4,102.835944176,99.5625076294,100.114587148
490916919,1.0,61.145,0.0877221248,69.335,7.95773,5.553,-48.5312538147,-48.1458358765,-53.7437522888,0.028495,66.18,7.9539216667,3.58,23.5000019073,20.3645846049,25.9437511444,121.63464725,0.0059941025,200.0,198.833328247,830.0,65.565,7.9531833333,3.103,-36.59375,-32.3750012716,-47.6625015259,82.57,7.97274,426.244,-52.5312538147,-52.5625025431,-68.3312515259,2.4462161428,1.9241111542,2.8722062142,-68.0202865601,Rbp4-Cre_KL100,Excitatory,25.790011613,Primary visual area layer 5,VISp5,79.6875034332,72.031255722,68.5104204814
