"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"128",1,1000,0.1594302554,0.143365,220.937460661,0.0263815299,21.1076413318,-71.0636901855,1,82.61,-48.3125,79.275,50.4375038147,70,78.825,-36.46875,97.655,-53.4687538147,4.780396083,98.7500038147,"L4tg"
"129",0.0881545319,94.895,0.1393833183,0.045505,144.531220198,0.0557366125,17.6031911815,-79.9532012939,10.5379630117,92.41,-53.28125,90.005,33.09375,170,89.55,-46.34375,106.07,-57.7812538147,4.0242855437,86.375,"L4tg"
"135",0.0170197337,45.68575,0.3029801223,0.0405,293.437510729,0.0731709823,34.7774554418,-64.6614532471,21.8886633141,137.415,-44.5,134.87,34,59.9999961853,134.435,-33.8437538147,154.74,-50.15625,3.4194409594,78.5,"L4tg"
"140",0.301099639,119.13,0.056064348,0.057985,82.4553444982,0.0686581209,19.962453649,-76.0950698853,8.39419121968,130.335,-46.7812538147,126.43,36.3125,209.999984741,125.925,-36.2500038147,598.25,-52.71875,3.7814014858,83.0937538147,"L4tg"
"149",0.0287884758,77.1545833333,0.1842519815,0.056655,202.5000453,0.0303479787,26.2873860918,-71.7186203003,12.9609928121,283.105,-45,279.59,20.4062519073,60.0000038147,279.005,-38.0000038147,316.895,-54,3.4823686974,65.4062519073,"L4tg"
"171",0.0296126533,85.9225,0.0940899274,0.046245,186.406299472,0.1162524968,20.3774014829,-68.4197998047,11.6383950653,261.13,-50.6875038147,259.575,49.3125038147,70,259.19,-38.6875,303.905,-57.2812538147,3.0748480464,100.000007629,"L4tg"
"174",0.0259653067,99.8333333333,0.1604166667,0.0742,178.437530994,0.0934729278,24.4105386199,-77.0473403931,10.0166944908,198.78,-49.5000038147,195.16,31.65625,90,194.66,-39.3125,241.1,-57.8437538147,4.0592770969,81.1562538147,"L4tg"
"175",0.0241194554,83.4018181818,0.2095982255,0.06478,174.375072122,0.0902883187,24.721293018,-74.5719604492,11.9901462798,201.745,-43.375,198.805,39.5,70,198.37,-36.84375,279.73,-57.0000038147,3.4605600153,82.875,"L4tg"
"179",0.0483089979,69.9879166667,0.1825000093,0.041235,148.749962449,0.0189885516,20.1432456387,-83.5632095337,14.2881806979,88.285,-53.4062538147,86.26,43.6562538147,110,85.93,-43.1250038147,106.49,-59.8437538147,4.4122934809,97.0625076294,"L4tg"
"180",0.015070633,40.7922916667,0.3083420229,0.02068,301.562488079,0.0205476955,24.7832392958,-66.1851959229,24.5144354274,74.485,-49.84375,72.62,32.5000038147,70,72.12,-36.78125,83.575,-52.125,2.6240514987,82.3437538147,"L4tg"
"182",0.0165394608,77.6472727273,0.1828125095,0.06025,197.968706489,0.1251424104,27.1697639624,-70.4693603516,12.8787524001,183.31,-44.28125,180.985,36.75,70,180.535,-36.6875,223.58,-54.8125038147,3.0920751173,81.03125,"L4tg"
"183",0.0375035551,69.6015384615,0.156308658,0.05263,164.531290531,0.0583837293,19.3078718473,-82.5241928101,14.367498508,130.76,-46.15625,128.475,43,90,128.04,-34.125,153.395,-52.9062538147,3.3615732663,89.15625,"L4tg"
"191",0.1311896986,93.3492857143,0.1115079483,0.03046,152.500003576,0.0536783263,22.2336101831,-74.0730209351,10.712454759,80.99,-48.1250038147,78.64,44.3125038147,130,78.195,-40.4375,100.73,-54.2187538147,3.2993565023,92.4375076294,"L4tg"
"193",0.1458048422,93.6733333333,0.1948598131,0.03298,256.562560797,0.0209606458,26.3317405565,-72.633605957,10.6753967689,98.39,-46.03125,96.06,33.1250038147,70,95.56,-34.1875,117.935,-50.34375,2.6330407995,79.1562538147,"L4tg"
"199",0.0431775031,92.508,0.1472222299,0.073575,124.955430627,0.0801045448,25.5832807237,-75.4485092163,10.8098759026,261.135,-45.3125,258.155,42,100,257.745,-38.4687538147,341.32,-58.84375,3.9346611077,87.3125,"L4tg"
"200",0.0312285179,62.092,0.0404191617,0.03548,174.99999702,0.059799172,23.8389264038,-77.4748916626,16.1051343168,121.46,-54.40625,118.76,41.8437538147,70,118.34,-36.9375,135.54,-59.3125038147,4.1402373115,96.2500038147,"L4tg"
"201",0.0426828602,55.8046875,0.2607229663,0.01994,206.875070929,0.0038701426,24.5760341135,-67.1831893921,17.9196416072,67.275,-51.59375,63.995,21.34375,80,63.43,-37.9375038147,74.58,-55.0000038147,2.9241470097,72.9375,"L4tg"
"208",0.1392882149,116.774375,0.2044702178,0.0344,225.937500596,0.0250830818,17.3646342039,-77.0405426025,8.56352260502,83.5,-47.2500038147,81.63,27.5625,90,81.135,-37.9375038147,101.35,-51.8750038147,2.6512243171,74.8125038147,"L4tg"
"228",0.0083711584,138.005,0.1679961244,0.05319,85.9374776483,0.1082189828,10.9784275589,-70.4233016968,7.24611427122,87.815,-50.34375,85.79,37.7812538147,130,85.39,-42.03125,119.105,-58.21875,3.5580965198,88.1250038147,"L5tg"
"233",0.0795338249,110.256,0.1124999898,0.058305,160.000115633,0.0200274847,26.7912492393,-77.0050354004,9.06980118996,103.885,-46.4375,99.275,24.53125,209.999984741,98.755,-33.6250038147,120.605,-51.7812538147,4.1556621666,70.96875,"L5tg"
"234",0.0233020465,56.7364705882,0.1868292785,0.029705,136.718794704,0.0877228975,15.9611719901,-61.491153717,17.625347323,136.78,-47.2812538147,134.755,46.03125,70,134.35,-37.3750038147,167.77,-53.7812538147,3.5390984523,93.3125038147,"L5tg"
"238",0.0221943326,61.623,0.1981216488,0.060645,202.812537551,0.0736343935,22.9783631392,-66.8419036865,16.2277071873,203.43,-32.5625,200.875,47.0937538147,70,200.435,-21.25,240.615,-41.84375,2.8938175018,79.6562538147,"L5tg"
"240",0.0690320929,95.628,0.1322485217,0.038815,90.156249702,0.1762121171,15.4935912138,-71.9120330811,10.4571882712,194.5,-43.1875038147,192.11,45,160,191.72,-40.6250038147,247.68,-55.5000038147,4.4891410803,88.1875038147,"L5tg"
"244",0.0458341391,89.794,0.1897849455,0.02694,356.249958277,0.076568976,39.8619819949,-59.0870780945,11.1366015547,139.32,-47.3125,136.14,34.9062538147,29.9999980927,135.62,-34.5000038147,164.02,-54.9687538147,3.4376338145,82.2187538147,"L5tg"
"247",0.0921209855,113.670625,0.1241706177,0.04587,331.250011921,0.1422371566,49.7167411658,-61.3951797485,8.7973475997,127.385,-43.0312538147,123.74,31.0000019073,30.0000019073,123.05,-34.3437538147,177.88,-50.34375,2.8534474832,74.031255722,"L5tg"
"253",0.0714051949,118.105,0.0890624996,0.075645,160.044744611,0.0414860658,18.5011826118,-80.5922088623,8.46704203886,208.73,-46.03125,204.96,37,90,204.445,-32.375,259.525,-55.4062538147,3.80076773,83.03125,"L5tg"
"255",0.0349519303,116.194375,0.1555555949,0.032215,69.2187920213,0.1738492548,11.5026163353,-80.2801742554,8.60626859088,58.225,-46.8437538147,55.74,35.875,370,55.22,-45.8125038147,93.54,-55.4062538147,3.3142730977,82.7187538147,"L5tg"
"258",0.1935920902,156.661,0.0347826105,0.050415,132.142856717,0.0823451877,15.4321944902,-72.100112915,6.38320960545,80.325,-47.3125,78.02,44.5,130,77.66,-36.28125,111.69,-54.3437538147,4.0321708701,91.8125,"L5tg"
"266",0.0180102393,111.531875,0.1428370363,0.08869,154.687494039,0.036914859,21.4664851772,-81.3229217529,8.9660467019,225.585,-45.9375,222.6,17.2812519073,90,222.08,-34.59375,275.39,-58.8750038147,2.6782962593,63.2187519073,"L5tg"
"270",0.0299897224,57.9271875,0.2117214199,0.03647,192.18711555,0.0813830122,24.7563297047,-73.3546524048,17.2630511364,134.95,-41.6562538147,132.5,18.9375,80,131.955,-32.375,166.025,-50.6875038147,2.4611744508,60.5937538147,"L5tg"
