"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"191",4.3006266667,-45.6666692098,4.2981016667,47.7187525431,107.416664123,4.2976283333,-36.7604166667,4.3363866667,-54.7187525431,3.4002443894,93.3854217529,"L4tg"
"193",2.4424516667,-47.1979179382,2.439965,34.59375,60.9583358765,2.439445,-31.8958339691,2.4586283333,-52.6979166667,2.4594017443,81.7916679382,"L4tg"
"199",4.2440783333,-45.8958333333,4.240745,36.2500025431,106.041666667,4.2403,-38.2500012716,4.310135,-56.53125,3.8463316037,82.1458358764,"L4tg"
"200",2.0837266667,-57.2083346049,2.0813333333,37.3333358765,51.9999987284,2.0808933333,-43.3229192098,2.1047933333,-63.9166692098,4.0344185616,94.5416704814,"L4tg"
"201",2.7702833333,-50.1041704814,2.7668666667,25.7395846049,69.1666666667,2.7663033333,-36.1875012716,2.7839483333,-55.0625025431,2.9118285076,75.8437550863,"L4tg"
"208",3.97063,-50.2604192098,3.9688933333,35.1979192098,99.2083333333,3.968405,-36.8854179382,3.9901483333,-54.7395858765,2.633821389,85.4583384196,"L4tg"
"228",3.37875,-51.3593769073,3.3770425,41.875,84.375,3.376665,-42.7187519073,3.415555,-58.3906288147,3.2268222561,93.2343769073,"L5tg"
"233",3.8149266667,-48.6666692098,3.8109583333,33.3020846049,95.2499974569,3.810475,-36.1979179382,3.84961,-57.2916692098,4.0197224542,81.9687538147,"L5tg"
"234",2.6064616667,-47.8541692098,2.604465,46.6875025431,65.1250012716,2.6040533333,-37.5104204814,2.640065,-52.9166679382,3.5937530175,94.5416717529,"L5tg"
"238",2.6176,-39.2708346049,2.61566,41.9791666667,65.375,2.6152033333,-27.1250006358,2.644705,-46.5104166667,2.9337051575,81.2500012716,"L5tg"
"240",5.7213533333,-45.6875012716,5.7192083333,47.71875,142.958328247,5.7188333333,-40.8958346049,5.7901166667,-53.6979204814,4.2980526995,93.4062512716,"L5tg"
"244",1.0063266667,-46.5937512716,1.0036133333,37.6979179382,25.0833326976,1.00312,-34.7708333333,1.0338733333,-55.0104192098,3.384262875,84.2916692098,"L5tg"
"247",1.12802,-44.1875,1.124635,39.5,28.125,1.123995,-37.3125,1.195035,-52.875,2.9634292559,83.6875,"L5tg"
"253",4.30817,-48.1770858765,4.3055433333,37.8645833333,107.625,4.30502,-35.0208358765,4.352525,-54.9375038147,3.8072699393,86.0416692098,"L5tg"
"255",7.9421333333,-47.9583358765,7.939535,36.8750025431,198.500005086,7.9390516667,-41.3854179382,7.990915,-56.5000025431,3.2851636292,84.8333384196,"L5tg"
"258",3.765905,-48.8541679382,3.7638633333,47.3125012716,94.0416692098,3.76349,-39.0625025431,3.8122566667,-58.6250038147,3.9680734132,96.1666692098,"L5tg"
"266",3.96653,-48.4166666667,3.96455,31.4166673024,99.0833333333,3.9640916667,-35.625,4.0064883333,-58.6145858765,2.8620353458,79.8333339691,"L5tg"
"270",1.6596,-42.8125038147,1.65769,27.4687519073,41.375,1.65718,-33,1.700895,-53.90625,2.5180085654,70.281255722,"L5tg"
"281",8.6122,-48.8645858765,8.6053183333,27.3750006358,215.125,8.60464,-33.7187512716,8.6370966667,-54.6041679382,3.412593841,76.2395865123,"L5tg"
"282",2.6408133333,-40.9583346049,2.6380216667,27.6875012716,65.9583320618,2.637325,-31.8125019073,2.683135,-51.6979192098,2.3765978731,68.6458358765,"L5tg"
"286",2.9207516667,-49.3020846049,2.919005,34.5000025431,72.9583333333,2.91857,-36.9270833333,2.948415,-56.739587148,2.7028651688,83.802087148,"L5tg"
