"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"46",4.991,-51.2812515259,3.265,51.8750022888,530,2.887,-41.4687515259,156.302,-66.8750015259,3.0481075254,103.156253815,"L4tg"
"47",5.22375,-52.9687519073,3.49125,35.9218759537,840,3.0625,-46.2031259537,705.51,-84.7109375,3.549037004,88.890627861,"L4tg"
"49",5.11375,-52.546875,3.38875,41,1170,3.01625,-46.1718769073,419.22,-79.3359413147,3.4545708803,93.546875,"L4tg"
"50",4.895,-51.0468769073,3.4075,43.921875,1030,3.0625,-50.3281269073,890.2275,-85.0625038147,3.704824362,94.9687519073,"L4tg"
"51",5.25125,-50.195315361,3.47625,43.8828125,910,3.09625,-51.4531259537,580.63,-82.3359394073,3.839150346,94.078127861,"L4tg"
"52",5.6541667,-55.0677108765,3.565,47.854168574,520,3.155,-48.5677096049,497.5833333,-72.6093788147,4.2082291424,102.921879451,"L4tg"
"53",5.08375,-50.1484394073,3.4075,43.8125038147,750,3.03375,-47.8593769073,765.885,-79.7421913147,3.9963921801,93.960943222,"L4tg"
"54",5.399,-51.9875015259,3.264,36.9437538147,1310,2.898,-51.1000022888,603.481,-80.8000030518,4.4510938323,88.9312553406,"L4tg"
"55",5.7775,-49.4140644073,3.425,49.2343769073,760,3.03,-41.9609384537,305.15375,-73.210943222,4.0042292671,98.6484413146,"L4tg"
"56",4.816,-55.6437515259,3.297,38.7062522888,610,2.929,-45.6750007629,462.336,-75.7062576294,2.9461253113,94.3500038147,"L4tg"
"57",5.08,-54.0625038147,3.4333333,45.989587148,760,3.08,-47.1666704814,397.6666667,-76.1875050863,4.1138618197,100.052090963,"L4tg"
"58",5.76375,-61.054690361,3.52625,36.2890663147,630,3.0775,-49.1093788147,94.405,-77.8515644073,3.3934873688,97.3437566757,"L4tg"
"59",4.48,-46.8312515259,3.342,37.8125015259,1030,3.05,-45.3937522888,216.623,-75.2937545776,3.3067701909,84.6437530518,"L4tg"
"60",5.61,-48.648440361,3.44,40.882815361,999.999938965,3.03,-44.2578134537,874.03,-68.695318222,4.2912475657,89.531255722,"L4tg"
"62",4.894,-49.9187515259,3.337,43.5437522888,1080,3.014,-48.2937522888,437.82,-79.9187515259,4.0894512735,93.4625038147,"L4tg"
"63",5.501,-51.3312522888,3.336,47.6000015259,296,2.992,-44.6125022888,460.013,-66.9625045776,3.8455638604,98.9312538147,"L4tg"
"64",5.063,-55.8312522888,3.403,32.49375,224,3.033,-45.9500007629,250.807,-77.0937545776,2.8832394481,88.3250022888,"L4tg"
"65",5.344,-51.4375022888,3.356,46.4687538147,949.999938965,2.98,-47.9625007629,565.836,-74.9875030518,4.327547015,97.9062561035,"L4tg"
"67",8.772,-59.1562530518,3.58,30.4062519073,1220,3.123,-50.2687530518,429.385,-78.2750015259,4.4389401827,89.5625049591,"L4tg"
"70",5.631,-51.1312507629,3.497,33.4750007629,790,3.054,-38.7062507629,729.405,-74.9062561035,3.1928307839,84.6062515258,"L4tg"
"72",4.8683333,-47.1979204814,3.465,31.0312512716,1050,3.1216667,-35.4791692098,468.845,-76.9895858765,2.8014473212,78.229171753,"L4tg"
"73",4.61,-50.7937515259,3.346,48.8500022888,880,3.045,-44.1312515259,732.269,-78.3312545776,3.3505486959,99.6437538147,"L4tg"
"74",5.31,-53.5750030518,3.494,43.9000022888,560,3.132,-48.7187515259,328.882,-69.2812515259,4.0738187974,97.4750053406,"L4tg"
"75",5.1175,-50,3.525,35.7968769073,0,3.13,-42.0156288147,707.3975,-78.453125,3.0631381728,85.7968769073,"L4tg"
"76",4.9125,-49.703125,3.3575,32.6875019073,770,2.96,-45.4531269073,686.205,-78.6718788147,3.0547821769,82.3906269073,"L4tg"
"77",5.54,-50.9062519073,3.7,33.34375,660,3.285,-41.9375,747.6375,-73.28125,3.1182982086,84.2500019073,"L4tg"
"78",4.48625,-50.5546894073,3.155,36.3437509537,300,2.85375,-41.9453134537,649.525,-69.8125019073,2.8947141601,86.898440361,"L4tg"
"80",5.4483333,-50.5208333333,3.4416667,45.2083346049,1090,3.0533333,-47.4895846049,532.925,-77.1875025431,4.0465399845,95.7291679382,"L4tg"
"81",5.3316667,-51.6666698456,3.2941667,50.3697942098,419.999969482,2.9666667,-43.7291679382,692.6191667,-69.9062525431,4.5598996199,102.036464055,"L4tg"
"85",5.631,-48.6312507629,3.339,57.5187538147,889.999938965,2.999,-45.2500022888,510.126,-76.6812561035,5.3861239527,106.150004578,"L4tg"
"87",5.8116667,-51.3437531789,3.3116667,24.5000006358,700,2.8883333,-43.0208365122,631.1183333,-76.317712148,2.9010808183,75.8437538147,"L4tg"
"90",5.179,-50.2937522888,3.427,23.9312503815,714,3.036,-36.0312530518,546.673,-82.5062530518,2.594750228,74.2250026703,"L4tg"
"91",4.867,-52.4500030518,3.203,39.2937515259,450,2.87,-44.7375022888,413.395,-69.2687545776,3.5496313416,91.7437545777,"L4tg"
"92",5.558,-52.2375030518,3.384,39.1875022888,889.999938965,2.993,-47.2062530518,521.413,-76.9250015259,4.3392256881,91.4250053406,"L4tg"
"93",6.295,-51.5937538147,3.81,19.9062509537,509.999969482,3.205,-41.9375019073,165.775,-76,2.6681549067,71.5000047684,"L4tg"
"94",4.9533333,-52.6250038147,3.2466667,41.8958358765,870,2.8866667,-47.052087148,666.0533333,-76.0833384196,4.0915118469,94.5208396912,"L4tg"
"95",4.417,-47.0625022888,3.263,35.7187530518,850,2.96,-43.7000022888,569.736,-77.7750015259,2.8013427417,82.7812553406,"L4tg"
"96",4.9,-51.2916679382,3.4466667,42.9687512716,860,3.0666667,-47.2083346049,123.6333333,-79.8541717529,3.8908130914,94.2604192098,"L4tg"
"98",5.122,-52.7375022888,3.377,27.0562503815,730,2.995,-43.4937507629,657.795,-72.8250015259,3.0435890761,79.7937526703,"L4tg"
"99",6.84125,-52.023440361,3.52375,32.4062509537,460,3.0525,-49.1171894073,332.0825,-78.8984375,3.8939474349,84.4296913147,"L4tg"
"101",6.16875,-48.546877861,3.585,41.7734394073,979.999938965,3.0725,-37.757815361,230.27,-77.6171894073,3.4333960882,90.3203172683,"L4tg"
"102",4.89,-50.234377861,3.515,40.7343769073,580,3.135,-46.1484394073,564.74,-73.7031288147,3.7711756857,90.9687547683,"L4tg"
"104",5.06875,-53.46875,3.3675,39.25,400,3.025,-48.9921884537,750.7175,-70.4140644073,3.7961493991,92.71875,"L4tg"
"105",4.4866667,-52.1666704814,2.8333333,40.989587148,890,2.4333333,-46.0104179382,773.0333333,-74.7083384196,4.0411067732,93.1562576294,"L4tg"
"106",5.425,-48.8875007629,3.324,46.5562522888,920,2.959,-45.3937515259,391.602,-72.9750045776,4.1286632636,95.4437530517,"L4tg"
"108",5.5591667,-50.1458346049,3.475,42.0260423024,0,3.0808333,-46.729168574,411.4458333,-72.8750012716,3.804846708,92.1718769073,"L4tg"
"109",5.564,-53.1937515259,3.572,47.4062515259,380,3.108,-44.9062515259,97.08,-66.4312530518,3.7130267253,100.600003052,"L4tg"
"110",4.9,-54.6875019073,3.46,37.6718769073,670,3.06,-48.21875,410.24,-81.703125,3.4335263021,92.3593788146,"L4tg"
"112",5.358,-51.0125015259,3.402,46.7500022888,1160,3.045,-46.5875022888,404.983,-76.1562561035,3.783612446,97.7625038147,"L4tg"
"113",5.3633333,-50.7187538147,3.5716667,30.7604173024,0,3.1366667,-45.2916679382,694.5933333,-70.2916717529,2.987735584,81.4791711171,"L4tg"
"114",4.794,-53.1187515259,3.359,45.6250022888,690,3.021,-48.0500007629,698.274,-75.775,3.6069302959,98.7437538147,"L4tg"
"115",4.8525,-51.0156288147,3.4025,43.3437509537,720,3.06375,-45.3046913147,538.0525,-77.335943222,3.7800612393,94.3593797684,"L4tg"
"116",4.651,-53.8812515259,3.147,33.3062534332,352,2.756,-43.1062515259,373.486,-67.7812530518,2.7954586564,87.1875049591,"L4tg"
"117",5.93,-51.7312530518,3.504,37.6062507629,1130,3.081,-49.6562530518,361.116,-74.3687530518,4.0590454519,89.3375038147,"L4tg"
"118",5.152,-50.4750022888,3.488,47.4312515259,999.999938965,3.12,-45.7437522888,165.196,-77.3812530518,4.1571544154,97.9062538147,"L4tg"
"119",4.652,-43.6750030518,3.26,52.4750038147,790,2.954,-40.7000015259,274.076,-68.1687545776,4.1332136769,96.1500068665,"L4tg"
"122",4.9375,-51.8489608765,3.3758333,44.1145852407,790,3.0333333,-48.3177108765,592.145,-80.7656288147,3.8971740047,95.9635461172,"L4tg"
"124",5.736,-53.7562530518,3.508,42.4687515259,760,3.088,-47.7125015259,629.524,-81.7875045776,4.4356406243,96.2250045777,"L4tg"
"125",4.719,-51.0500022888,3.34,44.5062522888,810.000061035,3.004,-43.2375015259,86.155,-69.2750015259,3.0168878114,95.5562545776,"L4tg"
"126",5.256,-52.7375030518,3.472,46.4875,610,3.12,-48.5062522888,668.276,-76.0625030518,4.2989712512,99.2250030518,"L4tg"
"127",5.102,-53.9375030518,3.376,37.1125015259,900,3.034,-50.2500022888,475.018,-80.8625015259,3.7127526104,91.0500045777,"L4tg"
"130",5.470625,-56.9648451805,3.555625,41.5156259537,630,3.124375,-51.1484389305,458.9625,-77.527346611,4.1832926925,98.4804711342,"L4tg"
