"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"226",4.8533333,-50.9062519073,3.3566667,37.8906262716,650,2.9566667,-47.8541692098,492.96,-76.1354230245,3.2438825818,88.7968781789,"L5tg"
"227",5.108,-50.5125015259,3.416,50.2125015259,979.999938965,3.054,-46.2500022888,93.651,-72.2250030518,3.5774376865,100.725003052,"L5tg"
"229",5.2766667,-54.4010416667,3.4383333,39.8593756358,105,3.0325,-42.651043574,452.04,-80.1718762716,3.4824437894,94.2604173025,"L5tg"
"230",4.762,-47.3062530518,3.28,40.0437530518,568,2.93,-43.2062507629,170.634,-67.4312515259,3.4425334928,87.3500061036,"L5tg"
"231",5.255,-45.0937519073,3.3925,38.2578144073,1330,3.0275,-47.0000019073,533.97875,-78.8359413147,3.8818498907,83.3515663146,"L5tg"
"232",5.906,-55.9562507629,3.721,35.8375,660,3.236,-44.7125,124.104,-69.18125,2.9863353572,91.7937507629,"L5tg"
"235",4.957,-52.2437522888,3.349,30.1375015259,889.999938965,2.934,-42.2312522888,600.229,-77.6437515259,2.4388730822,82.3812538147,"L5tg"
"236",4.93125,-52.468752861,3.46375,45.2812538147,610,3.10875,-45.609377861,80.9775,-70.6718769073,3.4714127284,97.7500066757,"L5tg"
"237",5.618,-52.4000030518,3.623,43.7125015259,1180,3.198,-48.0125030518,131.585,-77.7000015259,3.5305166621,96.1125045777,"L5tg"
"239",5.16125,-52.148440361,3.415,29.7734384537,550,2.9175,-45.023440361,431.805,-66.7500019073,2.5471432083,81.9218788147,"L5tg"
"241",5.128,-53.6500030518,3.336,44.9875015259,680,3.016,-47.2750038147,616.216,-75.5937530518,4.2548350493,98.6375045777,"L5tg"
"242",5.052,-51.7000022888,3.368,45.9250015259,720,3.028,-45.3062515259,85.444,-70.5375015259,4.0172443246,97.6250038147,"L5tg"
"243",7.125,-49.3541679382,3.5883333,28.7708346049,393.333333333,3.0883333,-40.9270858765,475.545,-72.0520858765,4.1765617318,78.1250025431,"L5tg"
"245",4.9241667,-56.119793574,3.4508333,36.1458358765,61.6666666667,3.0116667,-51.1614608765,713.9441667,-71.0572942098,2.4531328674,92.2656294505,"L5tg"
"246",6.058,-51.7500015259,3.562,35.5375022888,1150,3.09,-50.7562522888,76.808,-67.20625,3.1522009983,87.2875038147,"L5tg"
"248",5.12,-54.3984394073,3.475,35.2343769073,810,3.085,-50.101565361,225.045,-75.007818222,3.1756041249,89.6328163146,"L5tg"
"249",5.9,-55.1718769073,3.505,43.4765644073,680,3.09,-46.1562519073,553.485,-72.101568222,4.1312349352,98.6484413146,"L5tg"
"250",5.115,-49.0208352407,3.4791667,30.3541682561,790,3.0808333,-41.0885423024,723.3808333,-73.3072942098,2.5678839432,79.3750034968,"L5tg"
"251",5.27875,-51.4375019073,3.41125,42.6562519073,960.000061035,3.04625,-46.15625,317.08375,-77.8359375,3.3559129446,94.0937538146,"L5tg"
"252",5.258,-49.2250022888,3.49,40.7812507629,1100,3.063,-48.9250022888,339.876,-77.7687545776,3.0502340375,90.0062530517,"L5tg"
"254",5.4008333,-53.3333352407,3.4875,42.7031256358,380,3.1175,-46.8697923024,263.9791667,-62.140625,3.9288939487,96.0364608765,"L5tg"
"256",6.7383333,-55.2291679382,3.4266667,42.9791679382,1300,3.0166667,-46.8333333333,382.735,-78.40625,4.4658753786,98.2083358764,"L5tg"
"257",5.268,-53.3625022888,3.424,35.6687507629,640,3.016,-45.7875007629,696.044,-73.5250015259,3.3705647739,89.0312530517,"L5tg"
"259",5.1433333,-52.7500012716,3.5216667,47.5,0,3.1716667,-44.5208333333,489.0283333,-73.2708333333,4.0018445537,100.250001272,"L5tg"
"260",6.055,-49.539065361,3.51125,41.0625038147,1320,3.0975,-48.085940361,549.38,-78.8906269073,4.0183786943,90.6015691757,"L5tg"
"261",5.077,-51.7937522888,3.43,34.3375015259,870,3.042,-48.0312530518,71.027,-71.4875061035,3.394701058,86.1312538147,"L5tg"
"262",6.641,-53.075,3.597,35.2437530518,0,3.116,-45.1875,714.425,-80.3875045776,4.2616668776,88.3187530518,"L5tg"
"263",6.762,-53.6250015259,3.393,33.1312507629,568,2.911,-45.4500007629,67.44,-65.3187530518,4.0556416429,86.7562522888,"L5tg"
"264",4.85,-46.7968769073,3.4125,47.9609394073,230,3.0375,-45.8281288147,620.56,-77.9296913147,3.7732565057,94.7578163146,"L5tg"
"265",4.926,-51.2125030518,3.463,38.3062515259,240,3.088,-50.7187522888,200.258,-76.9750030518,3.1197225059,89.5187545777,"L5tg"
"267",5.305,-51.304690361,3.535,34.3359384537,830,3.085,-43.6171894073,663.8,-80.3046894073,2.8870800679,85.6406288147,"L5tg"
"268",5.053,-52.5125022888,3.388,37.0375015259,280,3.024,-47.15625,298.017,-72.9125,3.5388304498,89.5500038147,"L5tg"
"269",5.181,-50.1812522888,3.365,40.8437515259,969.999938965,3.009,-46.7375007629,254.756,-77.1437530518,3.5331743886,91.0250038147,"L5tg"
"271",5.7775,-52.4062519073,3.5125,41.3906269073,1040,3.12875,-45.4453144073,75.67875,-69.2109394073,3.7658740627,93.7968788146,"L5tg"
"272",5.438,-49.5562522888,3.604,23.9500007629,1280,3.161,-46.1750015259,612.421,-74.5125,3.0024571878,73.5062530517,"L5tg"
"273",4.9216667,-53.2500012716,3.515,39.7083346049,0,3.17,-46.0833346049,510.4816667,-72.0208358765,3.0203428322,92.9583358765,"L5tg"
"274",4.4891667,-53.2083352407,3.1083333,41.5885429382,750,2.7583333,-43.1093756358,297.0416667,-70.2187512716,2.9464627838,94.7968781789,"L5tg"
"275",4.9475,-51.8437538147,3.505,32.859375,999.999938965,3.1525,-48.0937519073,196.9825,-79.4375,3.1283378372,84.7031288147,"L5tg"
"276",4.947,-50.4000015259,3.337,31.6187507629,276,2.951,-44.1750015259,473.736,-69.8500030518,2.8622313558,82.0187522888,"L5tg"
"277",5.089,-54.2812530518,3.526,50.4625030518,580,3.11,-48.8125015259,82.866,-69.21875,3.1145823709,104.743756104,"L5tg"
"278",5.5625,-47.3541692098,3.4941667,34.4270852407,256.666666667,3.0575,-42.9270839691,641.8591667,-73.7187525431,4.1110491571,81.7812544505,"L5tg"
"279",6.1208333,-52.9635448456,3.4916667,43.7135442098,1280,3.0666667,-52.2239608765,161.1975,-79.2135467529,4.2643453545,96.6770890554,"L5tg"
"280",4.629,-55.3500007629,3.392,35.36875,690,3.034,-47.3625022888,58.044,-69.1312515259,2.2529081279,90.7187507629,"L5tg"
"283",5.39375,-50.8906269073,3.4925,44.9453144073,939.999938965,3.10875,-45.250002861,530.35375,-77.1015663147,3.4264242087,95.8359413146,"L5tg"
"284",5.1,-50.9453144073,3.4175,32.2031254768,1190,3.0325,-49.0546884537,275.07,-76.2265663147,3.1941434863,83.1484398841,"L5tg"
"285",4.82,-52.4062530518,3.142,31.3750011444,830,2.717,-40.0562522888,284.073,-73.2812515259,2.6311666795,83.7812541962,"L5tg"
"287",5.995,-53.406252861,3.53,35.5937519073,640,3.1,-44.4140634537,607.69,-72.1718769073,4.0376014505,89.0000047683,"L5tg"
"288",5.7,-52.5937519073,3.17625,27.1171889305,292.5,2.7125,-41.328127861,55.175,-61.8046913147,2.6475708119,79.7109408378,"L5tg"
"289",4.748,-51.2750015259,3.468,45.5562530518,1080,3.086,-48.6687522888,100.443,-76.3062530518,2.9593617083,96.8312545777,"L5tg"
"290",5.57,-52.84375,3.5325,32.1562519073,1140,3.125,-47.2812519073,338.9625,-77.328125,3.4780518438,85.0000019073,"L5tg"
"292",5.967,-52.1500022888,3.415,45.6750015259,760,3.017,-51.1125038147,431.345,-75.2312561035,4.9646449054,97.8250038147,"L5tg"
"293",5.53,-53.3984413147,3.57,37.765627861,640,3.18,-45.1562509537,377.66,-68.3437519073,3.9052257512,91.1640691757,"L5tg"
"294",5.16,-50.7937515259,3.451,41.1187522888,0,3.089,-49.3437522888,66.403,-71.7375045776,3.1691812909,91.9125038147,"L5tg"
"295",5.844,-49.3062515259,3.308,35.8750015259,1140,2.956,-44.6250022888,553.455,-76.8062515259,4.3260865354,85.1812530518,"L5tg"
"296",4.775,-49.9375012716,3.5233333,33.6875025431,0,3.1683333,-42.2395846049,512.925,-78.0208409627,2.8172098941,83.6250038147,"L5tg"
"297",4.648,-53.1312507629,3.308,43.7312507629,1170,3.001,-48.6437522888,65.203,-72.8812530518,2.9957876937,96.8625015258,"L5tg"
"298",5.597,-51.0812515259,3.708,24.3437511444,114,3.201,-45.8687530518,604.686,-76.9000061035,2.5284319771,75.4250026703,"L5tg"
"299",4.75,-50.7968788147,3.36,47.3828144073,700,3.035,-45.179690361,427.575,-69.9687538147,4.0623856245,98.179693222,"L5tg"
"300",4.8775,-49.6458352407,3.34,39.6302102407,610,2.9316667,-44.8281269073,646.5075,-76.6197967529,3.0380372892,89.2760454814,"L5tg"
"301",5.1275,-56.7500009537,3.51125,41.421877861,630,3.12125,-51.148440361,116.85125,-78.1718769073,3.8852903738,98.1718788147,"L5tg"
"302",4.7478571,-53.276788984,3.3092857,30.6696439471,1120,2.9464286,-49.5758955819,303.8978571,-76.4687532697,2.9326231699,83.9464329311,"L5tg"
"304",5.24375,-49.265625,3.4425,46.5390625,650,3.1,-46.8437509537,405.5875,-70.5781269073,4.3123515908,95.8046875,"L5tg"
"306",5.1616667,-56.5885448456,3.4216667,35.1093765895,180,3.0475,-47.6197942098,500.1933333,-77.7500050863,3.2741808662,91.6979214351,"L5tg"
"307",5.185,-53.7343769073,3.34,43.218752861,740,2.975,-47.4921884537,423.85,-74.8437538147,4.3485142191,96.9531297683,"L5tg"
"309",6.92,-51.9218788147,3.6075,41.2500019073,900,3.1225,-46.9687519073,565.0925,-78.1562538147,3.3718911394,93.171880722,"L5tg"
"310",6.1641667,-50.8072942098,3.4366667,49.3750025431,1460,3.0975,-45.510418574,564.1383333,-77.692712148,4.1873739375,100.182296753,"L5tg"
"313",4.652,-49.7250022888,2.901,41.5500007629,800,2.569,-39.8937522888,634.306,-77.4750045776,3.3878416403,91.2750030517,"L5tg"
"314",5.10625,-49.3984384537,3.44125,30.6328144073,720,3.0025,-43.6718759537,105.3275,-66.8046875,2.8530810489,80.031252861,"L5tg"
"315",5.096,-52.8125022888,3.44,32.5687526703,979.999938965,3.004,-45.4437530518,261.628,-77.8437530518,3.405759272,85.3812549591,"L5tg"
"316",8.33,-52.0000007629,3.469,30.39375,840,2.883,-20.9625003815,572.888,-71.1,2.6993535431,82.3937507629,"L5tg"
"317",4.6683333,-53.8489602407,3.3766667,47.9739602407,610,3.0091667,-48.2291692098,67.5791667,-69.9583396912,3.1186314104,101.822920481,"L5tg"
"318",5.127,-44.9187530518,3.526,20.9062511444,0,3.164,-31.0687511444,413.224,-75.7437530518,2.2013278628,65.8250041962,"L5tg"
"319",5.409,-46.1187530518,3.544,31.7187511444,0,3.08,-44.7812522888,83.314,-77.0125045776,3.2141080881,77.8375041962,"L5tg"
"320",7.667,-53.3312522888,3.522,37.5000022888,1130,3.109,-47.6937522888,747.021,-79.0812530518,4.96944377,90.8312545776,"L5tg"
"321",6.266,-51.3187507629,3.735,40.5562507629,0,3.289,-48.4562507629,338.333,-77.4125045776,4.1117489067,91.8750015258,"L5tg"
"322",9.81,-61.8593797684,3.43625,23.6953134537,440,3.06125,-36.398440361,27.485,-69.4375019073,2.5095726598,85.5546932221,"L5tg"
"323",5.1325,-48.0781259537,3.44875,41.3046875,1180,3.09,-40.7265644073,619.25875,-69.5234375,3.406289055,89.3828134537,"L5tg"
"324",5.4266667,-55.0937525431,3.56,42.3229179382,860,3.12,-46.9375025431,110.5,-81.2500050863,3.0607072471,97.4166704813,"L6atg"
"325",5.506,-56.5875038147,3.57,26.5125011444,0,3.142,-46.8125022888,231.151,-77.4000030518,2.3827811392,83.1000049591,"L6atg"
"326",5.011,-55.7875030518,3.336,35.7625007629,450,2.946,-48.1375022888,592.528,-67.3937530518,2.9362278808,91.5500038147,"L6atg"
"327",5.74,-53.8250015259,3.672,35.9000022888,0,3.168,-46.5312515259,97.364,-76.8000045776,2.8872585327,89.7250038147,"L6atg"
"328",5.31,-54.125,3.47,32.2656269073,690,3.01,-46.5312538147,605.2,-78.0937576294,3.0121027887,86.3906269073,"L6atg"
"329",5.698,-52.0937522888,3.52,39.1000015259,530,3.013,-48.7562522888,556.521,-72.9187561035,3.1924265565,91.1937538147,"L6atg"
"332",5.126,-56.0312515259,3.595,43.2750030518,509.999969482,3.175,-51.4937538147,103.507,-75.1000045776,2.7511430812,99.3062545777,"L6atg"
"333",5.055,-51.0312530518,3.398,49.5187522888,680,3.013,-45.5750030518,532.211,-70.0812530518,3.3719861112,100.550005341,"L6atg"
"334",4.9825,-51.8177115122,3.3625,36.9166692098,850,2.9491667,-49.6197954814,415.9641667,-77.4166717529,2.7292945654,88.734380722,"L6atg"
"335",6.102,-54.7187522888,3.705,16.7187507629,720,3.187,-41.4875030518,101.797,-79.4312530518,2.3297884026,71.4375030517,"L6atg"
"336",5.1891667,-53.0572942098,3.3658333,47.8177102407,770,2.9491667,-45.0312519073,303.4666667,-72.786462148,2.7526139564,100.875004451,"L6atg"
"337",5.9325,-59.0156269073,3.5225,24.8046884537,760,3.13,-38.8593759537,224.17375,-77.5078125,2.3843709168,83.820315361,"L6atg"
"338",5.195,-52.8250030518,3.45,24.7562515259,144,3.049,-39.7375007629,83.703,-73.5625045776,2.2198588568,77.5812545777,"L6atg"
"341",5.545,-57.5729179382,3.5066667,30.1354166667,0,3.0783333,-42.6979179382,479.82,-76.9270909627,2.8102099039,87.7083346049,"L6atg"
"342",5.7933333,-55.2083358765,3.5833333,35.6562512716,900,3.1133333,-40.2656275431,245.3666667,-78.1562525431,3.0053163542,90.8645871481,"L6atg"
"343",5.42,-52.6250030518,3.54,42.5812530518,600,3.092,-47.6375022888,381.14,-76.0687561035,3.1644086346,95.2062561036,"L6atg"
"344",5.355,-54.2008961269,3.5135714,43.763395037,930,3.0471429,-47.2723246983,354.9521429,-78.0401796613,2.5258623559,97.9642911639,"L6atg"
"345",5.665,-59.1197942098,3.4883333,36.6145852407,790,3.0575,-51.9583352407,76.0833333,-80.1927108765,2.6904092583,95.7343794505,"L6atg"
"347",5.4725,-53.5000031789,3.4758333,46.4687531789,530,3.0241667,-47.9739602407,495.2066667,-75.0937538147,3.7704085621,99.9687563578,"L6atg"
"350",5.2358333,-53.9427115122,3.4883333,26.7500019073,530,3.075,-42.4114596049,93.0341667,-70.5312512716,2.481194983,80.6927134195,"L6atg"
"351",5.1025,-56.4375038147,3.135,21.65625,460,2.735,-46.3125019073,377.8575,-66.75,2.6011035691,78.0937538147,"L6atg"
"352",5.43375,-56.390627861,3.51125,33.4140634537,650,3.07125,-46.9296884537,87.60875,-73.6250038147,2.5426988156,89.8046913147,"L6atg"
"353",5.416,-55.4562530518,3.582,34.6500015259,800,3.087,-48.0312522888,383.077,-69.8875045776,2.4754795008,90.1062545777,"L6atg"
"354",5.0133333,-54.0625025431,3.4133333,39.3750025431,540,2.9866667,-48.2708346049,322.0933333,-69.9375050863,3.1065143314,93.4375050862,"L6atg"
"355",5.108,-51.10625,3.386,31.6500015259,570,3.013,-39.6562522888,83.41,-72.0125045776,2.5570341182,82.7562515259,"L6atg"
"356",4.851,-51.0000015259,3.215,38.2250038147,700,2.765,-47.1812522888,105.457,-72.1562530518,2.8136143624,89.2250053406,"L6atg"
"358",5.875,-56.7421913147,3.705,37.585940361,989.999938965,3.15,-50.406252861,109.37,-80.875005722,2.3970053582,94.3281316757,"L6atg"
"359",5.186,-53.8562515259,3.485,46.6875022888,630,3.069,-47.6625030518,235.866,-76.0625030518,3.4410326392,100.543753815,"L6atg"
"360",5.0216667,-54.2031269073,3.4366667,40.9166679382,830,3.0408333,-50.4583352407,323.5,-77.8281275431,2.6906586612,95.1197948455,"L6atg"
"361",5.044,-55.0187522888,3.404,37.4625007629,1140,2.988,-50.7437522888,266.844,-81.6125045776,3.2673081796,92.4812530517,"L6atg"
"362",6.455,-44.9687509537,3.37875,45.4921884537,1230,2.8825,-44.2578144073,411.68625,-72.6953144073,4.4259804279,90.4609394074,"L6atg"
"363",5.095,-55.875002861,3.3625,39.1250009537,839.999938965,2.97875,-52.4687538147,253.17875,-78.718755722,2.4615536122,95.0000038147,"L6atg"
"364",5.109,-55.4625022888,3.372,38.2875007629,880,2.952,-50.6125022888,495.931,-80.0500045776,3.0042710453,93.7500030517,"L6atg"
"366",5.308,-55.6375022888,3.428,47.7000022888,670,3.08,-45.9000022888,436.784,-75.6812545776,3.94630015,103.337504578,"L6atg"
"367",5.36,-56.9765634537,3.565,37.3515644073,810,3.12,-46.984377861,661.15,-76.8671875,2.6046963393,94.328127861,"L6atg"
"368",5.4433333,-51.7500025431,3.4583333,28.6562515895,155,3.0416667,-36.9531256358,180.4425,-74.9687550863,2.7140234141,80.4062541326,"L6atg"
"369",5.402,-60.7875022888,3.53,36.8125022888,790,3.094,-55.5437522888,297.435,-81.2625,3.4252847224,97.6000045776,"L6atg"
"370",4.4666667,-52.2083358765,3.2283333,31.2812519073,440,2.89,-43.96875,754.205,-69.1875050863,2.2294494128,83.4895877838,"L6atg"
"371",5.10875,-54.320315361,3.3325,33.7500019073,360,2.94375,-43.3125038147,102.68625,-62.1562519073,2.6229912994,88.0703172683,"L6atg"
"372",5.384,-54.3312515259,3.54,34.7000007629,959.999938965,3.068,-48.4687538147,340.032,-79.4000015259,2.8068707717,89.0312522888,"L6atg"
"374",6.32,-51.7395858765,3.5933333,41.1458346049,300,3.1333333,-47.0208346049,820.5666667,-66.3125025431,4.1387199243,92.8854204814,"L6btg"
"375",6.236,-54.3562522888,3.512,40.1562515259,479.999969482,3.132,-45.3687522888,500.652,-73.3500045776,4.3090883,94.5125038147,"L6btg"
"376",6.52,-53.6562538147,3.48,30.6562519073,830,3.06,-41.71875,516.12,-75.2500076294,3.9064435586,84.312505722,"L6btg"
"377",6.992,-58.0125030518,3.46,25.4125019073,186,2.916,-41.4562507629,97.856,-69.2125045776,3.1189494236,83.4250049591,"L6btg"
"378",6.44,-56.0416692098,3.4366667,34.2760429382,105,3.0433333,-43.6458352407,240.8933333,-69.4687538147,3.9651490847,90.317712148,"L6btg"
"379",6.5933333,-46.1458358765,3.5866667,39.1562525431,390,3.0866667,-44.8854179382,406.16,-66.9687550863,4.0352812301,85.3020884196,"L6btg"
