"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"274",0.0032075613,18.2135185185,0.7396008892,0.01245,219.218745828,0.0653395057,11.3302379491,-74.1142349243,54.9042733827,31.48,-62.59375,30.26,22.4375,110,29.85,-33.3750038147,31.61,-62.8125,1.4712333598,85.03125,"Sst-IRES-Cre"
"277",0.028414687,58.0909375,0.2324999967,0.016375,357.142865658,0.0710114762,88.6743577429,-59.3971290588,17.2143890775,73.015,-51.59375,71.335,22.28125,29.9999980927,70.835,-37.0312538147,96.37,-51.9375,2.4432934881,73.875,"Gad2-IRES-Cre"
"286",0.0240650778,29.9925,0.5245535714,0.02184,230.468943715,0.0809965506,18.1274680274,-71.9615402222,33.3416687505,51.92,-61.5937538147,50.94,29.4062519073,50,50.56,-44.4375,52,-61.65625,1.9454791285,91.000005722,"Chrna2-Cre_OE25"
"304",0.3898090181,126.19,0.1472222222,0.0499,247.209787369,0.1305550337,34.4632411319,-75.7673873901,7.92455820588,146.98,-45.9062538147,144.16,38.03125,90,143.6,-33.8125,193.02,-54.9375038147,2.9704548983,83.9375038147,"Chrna2-Cre_OE25"
"328",0.2641601555,19.89,0.1625,0.0227,345.132231712,0.1095933169,28.6848842198,-75.5577392578,50.2765208648,51.86,-60.1562538147,50.78,30.5937519073,50,50.26,-43.8125038147,51.88,-60.1875038147,1.5008909647,90.750005722,"Sst-IRES-Cre"
"331",0.3694243244,234.183333333,0.0622340431,0.03249,328.906267881,0.0241032355,33.6563817662,-76.1264419556,4.27015870757,203.63,-64.96875,202.97,25.9375019073,30.0000019073,202.665,-56.15625,203.655,-65.0937576294,1.5295348267,90.9062519073,"Sst-IRES-Cre"
"343",0.0043230549,88.42,0.1644911553,0.00798,186.562418938,0.0656694323,12.7284228906,-70.5390701294,11.3096584483,358.4,-49.9062538147,356.86,36.9375,110,356.4,-40.9687538147,358.4,-49.9062538147,2.9084602245,86.8437538147,"Vip"
"349",0.1579015491,38.5333333333,0.0308988764,0.0118,193.437457085,0.0550305173,12.0755784004,-71.559135437,25.9515570934,36.58,-51.4687538147,35,33.6250038147,80,34.6,-42.3750038147,36.68,-51.53125,3.1612024479,85.0937576294,"Vip"
"377",1,1000,0.9594086251,0.00619,119.375117123,0.0237862524,9.61065836399,-69.7741775513,1,9.13,-70.6562576294,8.2,25.0312519073,249.999984741,7.795,-47.53125,9.185,-70.78125,1.4557154889,95.6875095367,"Sst-IRES-Cre"
"396",-0.0030600409,50.0389473684,0.2868932039,0.0363,210.312455893,0.0470303409,13.0879894655,-72.1218643188,19.9844331784,300.36,-51.53125,298.4,35.3125,70,298.02,-32.9375,308.86,-56.875,3.3109132694,86.84375,"Nkx2-1-CreERT2"
