"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"213",0.0014884133,23.140952381,0.7344488908,54.665,5.405225,4.655,-59.7812538147,-56.5104204814,-61.0125038147,0.024905,53.57,5.4038683333,3.534,32.875,26.8854179382,37.8500007629,165.803566575,0.1147125438,120.000007629,135.08333079,610,53.165,5.403395,3.148,-32.3125,-24.7812512716,-37.9250030518,54.725,5.4053983333,459.514,-59.9375038147,-56.6875025431,-73.6750045776,1.5006118034,1.3665787576,1.617939408,-73.2946472168,"Inhibitory",10.870978931,43.2134332043,98.8625045776,92.6562538147,83.3958384196
"223",0.0295126626,11.2783333333,1.4045454545,14.73,9.8859033333,4.0116667,-61.4687538147,-58.0937538147,-63.8437512716,0.00745,14.01,9.8850516667,3.3066667,16.3750019073,10.2500003179,23.9375006358,138.794541359,0.080078952,270,247.124994914,489.999969482,13.7,9.8846816667,3.0133333,-35.03125,-30.479168574,-47.9375,14.825,9.8859266667,376.9583333,-61.6250038147,-58.1770846049,-76.2291717529,1.1854364033,1.0548192101,1.3360066442,-75.6486053467,"Inhibitory",6.19456609912,88.6655829765,87.7812519074,77.843755722,68.3437541326
"224",0.0086449434,57.665,0.2343750099,116.02,2.6858533333,4.356,-48.3750038147,-51.8437525431,-55.2500022888,0.05036,113.68,2.6821133333,2.852,36.1562538147,37.8750012716,37.1937515259,188.593819737,0.0488955341,130,67.0416666667,700,113.22,2.68166,2.52,-37.6875038147,-35.9166666667,-51.0125030518,125.24,2.7052266667,418.652,-55.03125,-58.6562525431,-74.5625030518,3.8410125729,3.802911229,4.0681641286,-74.1413345337,"Excitatory",20.5036844997,17.3415416631,92.4437538147,84.5312576294,89.7187538147
"229",0.0116282761,95.6244444444,0.1541403808,211.895,2.2155783333,5.501,-46.9375038147,-48.8750012716,-51.3312522888,0.07504,209.2,2.2124866667,3.336,46.34375,45.5729166667,47.6000015259,193.281367421,0.0975460112,50,55.3333346049,296,208.82,2.2120866667,2.992,-36.75,-37.8958358765,-44.6125022888,250.865,2.253265,460.013,-57.0000038147,-57.3541704814,-66.9625045776,3.9711315285,4.2779831474,3.8455638604,-65.6994934082,"Excitatory",30.1351968105,10.4575770956,98.9312538147,93.2812538147,94.4479179383
"231",0.2077250898,141.385833333,0.115174903,98.52,3.6214,4.589,-51.7812538147,-50.4166679382,-52.0750038147,0.045985,96.35,3.6195183333,3.051,46.65625,49.4375038147,44.0187515259,175.000041723,0.0361807421,90,90.5,930,96.005,3.6191666667,2.738,-42.5,-39.2395846049,-49.2312530518,122.19,3.6508333333,661.236,-57.8125038147,-57.8854166667,-79.8937530518,4.311725613,4.3763501976,4.4803039856,-78.5516433716,"Excitatory",22.9385790753,7.07284440332,96.0937553406,98.4375038147,99.8541717529
"232",0.0003372655,11.1551136364,1.0428574659,10.645,13.1025525,4.5541667,-60.65625,-54.6875019073,-63.0520839691,0.00721,9.71,13.101235,3.385,11.15625,3.484375,13.0937501589,103.75007242,0.0313009657,370,327.5,121.666666667,9.36,13.10075,3.0341667,-42.5625,-29.7968759537,-46.8697929382,10.705,13.10267,738.9591667,-60.7187538147,-54.859375,-83.078125,1.5456150204,1.0931257668,1.5807905592,-81.0082778931,"Inhibitory",7.83297565726,89.6449854833,76.145834128,71.8125,58.1718769073
"236",0.0226394565,59.69,0.1961538462,514.2,2.2820183333,5.89,-55.28125,-51.6041704814,-59.24375,0.038845,509.98,2.27834,3.405,44.3125,46.4062525431,44.2687522888,278.794765472,0.098568581,70,56.9166666667,730,509.43,2.2777966667,2.982,-36.5625038147,-34.4895846049,-45.8937507629,524.1,2.3057883333,784.796,-58.84375,-58.0520858765,-76.9250030518,4.3148191256,3.8803080459,4.044890222,-74.1093292236,"Excitatory",28.8238727566,16.7532249958,103.512502289,99.59375,98.0104230245
"237",0.0216371646,65.4735714286,0.3149590164,90.57,3.4327133333,4.546,-56.4375038147,-55.7812525431,-58.5312522888,0.041475,89.3,3.4314666667,3.443,22.4375019073,27.979168574,20.2937511444,218.281373382,0.0656530336,90,85.7916641235,122,88.865,3.43102,3.108,-36.7187538147,-33.9375012716,-39.0062522888,90.625,3.4327433333,404.792,-56.5312538147,-55.8645846049,-68.4187530518,1.8012681497,1.7462005483,1.6921323144,-67.5254211426,"Inhibitory",26.0869580361,15.2733382062,78.8250034332,78.875005722,83.7604211171
"247",0.0320481523,63.9953571429,0.1529762016,105.425,4.45531,4.975,-49.34375,-49.0729192098,-51.7708358765,0.05055,103.485,4.4534383333,3.4683333,34,33.9791666667,31.7708326976,155.781254172,0.0507714227,110,111.333333333,343.333333333,103.06,4.453,3.0816667,-36.1562538147,-36.7083333333,-44.5416692098,119.325,4.4751066667,654.8683333,-53.6875,-53.9583346049,-81.4479166667,3.0544488474,2.7734693276,2.9656314084,-81.7539978027,"Excitatory",21.0263990318,15.6261335923,83.5416685741,83.34375,83.0520858765
"251",0.0314171806,80.3122727273,0.1495290716,77.85,7.12928,5.195,-44.3750038147,-44.1666692098,-52.8250030518,0.046135,75.845,7.1277466667,3.45,30.0937519073,33.1145839691,24.7562515259,146.093830466,0.0842964947,190,178.208333333,144,75.375,7.1272533333,3.049,-32.2500038147,-30.9687525431,-39.7375007629,90.815,7.151265,83.703,-45.53125,-48.0416692098,-73.5625045776,2.354592213,2.1418234579,2.2198588568,-73.2192153931,"Excitatory",13.7048037855,12.4513971033,77.5812545777,74.468755722,77.2812531789
"252",0.0314091637,49.9816666667,0.3716279231,168.895,2.83574,4.229,-58.46875,-56.7916692098,-59.9812522888,0.028085,168.025,2.8349333333,3.447,27.6562519073,32.8229179382,32.4562507629,210.781291127,0.0397304669,60.0000038147,70.875,0,167.705,2.83461,3.164,-43.5937538147,-41.5104204814,-44.1187538147,168.945,2.835775,295.856,-58.6562538147,-56.8750025431,-69.1750045776,1.8426534344,1.7469860033,1.8392958598,-68.2111053467,"Inhibitory",18.9936319837,20.0073360232,92.4375030517,86.1250019073,89.614587148
"260",0.0214200304,70.8525,0.1920250714,116.395,7.0426083333,5.059,-48.34375,-47.2187525431,-53.0062515259,0.057935,114.24,7.0408066667,3.485,44.8125,42.8229179382,43.7250015259,115.468673408,0.1227882802,209.999984741,176,0,113.805,7.0403566667,3.11,-33.34375,-31.9270852407,-44.8125022888,127.955,7.0640783333,97.463,-48.96875,-51.2291679382,-76.8750030518,2.8098324976,2.5102833192,2.6278680181,-75.9193191528,"Excitatory",13.6680116419,14.113828023,96.7312530518,93.15625,90.0416704813
"261",0.0074741299,50.3344736842,0.2528073355,314.935,6.0997416667,9.5383333,-45.4375038147,-46.7812512716,-60.3541692098,0.04162,311.42,6.0953483333,3.4816667,6.5,12.8854169846,6.9427084923,164.687544107,0.0049031326,140,152.374994914,520,310.735,6.0947866667,3.0966667,-29.6875019073,-30.8229179382,-35.5885448456,317.49,6.1043583333,326.1916667,-46.34375,-48.21875,-69.1302108765,2.6980982247,2.9573749789,2.0434335588,-68.8334197998,"Inhibitory",9.51005286191,19.8670995603,67.2968777021,51.9375038147,59.6666682562
"271",0.0720733276,95.882,0.1913043478,92.38,1.0024933333,4.768,-47.5000038147,-49.2916692098,-50.9187522888,0.03456,89.92,1.0005333333,3.252,39.2187538147,39.5208333333,37.3312522888,197.656199336,0.0450279005,70,24.9999993642,360,89.44,1.00002,2.852,-35.8437538147,-40.6666666667,-43.8437538147,108.16,1.0330066667,52.296,-53.9687538147,-57.1562525431,-60.8000030518,3.0205568054,2.9253809378,2.8052644276,-59.7773742676,"Inhibitory",19.5013715902,10.4294862435,88.2500045776,86.7187576294,88.8125025431
"278",0.0148176212,108.524444444,1.1752731289,116.96,8.79439,4.115,-61.5937538147,-59.3593769073,-61.6328134537,0.01648,116.26,8.79367,3.38,14.3437509537,19.7343759537,20.3750004768,114.374995232,0.0562333465,200,219.874992371,520,115.94,8.79335,3.1,-40.7187538147,-38.9375019073,-48.7031259537,117.06,8.79443,826.905,-61.7187538147,-59.453125,-78.1250019073,1.2076858266,1.3228008461,1.4647669432,-77.639793396,"Inhibitory",8.3099082329,9.2145138832,82.0078139305,75.9375047684,79.093752861
"282",0.0083101744,40.6706521739,0.555,135.185,3.1384466667,4.465,-51.1562538147,-50.5208358765,-55.2656288147,0.03868,134.185,3.1373066667,3.405,7.8125,7.3229169846,9.5000004768,242.1875,0.190551132,70,78.4583333333,0,133.855,3.1369666667,3.1525,-33.9375038147,-33.8333346049,-32.0000019073,135.28,3.14836,160.2575,-51.28125,-51.520837148,-73.4218826294,1.539658809,1.5403400673,1.4910164839,-72.1569137573,"Inhibitory",17.1111665266,24.5877542294,64.7656292915,58.9687538147,57.8437528611
"286",0.0240650778,29.9925,0.5245535714,51.92,1.48259,4.2133333,-61.5937538147,-60.4843788147,-59.895837148,0.02184,50.94,1.48162,3.3,29.4062519073,33.7031288147,33.8125025431,230.468943715,0.0809965506,50,36.9999990463,499.999969482,50.56,1.48117,2.9666667,-44.4375,-51.1562519073,-42.8645846049,52,1.48268,545.66,-61.65625,-60.5937519073,-72.4791692098,1.9454791285,1.991970474,2.032039695,-71.9615402222,"Inhibitory",18.1274680274,33.3416687505,93.7083396911,91.000005722,94.1875076294
"288",-7.72783694761e-05,10.1684536082,1.257439807,8.34,6.0198733333,4.1575,-56.625,-53.0937512716,-57.2343773842,0.00494,7.4,6.0188466667,3.145,16.5625019073,15.1666676203,15.5898444653,174.375116825,0.0130160386,160,150.458333333,340,7.02,6.0184133333,2.78,-45.8437538147,-30.1770846049,-46.0703139305,8.42,6.0202,646.695,-56.6875038147,-53.4791679382,-66.7929697037,1.5080636664,1.2632586038,1.4856222126,-65.881477356,"Inhibitory",14.2476171262,98.3433704407,72.8242218495,73.1875019073,68.2604188919
"292",1,65.62,0.2240020881,164.165,1.8399783333,4.9175,-49.7187538147,-50.364587148,-54.8359384537,0.04954,161.995,1.8381633333,3.4975,26.5312519073,31.5104179382,27.3515639305,269.374966621,0.0405708998,70,45.9583333333,410,161.475,1.8376833333,3.1025,-38.1562538147,-38.645837148,-49.0468759537,863.505,1.869705,614.7375,-57.90625,-56.1354192098,-76.4375,2.7706464728,2.9297766418,3.0507754647,-76.3499221802,"Excitatory",14.2527423087,15.2392563243,82.1875023842,76.250005722,81.8750050862
"305",0.0006425881,12.5075,1.1567885117,252.425,10.743725,3.35,-55.6875038147,-52.390625,-57.5468769073,0.01187,251.71,10.7430225,2.8125,14.8437509537,19.0000019073,27.5468759537,65.6249970198,0.0965977758,290,268.5625,270,251.39,10.7427075,2.5725,-31.7812519073,-29.1875009537,-44.046875,252.54,10.7438075,270.815,-55.875,-52.5156269073,-69.1093788147,1.1626183569,1.1971554892,1.3691713595,-72.0429763794,"Inhibitory",4.12168918959,79.9520287827,85.093752861,70.5312547684,71.3906269073
"320",0.0166821998,60.035,0.2462915601,241.38,2.1233933333,6.684,-55.5000038147,-53.8958346049,-56.2625022888,0.03694,238.42,2.1202666667,3.48,44.28125,46.1666679382,40.2062522888,241.562604904,0.030267382,40,52.9999987284,101.999993897,237.96,2.1198066667,3.076,-49.8125038147,-48.0104192098,-48.4937522888,310.28,2.1631466667,755.76,-63.5937538147,-60.7604192098,-77.5187515259,5.344802578,5.6142889851,5.0409544335,-76.6850128174,"Excitatory",23.6371235315,16.6569501124,96.4687545776,99.7812538147,100.062502543
"321",0.0095086921,64.9457142857,0.2125,135.165,2.1977416667,5.5241667,-54.21875,-50.5416692098,-57.8125006358,0.031335,132.33,2.1954833333,3.4566667,30.46875,41.0520833333,33.8229173024,192.18750298,0.222719267,50,54.875,91.6666666667,131.85,2.19503,3.0533333,-41.40625,-38.3437512716,-45.2552089691,163.585,2.2280333333,623.8308333,-65.0000076294,-61.6458346049,-78.6354179382,2.7644424544,2.9734735384,2.7757154035,-78.7448654175,"Excitatory",17.0229095006,15.3974748141,91.6354179382,84.6875,91.5937525431
"322",0.005342524,15.3210714286,1.0516732283,631.235,22.34902,3.738,-66.8437576294,-65.7187525431,-69.1937530518,0.13388,630.615,22.3484566667,3.214,7.1562504768,18.9791673024,25.7750011444,36.562461406,0.0477078333,620,558.708333333,498,630.275,22.348165,2.966,-35.1250038147,-37.6770858765,-50.1875022888,631.26,22.349045,347.656,-66.9687576294,-65.8020884196,-76.8062515259,0.8627261095,1.1019941292,1.1619352186,-77.0860366821,"Inhibitory",4.5911780595,65.2695867035,94.9687541962,74.0000081062,84.6979198455
"323",0.0084821108,71.6784615385,0.1705708704,167.54,6.2978933333,5.03,-48.4687538147,-49.8541704814,-52.7500019073,0.05194,165.54,6.29612,3.515,31.34375,42.6354179382,38.3203144073,108.593635261,0.1551139355,140,157.416666667,1240,165.04,6.2957066667,3.135,-42.4687538147,-43.5729192098,-51.9062538147,221.28,6.35012,100.65,-57.5625038147,-55.3125038147,-76.210943222,3.128037125,3.8167609837,3.5082795427,-75.1248931885,"Excitatory",17.5729806951,13.9511922903,91.0703163146,79.8125038147,92.4895884196
"328",0.2641601555,19.89,0.1625,51.86,1.6212733333,4.64,-60.1562538147,-58.3750038147,-59.6979179382,0.0227,50.78,1.6201666667,3.6333333,30.5937519073,32.1041666667,28.9895846049,345.132231712,0.1095933169,50,40.5,0,50.26,1.61964,3.1266667,-43.8125038147,-39.3958333333,-46.1875025431,51.88,1.6213,4.6866667,-60.1875038147,-58.4166679382,-59.7812538147,1.5008909647,1.4780456159,1.4655609127,-75.5577392578,"Inhibitory",28.6848842198,50.2765208648,88.6875025431,90.750005722,90.4791704814
"337",1,1000,0.0150371908,35.7,19.22113,6.628,-41.9062538147,-36.1093769073,-51.0062522888,0.0216,34.08,19.21971,3.568,25,6.062500596,36.63125,77.8125375509,0.0249022879,410,480.437484741,989.999938965,33.38,19.21778,3.06,-27.8437519073,-25.84375,-47.4000030518,782.22,19.24075,626.508,-42.8750038147,-40.8593769073,-73.2562561035,1.7168803693,0.9075582695,2.5015844058,-72.8597488403,"Excitatory",11.2372094415,1,87.6375022888,66.9062538147,42.1718775033
"340",-0.0243319202,71.3454545455,0.174385243,956.9,6.254,4.728,-52.5000038147,-55.5312519073,-51.9687515259,0.17346,952.9,6.2496,3.392,36.78125,36.1093769073,42.0250022888,145.468786359,0.0182432402,190,156.25,780,952.5,6.24921,3.064,-28.4062519073,-31.4843759537,-38.4875007629,961.16,6.2596,305.46,-55.6250038147,-58.8906269073,-74.8812545776,4.0604983058,3.8756668877,2.8208449982,-73.6837921143,"Inhibitory",9.95093132942,14.0163098879,93.9937538147,89.2812538147,91.6406288146
"355",-0.014975288,59.9146666667,0.1848214298,527.145,6.0411383333,7.766,-54.2812538147,-54.0312512716,-61.0687515259,0.053835,521.885,6.0361333333,3.404,14.3125009537,21.4270846049,25.9937507629,143.437504768,0.0068384102,170,150.91666158,540,521.405,6.0357,3.079,-34.5625038147,-32.8229204814,-40.4937522888,532.175,6.046065,52.463,-56.2812538147,-56.5520858765,-69.6875045776,2.9613584289,2.9488596574,2.0411963776,-69.0822906494,"Inhibitory",9.1886400175,16.6904041303,87.0625022888,68.5937547684,75.4583358765
"356",0.0131235671,60.1221875,0.2699356861,63.365,7.46237,8.193,-46.6250038147,-48.5625,-58.3125030518,0.02422,61.35,7.45848,3.395,28.9062519073,32.109375,31.3312515259,112.187504768,0.0678921714,190,186.4375,640,60.92,7.45799,2.99,-39.6875038147,-38.5468769073,-41.4625015259,71.605,7.4694575,475.88,-50.8125,-51.7812519073,-71.7000030518,3.0218314261,3.2456711885,2.2556877757,-70.7862167358,"Inhibitory",6.83821743391,16.6327946733,89.6437545777,75.531255722,80.671875
"358",0.0120808067,56.1767647059,0.3151515243,334.1,1.9036175,4.8316667,-53.90625,-52.8593788147,-55.4375012716,0.04458,332.535,1.9020125,3.4516667,47.9062538147,51.2343769073,48.25,215.468749404,0.0110207871,50,47.5624980927,0,332.175,1.90166,3.1416667,-44.34375,-41.859375,-48.625,365.405,1.9322175,752.7033333,-56.4062538147,-54.8281288147,-70.46875,3.5514756365,3.9688018999,3.8166125966,-69.870262146,"Excitatory",28.0103153747,17.8009539217,103.687501272,101.812503815,104.093755722
"364",0.0223981015,85.0245454545,0.1029761956,116.185,5.0772191667,6.762,-48.875,-49.1979173024,-53.6250015259,0.058865,111.975,5.0724383333,3.393,31.6875019073,32.1562519073,33.1312507629,139.687538147,0.029876072,130,126.791666667,568,111.395,5.0718541667,2.911,-38.28125,-37.6614589691,-45.4500007629,128.295,5.1021241667,67.44,-52.15625,-55.4114583333,-65.3187530518,3.987668409,3.9422567256,4.0556416429,-63.8380661011,"Excitatory",27.6047277572,11.7613095684,86.7562522888,80.5625019073,81.3541692097
"374",0.0058944724,20.5372093023,0.7556397977,185.58,11.5086133333,4.18,-54.40625,-55.3125012716,-58.7562530518,0.07264,184.8,11.50776,3.376,23.3125019073,21.8750006358,28.1437515259,95.3126102686,0.0731262863,320,287.666666667,690,184.44,11.5074,3.06,-32.1875038147,-32.3958339691,-43.7250022888,185.62,11.5086533333,441.616,-54.5000038147,-55.3541692098,-73.5375015259,1.3748661532,1.3648470859,1.478389622,-72.6440582275,"Inhibitory",6.58957217026,48.6921073492,86.9000045777,77.7187519073,77.1875019074
"376",0.0607535815,86.076,0.2370575265,231.505,2.0308533333,4.10625,-41.78125,-43.9895858765,-48.5546894073,0.061395,230.055,2.02944,3.00125,43,43.6770846049,44.3203144073,163.671776652,0.0431517996,50,50.7083320618,580,229.71,2.0291033333,2.725,-30.0625019073,-31.541668574,-43.101565361,272.135,2.0601083333,547.78625,-51.6250038147,-51.0208346049,-65.6562538147,2.6390771885,2.7297023183,3.381707107,-64.7870788574,"Excitatory",25.1373961283,11.6176402249,92.8750038146,84.78125,87.6666704814
"379",0.0170265693,43.8488095238,0.3488888889,148.905,2.2020466667,5.8116667,-46.0625038147,-45.3541692098,-51.3437531789,0.05157,146.515,2.200255,3.3116667,20.0625,32.1250012716,24.5000006358,208.281219006,0.0155193536,50,54.9999987284,700,146.04,2.1998216667,2.8883333,-40.8125038147,-36.2187512716,-43.0208365122,163.38,2.233675,631.1183333,-50.2187538147,-49.2604204814,-76.317712148,2.9583214852,3.0988768823,2.9010808183,-74.9811172485,"Excitatory",28.8058511449,22.8056362501,75.8437538147,66.1250038147,77.4791704814
"382",-0.040384345,82.09,0.1959383754,854.96,3.34856,5.2033333,-58.8750038147,-59.4166704814,-61.3072954814,0.11906,851.94,3.3454,3.61,27.3125,29.3958339691,33.1093762716,219.062536955,0.0861993805,90,83.625,370,851.46,3.3449,3.23,-38.1875,-42.5416692098,-43.7083346049,859.68,3.35402,16.36,-62.3437538147,-63.3333358765,-70.4895858765,3.0788398709,2.9525665255,2.5864924015,-68.8199691772,"Inhibitory",14.4204689243,12.1817517359,94.416671753,86.1875038147,88.8125044505
"387",0.0421622045,79.6509090909,0.2283898305,242.9,3.881045,5.179,-49.4062538147,-47.7812512716,-50.2937522888,0.07392,241.06,3.8790466667,3.427,25.0937519073,30.2083346049,23.9312503815,157.343789935,0.0458727479,70,97,714,240.63,3.8786216667,3.036,-40.03125,-37.583337148,-36.0312530518,299.22,3.9168816667,546.673,-61.7187538147,-57.2187525431,-82.5062530518,2.993885291,2.9881084807,2.594750228,-81.4509658813,"Excitatory",23.6166024499,12.5547845142,74.2250026703,74.500005722,77.9895858765
"388",0.0122806423,95.6577777778,0.17,404.9,2.9191666667,6.452,-47.3125,-49.7291692098,-52.2875022888,0.0905,400.5,2.9158533333,3.46,21.8750019073,34.2604179382,24.8812507629,149.999842048,0.0183797535,70,72.875,112,399.92,2.91538,3.048,-42.3750038147,-45.364587148,-44.2000030518,438.66,2.9539266667,216.256,-56,-57.9791704814,-69.3562530518,5.0764777347,5.0694814263,3.9924789635,-68.3788757324,"Excitatory",18.8218352121,10.4539330019,77.1687530517,69.1875019073,83.989587148
"392",0.0156101257,58.4721875,0.3819827586,203.79,1.60018,4.137,-58.5937538147,-62.2343788147,-62.1937530518,0.041995,202.745,1.599105,3.14,46.40625,46.7656269073,47.6625015259,240.781292319,0.1169808283,50,39.9375,499.999969482,202.29,1.59863,2.756,-37.65625,-39.21875,-42.2812507629,203.825,1.6002225,531.649,-58.78125,-62.3593788147,-66.2812545776,1.751767367,1.6757308142,1.8712986119,-64.784072876,"Inhibitory",26.9092326635,17.1021479229,109.856254578,105.000003815,109.000005722
"394",0.0216389675,49.4978947368,0.3713122172,148.12,1.84658,4.76,-58.6562538147,-60.695315361,-61.5312538147,0.03878,146.44,1.84494,3.4057143,34.6562538147,38.453127861,32.2008931296,341.718673706,0.0355428122,70,46.09375,530,145.9,1.8444,2.98,-38.8125038147,-40.1875019073,-41.6785741534,148.3,1.846785,800.14,-58.8437538147,-60.8984413147,-75.1473257882,2.2415248463,2.2223042803,2.0326387946,-74.6933822632,"Inhibitory",31.5699096242,20.202879442,93.7321469443,93.3125076294,99.148443222
"403",0.0017407936,13.7625,0.6646874812,138.13,9.1381075,4.2316667,-58.6562538147,-57.1250019073,-61.9270858765,0.035345,137.175,9.1371925,3.4283333,8.75,17.7187509537,18.1979179382,95.9821417928,0.0352624357,209.999984741,228.437515259,0,136.82,9.1368575,3.1533333,-33.34375,-32.7187519073,-44.333337148,138.345,9.13871,427.1533333,-58.9375,-57.5781269073,-75.7395833333,1.1604599878,1.2377131195,1.3460910208,-75.1253509521,"Inhibitory",11.5881878613,72.6612170754,80.1250038147,67.4062538147,74.843752861
"415",0.0305429515,79.7181818182,0.1680803592,684.36,6.4055533333,6.66,-46.96875,-48.9791666667,-49.21875,0.0668,678.88,6.4001733333,3.52,45.53125,47.6770846049,44.1562538147,126.71867013,0.043594446,170,159.958333333,890,678.38,6.3997133333,3.14,-37,-36.4895846049,-44.34375,700.12,6.41904,964.14,-52.25,-54.4791679382,-75.53125,5.371530788,5.8759849356,4.8742435702,-76.2541275024,"Excitatory",13.9309004979,12.5441897594,93.3750038147,92.5,96.6562512716
"419",0.0292641029,73.74,0.1895019157,202.54,2.30364,4.9,-44.96875,-51.9687512716,-51.2916679382,0.05546,200.26,2.3016933333,3.4466667,37.90625,40.8125025431,42.9687512716,123.906247318,0.1195352152,80,57.5833307902,860,199.8,2.3012666667,3.0666667,-33.40625,-41.3958358765,-47.2083346049,253.46,2.35398,123.6333333,-59.0000038147,-59.2812512716,-79.8541717529,3.3847802659,3.9153686853,3.8908130914,-79.6576766968,"Excitatory",15.3103857262,13.5611608354,94.2604192098,82.875,92.7812538147
"430",1,1000,0.0077054801,25.92,6.2357066667,5.6575,-48.03125,-41.7395846049,-54.0468788147,0.01082,24.06,6.23352,3.44,32,24.6770839691,40.8671889305,167.343825102,0.0316576511,130,155.833333333,390,23.66,6.2327666667,3.08,-37.3125,-27.2500012716,-41.6757826805,30.38,6.23592,722.0025,-49.9062538147,-41.9270846049,-68.7968769073,3.3008975325,1.9067158504,3.2667444696,-68.0115432739,"Inhibitory",13.0020286468,1,94.9140677452,80.03125,66.416668574
"440",0.0035474262,11.9491566265,1.1672134046,12.35,7.5471966667,3.9416667,-76.84375,-65.6979192098,-71.7083358765,0.005695,11.775,7.5466,3.3683333,17,14.5104166667,15.8333336512,99.0623831749,0.0307512935,220,188.666666667,0,11.445,7.5463033333,3.0883333,-53.1562538147,-40.21875,-54.1145858765,12.41,7.547225,166.74,-76.96875,-65.8229192098,-76.9583333333,1.0530657376,1.1273312646,1.1741756584,-76.7705001831,"Inhibitory",6.14426333748,83.6879146585,87.5416695277,93.84375,80.2083358765
"444",0.0267317212,94.2335,0.1642857143,177.855,2.4031,4.4891667,-47.75,-48.3125012716,-53.2083352407,0.056125,176.355,2.4015416667,3.1083333,43.9375,47.3333333333,41.5885429382,166.250005364,0.1662214994,70,60.0416679382,750,175.93,2.401125,2.7583333,-36.84375,-37.53125,-43.1093756358,217.065,2.4478466667,297.0416667,-57.2812538147,-56.8958333333,-70.2187512716,2.9741942344,3.1561173738,2.9464627838,-69.4028549194,"Excitatory",23.1827548874,10.6119373683,94.7968781789,91.6875,95.6458346049
"452",0.033857391,77.5333333333,0.1910714286,71.9,2.02646,5.284,-49.6875,-48.34375,-52.9562522888,0.02036,69.64,2.02421,3.38,42.0625038147,43.2812519073,43.5937530518,289.531320333,0.0597299822,50,50.5625,340,69.08,2.02361,2.9,-36.6875,-34.9218769073,-44.1625030518,96.42,2.05381,89.208,-54.0312538147,-54.9218769073,-64.1250022888,2.7497632472,2.7541328236,2.9436171763,-62.7012290955,"Inhibitory",33.5337710894,12.8976784179,96.5500053406,91.7500038147,91.6250019073
"454",0.0273124145,102.0725,0.1174999998,171.22,6.6249,5.3533333,-46.8437538147,-49.3020846049,-51.4166704814,0.07214,168.92,6.6229,3.5866667,49.7187538147,51.8020858765,50.2604179382,76.4062851667,0.0527104288,210,165.583333333,1190,168.48,6.62242,3.14,-38.78125,-41.4479192098,-48.4895858765,196.96,6.65852,426.9466667,-54.15625,-53.9375012716,-79.6562576294,3.9403996277,4.116552681,3.9278055827,-79.4310836792,"Excitatory",12.7815539149,9.79695804453,101.67708842,96.5625076294,101.104170481
"464",0.0108185852,28.9274242424,0.317825384,98.78,2.0034483333,4.1775,-58.15625,-55.9687525431,-58.7968769073,0.02431,97.885,2.0025483333,3.29,34.0625,35.3333333333,34.0625,292.812526226,0.1566208154,40,50.0416666667,440,97.455,2.0020966667,2.9175,-42.5625038147,-38.3958358765,-44.9531269073,98.78,2.0035166667,431.155,-58.15625,-56.0729204814,-70.6562576294,1.4738049047,1.3922339224,1.6407577369,-69.3377838135,"Inhibitory",27.3409382367,34.5692721073,92.8593769073,92.21875,91.3020858764
"473",0.0540873886,76.2683333333,0.2117424154,58.175,7.4749866667,5.0725,-51.0312538147,-51.2395846049,-56.5468781789,0.031835,56.345,7.4730816667,3.3816667,43.8437538147,42.5729179382,44.1354179382,125.000193715,0.1410330683,209.999984741,186.833333333,860.000061035,55.92,7.472575,3.0133333,-34.875,-34.4583358765,-45.0729179382,58.535,7.48996,430.07,-51.3125038147,-52.6250012716,-76.0520884196,2.792200772,2.2431878267,3.0483167004,-75.3490219116,"Excitatory",12.6728764575,13.1116015821,100.682296117,94.8750076294,93.8125025431
"474",0.1227994256,127.0975,0.0742187545,163.94,3.9196366667,5.425,-43.5000038147,-42.520837148,-48.8875007629,0.056675,159.605,3.917595,3.324,40.375,44.5625025431,46.5562522888,162.343755364,0.0750596449,150,97.9166641235,920,159.155,3.9171716667,2.959,-29.1875,-32.4479204814,-45.3937515259,193.53,3.957895,391.602,-52.6875038147,-53.5937538147,-72.9750045776,3.6789367382,3.6699545244,4.1286632636,-72.1620178223,"Excitatory",20.2702571347,7.86797537324,95.4437530517,83.8750038147,87.0833396911
