"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"85",1,1000,0.01461039,44.94,7.9977666667,5.31,-43.40625,-40.6041679382,-54.125,0.02006,42.88,7.9959466667,3.47,28.1875019073,32.8125,32.2656269073,194.218784571,0.1414680332,190,199.916666667,690,42.26,7.99526,3.01,-29.2187519073,-28.6666679382,-46.5312538147,797.86,8.01752,605.2,-46.65625,-45.8750012716,-78.0937576294,2.1574245857,2.0307934004,3.0121027887,-77.8036346436,"Ntsr1-Cre_GN220",17.9649075208,1,86.3906269073,71.5937519073,73.4166679382
"96",0.0083711584,138.005,0.1679961244,87.815,3.37875,4.8233333,-50.34375,-51.3593769073,-53.7187531789,0.05319,85.79,3.3770425,3.2933333,37.7812538147,41.875,39.5468762716,85.9374776483,0.1082189828,130,84.375,920,85.39,3.376665,2.9666667,-42.03125,-42.7187519073,-48.9583346049,119.105,3.415555,189.0991667,-58.21875,-58.3906288147,-70.9062525431,3.5580965198,3.2268222561,3.6303314586,-70.4233016968,"Rbp4-Cre_KL100",10.9784275589,7.24611427122,93.2656294505,88.1250038147,93.2343769073
"107",0.0202565352,53.3344444444,0.2278089888,261.44,1.8032866667,6.236,-49.6562538147,-51.302087148,-54.3562522888,0.0383,258.22,1.80024,3.512,38.3125038147,40.3645858765,40.1562515259,215.000107884,0.0680718347,40,45,479.999969482,257.78,1.7998,3.132,-40.53125,-41.864587148,-45.3687522888,296.86,1.8394133333,500.652,-57.9375038147,-58.4270846049,-73.3500045776,4.5901261618,4.4179228874,4.3090883,-72.8924713135,"Ctgf-T2A-dgCre",19.4838621165,18.7496093832,94.5125038147,87.9687576294,91.6666730245
"108",0.0506358445,94.6985,0.1945093458,98.24,2.7140683333,5.36125,-46.46875,-47.5625025431,-47.515625,0.03979,95.335,2.7103883333,3.5225,35.4375038147,37.5208346049,31.1328129768,183.750033379,0.0408375636,70,67.7916666667,860,94.88,2.7099066667,3.09875,-36.7187538147,-36.1979192098,-42.5234375,127.44,2.7415533333,563.89,-56.8125038147,-56.4687512716,-79.5234394073,3.7967368985,3.6373400179,3.4866314143,-78.2534942627,"Nr5a1_Scnn1a",19.4523683516,10.5598293532,78.6484379768,81.9062538147,85.083337148
"116",0.0127354028,46.165,0.2849806132,206.32,2.3242283333,5.06,-48.5,-47.8854179382,-51.9437515259,0.05064,204.51,2.3222283333,3.37,31.6875019073,30.322918574,33.9937507629,189.107134938,0.0259323791,59.9999961853,58.0416666667,608,204.04,2.3217566667,2.989,-39.4375038147,-36.53125,-41.4125007629,243.295,2.355925,488.234,-55.15625,-53.4479166667,-78.3937530518,2.937839269,2.7680449577,2.9673172673,-77.3416595459,"Nr5a1_Scnn1a",22.8357900394,21.6614318206,85.9375022888,80.1875019073,78.2083365122
"123",0.0180185396,46.556,0.2642649763,210.72,2.138835,4.9066667,-47.5937538147,-47.90625,-50.6875038147,0.035175,208.6,2.1367025,3.3616667,38.4687538147,36.125,33.9791692098,212.031289935,0.0468316674,70,53.3749980927,690,208.2,2.1363,3.0083333,-36.0937538147,-36.3125019073,-44.1979179382,233.81,2.1606825,770.3016667,-55.4687538147,-54.4687538147,-75.9791692098,3.0987129734,3.0956400061,3.2360009211,-73.9191589355,"Cux_Slc17",26.5532295727,21.4795085488,84.6666730245,86.0625076294,84.03125
"124",0.0362674315,62.1703333333,0.2393501805,54.79,4.4890416667,4.631,-46.4375,-47.4166679382,-53.7062530518,0.02706,52.995,4.487565,3.265,36.375,44.8541692098,40.5125015259,162.812381983,0.1168040186,150,112.16666921,378,52.59,4.4871716667,2.924,-34.625,-35.9166692098,-46.3312522888,64.44,4.5064833333,784.775,-49.21875,-53.8750012716,-75.0187515259,2.7614619912,2.7856893914,2.8539876664,-73.9795761108,"Rorb-IRES2-Cre",19.4287140851,16.0848421809,94.2187545777,82.8125,92.270837148
"126",0.0795338249,110.256,0.1124999898,103.885,3.8149266667,7.921,-46.4375,-48.6666692098,-53.3000030518,0.058305,99.275,3.8109583333,3.456,24.53125,33.3020846049,29.1500015259,160.000115633,0.0200274847,209.999984741,95.2499974569,852,98.755,3.810475,3.021,-33.6250038147,-36.1979179382,-40.8875030518,120.605,3.84961,735.804,-51.7812538147,-57.2916692098,-77.8250030518,4.1556621666,4.0197224542,3.7094576554,-77.0050354004,"Cux_Slc17",26.7912492393,9.06980118996,82.4500045777,70.96875,81.9687538147
"140",0.0557216459,99.9033333333,0.1570340607,171.825,3.4041216667,4.84,-47.75,-47.28125,-51.4166666667,0.05736,169.375,3.4023916667,3.465,40.25,44.2291679382,44.46875,170.312494039,0.0473887436,110,85.0416666667,900,168.97,3.4019916667,3.1016667,-34.4062538147,-34.8125,-47.1770833333,199.855,3.4296983333,511.2883333,-54.9062538147,-54.9375,-79.2604192098,2.8745506029,2.9842956052,3.2485834109,-78.7213439941,"Nr5a1_Scnn1a",23.0778482023,10.0096760202,95.8854166667,88,91.5104179382
"152",0.0614919916,92.6515,0.2028846244,437.27,2.750245,4.6133333,-42.9375038147,-43.4687538147,-50.9010454814,0.055515,435.19,2.74856,3.2708333,40.6250038147,42.7656269073,42.2187519073,197.343707085,0.071781531,90,68.7500019073,575,434.805,2.7481725,2.955,-33.1875,-35.0312519073,-45.2031275431,464.96,2.788815,426.1258333,-54.15625,-52.6718769073,-73.4531300863,2.9676890485,3.1107647576,3.4502545596,-72.4250030518,"Cux_Slc17",34.8281314838,10.7931334085,93.1197973887,83.5625076294,86.234380722
"170",0.0361283234,76.46125,0.2225000156,157.535,2.3145,4.816,-54.5937538147,-50.9687538147,-55.6437515259,0.04385,155.845,2.3127125,3.297,41.9062538147,44.828125,38.7062522888,214.531287551,0.0620325468,70,57.8124980927,610,155.4,2.3122875,2.929,-42.59375,-39.7500019073,-45.6750007629,204.1,2.36579,462.336,-59.6875038147,-55.875,-75.7062576294,2.709897683,3.0975564179,2.9461253113,-74.4105987549,"Rorb-IRES2-Cre",20.4339386502,13.0785201654,94.3500038147,96.5000076294,95.7968788147
"191",0.3073805979,89.7,0.0691854234,124.58,9.2124866667,6.608,-46.90625,-47.020837148,-54.2937515259,0.0465,120.62,9.2075533333,3.364,35.5625,37.3229179382,38.2375030518,101.562425494,0.0296605732,270,230.166666667,840,120,9.2069133333,2.944,-38.03125,-34.7395846049,-48.2250030518,131.64,9.2259733333,551.06,-48.96875,-51.770837148,-75.0062530518,4.1431060315,4.400859881,4.5212569131,-74.6041259766,"Ctgf-T2A-dgCre",12.5413100674,11.1482720178,92.5312545777,82.46875,84.3437550862
"193",0.0398470684,100.118125,0.1503517059,125.525,2.80100125,4.48,-41.46875,-41.828127861,-46.8312515259,0.074265,123.455,2.79947875,3.342,36.625,35.8671898842,37.8125015259,151.093795896,0.0657483265,70,70,1030,123.14,2.79913375,3.05,-32.5937538147,-31.8125019073,-45.3937522888,172.25,2.85448625,216.623,-53.0625038147,-56.0078144073,-75.2937545776,3.3430857333,3.0973018281,3.3067701909,-73.7776107788,"Nr5a1_Scnn1a",20.2351468197,9.98820143705,84.6437530518,78.09375,77.6953177452
"198",0.0147999528,92.074,0.1776712329,161.16,2.3479266667,5.052,-45.8437538147,-47.1458358765,-51.7000022888,0.04876,158.5,2.3457133333,3.368,45.5625038147,48.5520833333,45.9250015259,164.062529802,0.2195701003,70,58.625,720,158.08,2.3453,3.028,-38.0937538147,-38.6979179382,-45.3062515259,217.08,2.4106066667,85.444,-57.2812538147,-56.4062525431,-70.5375015259,4.0599946004,4.1217453789,4.0172443246,-69.3629837036,"Rorb-IRES2-Cre",18.35345851,10.8608293329,97.6250038147,91.4062576294,95.6979192098
"219",0.0185935976,56.9271875,0.2557692461,132.5,2.1002016667,4.9241667,-51.0312538147,-51.0104192098,-56.119793574,0.032505,130.855,2.0986016667,3.4508333,28.1250019073,39.3541679382,36.1458358765,251.874893904,0.15363805,60.0000038147,52.4583320618,61.6666666667,130.305,2.0980966667,3.0116667,-43.2812538147,-42.5000038147,-51.1614608765,160.56,2.1328466667,713.9441667,-54.5000038147,-54.2812512716,-71.0572942098,2.3829065111,2.4828724092,2.4531328674,-69.9340515137,"Rbp4-Cre_KL100",27.4752091503,17.5662990553,92.2656294505,79.156255722,90.364587148
"231",0.2077250898,141.385833333,0.115174903,98.52,3.6214,4.589,-51.7812538147,-50.4166679382,-52.0750038147,0.045985,96.35,3.6195183333,3.051,46.65625,49.4375038147,44.0187515259,175.000041723,0.0361807421,90,90.5,930,96.005,3.6191666667,2.738,-42.5,-39.2395846049,-49.2312530518,122.19,3.6508333333,661.236,-57.8125038147,-57.8854166667,-79.8937530518,4.311725613,4.3763501976,4.4803039856,-78.5516433716,"Rorb-IRES2-Cre",22.9385790753,7.07284440332,96.0937553406,98.4375038147,99.8541717529
"236",0.0226394565,59.69,0.1961538462,514.2,2.2820183333,5.89,-55.28125,-51.6041704814,-59.24375,0.038845,509.98,2.27834,3.405,44.3125,46.4062525431,44.2687522888,278.794765472,0.098568581,70,56.9166666667,730,509.43,2.2777966667,2.982,-36.5625038147,-34.4895846049,-45.8937507629,524.1,2.3057883333,784.796,-58.84375,-58.0520858765,-76.9250030518,4.3148191256,3.8803080459,4.044890222,-74.1093292236,"Ntsr1-Cre_GN220",28.8238727566,16.7532249958,103.512502289,99.59375,98.0104230245
"239",0.0071029118,52.2558333333,0.2719512195,138.29,2.141575,5.063,-49.8750038147,-51.2812538147,-55.8312522888,0.047835,136.405,2.1393983333,3.403,32.0625,35.1250012716,32.49375,248.571425676,0.1037928164,50,53.5000012716,224,135.98,2.138965,3.033,-36.46875,-35.2083358765,-45.9500007629,169.1,2.1722566667,250.807,-59.8437538147,-60.6666679382,-77.0937545776,3.0017979556,3.0120864214,2.8832394481,-75.8354644775,"Nr5a1_Scnn1a",25.5804550671,19.1366195162,88.3250022888,81.9375038147,86.4062550863
"244",0.0358613139,107.61,0.1463349014,174.94,3.85002,5.344,-46.1250038147,-47.4062525431,-51.4375022888,0.07696,171.88,3.8475266667,3.356,40.5,45.5416692098,46.4687538147,160.312458873,0.077374354,90,96.1666666667,949.999938965,171.4,3.8470933333,2.98,-35.7812538147,-36.3541679382,-47.9625007629,213.1,3.8913733333,565.836,-54.9375038147,-54.4270858765,-74.9875030518,4.1436436103,4.493890238,4.327547015,-74.1493377686,"Rorb-IRES2-Cre",24.0613465493,9.29281665273,97.9062561035,86.6250038147,92.9479217529
"247",0.0320481523,63.9953571429,0.1529762016,105.425,4.45531,4.975,-49.34375,-49.0729192098,-51.7708358765,0.05055,103.485,4.4534383333,3.4683333,34,33.9791666667,31.7708326976,155.781254172,0.0507714227,110,111.333333333,343.333333333,103.06,4.453,3.0816667,-36.1562538147,-36.7083333333,-44.5416692098,119.325,4.4751066667,654.8683333,-53.6875,-53.9583346049,-81.4479166667,3.0544488474,2.7734693276,2.9656314084,-81.7539978027,"Nr5a1_Scnn1a",21.0263990318,15.6261335923,83.5416685741,83.34375,83.0520858765
"255",1,89.51,0.1096405132,120.725,4.01061,8.772,-53.90625,-54.1979192098,-59.1562530518,0.057675,115.08,4.0052016667,3.58,27.8437519073,29.5729173024,30.4062519073,116.40625447,0.0635878891,190,100.125,1220,114.53,4.0046866667,3.123,-39.40625,-38.2500012716,-50.2687530518,136.345,4.043655,429.385,-57.9375038147,-60.3437538147,-78.2750015259,4.1641729582,4.0130559841,4.4389401827,-77.7801132202,"Rorb-IRES2-Cre",18.5473587434,11.1719360965,89.5625049591,81.7500019073,83.7708365122
"260",0.0214200304,70.8525,0.1920250714,116.395,7.0426083333,5.059,-48.34375,-47.2187525431,-53.0062515259,0.057935,114.24,7.0408066667,3.485,44.8125,42.8229179382,43.7250015259,115.468673408,0.1227882802,209.999984741,176,0,113.805,7.0403566667,3.11,-33.34375,-31.9270852407,-44.8125022888,127.955,7.0640783333,97.463,-48.96875,-51.2291679382,-76.8750030518,2.8098324976,2.5102833192,2.6278680181,-75.9193191528,"Ntsr1-Cre_GN220",13.6680116419,14.113828023,96.7312530518,93.15625,90.0416704813
"266",0.0144138954,61.5,0.2148452758,83.4,1.9139866667,5.9,-50.34375,-52.6458358765,-55.1718769073,0.03966,79.5,1.90958,3.505,40.6562538147,42.4270858765,43.4765644073,216.562509537,0.0540811755,110,47.75,680,79.02,1.90908,3.09,-36.5625038147,-36.0104179382,-46.1562519073,93.56,1.9337333333,553.485,-54.875,-58.6979204814,-72.101568222,4.2403849425,4.3618932875,4.1312349352,-71.4015350342,"Cux_Slc17",23.608140987,16.2601626016,98.6484413146,91.0000038147,95.072921753
"267",1,1000,0.1469961347,200.1,3.5315883333,4.8825,-49.78125,-49.5312512716,-52.46875,0.081195,198.1,3.5297666667,3.42,39.5937538147,43.25,40.8125,169.687539339,0.0485379249,110,88.25,890,197.685,3.529365,3.0541667,-39.28125,-38.5625012716,-50.2864596049,231.05,3.56141,589.0766667,-56.03125,-55.4479179382,-82.3072942098,3.2542227679,3.3814930799,3.4469744644,-81.5740814209,"Rorb-IRES2-Cre",21.1852333172,1,93.28125,89.3750038147,92.7812512716
