"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"29",0.0238049459,64.0257142857,0.192937237,0.05254,133.437380195,0.048348248,17.5430625077,-80.5925750732,15.6187246196,136.94,-47.84375,135.28,45.3437538147,110,134.86,-37.40625,161.86,-52.4375038147,3.569341884,93.1875038147,"L4tg"
"30",0.0423226332,83.7481818182,0.1900442562,0.054805,187.343835831,0.0894831419,20.6980678321,-78.4394836426,11.9405577326,186.21,-44.28125,182.2,18.78125,90,181.635,-36.46875,231.33,-55.7812538147,2.6789959347,63.0625,"L4tg"
"31",0.174034525,124.386666667,0.1119047657,0.044125,169.999882579,0.0129319085,21.0301888631,-78.5291442871,8.03944688605,92.2,-50.3125,89.215,38.53125,130,88.82,-36.21875,104.02,-54.53125,4.1473791549,88.84375,"L4tg"
"32",1,1000,0.0237227589,0.04512,173.59367013,0.0820133761,25.5547534197,-75.2498779297,1,79.94,-46.1250038147,76.7,29.2812519073,150,76.12,-32.0937538147,113.36,-51.84375,2.4615950708,75.406255722,"L4tg"
"33",1,42.005,0.0666666698,0.0329,173.995539546,0.0387143195,15.0959429687,-75.2556762695,23.8066896798,161.825,-48.4375038147,160.015,27.125,130,159.51,-48.5625,182.945,-51.5625038147,2.9083137042,75.5625038147,"L4tg"
"34",0.0182063106,52.8905555556,0.1994126394,0.03879,342.343896627,0.0631874278,29.6373642885,-71.8004760742,18.9069672174,90.7,-47.0000038147,88.67,24.25,50,88.095,-37.40625,113.555,-51.1562538147,2.6471854084,71.2500038147,"L4tg"
"35",1,1000,0.1020366672,0.08209,145.156219602,0.0200218763,16.3408782644,-81.0480804443,1,120.28,-42.7187538147,117.125,40.5,150,116.685,-32.6875,140.08,-47.5000038147,3.6589712908,83.2187538147,"L4tg"
"36",0.0265356304,97.82,0.1157142857,0.073615,116.718634963,0.1015481055,23.4320063155,-73.244430542,10.2228583112,130.01,-44.75,126.05,24.84375,130,125.605,-34.9687538147,165.08,-54.0312538147,3.116701594,69.59375,"L4tg"
"37",1,42.315,0.0509680838,0.03385,86.249999702,0.0111183869,13.7658263198,-74.0055999756,23.6322816968,74.18,-44.6875038147,69.39,21.25,230,68.775,-28.0937519073,84.41,-49.6875,2.9211096496,65.9375038147,"L4tg"
"38",0.0970336485,106.3575,0.0353070147,0.058835,189.374998212,0.1132833511,21.2956678418,-72.2372360229,9.40225183932,89.405,-49.0312538147,85.395,46.2812538147,130,84.985,-36.03125,110.87,-53.6250038147,4.957589516,95.3125076294,"L4tg"
"39",0.0490471432,78.3515,0.2499999873,0.04684,122.812502086,0.0203067642,17.4061718583,-80.4940795898,12.7629975176,113.4,-49.3125038147,108.615,25.15625,230,107.945,-38.28125,126.23,-52.8125,3.7172731639,74.4687538147,"L4tg"
"40",0.110505779,90.435,0.1218390805,0.05537,186.875000596,0.0202918146,24.2792770492,-75.2422332764,11.0576657268,176.73,-47.9375,173.86,35.90625,90,173.38,-33.5625,205.11,-54.40625,3.1423566242,83.84375,"L4tg"
"41",1,1000,0.1299973091,0.00522,100.000038743,0.0120830201,8.48381375018,-57.3023872375,1,15.295,-51.9687538147,13.185,31.0000019073,140,12.705,-42.65625,15.605,-52.25,2.7462963644,82.968755722,"L4tg"
"42",0.0752613537,109.455,0.1596650892,0.064345,233.281329274,0.1183055267,30.4840765486,-73.0314865112,9.13617468366,182.305,-46.0625038147,179.685,46.03125,50,179.225,-37.40625,255.735,-55.6875038147,3.6236248733,92.0937538147,"L4tg"
"43",0.0297156416,49.5855263158,0.2057377049,0.021885,267.968744039,0.1623771042,26.0993637697,-73.1547622681,20.1671752687,53.79,-50.7500038147,51.875,26.84375,50,51.38,-41.6562538147,60.365,-51.6875,2.6286820771,77.5937538147,"L4tg"
"44",0.288858289,147.79,0.1621387283,0.01549,58.2812875509,0.0498790592,17.0602466832,-63.5755844116,6.76635766967,31.765,-49.1875,26.835,33,190,26.235,-40.34375,37.575,-50.875,5.2611661773,82.1875,"L4tg"
"45",0.0127354028,46.165,0.2849806132,0.05064,189.107134938,0.0259323791,22.8357900394,-77.3416595459,21.6614318206,206.32,-48.5,204.51,31.6875019073,59.9999961853,204.04,-39.4375038147,243.295,-55.15625,2.937839269,80.1875019073,"L4tg"
"46",0.0739083083,84.3431818182,0.1222350312,0.03987,250.468790531,0.154492259,31.2870282241,-66.1167221069,11.8563229231,125.775,-44.8125,123.875,47.125,80,123.395,-35.3125,170.79,-50.25,2.9269439263,91.9375,"L4tg"
"47",0.0450018072,90.26,0.1723214377,0.04582,123.281359673,0.0316939764,12.7026528309,-85.1570739746,11.0791048083,109.69,-53.03125,107.78,33.15625,110,107.27,-45.28125,155.875,-59.09375,3.5244247946,86.1875,"L4tg"
"49",0.034848305,81.592,0.2131469962,0.06443,139.375120401,0.063060686,22.7528516191,-79.9310379028,12.2561035396,143.81,-46.75,141.44,35.6875038147,210,140.98,-32.0625,155.58,-49.7187538147,3.1319760188,82.4375038147,"L4tg"
