"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"29",0.0260136954,84.2527272727,0.1746212138,180,7.5237933333,5.74,-46.90625,-46.9166679382,-53.8250015259,0.04248,177.5,7.5213133333,3.672,33.3750038147,37.34375,35.9000022888,160.156279802,0.1646226496,170,188,0,176.84,7.5206333333,3.168,-33.65625,-32.0625006358,-46.5312515259,202.54,7.5522266667,97.364,-48.03125,-49.7083346049,-76.8000045776,2.4592183831,2.3792733951,2.8872585327,-76.3359832764,"Ntsr1-Cre_GN220",14.9630881567,11.8690519865,89.7250038147,80.2812538147,84.2604179382
"31",0.0423226332,83.7481818182,0.1900442562,186.21,4.4107816667,5.1316667,-44.28125,-42.7500038147,-50.9895846049,0.054805,182.2,4.4089666667,3.3966667,18.78125,32.5104179382,21.3697926203,187.343835831,0.0894831419,90,110.208333333,758.333384196,181.635,4.4084683333,2.9425,-36.46875,-34.0520833333,-41.8593775431,231.33,4.4494116667,513.8708333,-55.7812538147,-53.239587148,-79.255212148,2.6789959347,2.7594340109,2.6773210472,-78.4394836426,"Rbp4-Cre_KL100",20.6980678321,11.9405577326,72.3593772252,63.0625,75.2604217529
"32",0.0311050608,62.4966666667,0.2859043901,249.505,1.3980525,5.11,-52.09375,-51.4375038147,-54.0437530518,0.041805,247.385,1.395935,3.375,39.6875038147,42.390625,38.1875022888,339.620679617,0.026388593,30.0000019073,34.8749990463,450,246.9,1.3954475,2.96,-42.8125038147,-42.1718769073,-48.4062507629,285.3,1.42975,699.038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-72.08177948,"Cux_Slc17",35.1773729723,16.0008533788,92.2312553406,91.7812538147,93.8281288147
"42",0.0399574818,103.737777778,0.1358940397,159.24,3.1791333333,5.356,-52.4687538147,-52.1666704814,-55.8750015259,0.05102,156.66,3.1764,3.528,37.875,34.5833333333,35.4687515259,184.843823314,0.1374426186,70,79.375,780,156.22,3.1758666667,3.136,-41.46875,-40.1250025431,-47.4312507629,201.68,3.2171933333,240.108,-63.3125,-60.1666704814,-77.0750015259,4.0391183387,3.5062108851,3.5400513279,-76.536239624,"Rorb-IRES2-Cre",22.9521681877,9.6396898162,91.3437530518,90.3437538147,86.7500038147
"43",0.174034525,124.386666667,0.1119047657,92.2,3.0196533333,5.13875,-50.3125,-49.7083333333,-52.671875,0.044125,89.215,3.0174233333,3.4075,38.53125,42.8333333333,42.3359375,169.999882579,0.0129319085,130,75.4166666667,880,88.82,3.017025,3.05125,-36.21875,-36.6354179382,-48.0390644073,104.02,3.0419166667,616.30625,-54.53125,-57.0833346049,-79.0546894073,4.1473791549,3.8816394559,4.296803327,-78.5291442871,"Rorb-IRES2-Cre",21.0301888631,8.03944688605,95.0078125,88.84375,92.5416666666
"48",0.1505945359,121.0825,0.1151419558,65.42,1.6474416667,5.33,-44.5,-43.2500025431,-50.2812538147,0.028715,60.925,1.6451466667,3.385,36.6875,37.8333358765,38.4062519073,197.187453508,0.0051550046,90,41.125,225,60.455,1.64464,2.98,-32.375,-32.5937512716,-41.5781288147,79.12,1.6755633333,59.095,-49.59375,-52.9479166667,-58.6718769073,3.7091375648,3.195395876,3.2697515634,-57.1328697205,"Rorb-IRES2-Cre",29.7304313784,8.25883178824,88.687505722,81.1875,81.0833384196
"51",0.0868781787,101.536111111,0.1365522202,255.455,2.3869383333,5.401,-44.96875,-45.6770846049,-48.7375015259,0.05453,253.605,2.3851166667,3.547,30.8125019073,33.3437506358,23.7625015259,118.080377579,0.0944587663,50,59.5833333333,630,253.13,2.384635,3.114,-40.8125038147,-42.1562512716,-47.4000022888,423.175,2.42091,662.607,-56.3437538147,-48.7604192098,-68.5937545776,2.9693590104,3.0438174153,3.0140318107,-68.4131774902,"Rbp4-Cre_KL100",16.1776718329,9.84871282795,72.5000030518,75.7812519073,79.0208352407
"52",1,1000,0.0237227589,79.94,4.5817,5.244,-46.1250038147,-43.9479166667,-51.9875015259,0.04512,76.7,4.5798866667,3.54,29.2812519073,30.8854173024,38.0375022888,173.59367013,0.0820133761,150,114.458333333,939.999938965,76.12,4.5792733333,3.084,-32.0937538147,-29.4687519073,-48.2312530518,113.36,4.6096,507.872,-51.84375,-52.7083346049,-76.8500015259,2.4615950708,2.1631889429,2.9663139099,-75.2498779297,"Rbp4-Cre_KL100",25.5547534197,1,90.0250038147,75.406255722,74.8333339691
"55",1,42.005,0.0666666698,161.825,3.3087283333,4.913,-48.4375038147,-51.1562525431,-50.4437538147,0.0329,160.015,3.3070366667,3.43,27.125,42.020837148,41.8062530518,173.995539546,0.0387143195,130,82.6666666667,142,159.51,3.3066166667,3.076,-48.5625,-35.5729166667,-46.8437538147,182.945,3.330725,575.207,-51.5625038147,-55.6562512716,-76.0312515259,2.9083137042,2.9832091976,3.5467651713,-75.2556762695,"Nr5a1_Scnn1a",15.0959429687,23.8066896798,92.2500068665,75.5625038147,93.1770896911
"59",1,1000,0.1020366672,120.28,3.47471,5.396,-42.7187538147,-45.4895858765,-50.0187522888,0.08209,117.125,3.4721383333,3.474,40.5,43.7916666667,45.5500030518,145.156219602,0.0200218763,150,86.7916666667,930,116.685,3.471695,3.092,-32.6875,-33.4583346049,-45.6375015259,140.08,3.5027983333,791.77,-47.5000038147,-50.677087148,-81.8125061035,3.6589712908,3.6455874465,4.0161468932,-81.0480804443,"Rorb-IRES2-Cre",16.3408782644,1,95.5687553406,83.2187538147,89.2812525432
"60",0.0265356304,97.82,0.1157142857,130.01,4.989055,5.23375,-44.75,-44.2916679382,-47.5546875,0.073615,126.05,4.9863066667,3.51375,24.84375,32.8229166667,28.6484379768,116.718634963,0.1015481055,130,124.625,0,125.605,4.9858883333,3.1525,-34.9687538147,-34.9270833333,-41.6796884537,165.08,5.0276933333,493.15625,-54.0312538147,-56.0208333333,-74.078125,3.116701594,3.0476494712,2.9989667068,-73.244430542,"Nr5a1_Scnn1a",23.4320063155,10.2228583112,76.2031254768,69.59375,77.1145846049
"61",0.0763599331,116.445,0.1541666753,119.98,4.0128466667,5.515,-46.6250038147,-48.5208358765,-52.1375038147,0.047445,117.32,4.01032,3.38,38.1562538147,40.3333358765,38.2437522888,136.87504828,0.2040595114,70,100.25,780,116.845,4.0098566667,2.979,-43.7500038147,-43.4687512716,-49.8625022888,192.86,4.073455,90.434,-56.78125,-56.5312538147,-69.3875061035,3.8862715922,4.175687352,3.9722071505,-68.0052108765,"Rbp4-Cre_KL100",18.6989093448,8.58774528747,90.3812561035,84.7812576294,88.854171753
