"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"104",4.2,-62.781252861,3.43375,16.2890629768,0,3.16125,-41.6015663147,678.995,-75.1718769073,1.3465538054,79.0703158378,"Pvalb-IRES-Cre"
"105",5.47,-50.4843759537,3.61,36.3515634537,479.999969482,3.115,-43.359375,332.735,-62.882815361,2.747995101,86.8359394074,"Chrna2-Cre_OE25"
"109",4.3808333,-52.2656256358,3.4,38.9583346049,720,3.0758333,-45.421875,343.4375,-71.3437512716,2.1526203703,91.2239602407,"Sst-IRES-Cre"
"110",4.0175,-66.9791679382,3.1908333,13.2291671435,433.333333333,2.9466667,-45.3281269073,531.3425,-76.0625050863,1.4128399276,80.2083350817,"Pvalb-IRES-Cre"
"112",4.23,-63.4531288147,3.38,32.84375,890,3.075,-45.0000019073,282.71,-74.2500038147,1.9522777167,96.2968788147,"Sst-IRES-Cre"
"117",6,-67.0104192098,3.4916667,0.4270833333,670,3.1816667,-38.9739596049,191.21,-81.1145858765,1.7151178265,67.4375025431,"Sst-IRES-Cre"
"120",5.54,-53.5937519073,3.5075,40.7890634537,360,3.1275,-44.7500009537,643.965,-74.3789100647,3.5367902517,94.382815361,"Vip"
"121",5.46,-49.1250038147,3.57,22.5625009537,340,3.14,-39.3437519073,685.17,-73.6093788147,2.8718069181,71.6875047684,"Vip"
"122",8.2258333,-62.8645852407,3.22,23.6562509537,730,2.9233333,-43.8020858765,650.3383333,-75.5625050863,2.449802692,86.5208361944,"Htr3a-Cre_NO152"
"127",6.565,-58.8875022888,3.256,23.9187515259,660,2.983,-38.8937507629,793.225,-68.13125,2.3681034504,82.8062538147,"Htr3a-Cre_NO152"
"128",4.252,-58.3437530518,3.216,25.6125011444,900,2.88,-46.7812515259,564.416,-74.2062545776,1.967410558,83.9562541962,"Sst-IRES-Cre"
"130",4.1416667,-69.4791666667,3.4375,31.6093756358,370,3.1191667,-51.2552102407,538.17,-75.7552108765,1.3466681407,101.088542303,"Pvalb-IRES-Cre"
"133",4.267,-63.3500030518,3.362,23.3937503815,114,3.061,-45.0437515259,637.443,-74.9000015259,1.5644423922,86.7437534333,"Pvalb-IRES-Cre"
"141",3.945,-61.1015644073,3.31,18.0546884537,122.499992371,3.0525,-47.2812519073,87.5925,-77.359380722,1.2703708777,79.156252861,"Htr3a-Cre_NO152"
"145",4.4116667,-60.9895846049,3.3983333,4.7395833333,0,3.135,-45.8750012716,505.6833333,-72.1666666667,1.4944817953,65.7291679382,"Pvalb-IRES-Cre"
"148",6.0533333,-55.6041692098,3.6466667,34.5625012716,300,3.1333333,-47.5416692098,649.6933333,-72.9479217529,2.8353108266,90.1666704814,"Vip"
"149",8.17,-68.1375045776,3.142,34.3875015259,830,2.886,-40.2187515259,130.79,-79.8437561035,2.7611000357,102.525006104,"Htr3a-Cre_NO152"
"150",6.71,-57.5062522888,3.252,35.9250022888,360,2.87,-38.1000022888,22.814,-66.7750015259,2.6312543475,93.4312545776,"Htr3a-Cre_NO152"
"154",4.035,-68.7750015259,3.394,16.1062505722,810.000061035,3.087,-54.2187530518,601.727,-83.5312576294,1.252613964,84.8812520981,"Pvalb-IRES-Cre"
"157",5.1466667,-51.161462148,3.41,41.135418574,750,3.0233333,-45.354168574,640.9133333,-76.4531300863,3.7751103465,92.296880722,"Chrna2-Cre_OE25"
"160",4.368,-60.3687515259,3.239,7.9250003815,570,2.903,-40.3562507629,734.065,-76.1562530518,1.5000986445,68.2937519074,"Gad2-IRES-Cre"
"163",4.314,-61.3500030518,3.433,28.7125015259,690,3.146,-43.5687515259,355.837,-73.1812515259,1.7141476027,90.0625045777,"Sst-IRES-Cre"
"169",5.2266667,-53.770837148,3.4833333,32.1145846049,560,3.1,-48.119793574,337.2133333,-71.9791679382,3.4417168032,85.8854217529,"Vip"
"173",5.776,-58.4000030518,3.428,29.2812511444,520,3.048,-38.1625015259,380.732,-75.2812545776,2.916723754,87.6812541962,"Htr3a-Cre_NO152"
"174",3.8408333,-61.9114583333,3.3091667,23.1822919846,0,3.0758333,-43.541668574,95.0658333,-76.0833333333,1.2379829704,85.0937503179,"Gad2-IRES-Cre"
"176",4.808,-53.8500030518,3.228,30.6375011444,350,2.872,-43.7812515259,640.824,-72.6875030518,2.9605716031,84.4875041962,"Vip"
"185",4.065,-64.5546875,2.65,35.5156288147,499.999969482,2.29,-45.625002861,799.275,-71.507818222,2.6673742536,100.070316315,"Chrna2-Cre_OE25"
"186",4.7533333,-60.2812538147,3.6,20.9687506358,380,3.07,-46.9791704814,560.0966667,-72.3229204814,1.5507288459,81.2500044505,"Chrna2-Cre_OE25"
"188",3.5541667,-63.0260461171,2.6483333,22.2656262716,509.999969482,2.355,-45.5364602407,442.9325,-71.0468800863,1.5332557854,85.2916723887,"Pvalb-IRES-Cre"
"199",5.278,-53.9687522888,3.122,36.0687507629,750,2.699,-46.7000030518,720.638,-68.4687545776,3.7109050648,90.0375030517,"Chrna2-Cre_OE25"
"201",5.1933333,-47.7239608765,3.4166667,28.7239599228,260,3.08,-41.4479179382,645.18,-70.4531275431,3.2646956685,76.4479207993,"Vip"
"202",3.555,-62.7916704814,3.0808333,17.1614586512,820,2.88,-44.916668574,197.6158333,-75.1093788147,1.2490279234,79.9531291326,"Pvalb-IRES-Cre"
"204",4.54,-53.8359394073,3.455,40.5703144073,420,3.13,-37.953127861,407.565,-69.5625019073,2.2861824246,94.4062538146,"Nkx2-1-CreERT2"
"207",8.27,-63.4687538147,3.45,14.8750011921,570,3.065,-38.4140634537,682.39,-74.3593788147,2.4278165274,78.3437550068,"Nkx2-1-CreERT2"
"213",4.655,-61.0125038147,3.534,37.8500007629,610,3.148,-37.9250030518,459.514,-73.6750045776,1.617939408,98.8625045776,"Sst-IRES-Cre"
"216",3.83375,-62.367190361,3.26,24.046875,155,3.0275,-42.7812509537,197.99,-73.0703163147,1.3099355749,86.414065361,"Pvalb-IRES-Cre"
"217",4.675,-54.4375038147,3.44625,17.4140625,310,3.14625,-44.4687538147,502.88625,-69.0312519073,2.3958027662,71.8515663147,"Htr3a-Cre_NO152"
"222",7.09,-54.71875,3.555,22.3125019073,460,3.145,-42.65625,27.64,-66.71875,1.9092163744,77.0312519073,"Htr3a-Cre_NO152"
"223",4.0116667,-63.8437512716,3.3066667,23.9375006358,489.999969482,3.0133333,-47.9375,376.9583333,-76.2291717529,1.3360066442,87.7812519074,"Pvalb-IRES-Cre"
"225",3.9241667,-63.2135423024,3.2883333,12.1041669846,540,3.0216667,-52.6770846049,540.7591667,-75.9479192098,1.3806116542,75.317709287,"Pvalb-IRES-Cre"
"227",4.84,-52.7437530518,3.04,35.0000022888,400,2.664,-40.4062507629,562.284,-67.6625045776,3.3290247152,87.7437553406,"Vip"
"230",4.4475,-58.6302115122,3.515,36.7239602407,280,3.1133333,-47.9635442098,153.2183333,-74.0625038147,1.9107763975,95.3541717529,"Htr3a-Cre_NO152"
"232",4.5541667,-63.0520839691,3.385,13.0937501589,121.666666667,3.0341667,-46.8697929382,738.9591667,-83.078125,1.5807905592,76.145834128,"Pvalb-IRES-Cre"
"233",3.92,-63.7875022888,3.288,33.6500007629,760,3.044,-41.1625030518,495.657,-76.9562530518,1.3188164189,97.4375030517,"Pvalb-IRES-Cre"
