"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"59",5.396,-50.0187522888,3.474,45.5500030518,930,3.092,-45.6375015259,791.77,-81.8125061035,4.0161468932,95.5687553406,"Excitatory"
"60",5.23375,-47.5546875,3.51375,28.6484379768,0,3.1525,-41.6796884537,493.15625,-74.078125,2.9989667068,76.2031254768,"Excitatory"
"63",4.8,-48.8562522888,2.992,44.0312515259,900,2.572,-46.9562515259,627.676,-74.3375061035,4.5985135023,92.8875038147,"Excitatory"
"64",5.2725,-50.484377861,3.4575,30.7500014305,410,3.01,-40.6132845879,257.7825,-62.7226605415,2.5170382486,81.2343792915,"Inhibitory"
"65",4.488,-57.5687522888,3.331,14.7687509537,92,2.967,-45.8312522888,584.589,-63.1812561035,1.7545012615,72.3375032425,"Inhibitory"
"66",6.495,-50.4687519073,3.6825,2.84375,0,3.1175,-39.5625,586.105,-64.3125,2.8410738781,53.3125019073,"Inhibitory"
"67",5.8183333,-48.2656281789,3.2808333,39.7760423024,960.000061035,2.9816667,-41.7864602407,472.5041667,-71.8333384196,3.9133132655,88.0416704813,"Excitatory"
"68",4.43,-67.3125045776,3.37,29.2875019073,380,3.031,-46.4000007629,23.153,-72.8187561035,1.7069360077,96.6000064849,"Inhibitory"
"69",5.776,-53.2812538147,3.288,38.3437522888,550,2.912,-44.3062515259,387.764,-68.8625045776,3.946979417,91.6250061035,"Excitatory"
"70",5.3333333,-57.9166704814,3.5466667,43.645837148,580,3.1533333,-44.3333346049,63.3333333,-73.5625025431,2.661199136,101.562507629,"Excitatory"
"71",5.04,-56.5750015259,2.852,29.5312511444,499.999969482,2.484,-43.0687522888,222.056,-68.1375061035,2.6193813298,86.1062526703,"Inhibitory"
"74",5.196,-50.9500007629,3.436,36.5437522888,710,3,-44.4125015259,785.636,-78.5000045776,3.3282394175,87.4937530517,"Inhibitory"
"75",5.81,-51.1562519073,3.365,49.296877861,700,3.01,-46.445315361,300.48875,-72.2734451294,4.53861343,100.453129768,"Excitatory"
"77",9.433,-59.5562530518,3.451,38.1750022888,344.000024414,3.016,-49.2875015259,329.609,-80.4687530518,4.7665922507,97.7312553406,"Excitatory"
"78",7.78,-63.4609384537,3.425,33.445315361,840,3.09,-39.2421894073,132.265,-75.8203144073,2.5683954669,96.9062538147,"Inhibitory"
"80",5.73,-53.8750019073,3.76,15.828125,290,3.41,-47.2343769073,414.05,-75.8906326294,2.5165700738,69.7031269073,"Inhibitory"
"82",4.205,-59.1953125,3.2975,32.4140639305,450,2.98125,-45.195315361,795.085,-70.117193222,1.7677309963,91.6093764305,"Inhibitory"
"84",6.725,-56.21875,3.5875,38.4531259537,959.999938965,3.11375,-54.6250009537,727.1675,-80.3515625,4.678072735,94.6718759537,"Excitatory"
"85",5.31,-54.125,3.47,32.2656269073,690,3.01,-46.5312538147,605.2,-78.0937576294,3.0121027887,86.3906269073,"Excitatory"
"86",4.772,-58.9000015259,3.582,23.0000015259,0,3.139,-41.1750022888,451.306,-73.0875045776,1.5383414444,81.9000030518,"Inhibitory"
