"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"192",4.228,-64.2562515259,3.384,35.6875015259,340,3.064,-49.7875030518,217.532,-71.3500045776,1.8892988359,99.9437530518,"Inhibitory"
"195",5.128,-53.6500030518,3.336,44.9875015259,680,3.016,-47.2750038147,616.216,-75.5937530518,4.2548350493,98.6375045777,"Excitatory"
"204",4.54,-53.8359394073,3.455,40.5703144073,420,3.13,-37.953127861,407.565,-69.5625019073,2.2861824246,94.4062538146,"Inhibitory"
"213",4.655,-61.0125038147,3.534,37.8500007629,610,3.148,-37.9250030518,459.514,-73.6750045776,1.617939408,98.8625045776,"Inhibitory"
"223",4.0116667,-63.8437512716,3.3066667,23.9375006358,489.999969482,3.0133333,-47.9375,376.9583333,-76.2291717529,1.3360066442,87.7812519074,"Inhibitory"
"224",4.356,-55.2500022888,2.852,37.1937515259,700,2.52,-51.0125030518,418.652,-74.5625030518,4.0681641286,92.4437538147,"Excitatory"
"229",5.501,-51.3312522888,3.336,47.6000015259,296,2.992,-44.6125022888,460.013,-66.9625045776,3.8455638604,98.9312538147,"Excitatory"
"231",4.589,-52.0750038147,3.051,44.0187515259,930,2.738,-49.2312530518,661.236,-79.8937530518,4.4803039856,96.0937553406,"Excitatory"
"232",4.5541667,-63.0520839691,3.385,13.0937501589,121.666666667,3.0341667,-46.8697929382,738.9591667,-83.078125,1.5807905592,76.145834128,"Inhibitory"
"236",5.89,-59.24375,3.405,44.2687522888,730,2.982,-45.8937507629,784.796,-76.9250030518,4.044890222,103.512502289,"Excitatory"
"237",4.546,-58.5312522888,3.443,20.2937511444,122,3.108,-39.0062522888,404.792,-68.4187530518,1.6921323144,78.8250034332,"Inhibitory"
"247",4.975,-51.7708358765,3.4683333,31.7708326976,343.333333333,3.0816667,-44.5416692098,654.8683333,-81.4479166667,2.9656314084,83.5416685741,"Excitatory"
"251",5.195,-52.8250030518,3.45,24.7562515259,144,3.049,-39.7375007629,83.703,-73.5625045776,2.2198588568,77.5812545777,"Excitatory"
"252",4.229,-59.9812522888,3.447,32.4562507629,0,3.164,-44.1187538147,295.856,-69.1750045776,1.8392958598,92.4375030517,"Inhibitory"
"260",5.059,-53.0062515259,3.485,43.7250015259,0,3.11,-44.8125022888,97.463,-76.8750030518,2.6278680181,96.7312530518,"Excitatory"
"261",9.5383333,-60.3541692098,3.4816667,6.9427084923,520,3.0966667,-35.5885448456,326.1916667,-69.1302108765,2.0434335588,67.2968777021,"Inhibitory"
"271",4.768,-50.9187522888,3.252,37.3312522888,360,2.852,-43.8437538147,52.296,-60.8000030518,2.8052644276,88.2500045776,"Inhibitory"
"278",4.115,-61.6328134537,3.38,20.3750004768,520,3.1,-48.7031259537,826.905,-78.1250019073,1.4647669432,82.0078139305,"Inhibitory"
"282",4.465,-55.2656288147,3.405,9.5000004768,0,3.1525,-32.0000019073,160.2575,-73.4218826294,1.4910164839,64.7656292915,"Inhibitory"
"286",4.2133333,-59.895837148,3.3,33.8125025431,499.999969482,2.9666667,-42.8645846049,545.66,-72.4791692098,2.032039695,93.7083396911,"Inhibitory"
"288",4.1575,-57.2343773842,3.145,15.5898444653,340,2.78,-46.0703139305,646.695,-66.7929697037,1.4856222126,72.8242218495,"Inhibitory"
"292",4.9175,-54.8359384537,3.4975,27.3515639305,410,3.1025,-49.0468759537,614.7375,-76.4375,3.0507754647,82.1875023842,"Excitatory"
"305",3.35,-57.5468769073,2.8125,27.5468759537,270,2.5725,-44.046875,270.815,-69.1093788147,1.3691713595,85.093752861,"Inhibitory"
"320",6.684,-56.2625022888,3.48,40.2062522888,101.999993897,3.076,-48.4937522888,755.76,-77.5187515259,5.0409544335,96.4687545776,"Excitatory"
"321",5.5241667,-57.8125006358,3.4566667,33.8229173024,91.6666666667,3.0533333,-45.2552089691,623.8308333,-78.6354179382,2.7757154035,91.6354179382,"Excitatory"
"322",3.738,-69.1937530518,3.214,25.7750011444,498,2.966,-50.1875022888,347.656,-76.8062515259,1.1619352186,94.9687541962,"Inhibitory"
"323",5.03,-52.7500019073,3.515,38.3203144073,1240,3.135,-51.9062538147,100.65,-76.210943222,3.5082795427,91.0703163146,"Excitatory"
"328",4.64,-59.6979179382,3.6333333,28.9895846049,0,3.1266667,-46.1875025431,4.6866667,-59.7812538147,1.4655609127,88.6875025431,"Inhibitory"
"337",6.628,-51.0062522888,3.568,36.63125,989.999938965,3.06,-47.4000030518,626.508,-73.2562561035,2.5015844058,87.6375022888,"Excitatory"
"340",4.728,-51.9687515259,3.392,42.0250022888,780,3.064,-38.4875007629,305.46,-74.8812545776,2.8208449982,93.9937538147,"Inhibitory"
"355",7.766,-61.0687515259,3.404,25.9937507629,540,3.079,-40.4937522888,52.463,-69.6875045776,2.0411963776,87.0625022888,"Inhibitory"
"356",8.193,-58.3125030518,3.395,31.3312515259,640,2.99,-41.4625015259,475.88,-71.7000030518,2.2556877757,89.6437545777,"Inhibitory"
"358",4.8316667,-55.4375012716,3.4516667,48.25,0,3.1416667,-48.625,752.7033333,-70.46875,3.8166125966,103.687501272,"Excitatory"
"364",6.762,-53.6250015259,3.393,33.1312507629,568,2.911,-45.4500007629,67.44,-65.3187530518,4.0556416429,86.7562522888,"Excitatory"
"374",4.18,-58.7562530518,3.376,28.1437515259,690,3.06,-43.7250022888,441.616,-73.5375015259,1.478389622,86.9000045777,"Inhibitory"
"376",4.10625,-48.5546894073,3.00125,44.3203144073,580,2.725,-43.101565361,547.78625,-65.6562538147,3.381707107,92.8750038146,"Excitatory"
"379",5.8116667,-51.3437531789,3.3116667,24.5000006358,700,2.8883333,-43.0208365122,631.1183333,-76.317712148,2.9010808183,75.8437538147,"Excitatory"
"382",5.2033333,-61.3072954814,3.61,33.1093762716,370,3.23,-43.7083346049,16.36,-70.4895858765,2.5864924015,94.416671753,"Inhibitory"
"387",5.179,-50.2937522888,3.427,23.9312503815,714,3.036,-36.0312530518,546.673,-82.5062530518,2.594750228,74.2250026703,"Excitatory"
"388",6.452,-52.2875022888,3.46,24.8812507629,112,3.048,-44.2000030518,216.256,-69.3562530518,3.9924789635,77.1687530517,"Excitatory"
"392",4.137,-62.1937530518,3.14,47.6625015259,499.999969482,2.756,-42.2812507629,531.649,-66.2812545776,1.8712986119,109.856254578,"Inhibitory"
"394",4.76,-61.5312538147,3.4057143,32.2008931296,530,2.98,-41.6785741534,800.14,-75.1473257882,2.0326387946,93.7321469443,"Inhibitory"
"403",4.2316667,-61.9270858765,3.4283333,18.1979179382,0,3.1533333,-44.333337148,427.1533333,-75.7395833333,1.3460910208,80.1250038147,"Inhibitory"
"415",6.66,-49.21875,3.52,44.1562538147,890,3.14,-44.34375,964.14,-75.53125,4.8742435702,93.3750038147,"Excitatory"
"419",4.9,-51.2916679382,3.4466667,42.9687512716,860,3.0666667,-47.2083346049,123.6333333,-79.8541717529,3.8908130914,94.2604192098,"Excitatory"
"430",5.6575,-54.0468788147,3.44,40.8671889305,390,3.08,-41.6757826805,722.0025,-68.7968769073,3.2667444696,94.9140677452,"Inhibitory"
"440",3.9416667,-71.7083358765,3.3683333,15.8333336512,0,3.0883333,-54.1145858765,166.74,-76.9583333333,1.1741756584,87.5416695277,"Inhibitory"
"444",4.4891667,-53.2083352407,3.1083333,41.5885429382,750,2.7583333,-43.1093756358,297.0416667,-70.2187512716,2.9464627838,94.7968781789,"Excitatory"
"452",5.284,-52.9562522888,3.38,43.5937530518,340,2.9,-44.1625030518,89.208,-64.1250022888,2.9436171763,96.5500053406,"Inhibitory"
"454",5.3533333,-51.4166704814,3.5866667,50.2604179382,1190,3.14,-48.4895858765,426.9466667,-79.6562576294,3.9278055827,101.67708842,"Excitatory"
"464",4.1775,-58.7968769073,3.29,34.0625,440,2.9175,-44.9531269073,431.155,-70.6562576294,1.6407577369,92.8593769073,"Inhibitory"
"473",5.0725,-56.5468781789,3.3816667,44.1354179382,860.000061035,3.0133333,-45.0729179382,430.07,-76.0520884196,3.0483167004,100.682296117,"Excitatory"
"474",5.425,-48.8875007629,3.324,46.5562522888,920,2.959,-45.3937515259,391.602,-72.9750045776,4.1286632636,95.4437530517,"Excitatory"
"475",5.349,-58.3000038147,3.402,42.0375007629,590,3.031,-47.0875022888,663.118,-81.2125045776,3.5959299709,100.337504578,"Excitatory"
"481",5.5591667,-50.1458346049,3.475,42.0260423024,0,3.0808333,-46.729168574,411.4458333,-72.8750012716,3.804846708,92.1718769073,"Excitatory"
"493",5.32,-51.7343781789,3.4333333,26.9270852407,370,2.9766667,-37.213543574,320.1133333,-62.6979211171,2.703663968,78.6614634196,"Inhibitory"
"495",3.963,-62.8062553406,3.296,27.6937515259,101.999993897,3.026,-45.6875007629,614.322,-76.7187530518,1.3720357408,90.5000068665,"Inhibitory"
"499",4.629,-55.3500007629,3.392,35.36875,690,3.034,-47.3625022888,58.044,-69.1312515259,2.2529081279,90.7187507629,"Excitatory"
"500",5.845,-59.007815361,3.395,34.1171894073,390,2.9775,-51.5468788147,546.54875,-83.976568222,4.2220604568,93.1250047683,"Excitatory"
"506",5.0258333,-50.8802108765,3.3341667,32.4062512716,690,3.0166667,-39.3281262716,347.15,-71.2395846049,2.8415160812,83.2864621481,"Inhibitory"
"510",6.74125,-54.8437519073,3.585,37.085940361,0,3.0775,-54.226565361,199.39,-80.0000019073,3.8352392928,91.9296922683,"Excitatory"
"521",5.371,-50.9187530518,3.407,44.1562522888,939.999938965,3.047,-48.0375022888,126.741,-73.3500015259,3.959663306,95.0750053406,"Excitatory"
"523",9.211,-62.5125007629,3.508,23.9375019073,810.000061035,3.184,-34.5687515259,184.638,-77.1312515259,2.061820972,86.4500026702,"Inhibitory"
"531",5.24,-56.0625038147,3.5333333,33.6666704814,440,3.1066667,-42.46875,593.1066667,-61.9062538147,2.9236388379,89.7291742961,"Excitatory"
"533",6.75,-55.367190361,3.51,36.0078125,630,3.015,-43.9687509537,690.095,-75.7500019073,3.5030218637,91.375002861,"Excitatory"
"541",6.055,-53.0437530518,3.454,34.8937522888,1060,3.055,-50.0812522888,260.139,-75.2187530518,3.3493287833,87.9375053406,"Excitatory"
"542",4.31,-63.5781269073,3.345,38.5078144073,660,3.015,-48.9375038147,644.205,-76.328130722,2.1102867839,102.085941315,"Inhibitory"
"543",4.107,-64.2,3.347,22.55,590,3.058,-48.9500022888,496.64,-75.1437515259,1.452921531,86.75,"Inhibitory"
"544",5.012,-50.2875007629,3.476,41.5375015259,0,3.107,-42.525,398.688,-76.4437515259,3.6836727207,91.8250022888,"Excitatory"
"557",6.992,-58.0125030518,3.46,25.4125019073,186,2.916,-41.4562507629,97.856,-69.2125045776,3.1189494236,83.4250049591,"Excitatory"
"559",5.05,-52.7031269073,3.405,30.2031269073,670,3.0625,-42.0781288147,508.36,-80,3.1589221776,82.9062538146,"Excitatory"
"563",5.102,-53.9375030518,3.376,37.1125015259,900,3.034,-50.2500022888,475.018,-80.8625015259,3.7127526104,91.0500045777,"Excitatory"
"567",4.101,-63.7937515259,3.189,40.9937507629,330,2.907,-48.0250007629,518.842,-72.8687515259,2.1386376609,104.787502289,"Inhibitory"
"568",4.465,-58.109377861,3.4475,36.2500038147,780,3.06125,-45.9296894073,502.87625,-72.1093769073,1.8538449074,94.3593816757,"Inhibitory"
"588",4.025,-60.2656269073,3.3875,25.2656259537,0,3.095,-49.078125,359.2225,-80.46875,1.3891487242,85.531252861,"Inhibitory"
"599",5.2358333,-53.9427115122,3.4883333,26.7500019073,530,3.075,-42.4114596049,93.0341667,-70.5312512716,2.481194983,80.6927134195,"Excitatory"
"605",5.1025,-56.4375038147,3.135,21.65625,460,2.735,-46.3125019073,377.8575,-66.75,2.6011035691,78.0937538147,"Excitatory"
"612",5.0308333,-50.2760448456,3.285,49.3541692098,870,2.9783333,-44.3020858765,457.4016667,-72.8906275431,4.6200117786,99.6302140554,"Excitatory"
"613",4.1466667,-56.4218769073,3.3766667,31.0572932561,460,3.0666667,-41.8125025431,134.4066667,-75.364587148,1.5152462507,87.4791701634,"Inhibitory"
"626",5.43375,-56.390627861,3.51125,33.4140634537,650,3.07125,-46.9296884537,87.60875,-73.6250038147,2.5426988156,89.8046913147,"Excitatory"
"636",4.56,-62.0500015259,3.394,24.2500007629,244,3.042,-43.65,419.806,-79.7625,1.7718564385,86.3000022888,"Inhibitory"
"640",3.97,-65.5875,3.254,36.225,580,2.935,-45.9562507629,554.44,-72.3187515259,1.4296709005,101.8125,"Inhibitory"
"645",3.7883333,-61.9895852407,3.225,22.7343765895,420,2.9741667,-47.4947929382,169.9108333,-72.1510429382,1.2996420897,84.7239618302,"Inhibitory"
"662",4.141,-59.9125030518,3.305,28.3000011444,550,3.024,-44.9875022888,509.222,-76.6812530518,1.7770185577,88.2125041962,"Inhibitory"
"665",5.9716667,-52.2604179382,3.38,52.0520858765,720,2.995,-45.8541704814,655.6633333,-76.0416717529,5.2347129432,104.312503815,"Excitatory"
"666",5.376,-56.9375022888,3.252,42.6187507629,239.999984741,2.832,-45.6687530518,855.384,-69.9375030518,3.4721401782,99.5562530517,"Excitatory"
"670",6.00125,-49.0859375,3.49,39.5625019073,1040,3.0475,-44.2890663147,650.1675,-78.8750038147,4.0851315856,88.6484394073,"Excitatory"
"671",4.7,-56.1250030518,3.536,40.3125015259,750,3.128,-47.5125030518,221.672,-74.2687530518,2.3763735591,96.4375045777,"Inhibitory"
"678",5.17125,-66.1796875,3.60125,29.9062504768,540,3.18,-47.140625,792.89375,-73.6875,2.0963725832,96.0859379768,"Excitatory"
"679",5.066,-46.5875022888,3.31,43.7000030518,424,3.007,-48.5562515259,396.055,-75.0625,3.8570286445,90.2875053406,"Excitatory"
"682",5.528,-57.7312515259,3.406,9.4312501907,360,2.981,-33.24375,37.903,-67.6062530518,1.7734423126,67.1625017166,"Inhibitory"
"688",4.726,-51.6375022888,3.196,44.2250015259,560,2.856,-47.1062515259,370.964,-72.5500045776,3.7417664389,95.8625038147,"Excitatory"
"690",5.208,-54.8812530518,3.44,40.2687530518,310,2.98,-44.5312522888,63.552,-61.5437530518,2.6608163428,95.1500061036,"Excitatory"
"692",3.974,-61.8000030518,3.204,24.9875007629,680,2.945,-43.4312538147,551.29,-74.9250015259,1.5828489081,86.7875038147,"Inhibitory"
"693",4.687,-55.1812522888,3.315,49.1187538147,700,3.002,-48.9375015259,598.887,-84.2562530518,4.4375221996,104.300006104,"Excitatory"
"696",4.4616667,-56.4895846049,3.295,28.8125019073,93.3333333333,2.845,-47.208337148,635.1366667,-65.3020858765,2.0686880422,85.3020865122,"Inhibitory"
"717",5.4775,-44.5156259537,3.54125,49.6250019073,0,3.11875,-41.1484394073,255.28125,-72.8984394073,3.6443050989,94.140627861,"Excitatory"
"723",4.88625,-51.4921884537,3.3975,32.2812519073,760,3.05375,-46.2656259537,490.30375,-70.5937538147,2.8708313483,83.773440361,"Excitatory"
"727",4.165,-62.6562538147,3.365,22.71875,0,3.085,-47.28125,983.205,-77.78125,1.4817362447,85.3750038147,"Inhibitory"
"732",4.5675,-46.4375019073,3.395,43.5000019073,820,3.0525,-44.5156269073,228.6775,-71.4062538147,3.0932736673,89.9375038146,"Excitatory"
"736",5.225,-51.640625,3.53,40.804690361,850,3.125,-44.8046884537,587.28,-80.7421913147,3.7829078428,92.445315361,"Excitatory"
"758",5.134,-49.9187522888,3.422,41.3187507629,436,3.04,-50.3937522888,437.823,-83.0875030518,3.5401610228,91.2375030517,"Excitatory"
"778",4.752,-50.6000015259,3.352,46.6312515259,1190,3.055,-48.2500030518,74.062,-74.8500030518,3.7845414386,97.2312530518,"Excitatory"
"779",4.8311111,-55.8854192098,3.5222222,36.8055580987,520,3.1777778,-45.7465307448,467.2,-75.4375033908,3.095220601,92.6909773085,"Inhibitory"
"785",5.0675,-54.3906288147,3.395,30.125002861,200,3.065,-45.6718769073,950.2075,-68.4843826294,3.146448231,84.5156316757,"Inhibitory"
"791",4.0641667,-58.6927108765,3.225,17.6197926203,349.999974569,2.9516667,-43.2031275431,266.0916667,-74.833337148,1.59107339,76.3125034968,"Inhibitory"
"793",4.784,-53.6125022888,3.286,48.3062515259,880,2.996,-51.3500022888,662.696,-84.1375076294,4.913151028,101.918753815,"Excitatory"
"796",5.1616667,-56.5885448456,3.4216667,35.1093765895,180,3.0475,-47.6197942098,500.1933333,-77.7500050863,3.2741808662,91.6979214351,"Excitatory"
"801",5.78,-56.9375038147,3.25,33.0781269073,239.999984741,2.87,-43.1718769073,684.08,-65.2343788147,3.3017953836,90.015630722,"Inhibitory"
"806",4.079,-57.7250022888,3.063,17.6187515259,370,2.771,-44.5812522888,660.035,-67.2750030518,1.8640136704,75.3437538147,"Inhibitory"
"825",4.7808333,-56.1250019073,3.3183333,45.9114596049,570,2.9941667,-47.8750019073,381.79,-80.3072929382,4.2920565473,102.036461512,"Excitatory"
"828",5.205,-55.1687522888,3.3,43.0750015259,600,2.956,-45.2625007629,556.434,-72.1250030518,3.6730329503,98.2437538147,"Excitatory"
"835",4.884,-61.4625030518,3.5,38.7312507629,400,3.052,-44.3687507629,599.344,-67.3750030518,2.3265251738,100.193753815,"Inhibitory"
"840",4.0025,-59.1406288147,3.475,27.0937519073,0,3.1975,-43.4375038147,71.1675,-76.9843826294,1.1946383215,86.234380722,"Inhibitory"
"848",6.1641667,-50.8072942098,3.4366667,49.3750025431,1460,3.0975,-45.510418574,564.1383333,-77.692712148,4.1873739375,100.182296753,"Excitatory"
"851",4.1933333,-62.9739602407,3.45,32.0260416667,0,3.1533333,-44.4843762716,127.9875,-77.3593775431,1.4896069397,95.0000019074,"Inhibitory"
"857",4.853,-50.9125022888,3.36,32.9500022888,300,3.005,-46.28125,702.456,-76.4250076294,2.9874014727,83.8625045776,"Excitatory"
"860",4.4083333,-63.1927096049,3.5083333,38.7500006358,183.333333333,3.1291667,-46.5260416667,503.5208333,-74.2812550863,1.4500093305,101.942710241,"Inhibitory"
"868",5.283,-47.6750022888,3.457,53.9062522888,144,3.061,-46.4250030518,602.193,-74.3875030518,4.573775093,101.581254578,"Excitatory"
"869",4.819,-49.3000030518,3.111,49.2500022888,680,2.781,-40.2625015259,601.257,-72.5687515259,3.9502430441,98.5500053406,"Excitatory"
"871",4.7083333,-58.5312525431,3.4133333,30.4687512716,0,3.09,-49.0104179382,723.4483333,-73.34375,2.737122068,89.0000038147,"Inhibitory"
"872",5.524,-48.5687530518,3.523,37.2500015259,1400,3.129,-47.6250015259,242.254,-76.1375030518,3.6790200483,85.8187545777,"Excitatory"
"876",5.092,-52.7500038147,3.476,40.6812522888,760,3.116,-46.3375022888,448.34,-76.2625045776,3.67449489,93.4312561035,"Excitatory"
"877",5.7183333,-53.958337148,3.3591667,24.145834287,375,2.9408333,-46.7656269073,441.0325,-67.6406300863,3.3333466474,78.104171435,"Excitatory"
"881",5.10625,-49.3984384537,3.44125,30.6328144073,720,3.0025,-43.6718759537,105.3275,-66.8046875,2.8530810489,80.031252861,"Excitatory"
"882",4.2116667,-60.2187512716,3.3208333,34.6718762716,650,2.9958333,-45.6406256358,510.6041667,-78.5364646912,1.9574085769,94.8906275432,"Inhibitory"
"883",4.112,-56.9812538147,3.411,25.4062511444,0,3.114,-41.3437515259,344.709,-65.7312545776,1.5127062863,82.3875049591,"Inhibitory"
"887",4.4666667,-52.2083358765,3.2283333,31.2812519073,440,2.89,-43.96875,754.205,-69.1875050863,2.2294494128,83.4895877838,"Excitatory"
"888",5.616,-60.3687515259,3.316,46.9187522888,509.999969482,2.9,-48.6375022888,647.028,-73.0562530518,3.922286591,107.287503815,"Inhibitory"
"889",4.3325,-58.8437509537,3.4625,24.2500009537,780,3.15875,-42.2578125,265.40625,-72.7265663147,1.6511191513,83.0937519074,"Inhibitory"
"904",4.0733333,-58.416668574,3.2275,14.9583338102,808.333282471,2.9508333,-43.8697954814,431.8675,-79.9010442098,1.4899443945,73.3750023842,"Inhibitory"
"905",3.9225,-61.0625,3.1775,19.9062509537,420,2.9075,-46.4218769073,854.9225,-69.9375038147,1.5356278085,80.9687509537,"Inhibitory"
"906",5.127,-44.9187530518,3.526,20.9062511444,0,3.164,-31.0687511444,413.224,-75.7437530518,2.2013278628,65.8250041962,"Excitatory"
"911",4.548,-53.6812515259,3.468,38.8812522888,390,3.072,-50.2687530518,690.168,-76.2062530518,2.4065540544,92.5625038147,"Inhibitory"
"912",20.6914286,-50.1026812962,19.54,21.1696436746,509.999969482,19.0914286,-40.2098230634,20.78,-50.1741098676,1.8217883341,71.2723249708,"Inhibitory"
"914",4.836,-52.7500030518,3.464,40.7750015259,870,3.092,-46.5250030518,478.96,-80.9562515259,3.2735434442,93.5250045777,"Excitatory"
"929",5.0483333,-50.8229204814,3.4933333,27.0833339691,0,3.0466667,-49.4062512716,488.1766667,-77.2708384196,2.8644186471,77.9062544505,"Excitatory"
"931",5.374,-51.2062507629,3.154,38.58125,840,2.722,-42.9062507629,415.666,-72.8875,3.7949986076,89.7875007629,"Excitatory"
"932",4.952,-53.5000038147,3.46,40.1750015259,380,3.092,-44.0687522888,763.352,-71.8062515259,3.4140915405,93.6750053406,"Excitatory"
"940",4.815,-53.4843769073,3.43,42.7343756358,670,3.055,-51.9322948456,669.315,-77.4843775431,3.868559353,96.2187525431,"Excitatory"
"943",6.266,-51.3187507629,3.735,40.5562507629,0,3.289,-48.4562507629,338.333,-77.4125045776,4.1117489067,91.8750015258,"Excitatory"
