"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"208",5.0483333,-50.8229204814,3.4933333,27.0833339691,0,3.0466667,-49.4062512716,488.1766667,-77.2708384196,2.8644186471,77.9062544505,"L4tg"
"228",4.8233333,-53.7187531789,3.2933333,39.5468762716,920,2.9666667,-48.9583346049,189.0991667,-70.9062525431,3.6303314586,93.2656294505,"L5tg"
"233",7.921,-53.3000030518,3.456,29.1500015259,852,3.021,-40.8875030518,735.804,-77.8250030518,3.7094576554,82.4500045777,"L5tg"
"234",5.062,-52.8125038147,3.392,46.9062522888,540,3.055,-45.2312522888,61.81,-61.9750015259,3.5661698237,99.7187561035,"L5tg"
"238",4.9616667,-40.8229179382,3.3875,42.2864583333,310,3.0091667,-27.5104173024,559.1466667,-70.4583333333,2.7353519153,83.1093762715,"L5tg"
"240",5.2383333,-50.1093769073,3.3891667,45.4114615122,1170,3.0391667,-48.3177108765,77.4441667,-72.505212148,4.0583191134,95.5208384195,"L5tg"
"244",5.54,-49.2343769073,3.435,33.0000009537,340,3.03,-40.0625009537,54.68,-59.8906288147,3.4130185833,82.234377861,"L5tg"
"247",5.4,-46.8750038147,3.23,35.25,509.999969482,2.695,-42.1875,161.17,-61.0000038147,3.1219336556,82.1250038147,"L5tg"
"253",5.865,-51.9479198456,3.4983333,40.4739608765,1120,3.0425,-46.8489596049,624.205,-82.4791704814,4.1697917707,92.4218807221,"L5tg"
"255",5.436,-53.0812515259,3.546,37.6250030518,1410,3.088,-57.1187522888,72.129,-81.1375015259,3.4331320314,90.7062545777,"L5tg"
"258",4.965,-50.7375022888,3.174,47.2187522888,880,2.849,-46.3250030518,399.96,-73.1125045776,4.4803841745,97.9562545776,"L5tg"
"266",5.6175,-53.445315361,3.55125,20.625,0,3.13875,-38.2734394073,614.0775,-82.1562519073,2.6030053927,74.070315361,"L5tg"
"270",5.295,-50.0781288147,3.59,20.8437509537,0,3.15,-41.078125,793.1075,-75.9843788147,2.4322933087,70.9218797684,"L5tg"
"281",6.74125,-54.8437519073,3.585,37.085940361,0,3.0775,-54.226565361,199.39,-80.0000019073,3.8352392928,91.9296922683,"L5tg"
"282",6.3083333,-49.6041679382,3.7566667,23.5104179382,730,3.2083333,-42.9687512716,802.585,-78.1458333333,2.9416857706,73.1145858764,"L5tg"
"286",4.7075,-52.5703134537,3.36,34.1562519073,167.5,3.02,-46.2109375,513.66875,-71.2500019073,2.9390097983,86.726565361,"L5tg"
"291",5.096,-53.2125022888,3.478,39.3187522888,1270,3.063,-55.1500030518,61.312,-78.1000015259,3.3257527988,92.5312545776,"L5tg"
"303",6.775,-53.4000015259,3.494,43.0875,830,3.057,-47.2437530518,856.509,-77.4250030518,4.7944087703,96.4875015259,"L5tg"
"305",4.752,-50.6000015259,3.352,46.6312515259,1190,3.055,-48.2500030518,74.062,-74.8500030518,3.7845414386,97.2312530518,"L5tg"
"308",5.508,-61.0437538147,3.5,40.8312515259,640,3.036,-49.7750007629,111.664,-77.7375030518,2.8444643211,101.875005341,"L5tg"
"311",5.4983333,-49.4947923024,3.2816667,30.7395849228,1060,2.8791667,-36.6093762716,583.2325,-80.0416679382,3.3892240663,80.2343772252,"L5tg"
"312",4.819,-49.3000030518,3.111,49.2500022888,680,2.781,-40.2625015259,601.257,-72.5687515259,3.9502430441,98.5500053406,"L5tg"
"330",4.631,-53.7062530518,3.265,40.5125015259,378,2.924,-46.3312522888,784.775,-75.0187515259,2.8539876664,94.2187545777,"L6atg"
"331",5.46,-54.6062530518,3.52,36.8812515259,0,3.072,-48.0687522888,472.328,-77.2250015259,2.4666138598,91.4875045777,"L6atg"
"339",5.059,-53.0062515259,3.485,43.7250015259,0,3.11,-44.8125022888,97.463,-76.8750030518,2.6278680181,96.7312530518,"L6atg"
"340",5.561,-52.4875022888,3.59,33.3000007629,770,3.101,-49.6375030518,88.791,-79.1250045776,2.6259948464,85.7875030517,"L6atg"
"346",5.08,-48.8437538147,3.51,41.71875,0,3.045,-45,98.99,-72.125,2.4197028962,90.5625038147,"L6atg"
"348",5.198,-54.7000022888,3.432,39.9187507629,1200,3.058,-53.2250015259,245.342,-83.0062561035,3.2272513315,94.6187530517,"L6atg"
"349",6.28,-53.4687538147,3.66,21.5625019073,520,3.14,-31.2812519073,89.68,-72.5625,1.9356677665,75.031255722,"L6atg"
"357",5.208,-54.8812530518,3.44,40.2687530518,310,2.98,-44.5312522888,63.552,-61.5437530518,2.6608163428,95.1500061036,"L6atg"
"365",4.98125,-49.2500038147,3.48,35.9062519073,365,3.0225,-46.296877861,547.70375,-77.851568222,2.30170615,85.156255722,"L6atg"
"373",5.05625,-57.242190361,3.34375,37.5468769073,285,2.98375,-50.078127861,682.15375,-81.9062538147,3.6171888016,94.7890672683,"L6atg"
"380",6.444,-57.5375022888,3.472,39.7062515259,96,3.068,-46.4937507629,34.036,-63.7375007629,4.1827140785,97.2437538147,"L6btg"
