"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"181",3.24101,-49.9687512716,3.2384716667,47.2291692098,80.9583307902,3.2380233333,-41.6250012716,3.293415,-58.7812525431,4.6265673789,97.1979204814,"Excitatory"
"186",2.2961,-55.8437538147,2.29482,25.7916673024,57.3333320618,2.2942333333,-40.2708346049,2.29622,-55.9791704814,1.5888202516,81.6354211171,"Inhibitory"
"190",5.7213533333,-45.6875012716,5.7192083333,47.71875,142.958328247,5.7188333333,-40.8958346049,5.7901166667,-53.6979204814,4.2980526995,93.4062512716,"Excitatory"
"192",4.2015333333,-61.7812538147,4.2007,37.3333358765,105,4.2003333333,-46.6041692098,4.20156,-61.8125,1.7599099007,99.1145896912,"Inhibitory"
"195",3.84926,-48.7395858765,3.84726,40.2708346049,96.1666666667,3.8468533333,-34.1250038147,3.8739666667,-55.7916704814,3.5790734756,89.0104204814,"Excitatory"
"204",3.4387933333,-50.7291666667,3.43732,35.0104192098,85.9166641235,3.4369266667,-31.5,3.4461,-54.9895858765,2.3848120611,85.7395858765,"Inhibitory"
"213",5.405225,-56.5104204814,5.4038683333,26.8854179382,135.08333079,5.403395,-24.7812512716,5.4053983333,-56.6875025431,1.3665787576,83.3958384196,"Inhibitory"
"223",9.8859033333,-58.0937538147,9.8850516667,10.2500003179,247.124994914,9.8846816667,-30.479168574,9.8859266667,-58.1770846049,1.0548192101,68.3437541326,"Inhibitory"
"224",2.6858533333,-51.8437525431,2.6821133333,37.8750012716,67.0416666667,2.68166,-35.9166666667,2.7052266667,-58.6562525431,3.802911229,89.7187538147,"Excitatory"
"229",2.2155783333,-48.8750012716,2.2124866667,45.5729166667,55.3333346049,2.2120866667,-37.8958358765,2.253265,-57.3541704814,4.2779831474,94.4479179383,"Excitatory"
"231",3.6214,-50.4166679382,3.6195183333,49.4375038147,90.5,3.6191666667,-39.2395846049,3.6508333333,-57.8854166667,4.3763501976,99.8541717529,"Excitatory"
"232",13.1025525,-54.6875019073,13.101235,3.484375,327.5,13.10075,-29.7968759537,13.10267,-54.859375,1.0931257668,58.1718769073,"Inhibitory"
"236",2.2820183333,-51.6041704814,2.27834,46.4062525431,56.9166666667,2.2777966667,-34.4895846049,2.3057883333,-58.0520858765,3.8803080459,98.0104230245,"Excitatory"
"237",3.4327133333,-55.7812525431,3.4314666667,27.979168574,85.7916641235,3.43102,-33.9375012716,3.4327433333,-55.8645846049,1.7462005483,83.7604211171,"Inhibitory"
"247",4.45531,-49.0729192098,4.4534383333,33.9791666667,111.333333333,4.453,-36.7083333333,4.4751066667,-53.9583346049,2.7734693276,83.0520858765,"Excitatory"
"251",7.12928,-44.1666692098,7.1277466667,33.1145839691,178.208333333,7.1272533333,-30.9687525431,7.151265,-48.0416692098,2.1418234579,77.2812531789,"Excitatory"
"252",2.83574,-56.7916692098,2.8349333333,32.8229179382,70.875,2.83461,-41.5104204814,2.835775,-56.8750025431,1.7469860033,89.614587148,"Inhibitory"
"260",7.0426083333,-47.2187525431,7.0408066667,42.8229179382,176,7.0403566667,-31.9270852407,7.0640783333,-51.2291679382,2.5102833192,90.0416704813,"Excitatory"
"261",6.0997416667,-46.7812512716,6.0953483333,12.8854169846,152.374994914,6.0947866667,-30.8229179382,6.1043583333,-48.21875,2.9573749789,59.6666682562,"Inhibitory"
"271",1.0024933333,-49.2916692098,1.0005333333,39.5208333333,24.9999993642,1.00002,-40.6666666667,1.0330066667,-57.1562525431,2.9253809378,88.8125025431,"Inhibitory"
"278",8.79439,-59.3593769073,8.79367,19.7343759537,219.874992371,8.79335,-38.9375019073,8.79443,-59.453125,1.3228008461,79.093752861,"Inhibitory"
"282",3.1384466667,-50.5208358765,3.1373066667,7.3229169846,78.4583333333,3.1369666667,-33.8333346049,3.14836,-51.520837148,1.5403400673,57.8437528611,"Inhibitory"
