"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"869",2.734175,-46.2708346049,2.7320533333,50.2812538147,68.2916666667,2.7316616667,-32.6041679382,2.754555,-48.1562525431,3.9902997022,96.5520884196,"Excitatory"
"871",4.543755,-51.4375,4.54171,20.1562519073,113.5,4.5412,-36.46875,4.54502,-51.7812538147,2.3309182977,71.5937519073,"Inhibitory"
"872",4.2440783333,-45.8958333333,4.240745,36.2500025431,106.041666667,4.2403,-38.2500012716,4.310135,-56.53125,3.8463316037,82.1458358764,"Excitatory"
"876",3.1926733333,-52.3958358765,3.1906466667,37.8437512716,79.7916666667,3.19022,-34.0312512716,3.20926,-58.8750038147,3.0071412807,90.2395871481,"Excitatory"
"877",2.7702833333,-50.1041704814,2.7668666667,25.7395846049,69.1666666667,2.7663033333,-36.1875012716,2.7839483333,-55.0625025431,2.9118285076,75.8437550863,"Excitatory"
"881",2.7235233333,-47.5416704814,2.7216366667,35.6562538147,68.0416666667,2.7211366667,-38.6875025431,2.787675,-54.4166692098,2.8924134475,83.1979242961,"Excitatory"
"882",5.2831566667,-57.5729192098,5.282125,36.7083333333,132.041666667,5.281745,-42.0729179382,5.283235,-57.6979179382,1.9804836621,94.2812525431,"Inhibitory"
"883",2.27512,-53.5625038147,2.2743933333,24.1770833333,56.8333320618,2.274065,-34.7812512716,2.2838033333,-53.8437538147,1.4653361287,77.739587148,"Inhibitory"
"887",6.5634116667,-43.0208346049,6.56233,22.1458352407,164.041666667,6.5617883333,-27.53125,6.5803366667,-47.8854204814,1.5886530659,65.1666698456,"Excitatory"
"888",3.0882866667,-55.6458358765,3.08588,48.7291692098,77.1666666667,3.0853933333,-39.6666692098,3.11582,-57.2604179382,3.6744936919,104.375005086,"Inhibitory"
"889",4.805435,-53.9270846049,4.8046216667,24.5208333333,120.08333079,4.80428,-31.6145846049,4.8183116667,-55.0625012716,1.482283202,78.4479179382,"Inhibitory"
"904",15.8089266667,-50.3437538147,15.8076733333,3.2291667461,395.208343506,15.8072533333,-27.6979179382,15.8106566667,-50.9479192098,1.0488659247,53.5729205608,"Inhibitory"
"905",8.49872,-52.1875038147,8.49767,4.0625004768,212.375,8.49724,-28.46875,8.49887,-52.28125,1.0755691579,56.2500042915,"Inhibitory"
"906",5.4341433333,-42.3333358765,5.432355,31.0416666667,135.833333333,5.4319116667,-33.2604166667,5.4562716667,-52.1979179382,2.0590229177,73.3750025432,"Excitatory"
"911",10.13738,-41.96875,10.13544,16.0937519073,253.374984741,10.13446,-29.90625,32.30416,-75.625,1.3308395681,58.0625019073,"Inhibitory"
"912",1.95068,-50.2500025431,1.9495066667,29.3750019073,48.7083333333,1.9490266667,-39.0937512716,1.9507466667,-50.3541704814,1.7564811009,79.6250044504,"Inhibitory"
"914",4.19642,-48.8750012716,4.1948266667,41.2708358765,104.833333333,4.19438,-33.2708333333,4.21824,-55.7604204814,2.754781675,90.1458371481,"Excitatory"
"929",3.97063,-50.2604192098,3.9688933333,35.1979192098,99.2083333333,3.968405,-36.8854179382,3.9901483333,-54.7395858765,2.633821389,85.4583384196,"Excitatory"
"931",3.0629433333,-43.8020858765,3.0603666667,43.2604166667,76.5,3.059835,-36.2604166667,3.10704,-51.1666666667,3.8178296593,87.0625025432,"Excitatory"
"932",1.5047533333,-52.114587148,1.5028733333,42.3645846049,37.5833333333,1.5024333333,-37.6875038147,1.5209866667,-56.7187538147,3.262995793,94.4791717529,"Excitatory"
"940",3.6533183333,-48.6041679382,3.6515466667,42.5937525431,91.2916666667,3.6511366667,-35.6770846049,3.675095,-54.552087148,3.2110325622,91.1979204813,"Excitatory"
"943",3.357055,-49.5625012716,3.3539533333,39.4375012716,83.7916666667,3.3534633333,-35.8229166667,3.3945166667,-55.7187512716,3.9556167881,89.0000025432,"Excitatory"
"950",3.9335733333,-48.6979166667,3.9294016667,33.3958333333,98.2499974569,3.9289283333,-37.4791666667,3.970635,-57.6666679382,4.0699266598,82.09375,"Excitatory"
"956",4.448805,-43.4479179382,4.4465166667,36.65625,111.124997457,4.4460333333,-26.2812519073,4.4734716667,-52.1666692098,2.8161600974,80.1041679382,"Excitatory"
"957",8.13767,-53.0104192098,8.1367566667,2.3333333333,203.416666667,8.13633,-31.7604166667,8.1377233333,-53.0625025431,1.0069444955,55.3437525431,"Inhibitory"
"959",3.2999933333,-51.5520846049,3.2973333333,43.833337148,82.4166666667,3.2969066667,-44.1562538147,3.3492,-59.4062525431,4.8688714678,95.3854217529,"Excitatory"
"960",2.392525,-52.7500038147,2.39061,41.4687519073,59.7499980927,2.39016,-41.515625,2.4405375,-56.3437538147,3.2254217781,94.218755722,"Excitatory"
"964",8.849315,-61.7343769073,8.8482575,17.5312509537,221.187492371,8.84785,-26.53125,8.849345,-61.828125,1.0959920691,79.265627861,"Inhibitory"
