"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","tau","firing_rate","height_short","height_long","height_ramp","L_tg"
"201",0.0426828602,55.8046875,0.2607229663,67.275,2.7702833333,5.7183333,-51.59375,-50.1041704814,-53.958337148,0.01994,63.995,2.7668666667,3.3591667,21.34375,25.7395846049,24.145834287,206.875070929,0.0038701426,80,69.1666666667,375,63.43,2.7663033333,2.9408333,-37.9375038147,-36.1875012716,-46.7656269073,74.58,2.7839483333,441.0325,-55.0000038147,-55.0625025431,-67.6406300863,2.9241470097,2.9118285076,3.3333466474,-67.1831893921,24.5760341135,17.9196416072,78.104171435,72.9375,75.8437550863,"L4tg"
"208",0.1392882149,116.774375,0.2044702178,83.5,3.97063,5.0483333,-47.2500038147,-50.2604192098,-50.8229204814,0.0344,81.63,3.9688933333,3.4933333,27.5625,35.1979192098,27.0833339691,225.937500596,0.0250830818,90,99.2083333333,0,81.135,3.968405,3.0466667,-37.9375038147,-36.8854179382,-49.4062512716,101.35,3.9901483333,488.1766667,-51.8750038147,-54.7395858765,-77.2708384196,2.6512243171,2.633821389,2.8644186471,-77.0405426025,17.3646342039,8.56352260502,77.9062544505,74.8125038147,85.4583384196,"L4tg"
"228",0.0083711584,138.005,0.1679961244,87.815,3.37875,4.8233333,-50.34375,-51.3593769073,-53.7187531789,0.05319,85.79,3.3770425,3.2933333,37.7812538147,41.875,39.5468762716,85.9374776483,0.1082189828,130,84.375,920,85.39,3.376665,2.9666667,-42.03125,-42.7187519073,-48.9583346049,119.105,3.415555,189.0991667,-58.21875,-58.3906288147,-70.9062525431,3.5580965198,3.2268222561,3.6303314586,-70.4233016968,10.9784275589,7.24611427122,93.2656294505,88.1250038147,93.2343769073,"L5tg"
"233",0.0795338249,110.256,0.1124999898,103.885,3.8149266667,7.921,-46.4375,-48.6666692098,-53.3000030518,0.058305,99.275,3.8109583333,3.456,24.53125,33.3020846049,29.1500015259,160.000115633,0.0200274847,209.999984741,95.2499974569,852,98.755,3.810475,3.021,-33.6250038147,-36.1979179382,-40.8875030518,120.605,3.84961,735.804,-51.7812538147,-57.2916692098,-77.8250030518,4.1556621666,4.0197224542,3.7094576554,-77.0050354004,26.7912492393,9.06980118996,82.4500045777,70.96875,81.9687538147,"L5tg"
"234",0.0233020465,56.7364705882,0.1868292785,136.78,2.6064616667,5.062,-47.2812538147,-47.8541692098,-52.8125038147,0.029705,134.755,2.604465,3.392,46.03125,46.6875025431,46.9062522888,136.718794704,0.0877228975,70,65.1250012716,540,134.35,2.6040533333,3.055,-37.3750038147,-37.5104204814,-45.2312522888,167.77,2.640065,61.81,-53.7812538147,-52.9166679382,-61.9750015259,3.5390984523,3.5937530175,3.5661698237,-61.491153717,15.9611719901,17.625347323,99.7187561035,93.3125038147,94.5416717529,"L5tg"
"238",0.0221943326,61.623,0.1981216488,203.43,2.6176,4.9616667,-32.5625,-39.2708346049,-40.8229179382,0.060645,200.875,2.61566,3.3875,47.0937538147,41.9791666667,42.2864583333,202.812537551,0.0736343935,70,65.375,310,200.435,2.6152033333,3.0091667,-21.25,-27.1250006358,-27.5104173024,240.615,2.644705,559.1466667,-41.84375,-46.5104166667,-70.4583333333,2.8938175018,2.9337051575,2.7353519153,-66.8419036865,22.9783631392,16.2277071873,83.1093762715,79.6562538147,81.2500012716,"L5tg"
"240",0.0690320929,95.628,0.1322485217,194.5,5.7213533333,5.2383333,-43.1875038147,-45.6875012716,-50.1093769073,0.038815,192.11,5.7192083333,3.3891667,45,47.71875,45.4114615122,90.156249702,0.1762121171,160,142.958328247,1170,191.72,5.7188333333,3.0391667,-40.6250038147,-40.8958346049,-48.3177108765,247.68,5.7901166667,77.4441667,-55.5000038147,-53.6979204814,-72.505212148,4.4891410803,4.2980526995,4.0583191134,-71.9120330811,15.4935912138,10.4571882712,95.5208384195,88.1875038147,93.4062512716,"L5tg"
"244",0.0458341391,89.794,0.1897849455,139.32,1.0063266667,5.54,-47.3125,-46.5937512716,-49.2343769073,0.02694,136.14,1.0036133333,3.435,34.9062538147,37.6979179382,33.0000009537,356.249958277,0.076568976,29.9999980927,25.0833326976,340,135.62,1.00312,3.03,-34.5000038147,-34.7708333333,-40.0625009537,164.02,1.0338733333,54.68,-54.9687538147,-55.0104192098,-59.8906288147,3.4376338145,3.384262875,3.4130185833,-59.0870780945,39.8619819949,11.1366015547,82.234377861,82.2187538147,84.2916692098,"L5tg"
"247",0.0921209855,113.670625,0.1241706177,127.385,1.12802,5.4,-43.0312538147,-44.1875,-46.8750038147,0.04587,123.74,1.124635,3.23,31.0000019073,39.5,35.25,331.250011921,0.1422371566,30.0000019073,28.125,509.999969482,123.05,1.123995,2.695,-34.3437538147,-37.3125,-42.1875,177.88,1.195035,161.17,-50.34375,-52.875,-61.0000038147,2.8534474832,2.9634292559,3.1219336556,-61.3951797485,49.7167411658,8.7973475997,82.1250038147,74.031255722,83.6875,"L5tg"
"253",0.0714051949,118.105,0.0890624996,208.73,4.30817,5.865,-46.03125,-48.1770858765,-51.9479198456,0.075645,204.96,4.3055433333,3.4983333,37,37.8645833333,40.4739608765,160.044744611,0.0414860658,90,107.625,1120,204.445,4.30502,3.0425,-32.375,-35.0208358765,-46.8489596049,259.525,4.352525,624.205,-55.4062538147,-54.9375038147,-82.4791704814,3.80076773,3.8072699393,4.1697917707,-80.5922088623,18.5011826118,8.46704203886,92.4218807221,83.03125,86.0416692098,"L5tg"
"255",0.0349519303,116.194375,0.1555555949,58.225,7.9421333333,5.436,-46.8437538147,-47.9583358765,-53.0812515259,0.032215,55.74,7.939535,3.546,35.875,36.8750025431,37.6250030518,69.2187920213,0.1738492548,370,198.500005086,1410,55.22,7.9390516667,3.088,-45.8125038147,-41.3854179382,-57.1187522888,93.54,7.990915,72.129,-55.4062538147,-56.5000025431,-81.1375015259,3.3142730977,3.2851636292,3.4331320314,-80.2801742554,11.5026163353,8.60626859088,90.7062545777,82.7187538147,84.8333384196,"L5tg"
"258",0.1935920902,156.661,0.0347826105,80.325,3.765905,4.965,-47.3125,-48.8541679382,-50.7375022888,0.050415,78.02,3.7638633333,3.174,44.5,47.3125012716,47.2187522888,132.142856717,0.0823451877,130,94.0416692098,880,77.66,3.76349,2.849,-36.28125,-39.0625025431,-46.3250030518,111.69,3.8122566667,399.96,-54.3437538147,-58.6250038147,-73.1125045776,4.0321708701,3.9680734132,4.4803841745,-72.100112915,15.4321944902,6.38320960545,97.9562545776,91.8125,96.1666692098,"L5tg"
"266",0.0180102393,111.531875,0.1428370363,225.585,3.96653,5.6175,-45.9375,-48.4166666667,-53.445315361,0.08869,222.6,3.96455,3.55125,17.2812519073,31.4166673024,20.625,154.687494039,0.036914859,90,99.0833333333,0,222.08,3.9640916667,3.13875,-34.59375,-35.625,-38.2734394073,275.39,4.0064883333,614.0775,-58.8750038147,-58.6145858765,-82.1562519073,2.6782962593,2.8620353458,2.6030053927,-81.3229217529,21.4664851772,8.9660467019,74.070315361,63.2187519073,79.8333339691,"L5tg"
"270",0.0299897224,57.9271875,0.2117214199,134.95,1.6596,5.295,-41.6562538147,-42.8125038147,-50.0781288147,0.03647,132.5,1.65769,3.59,18.9375,27.4687519073,20.8437509537,192.18711555,0.0813830122,80,41.375,0,131.955,1.65718,3.15,-32.375,-33,-41.078125,166.025,1.700895,793.1075,-50.6875038147,-53.90625,-75.9843788147,2.4611744508,2.5180085654,2.4322933087,-73.3546524048,24.7563297047,17.2630511364,70.9218797684,60.5937538147,70.281255722,"L5tg"
"281",1,1000,0.0142857217,126.41,8.6122,6.74125,-48.1562538147,-48.8645858765,-54.8437519073,0.07963,118.785,8.6053183333,3.585,21.1562519073,27.3750006358,37.085940361,88.4374603629,0.0902357399,410,215.125,0,117.935,8.60464,3.0775,-32.8125038147,-33.7187512716,-54.226565361,155.75,8.6370966667,199.39,-51.7500038147,-54.6041679382,-80.0000019073,3.0574027285,3.412593841,3.8352392928,-79.6286087036,18.808327605,1,91.9296922683,69.312505722,76.2395865123,"L5tg"
"282",0.1936614547,89.79125,0.1359848514,112.54,2.6408133333,6.3083333,-44.6250038147,-40.9583346049,-49.6041679382,0.051915,109.17,2.6380216667,3.7566667,24.6562519073,27.6875012716,23.5104179382,365.000069141,0.1433081478,50,65.9583320618,730,108.51,2.637325,3.2083333,-37.7812538147,-31.8125019073,-42.9687512716,144.955,2.683135,802.585,-49.5937538147,-51.6979192098,-78.1458333333,2.9947934185,2.3765978731,2.9416857706,-76.1378860474,46.5714514051,11.1369426308,73.1145858764,69.281255722,68.6458358765,"L5tg"
"286",0.04322366,101.972222222,0.1708860882,85.335,2.9207516667,4.7075,-45.9062538147,-49.3020846049,-52.5703134537,0.0454,83.2,2.919005,3.36,32.6562538147,34.5000025431,34.1562519073,180.625081062,0.0832769647,90,72.9583333333,167.5,82.785,2.91857,3.02,-34.71875,-36.9270833333,-46.2109375,118.025,2.948415,513.66875,-53.75,-56.739587148,-71.2500019073,3.000143663,2.7028651688,2.9390097983,-70.3280029297,23.2873195327,9.80659220921,86.726565361,78.5625076294,83.802087148,"L5tg"
"291",1,505.87,0.1372812787,100.37,6.58834,5.096,-46.09375,-49.4375038147,-53.2125022888,0.045935,97.6,6.5862066667,3.478,36.375,40.6041679382,39.3187522888,70.0000375509,0.1693059802,330,164.666666667,1270,97.05,6.58576,3.063,-39.1250038147,-41.0729192098,-55.1500030518,128.435,6.6383766667,61.312,-56.0625,-57.4375025431,-78.1000015259,3.4821824155,3.3539511295,3.3257527988,-77.3865509033,10.621334108,1.97679245656,92.5312545776,82.46875,90.0416717529,"L5tg"
"303",1,1000,0.1947916783,93.52,2.671295,6.775,-48.03125,-46.9062538147,-53.4000015259,0.07245,88.835,2.6667583333,3.494,34.15625,34.7708358765,43.0875,177.968755364,0.0229636412,130,66.6666666667,830,88.22,2.66619,3.057,-36.375,-33.2708333333,-47.2437530518,104.575,2.713515,856.509,-50.9062538147,-54.2916692098,-77.4250030518,3.7269961036,3.6654467281,4.7944087703,-77.0266799927,18.1517342336,1,96.4875015259,82.1875,81.6770896912,"L5tg"
"305",0.0484987688,127.402142857,0.1241935466,98.26,6.4557016667,4.752,-42.8125038147,-45.1875012716,-50.6000015259,0.048485,96.33,6.45414,3.352,44.03125,48.2812525431,46.6312515259,95.6248864532,0.1559875757,190,161.333333333,1190,95.995,6.4538083333,3.055,-35.15625,-36.7916666667,-48.2500030518,143.135,6.5127383333,74.062,-54.0937538147,-52.4895846049,-74.8500030518,4.2805741868,4.2425868579,3.7845414386,-73.8727722168,14.0124088272,7.84916154135,97.2312530518,86.8437538147,93.4687538147,"L5tg"
"308",0.0696908626,91.0614285714,0.1772727311,108.87,6.626095,5.508,-55.28125,-53.0416704814,-61.0437538147,0.056105,106.54,6.6241833333,3.5,41.25,41.4791679382,40.8312515259,172.656178474,0.1664906889,150,165.625,640,106.025,6.6236216667,3.036,-38.0000038147,-34.7604179382,-49.7750007629,108.93,6.6452816667,111.664,-55.3750038147,-53.9687525431,-77.7375030518,2.8165909608,2.5112535061,2.8444643211,-77.4682312012,15.3703621142,10.9815979794,101.875005341,96.53125,94.5208384196,"L5tg"
"311",0.0309022487,71.6926923077,0.1858209136,294.27,4.4515583333,5.4983333,-44.90625,-45.6041679382,-49.4947923024,0.067105,291.085,4.449215,3.2816667,28.1250019073,37.2395858765,30.7395849228,151.562571526,0.0225339085,70,111.20833079,1060,290.56,4.4487816667,2.8791667,-33.90625,-31.8229198456,-36.6093762716,377.835,4.504495,583.2325,-56.46875,-52.3125038147,-80.0416679382,3.3476373087,3.7048887154,3.3892240663,-79.0895767212,17.4630409651,13.9484230235,80.2343772252,73.0312519073,82.8437538147,"L5tg"
"312",0.0319918128,55.9603125,0.2246212253,135.34,2.734175,4.819,-44.3125038147,-46.2708346049,-49.3000030518,0.054435,133.115,2.7320533333,3.111,49.625,50.2812538147,49.2500022888,233.437612653,0.0222372673,70,68.2916666667,680,132.73,2.7316616667,2.781,-32.3125,-32.6041679382,-40.2625015259,154.98,2.754555,601.257,-48.03125,-48.1562525431,-72.5687515259,3.9758365021,3.9902997022,3.9502430441,-72.7411804199,25.4114754757,17.8698072853,98.5500053406,93.9375038147,96.5520884196,"L5tg"
"330",0.0362674315,62.1703333333,0.2393501805,54.79,4.4890416667,4.631,-46.4375,-47.4166679382,-53.7062530518,0.02706,52.995,4.487565,3.265,36.375,44.8541692098,40.5125015259,162.812381983,0.1168040186,150,112.16666921,378,52.59,4.4871716667,2.924,-34.625,-35.9166692098,-46.3312522888,64.44,4.5064833333,784.775,-49.21875,-53.8750012716,-75.0187515259,2.7614619912,2.7856893914,2.8539876664,-73.9795761108,19.4287140851,16.0848421809,94.2187545777,82.8125,92.270837148,"L6atg"
"331",1,353.06,0.0828719487,39.38,10.9916266667,5.46,-45.15625,-46.6041692098,-54.6062530518,0.02304,37.42,10.98966,3.52,33.3750038147,31.8958352407,36.8812515259,80.6249976158,0.0433410928,469.999969482,274.708333333,0,36.82,10.9890466667,3.072,-33.3125038147,-32.7604198456,-48.0687522888,39.56,11.0112666667,472.328,-45.4375038147,-50.2812525431,-77.2250015259,2.3885619228,2.0981962343,2.4666138598,-76.6868133545,10.696395056,2.83237976548,91.4875045777,78.5312538147,78.5000044505,"L6atg"
"339",0.0214200304,70.8525,0.1920250714,116.395,7.0426083333,5.059,-48.34375,-47.2187525431,-53.0062515259,0.057935,114.24,7.0408066667,3.485,44.8125,42.8229179382,43.7250015259,115.468673408,0.1227882802,209.999984741,176,0,113.805,7.0403566667,3.11,-33.34375,-31.9270852407,-44.8125022888,127.955,7.0640783333,97.463,-48.96875,-51.2291679382,-76.8750030518,2.8098324976,2.5102833192,2.6278680181,-75.9193191528,13.6680116419,14.113828023,96.7312530518,93.15625,90.0416704813,"L6atg"
"340",1,1000,0.0096976396,65.745,11.4843966667,5.561,-43.4375038147,-43.9791666667,-52.4875022888,0.032295,63.49,11.4824933333,3.59,24.25,23.8645846049,33.3000007629,154.218822718,0.1610584408,249.999984741,287.041666667,770,62.86,11.4816866667,3.101,-29.7187519073,-29.7916679382,-49.6375030518,96.89,11.50623,88.791,-48.5,-47.6250025431,-79.1250045776,2.1818765682,1.7891355966,2.6259948464,-77.58253479,14.9306682669,1,85.7875030517,67.6875038147,67.8437512716,"L6atg"
"346",0.2315746133,42.5025,0.0759016427,48.42,8.5996333333,5.08,-43.0937538147,-46.0104179382,-48.8437538147,0.02055,47.075,8.598375,3.51,32.1875038147,36,41.71875,106.250196695,0.1357292682,350,214.958323161,0,46.56,8.597825,3.045,-28.5312519073,-29.822918574,-45,48.5,8.6148816667,98.99,-43.2812538147,-48.5625038147,-72.125,2.0136173422,1.750199006,2.4197028962,-71.9202270508,10.813287087,23.5280277631,90.5625038147,75.2812576294,82.0104179382,"L6atg"
"348",1,67.97,0.1212747787,85.905,12.5896,5.198,-46.75,-48.9218769073,-54.7000022888,0.03793,84.14,12.587935,3.432,32.28125,38.296875,39.9187507629,79.9999982119,0.1072227731,350,314.6875,1200,83.66,12.5874575,3.058,-35,-35.8125,-53.2250015259,102.095,12.6067825,245.342,-52.7812538147,-54.4218769073,-83.0062561035,2.5794769354,2.4302311012,3.2272513315,-82.5060348511,10.9458939848,14.7123731058,94.6187530517,79.03125,87.2187519073,"L6atg"
"349",0.008942715,52.1844444444,0.2190346219,63.92,5.226,6.28,-44.5,-43.4270846049,-53.4687538147,0.01946,61.7,5.2240466667,3.66,28,31.291668574,21.5625019073,315.156310797,0.0342812911,110,130.583333333,520,61.04,5.2233666667,3.14,-35,-33.0625012716,-31.2812519073,64.2,5.2404333333,89.68,-44.7187538147,-44.208337148,-72.5625,2.2413271124,1.9746765171,1.9356677665,-72.1856307983,13.0876496174,19.1627986203,75.031255722,72.5,74.7187531789,"L6atg"
"357",0.138954708,129.005714286,0.1697031039,36.22,4.7123666667,5.208,-50.6875038147,-49.0937512716,-54.8812530518,0.00978,34.18,4.7106466667,3.44,35.2812538147,35.4791679382,40.2687530518,176.651805639,0.0342785232,110,117.749997457,310,33.64,4.71004,2.98,-34.46875,-32.9479192098,-44.5312522888,36.5,4.71266,63.552,-50.875,-49.3125,-61.5437530518,2.4076583448,2.0443847303,2.6608163428,-60.4437866211,17.8743341598,7.75159461375,95.1500061036,85.9687576294,84.5729192098,"L6atg"
"365",1,1000,0.0212643678,43.52,11.4359516667,4.98125,-38.9375,-38.75,-49.2500038147,0.036535,42.275,11.4347683333,3.48,23.5625,11.75,35.9062519073,82.81211555,0.1284872741,230,285.833333333,365,41.62,11.4331183333,3.0225,-24.5625,-26.7604179382,-46.296877861,63.26,11.4571166667,547.70375,-42.1875,-44.1562525431,-77.851568222,1.4182510407,0.8501959439,2.30170615,-76.9102935791,9.43292454457,1,85.156255722,62.5,50.5,"L6atg"
"373",0.0244104559,68.6076923077,0.2027891169,98.235,2.392525,5.05625,-55.84375,-52.7500038147,-57.242190361,0.038125,96.26,2.39061,3.34375,38.53125,41.4687519073,37.5468769073,243.750065565,0.1118249819,50,59.7499980927,285,95.845,2.39016,2.98375,-44.9375038147,-41.515625,-50.078127861,133.875,2.4405375,682.15375,-56.2812538147,-56.3437538147,-81.9062538147,3.5641927196,3.2254217781,3.6171888016,-81.1754684448,24.9293147075,14.5756250701,94.7890672683,94.375,94.218755722,"L6atg"
"380",0.1280182786,96.106,0.1550236402,253.22,0.49676,6.444,-56.4375038147,-56.4062512716,-57.5375022888,0.00948,249.14,0.4935,3.472,37.71875,41.302087148,39.7062515259,312.343776226,0.0848674551,20,12.3333333333,96,248.68,0.4930333333,3.068,-43.15625,-43.4791704814,-46.4937507629,268.9,0.5164,34.036,-61.25,-61.7916704814,-63.7375007629,4.3979136625,4.4702047084,4.1827140785,-59.3667678833,26.2135115039,10.4051776164,97.2437538147,94.1562538147,97.7083384196,"L6btg"
