"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","binary_neuron"
"2",0.0487088251,118.397142857,0.3075892912,0.02369,147.65624702,0.1171039641,13.7579577113,-65.5030441284,8.4461497623,49.77,-45.9687538147,48.27,13.21875,170,47.88,-32.0937538147,49.995,-46.1562538147,2.0260001477,59.1875038147,"Inhibitory"
"3",0.0422146009,81.3945454545,0.1627293749,0.027555,266.406327486,0.0415404625,21.9450109341,-72.1746749878,12.2858355485,69.75,-48.90625,66.395,33.28125,110,65.825,-38.1562538147,79.575,-52.09375,4.2084853999,82.1875,"Excitatory"
"8",0.0347760085,30.73375,0.6312207153,0.126335,64.5312517881,0.0449956208,4.99634536181,-76.9548568726,32.5375198276,514.44,-57.6875038147,513.62,13.5,350,513.3,-34.9062538147,514.63,-57.8437538147,1.2045470956,71.1875038147,"Inhibitory"
"9",0.0259499525,79.6,0.1640540541,0.04384,153.749927878,0.1038112193,20.4216258325,-68.5057373047,12.5628140704,163.34,-47.4375038147,161.42,43,70,161,-33.1250038147,200.7,-56.5625038147,3.3893320895,90.4375038147,"Excitatory"
"32",0.0311050608,62.4966666667,0.2859043901,0.041805,339.620679617,0.026388593,35.1773729723,-72.08177948,16.0008533788,249.505,-52.09375,247.385,39.6875038147,30.0000019073,246.9,-42.8125038147,285.3,-57.5,3.701594925,91.7812538147,"Excitatory"
"34",0.4103743748,24.8866666667,0.053163074,0.02222,287.343800068,0.1550024748,20.2264349204,-69.8161087036,40.1821591213,179.04,-54.5937538147,178.12,32.84375,40,177.72,-40.0000038147,723.74,-57.1875,1.7839550343,87.4375038147,"Inhibitory"
"35",1,1000,0.0459984166,0.01672,141.093716025,0.103318736,10.1983166376,-73.7110214233,1,27.94,-53.4687538147,27,23.0000019073,140,26.68,-39.65625,27.96,-53.53125,2.0757909451,76.468755722,"Inhibitory"
"38",0.0141153754,34.3007142857,0.4464864865,0.02504,249.330356717,0.1250998527,22.9317307203,-65.5227432251,29.1539118303,69.295,-53.75,68.2,12.8125,70,67.8,-39.625,69.365,-53.84375,1.6605080463,66.5625,"Inhibitory"
"39",0.0091525921,55.5352941176,0.2783333333,0.02666,150.156363845,0.0869927704,10.1986055903,-66.0966186523,18.006567101,199.02,-51.5000038147,195.4,42.5625038147,50,194.86,-46.0000038147,221.9,-55.84375,4.0431381903,94.0625076294,"Excitatory"
"44",0.1096904344,75.0622727273,0.1130379755,0.007175,454.531192779,0.0030330636,25.4442457099,-64.803352356,13.3222718107,73.75,-61,72.48,13.5625,20,71.985,-51.2500038147,73.93,-61.2187538147,1.8078949924,74.5625,"Inhibitory"
"47",0.0031186783,24.9319230769,0.4841121495,0.022895,65.7813698053,0.0459909923,6.50461213789,-77.5109786987,40.1092204928,60.37,-56,59.485,24.6875,260,59.175,-32.15625,60.445,-56.15625,1.5153342978,80.6875,"Inhibitory"
"50",0.0068039527,16.5130508475,0.8341963328,0.012335,136.406257749,0.0212017614,7.04963806288,-79.3803024292,60.5581614951,36.225,-56.71875,35.135,16.9687519073,140,34.76,-36.5000038147,36.485,-56.9375038147,1.5140065265,73.6875019073,"Inhibitory"
"52",1,1000,0.0237227589,0.04512,173.59367013,0.0820133761,25.5547534197,-75.2498779297,1,79.94,-46.1250038147,76.7,29.2812519073,150,76.12,-32.0937538147,113.36,-51.84375,2.4615950708,75.406255722,"Excitatory"
"61",0.0763599331,116.445,0.1541666753,0.047445,136.87504828,0.2040595114,18.6989093448,-68.0052108765,8.58774528747,119.98,-46.6250038147,117.32,38.1562538147,70,116.845,-43.7500038147,192.86,-56.78125,3.8862715922,84.7812576294,"Excitatory"
"62",0.1188551549,67.3333333333,0.1449567893,0.034855,158.593788743,0.0306478515,17.8633370572,-81.6837158203,14.8514851485,139.87,-53.6562538147,137.765,40.0625038147,110,137.325,-40.7812538147,160.555,-58.2812538147,3.3289569855,93.7187576294,"Excitatory"
