"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"430",5.6575,-54.0468788147,3.44,40.8671889305,390,3.08,-41.6757826805,722.0025,-68.7968769073,3.2667444696,94.9140677452,"Vip"
"434",3.389,-65.9875015259,2.915,17.5125003815,600,2.71,-46.8562515259,285.923,-71.4625045776,1.1743543499,83.5000019074,"Pvalb-IRES-Cre"
"436",3.7333333,-61.8750025431,3.1625,22.4166682561,775,2.925,-45.7395858765,260.2441667,-68.7447916667,1.3183387853,84.2916707992,"Pvalb-IRES-Cre"
"440",3.9416667,-71.7083358765,3.3683333,15.8333336512,0,3.0883333,-54.1145858765,166.74,-76.9583333333,1.1741756584,87.5416695277,"Pvalb-IRES-Cre"
"456",4.235,-64.625005722,3.34875,26.3046884537,140,3.04625,-44.945315361,241.97125,-73.820318222,1.6516135008,90.9296941757,"Sst-IRES-Cre"
"492",4.232,-59.4875015259,3.46,22.1750003815,780,3.136,-44.6062515259,420.972,-73.7500045776,1.4521160134,81.6625019074,"Nkx2-1-CreERT2"
"496",4.62125,-59.890625,3.3125,11.3906254768,360,3.0125,-39.9609384537,663.89625,-74.5468769073,1.5536287096,71.2812504768,"Pvalb-IRES-Cre"
"498",4.285,-60.2125030518,3.368,36.8187507629,600,3.022,-42.8687522888,634.33,-74.5375061035,1.8377684621,97.0312538147,"Sst-IRES-Cre"
"507",4.6016667,-56.2864596049,3.33,28.9791676203,169.999989828,3,-42.703125,306.5,-69.9843775431,2.3972228087,85.2656272252,"Htr3a-Cre_NO152"
"513",4.52,-55.3802108765,3.2466667,38.8385429382,249.999984741,2.92,-41.979168574,615.6633333,-72.3750025431,2.9407740492,94.2187538147,"Vip"
"519",4.1725,-61.4531288147,3.12875,31.4921889305,410,2.75375,-42.4140634537,537.46875,-67.9453201294,1.7099853085,92.9453177452,"Sst-IRES-Cre"
