"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"25",3.2930333333,-49.3854192098,3.2912933333,44.5104166667,82.25,3.29088,-33.5104192098,3.3191666667,-55.9791692098,3.2384560859,93.8958358765,"L4tg"
"26",3.15376,-46.9583358765,3.1517083333,40.0833339691,78.7916666667,3.1512016667,-35.3750025431,3.1898583333,-53.0833358765,3.0344421751,87.0416698456,"L4tg"
"27",4.7213533333,-46.1770833333,4.7188533333,38.9791666667,117.708328247,4.7184266667,-35.6354166667,4.7622066667,-55.6458333333,3.9976222416,85.15625,"L4tg"
"28",3.269245,-46.7604166667,3.2650866667,24.96875,81.625,3.2643783333,-35.875,3.312895,-53.7812512716,3.3261024368,71.7291666667,"L4tg"
"29",3.23414,-49.3437525431,3.2324266667,44.7812512716,80.7916666667,3.2319733333,-36.4270846049,3.27098,-53.7812525431,3.4268663155,94.1250038147,"L4tg"
"30",4.4107816667,-42.7500038147,4.4089666667,32.5104179382,110.208333333,4.4084683333,-34.0520833333,4.4494116667,-53.239587148,2.7594340109,75.2604217529,"L4tg"
"31",3.0196533333,-49.7083333333,3.0174233333,42.8333333333,75.4166666667,3.017025,-36.6354179382,3.0419166667,-57.0833346049,3.8816394559,92.5416666666,"L4tg"
"32",4.5817,-43.9479166667,4.5798866667,30.8854173024,114.458333333,4.5792733333,-29.4687519073,4.6096,-52.7083346049,2.1631889429,74.8333339691,"L4tg"
"33",3.3087283333,-51.1562525431,3.3070366667,42.020837148,82.6666666667,3.3066166667,-35.5729166667,3.330725,-55.6562512716,2.9832091976,93.1770896911,"L4tg"
"34",1.2953866667,-48.3645858765,1.293565,39.5,32.3333333333,1.29306,-37.6250025431,1.3356316667,-54.5416692098,2.8922414862,87.8645858765,"L4tg"
"35",3.47471,-45.4895858765,3.4721383333,43.7916666667,86.7916666667,3.471695,-33.4583346049,3.5027983333,-50.677087148,3.6455874465,89.2812525432,"L4tg"
"36",4.989055,-44.2916679382,4.9863066667,32.8229166667,124.625,4.9858883333,-34.9270833333,5.0276933333,-56.0208333333,3.0476494712,77.1145846049,"L4tg"
"37",3.80059,-42.1354192098,3.7969733333,33.0000031789,94.9166692098,3.7965166667,-26.7291673024,3.8261833333,-50.6979192098,3.1022655796,75.1354223887,"L4tg"
"38",2.48182,-50.0833333333,2.4783566667,47.3750038147,61.9166666667,2.477945,-36.4375012716,2.5179783333,-57.239587148,4.6850489606,97.458337148,"L4tg"
"39",3.6798416667,-51.6562512716,3.6755466667,38.78125,91.9166666667,3.6750566667,-41.0625,3.715435,-59.1666666667,4.556972773,90.4375012716,"L4tg"
"40",2.44798,-48.65625,2.44545,37.53125,61.125,2.44498,-33.6875038147,2.47128,-55,3.0306799947,86.1875,"L4tg"
"41",7.741275,-46.2916679382,7.7392533333,26.9687519073,193.41666158,7.7385966667,-34.2604179382,7.755585,-47.895837148,1.99134582,73.2604198455,"L4tg"
"42",2.2078466667,-47.2291692098,2.2055733333,47.7812525431,55.125,2.2050966667,-37.7916679382,2.2528216667,-56.145837148,3.513540135,95.0104217529,"L4tg"
"43",1.4559375,-47.203125,1.4535425,34.03125,36.3125,1.453055,-34.921875,1.488675,-54.5625,2.8669443365,81.234375,"L4tg"
"44",2.560725,-47.8125038147,2.55477,42.40625,63.8750038147,2.55418,-34.59375,2.573095,-51.1562538147,5.3864399823,90.2187538147,"L4tg"
"45",2.3242283333,-47.8854179382,2.3222283333,30.322918574,58.0416666667,2.3217566667,-36.53125,2.355925,-53.4479166667,2.7680449577,78.2083365122,"L4tg"
"46",3.249355,-43.0312538147,3.2474983333,46.5937512716,81.1666666667,3.2469816667,-28.7500019073,3.2808366667,-47.1875038147,2.7354953355,89.6250050863,"L4tg"
"47",5.241465,-52.0625012716,5.2395366667,41.9583358765,130.958333333,5.23906,-40.1458333333,5.27017,-58.1354179382,3.7028573619,94.0208371481,"L4tg"
"49",3.8342233333,-49.3020833333,3.832005,39.2604192098,95.7499974569,3.831575,-32.0937506358,3.8581583333,-54.1562538147,3.0551942558,88.5625025431,"L4tg"
"50",4.7103016667,-49.1250012716,4.7079583333,35.5104166667,117.708335877,4.7075183333,-36.1458358765,4.7318733333,-56.1354179382,2.7930379895,84.6354179383,"L4tg"
"51",5.7782083333,-50.0833333333,5.77599,37.6562512716,144.416666667,5.7755116667,-32.6770852407,5.7914683333,-55.2708346049,2.6464303537,87.7395846049,"L4tg"
"52",1.89856,-49.1875,1.896345,48.927087148,47.4166666667,1.8958933333,-42.3020858765,1.944955,-54.5416704814,4.2694360822,98.114587148,"L4tg"
"53",2.0337083333,-47.4166692098,2.031765,45.8229204814,50.7916666667,2.03135,-38.4687538147,2.0682466667,-53.7187512716,4.0003925983,93.2395896912,"L4tg"
"54",5.840495,-46.864587148,5.8379583333,37.1041679382,145.958323161,5.8375266667,-36.739587148,5.8788766667,-55.6250038147,3.9715798597,83.9687550862,"L4tg"
"55",3.5021133333,-43.2291692098,3.499095,46.2500012716,87.4583333333,3.4985966667,-33.3541679382,3.5437683333,-49.6354192098,4.2223572552,89.4791704814,"L4tg"
"56",2.3145,-50.9687538147,2.3127125,44.828125,57.8124980927,2.3122875,-39.7500019073,2.36579,-55.875,3.0975564179,95.7968788147,"L4tg"
"57",2.21129,-52.0625038147,2.20909,46.6562538147,55.1875,2.20869,-37.8593769073,2.2331,-59.4375038147,4.1014939556,98.7187576294,"L4tg"
"58",3.8737916667,-57.3854192098,3.8711683333,40.1979192098,96.7499974569,3.870665,-41.8020846049,3.91345,-62.1979192098,3.5995495951,97.5833384196,"L4tg"
"59",2.80100125,-41.828127861,2.79947875,35.8671898842,70,2.79913375,-31.8125019073,2.85448625,-56.0078144073,3.0973018281,77.6953177452,"L4tg"
"60",4.4291933333,-44.8333346049,4.4256,37.5520846049,110.625,4.4251266667,-30.9791679382,4.4462933333,-50.1875012716,4.0724268855,82.3854192098,"L4tg"
"62",6.23717,-47.2604179382,6.235215,46.1041692098,155.833333333,6.2348566667,-35.5000012716,6.2581533333,-53.239587148,3.9233688707,93.364587148,"L4tg"
"63",2.2155783333,-48.8750012716,2.2124866667,45.5729166667,55.3333346049,2.2120866667,-37.8958358765,2.253265,-57.3541704814,4.2779831474,94.4479179383,"L4tg"
"64",2.141575,-51.2812538147,2.1393983333,35.1250012716,53.5000012716,2.138965,-35.2083358765,2.1722566667,-60.6666679382,3.0120864214,86.4062550863,"L4tg"
"65",3.85002,-47.4062525431,3.8475266667,45.5416692098,96.1666666667,3.8470933333,-36.3541679382,3.8913733333,-54.4270858765,4.493890238,92.9479217529,"L4tg"
"67",4.01061,-54.1979192098,4.0052016667,29.5729173024,100.125,4.0046866667,-38.2500012716,4.043655,-60.3437538147,4.0130559841,83.7708365122,"L4tg"
"70",2.6372483333,-46.1666666667,2.6342233333,39.6770833333,65.8333320618,2.633705,-35.1979166667,2.6770083333,-53.9687512716,3.4983100855,85.84375,"L4tg"
"72",3.5029733333,-44.5104166667,3.5012833333,42.5520846049,87.5416666667,3.5009033333,-34.4375025431,3.536065,-52.2708358765,3.5673839385,87.0625012716,"L4tg"
"73",3.9258433333,-48.5312538147,3.92418,45.0729166667,98.0833333333,3.92384,-29.4895846049,3.94848,-54.2604192098,2.8119085445,93.6041704814,"L4tg"
"74",4.5984425,-50.3593759537,4.59575875,34.8203144073,114.874992371,4.5952725,-33.929690361,4.6116025,-55.5546894073,2.9593594045,85.179690361,"L4tg"
"75",2.927355,-45.5416666667,2.9254733333,33.6875012716,73.125,2.924985,-31.40625,2.9605166667,-53.6979179382,2.456152251,79.2291679383,"L4tg"
"76",2.812715,-49.708337148,2.8107183333,34.8854179382,70.2916666667,2.810265,-34.9479192098,2.8335183333,-56.3750025431,2.7482605765,84.5937550862,"L4tg"
"77",2.0260166667,-48.5520833333,2.0238066667,37.6875012716,50.625,2.0233366667,-36.6145846049,2.0543016667,-56.0416666667,3.0871268393,86.2395846049,"L4tg"
"78",1.78304,-45.7812525431,1.7813066667,36.4791692098,44.5416641235,1.7809433333,-31.6250012716,1.8124316667,-52.8020858765,2.8161601681,82.2604217529,"L4tg"
"80",3.38076,-48.9270846049,3.378015,42.75,84.4583333333,3.37757,-36.2916666667,3.4296983333,-58.2604179382,3.9138066313,91.6770846049,"L4tg"
"81",1.255845,-48.4062525431,1.2529433333,44.3645846049,31.2916666667,1.2524816667,-30.8958346049,1.2782966667,-55.7812525431,3.1854421568,92.770837148,"L4tg"
"85",4.9959166667,-45.8854204814,4.993595,47.0833358765,124.833325704,4.9931433333,-34.7708358765,5.033675,-53.1875038147,4.1425866405,92.9687563579,"L4tg"
"87",2.2020466667,-45.3541692098,2.200255,32.1250012716,54.9999987284,2.1998216667,-36.2187512716,2.233675,-49.2604204814,3.0988768823,77.4791704814,"L4tg"
"90",3.881045,-47.7812512716,3.8790466667,30.2083346049,97,3.8786216667,-37.583337148,3.9168816667,-57.2187525431,2.9881084807,77.9895858765,"L4tg"
"91",1.93779,-48.1718769073,1.93594,43.1718769073,48.375,1.9355675,-39.7812519073,1.9708825,-53.2343788147,3.856255763,91.3437538146,"L4tg"
"92",1.96872,-48.3541692098,1.9654216667,32.583337148,49.1249974569,1.9649033333,-38.3020858765,2.0225316667,-59.6875025431,3.5993857891,80.9375063578,"L4tg"
"93",1.8811025,-50.828125,1.8785525,30.609375,46.9375,1.87787,-41.15625,1.907345,-53.7031288147,2.6212179822,81.4375,"L4tg"
"94",3.4019733333,-50.8854192098,3.4000533333,40.4479179382,85,3.3996266667,-39.5312525431,3.4417066667,-59.6979192098,3.6429567057,91.333337148,"L4tg"
"95",2.9598316667,-41.1770858765,2.95844,37.8854192098,73.9166666667,2.9580883333,-29.1875012716,2.9943616667,-49.4791692098,2.8436603988,79.0625050863,"L4tg"
"96",2.30364,-51.9687512716,2.3016933333,40.8125025431,57.5833307902,2.3012666667,-41.3958358765,2.35398,-59.2812512716,3.9153686853,92.7812538147,"L4tg"
"98",3.0916083333,-48.1979166667,3.0876566667,29.1875006358,77.1666666667,3.0871033333,-32.1770839691,3.111915,-54.2812525431,2.7763631157,77.3854173025,"L4tg"
"99",4.9388383333,-45.6145858765,4.9339216667,24.2916679382,123.33333079,4.9332283333,-30.6041679382,4.9694383333,-52.5833346049,2.8983297326,69.9062538147,"L4tg"
"101",3.6267633333,-46.2291679382,3.623915,49.864587148,90.625,3.623385,-38.2187512716,3.69164,-54.9375025431,4.263918919,96.0937550862,"L4tg"
"102",2.99382,-45.7187525431,2.99178,37.7187512716,74.75,2.9913133333,-33.1041679382,3.0124133333,-51.3750025431,3.111407909,83.4375038147,"L4tg"
"104",5.5138266667,-50.0000012716,5.5112083333,32.135418574,137.791664123,5.5107283333,-34.3020833333,5.530865,-55.0312512716,2.8226685975,82.1354198456,"L4tg"
"105",4.2618466667,-47.8541692098,4.2597733333,44.0104179382,106.499997457,4.2593133333,-33.0208346049,4.2854,-55.052087148,3.7064364151,91.864587148,"L4tg"
"106",3.9196366667,-42.520837148,3.917595,44.5625025431,97.9166641235,3.9171716667,-32.4479204814,3.957895,-53.5937538147,3.6699545244,87.0833396911,"L4tg"
"108",3.1972133333,-46.8229179382,3.1938616667,32.6979166667,79.8333333333,3.1933333333,-37.8020846049,3.237195,-54.5625012716,3.3968326686,79.5208346049,"L4tg"
"109",2.4522533333,-51.6562538147,2.45008,51.3125025431,61.25,2.44956,-42.8125025431,2.4816266667,-54.8229204814,3.7033076614,102.968756358,"L4tg"
"110",2.8207666667,-49.7291692098,2.81902,40.8437525431,70.4583333333,2.8185533333,-38.4583358765,2.84534,-53.9791692098,3.3214711294,90.5729217529,"L4tg"
"112",3.6610133333,-47.6979192098,3.6585833333,39.7916679382,91.4583333333,3.65815,-31.4166679382,3.69725,-57.208337148,2.7897903747,87.489587148,"L4tg"
"113",2.1528133333,-46.4791692098,2.1504733333,37.25,53.7499987284,2.1499483333,-37.9583346049,2.191165,-53.4375038147,3.0485135953,83.7291692098,"L4tg"
"114",3.18505,-50.9166692098,3.1833333333,44.8541679382,79.5833333333,3.1829483333,-35.5,3.2044066667,-55.96875,3.1755587375,95.770837148,"L4tg"
"115",3.1109366667,-43.1979192098,3.108825,42.3437512716,77.75,3.1084083333,-31.6666673024,3.1448466667,-52.0625012716,3.1272615439,85.5416704814,"L4tg"
"116",1.8589016667,-49.0104179382,1.8572016667,37.8020846049,46.375,1.8567066667,-35.3125,1.8997233333,-52.3541679382,2.6335965239,86.8125025431,"L4tg"
"117",3.8955166667,-47.0416704814,3.8924666667,36.0937512716,97.3333333333,3.89195,-37.4687525431,3.9486866667,-56.1770858765,3.4130093983,83.135421753,"L4tg"
"118",3.09388,-48.1562512716,3.0914466667,43.6458346049,77.25,3.0910066667,-33.1562512716,3.1378266667,-57.270837148,3.9599770404,91.8020858765,"L4tg"
"119",2.5357183333,-38.7291704814,2.5338233333,49.8020858765,63.3333320618,2.533445,-28.4791679382,2.5840633333,-48.8125025431,3.5879177223,88.5312563579,"L4tg"
"122",3.05975,-49.2395858765,3.05784,45.2604179382,76.4166666667,3.057455,-39.2812512716,3.0942916667,-55.6041679382,3.6956735029,94.5000038147,"L4tg"
"124",3.0773866667,-52.5416679382,3.0745133333,40.4270846049,76.875,3.0740133333,-40.8229179382,3.0995933333,-58.7916704814,4.2578377635,92.9687525431,"L4tg"
"125",5.1386283333,-47.083337148,5.1370166667,49.895837148,128.41666921,5.1366383333,-39.4895858765,5.1879933333,-51.1770858765,3.3707042326,96.979174296,"L4tg"
"126",2.19634,-51.0208358765,2.1937666667,43.1770858765,54.8333333333,2.1933466667,-37.2500012716,2.21954,-58.5937538147,3.9501866144,94.197921753,"L4tg"
"127",3.4219716667,-52.614587148,3.4201716667,35.53125,85.5416666667,3.4197833333,-39.2395858765,3.4443216667,-58.9791704814,3.0492820913,88.145837148,"L4tg"
"130",1.782185,-53.9791666667,1.77998,40.7812512716,44.5,1.7795283333,-42.1041679382,1.80377,-59.21875,3.7235954831,94.7604179383,"L4tg"
"131",5.3575333333,-50.5416692098,5.3552266667,41.8229192098,133.874992371,5.35478,-41.7708358765,5.3995333333,-56.6562538147,4.5117311692,92.3645884196,"L4tg"
"132",2.0554175,-43.890625,2.0536975,39.2031269073,51.375,2.053305,-33.671875,2.0929325,-55.9062519073,3.1067968065,83.0937519073,"L4tg"
"133",1.940345,-41.8750025431,1.9371466667,41.5520846049,48.4583346049,1.936595,-30.2395852407,1.9631383333,-48.7916692098,3.292593919,83.427087148,"L4tg"
