"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"404",11.0513833333,-61.3854192098,11.0507766667,20.2916673024,276.25,11.0504716667,-40.6041704814,11.051425,-61.5312538147,1.1280489742,81.6770865122,"Sst-IRES-Cre"
"411",4.107865,-50.2968788147,4.106135,33.9218769073,102.625,4.1057175,-34.734375,4.108005,-50.4375038147,2.966013444,84.218755722,"Htr3a-Cre_NO152"
"422",3.6507066667,-54.9687538147,3.6474533333,41.0833333333,91.2083307902,3.6470666667,-34.3125012716,3.6562466667,-59.1354204814,3.8904711157,96.052087148,"Nkx2-1-CreERT2"
"424",1.1877583333,-58.4895858765,1.186655,29.5729173024,29.625,1.1862633333,-39.5833358765,1.1878866667,-58.6875012716,1.6903057944,88.0625031789,"Chrna2-Cre_OE25"
"430",6.2357066667,-41.7395846049,6.23352,24.6770839691,155.833333333,6.2327666667,-27.2500012716,6.23592,-41.9270846049,1.9067158504,66.416668574,"Vip"
"434",15.018805,-61.333337148,15.0182116667,13.7291679382,375.416666667,15.017915,-32.5000012716,15.0188466667,-61.4166692098,0.9690123182,75.0625050862,"Pvalb-IRES-Cre"
"436",28.1438575,-56.4531288147,28.1431225,10.1562504768,703.5625,28.142755,-31.1406259537,28.1439025,-56.5937538147,1.0120806544,66.6093792915,"Pvalb-IRES-Cre"
"440",7.5471966667,-65.6979192098,7.5466,14.5104166667,188.666666667,7.5463033333,-40.21875,7.547225,-65.8229192098,1.1273312646,80.2083358765,"Pvalb-IRES-Cre"
"456",11.3125025,-56.0312538147,11.3114875,19.8750009537,282.75,11.3110475,-34.5781288147,11.3125175,-56.0781288147,1.2815831416,75.9062547684,"Sst-IRES-Cre"
"492",11.33958,-55.020837148,11.33868,16.0416669846,283.458333333,11.3382933333,-31.947918574,11.3396666667,-55.114587148,1.2916697843,71.0625041326,"Nkx2-1-CreERT2"
"496",9.9739566667,-53.9479166667,9.9728183333,14.5000003179,249.29166158,9.9724416667,-30.5833339691,9.97418,-54.1666679382,1.4087427148,68.4479169846,"Pvalb-IRES-Cre"
"498",6.3065683333,-55.6145846049,6.3054683333,32.0833352407,157.625,6.3050066667,-33.9791679382,6.306645,-55.7708358765,1.6040711532,87.6979198456,"Sst-IRES-Cre"
