"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"308",5.42,-52.6250030518,3.54,42.5812530518,600,3.092,-47.6375022888,381.14,-76.0687561035,3.1644086346,95.2062561036,"Ntsr1-Cre_GN220"
"312",4.48625,-50.5546894073,3.155,36.3437509537,300,2.85375,-41.9453134537,649.525,-69.8125019073,2.8947141601,86.898440361,"Nr5a1_Scnn1a"
"319",5.436,-53.0812515259,3.546,37.6250030518,1410,3.088,-57.1187522888,72.129,-81.1375015259,3.4331320314,90.7062545777,"Rbp4-Cre_KL100"
"346",6.055,-49.539065361,3.51125,41.0625038147,1320,3.0975,-48.085940361,549.38,-78.8906269073,4.0183786943,90.6015691757,"Rbp4-Cre_KL100"
"350",4.841,-50.09375,3.453,40.3437507629,0,3.087,-43.1125007629,820.658,-76.4312545776,3.6811218945,90.4375007629,"Nr5a1_Scnn1a"
"364",6.762,-53.6250015259,3.393,33.1312507629,568,2.911,-45.4500007629,67.44,-65.3187530518,4.0556416429,86.7562522888,"Nr5a1_Scnn1a"
"367",4.95,-49.2437515259,3.29,40.4375030518,1500,2.989,-51.7312522888,58.412,-74.5062576294,4.2903579616,89.6812545777,"Rbp4-Cre_KL100"
"380",5.6175,-53.445315361,3.55125,20.625,0,3.13875,-38.2734394073,614.0775,-82.1562519073,2.6030053927,74.070315361,"Nr5a1_Scnn1a"
"415",6.66,-49.21875,3.52,44.1562538147,890,3.14,-44.34375,964.14,-75.53125,4.8742435702,93.3750038147,"Ctgf-T2A-dgCre"
"418",4.417,-47.0625022888,3.263,35.7187530518,850,2.96,-43.7000022888,569.736,-77.7750015259,2.8013427417,82.7812553406,"Nr5a1_Scnn1a"
"421",5.438,-49.5562522888,3.604,23.9500007629,1280,3.161,-46.1750015259,612.421,-74.5125,3.0024571878,73.5062530517,"Nr5a1_Scnn1a"
"447",4.947,-50.4000015259,3.337,31.6187507629,276,2.951,-44.1750015259,473.736,-69.8500030518,2.8622313558,82.0187522888,"Rbp4-Cre_KL100"
"453",5.089,-54.2812530518,3.526,50.4625030518,580,3.11,-48.8125015259,82.866,-69.21875,3.1145823709,104.743756104,"Rbp4-Cre_KL100"
"459",5.04375,-57.7890644073,3.37125,40.125002861,630,2.9925,-51.2734394073,717.26625,-86.4921894073,4.1200231716,97.9140672683,"Cux_Slc17"
"467",5.06875,-53.46875,3.3675,39.25,400,3.025,-48.9921884537,750.7175,-70.4140644073,3.7961493991,92.71875,"Nr5a1_Scnn1a"
