"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"193",0.0398470684,100.118125,0.1503517059,0.074265,151.093795896,0.0657483265,20.2351468197,-73.7776107788,9.98820143705,125.525,-41.46875,123.455,36.625,70,123.14,-32.5937538147,172.25,-53.0625038147,3.3430857333,78.09375,"Nr5a1_Scnn1a"
"198",0.0147999528,92.074,0.1776712329,0.04876,164.062529802,0.2195701003,18.35345851,-69.3629837036,10.8608293329,161.16,-45.8437538147,158.5,45.5625038147,70,158.08,-38.0937538147,217.08,-57.2812538147,4.0599946004,91.4062576294,"Rorb-IRES2-Cre"
"219",0.0185935976,56.9271875,0.2557692461,0.032505,251.874893904,0.15363805,27.4752091503,-69.9340515137,17.5662990553,132.5,-51.0312538147,130.855,28.1250019073,60.0000038147,130.305,-43.2812538147,160.56,-54.5000038147,2.3829065111,79.156255722,"Rbp4-Cre_KL100"
"231",0.2077250898,141.385833333,0.115174903,0.045985,175.000041723,0.0361807421,22.9385790753,-78.5516433716,7.07284440332,98.52,-51.7812538147,96.35,46.65625,90,96.005,-42.5,122.19,-57.8125038147,4.311725613,98.4375038147,"Rorb-IRES2-Cre"
"236",0.0226394565,59.69,0.1961538462,0.038845,278.794765472,0.098568581,28.8238727566,-74.1093292236,16.7532249958,514.2,-55.28125,509.98,44.3125,70,509.43,-36.5625038147,524.1,-58.84375,4.3148191256,99.59375,"Ntsr1-Cre_GN220"
"239",0.0071029118,52.2558333333,0.2719512195,0.047835,248.571425676,0.1037928164,25.5804550671,-75.8354644775,19.1366195162,138.29,-49.8750038147,136.405,32.0625,50,135.98,-36.46875,169.1,-59.8437538147,3.0017979556,81.9375038147,"Nr5a1_Scnn1a"
"244",0.0358613139,107.61,0.1463349014,0.07696,160.312458873,0.077374354,24.0613465493,-74.1493377686,9.29281665273,174.94,-46.1250038147,171.88,40.5,90,171.4,-35.7812538147,213.1,-54.9375038147,4.1436436103,86.6250038147,"Rorb-IRES2-Cre"
"247",0.0320481523,63.9953571429,0.1529762016,0.05055,155.781254172,0.0507714227,21.0263990318,-81.7539978027,15.6261335923,105.425,-49.34375,103.485,34,110,103.06,-36.1562538147,119.325,-53.6875,3.0544488474,83.34375,"Nr5a1_Scnn1a"
"255",1,89.51,0.1096405132,0.057675,116.40625447,0.0635878891,18.5473587434,-77.7801132202,11.1719360965,120.725,-53.90625,115.08,27.8437519073,190,114.53,-39.40625,136.345,-57.9375038147,4.1641729582,81.7500019073,"Rorb-IRES2-Cre"
"260",0.0214200304,70.8525,0.1920250714,0.057935,115.468673408,0.1227882802,13.6680116419,-75.9193191528,14.113828023,116.395,-48.34375,114.24,44.8125,209.999984741,113.805,-33.34375,127.955,-48.96875,2.8098324976,93.15625,"Ntsr1-Cre_GN220"
"266",0.0144138954,61.5,0.2148452758,0.03966,216.562509537,0.0540811755,23.608140987,-71.4015350342,16.2601626016,83.4,-50.34375,79.5,40.6562538147,110,79.02,-36.5625038147,93.56,-54.875,4.2403849425,91.0000038147,"Cux_Slc17"
"267",1,1000,0.1469961347,0.081195,169.687539339,0.0485379249,21.1852333172,-81.5740814209,1,200.1,-49.78125,198.1,39.5937538147,110,197.685,-39.28125,231.05,-56.03125,3.2542227679,89.3750038147,"Rorb-IRES2-Cre"
"273",0.0846362769,81.065,0.1998666646,0.03991,163.28124702,0.0542853847,17.5390899557,-78.5653686523,12.3357799297,91.025,-49.7187538147,89.24,45,90,88.9,-38.09375,117.72,-53.84375,3.6602782705,94.7187538147,"Nr5a1_Scnn1a"
"287",0.0010974061,13.6338888889,0.9006018725,0.0124,82.9688236117,0.0387163348,7.14909642977,-73.0732498169,73.346644391,20.6,-53.125,19.72,10.8750009537,270,19.4,-31.65625,20.62,-53.2187538147,1.4058102777,64.0000009537,"Cux_Slc17"
"303",0.0362956774,74.8225,0.2178977273,0.05097,210.937380791,0.0616592243,20.7400340693,-77.8417892456,13.3649637475,118.28,-45.625,116.06,32.21875,90,115.575,-33.09375,142.095,-50.5,2.6507909929,77.84375,"Nr5a1_Scnn1a"
"308",-0.1928444975,485.78,0.1209219853,0.01792,162.812456489,0.1143226027,19.1271703565,-75.4487686157,2.05854502038,49.78,-46,47.6,41.5625,210,47.06,-35.34375,50.1,-46.25,2.8310441167,87.5625,"Ntsr1-Cre_GN220"
"312",0.0217096944,59.4376666667,0.221875,0.05243,210.937619209,0.0096952049,29.7585465011,-69.4225387573,16.8243481967,124.44,-44.8750038147,122.37,35.40625,50,122.02,-32.7500038147,145.99,-50.71875,2.9849977028,80.2812538147,"Nr5a1_Scnn1a"
"319",0.0349519303,116.194375,0.1555555949,0.032215,69.2187920213,0.1738492548,11.5026163353,-80.2801742554,8.60626859088,58.225,-46.8437538147,55.74,35.875,370,55.22,-45.8125038147,93.54,-55.4062538147,3.3142730977,82.7187538147,"Rbp4-Cre_KL100"
"346",0.1039141876,153.395,0.0683593822,0.081125,125.937506556,0.057324186,20.8820934116,-78.1010055542,6.51911731152,150.49,-45,146.895,36.0000038147,150,146.425,-35.8437538147,191.19,-54.6875038147,3.9522051522,81.0000038147,"Rbp4-Cre_KL100"
"350",0.0283625815,83.4390909091,0.1833333333,0.04224,232.968792319,0.0223539155,20.1743668469,-76.3015518188,11.9847902117,152.045,-47.90625,150.355,37,70,149.9,-34.34375,181.72,-57.03125,3.0012022315,84.90625,"Nr5a1_Scnn1a"
"364",0.0223981015,85.0245454545,0.1029761956,0.058865,139.687538147,0.029876072,27.6047277572,-63.8380661011,11.7613095684,116.185,-48.875,111.975,31.6875019073,130,111.395,-38.28125,128.295,-52.15625,3.987668409,80.5625019073,"Nr5a1_Scnn1a"
"367",1,1000,0.0968749869,0.050055,69.3750008941,0.1039638519,8.66689780796,-73.9276123047,1,70.175,-45.9687538147,68.1,36.59375,290,67.76,-47.1562538147,101.445,-59.2812538147,4.1464390347,82.5625038147,"Rbp4-Cre_KL100"
"380",0.0180102393,111.531875,0.1428370363,0.08869,154.687494039,0.036914859,21.4664851772,-81.3229217529,8.9660467019,225.585,-45.9375,222.6,17.2812519073,90,222.08,-34.59375,275.39,-58.8750038147,2.6782962593,63.2187519073,"Nr5a1_Scnn1a"
"415",0.0305429515,79.7181818182,0.1680803592,0.0668,126.71867013,0.043594446,13.9309004979,-76.2541275024,12.5441897594,684.36,-46.96875,678.88,45.53125,170,678.38,-37,700.12,-52.25,5.371530788,92.5,"Ctgf-T2A-dgCre"
"418",0.0185858154,42.7184090909,0.2159049458,0.03673,137.343794107,0.0292228591,15.5658292633,-76.8331451416,23.4091114646,114.02,-41.4375038147,112.25,33.90625,90,111.865,-31.1562519073,138.625,-49.4375,2.6689812763,75.3437538147,"Nr5a1_Scnn1a"
