"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"267",3.5315883333,-49.5312512716,3.5297666667,43.25,88.25,3.529365,-38.5625012716,3.56141,-55.4479179382,3.3814930799,92.7812512716,"Rorb-IRES2-Cre"
"273",3.3115516667,-50.375,3.3100516667,47.1979179382,82.7083333333,3.3097016667,-37.9479179382,3.3318266667,-54.59375,3.592296106,97.5729179382,"Nr5a1_Scnn1a"
"287",7.6652533333,-52.7916704814,7.6643,8.7708338102,191.624994914,7.6638933333,-38.2812506358,7.66942,-53.9375038147,1.3574585984,61.5625042916,"Cux_Slc17"
"303",2.927355,-45.5416666667,2.9254733333,33.6875012716,73.125,2.924985,-31.40625,2.9605166667,-53.6979179382,2.456152251,79.2291679383,"Nr5a1_Scnn1a"
"308",6.1848,-43.239587148,6.1829066667,38.6666679382,154.54166158,6.1822,-32.2083346049,6.2250533333,-45.8437512716,2.3177126048,81.9062550862,"Ntsr1-Cre_GN220"
"312",1.78304,-45.7812525431,1.7813066667,36.4791692098,44.5416641235,1.7809433333,-31.6250012716,1.8124316667,-52.8020858765,2.8161601681,82.2604217529,"Nr5a1_Scnn1a"
"319",7.9421333333,-47.9583358765,7.939535,36.8750025431,198.500005086,7.9390516667,-41.3854179382,7.990915,-56.5000025431,3.2851636292,84.8333384196,"Rbp4-Cre_KL100"
"346",4.6608616667,-45.5729204814,4.6580633333,42.0416679382,116.41666921,4.6576133333,-36.5208346049,4.710415,-56.8854204814,3.7866526799,87.6145884196,"Rbp4-Cre_KL100"
"350",2.6255,-50.0208346049,2.623945,48.9791666667,65.5833333333,2.623575,-34.4687512716,2.649125,-56.7812512716,3.7186721319,99.0000012716,"Nr5a1_Scnn1a"
"364",5.0772191667,-49.1979173024,5.0724383333,32.1562519073,126.791666667,5.0718541667,-37.6614589691,5.1021241667,-55.4114583333,3.9422567256,81.3541692097,"Nr5a1_Scnn1a"
"367",8.1021283333,-47.4895858765,8.100255,38.875,202.500005086,8.09991,-44.2916666667,8.1512716667,-58.3958346049,3.7606497314,86.3645858765,"Rbp4-Cre_KL100"
"380",3.96653,-48.4166666667,3.96455,31.4166673024,99.0833333333,3.9640916667,-35.625,4.0064883333,-58.6145858765,2.8620353458,79.8333339691,"Nr5a1_Scnn1a"
"415",6.4055533333,-48.9791666667,6.4001733333,47.6770846049,159.958333333,6.3997133333,-36.4895846049,6.41904,-54.4791679382,5.8759849356,96.6562512716,"Ctgf-T2A-dgCre"
"418",2.9598316667,-41.1770858765,2.95844,37.8854192098,73.9166666667,2.9580883333,-29.1875012716,2.9943616667,-49.4791692098,2.8436603988,79.0625050863,"Nr5a1_Scnn1a"
"421",6.1392066667,-41.3750025431,6.136975,25.5937506358,153.416666667,6.1364283333,-30.5312506358,6.1682683333,-52.3750025431,2.5074163218,66.9687531789,"Nr5a1_Scnn1a"
"447",1.6360116667,-46.2812525431,1.6340833333,34.7604179382,40.8333333333,1.6335916667,-37.4375025431,1.674415,-52.9270846049,2.533556732,81.0416704813,"Rbp4-Cre_KL100"
"453",3.677935,-49.802087148,3.6763316667,52.7812525431,91.9166666667,3.67589,-45.7500038147,3.7361133333,-52.927087148,3.3472189683,102.583339691,"Rbp4-Cre_KL100"
"459",1.6848233333,-54.5000038147,1.682845,42.9687525431,42.0416653951,1.6824183333,-40.9791692098,1.70992,-58.4062525431,3.7180388332,97.4687563578,"Cux_Slc17"
"467",5.5138266667,-50.0000012716,5.5112083333,32.135418574,137.791664123,5.5107283333,-34.3020833333,5.530865,-55.0312512716,2.8226685975,82.1354198456,"Nr5a1_Scnn1a"
"485",2.4522533333,-51.6562538147,2.45008,51.3125025431,61.25,2.44956,-42.8125025431,2.4816266667,-54.8229204814,3.7033076614,102.968756358,"Rbp4-Cre_KL100"
"488",2.8207666667,-49.7291692098,2.81902,40.8437525431,70.4583333333,2.8185533333,-38.4583358765,2.84534,-53.9791692098,3.3214711294,90.5729217529,"Nr5a1_Scnn1a"
"491",3.5586033333,-46.1770858765,3.5555416667,35.7916666667,88.9166666667,3.5550116667,-34.5729179382,3.5879083333,-52.0000025431,3.7828568012,81.9687525432,"Cux_Slc17"
"500",3.4797466667,-54.0208358765,3.4760116667,34.0729166667,86.9166666667,3.4754933333,-37.1979192098,3.5050716667,-60.5833358765,3.7531006359,88.0937525432,"Rorb-IRES2-Cre"
"505",3.18505,-50.9166692098,3.1833333333,44.8541679382,79.5833333333,3.1829483333,-35.5,3.2044066667,-55.96875,3.1755587375,95.770837148,"Nr5a1_Scnn1a"
"509",3.1109366667,-43.1979192098,3.108825,42.3437512716,77.75,3.1084083333,-31.6666673024,3.1448466667,-52.0625012716,3.1272615439,85.5416704814,"Rorb-IRES2-Cre"
"517",1.8589016667,-49.0104179382,1.8572016667,37.8020846049,46.375,1.8567066667,-35.3125,1.8997233333,-52.3541679382,2.6335965239,86.8125025431,"Nr5a1_Scnn1a"
"549",5.1386283333,-47.083337148,5.1370166667,49.895837148,128.41666921,5.1366383333,-39.4895858765,5.1879933333,-51.1770858765,3.3707042326,96.979174296,"Rbp4-Cre_KL100"
"550",2.6346333333,-48.8333358765,2.632875,39.6458346049,65.8333333333,2.6323733333,-37.5625025431,2.6824766667,-56.9687538147,2.7047697104,88.4791704814,"Rbp4-Cre_KL100"
"598",5.226,-43.4270846049,5.2240466667,31.291668574,130.583333333,5.2233666667,-33.0625012716,5.2404333333,-44.208337148,1.9746765171,74.7187531789,"Ntsr1-Cre_GN220"
"615",6.58834,-49.4375038147,6.5862066667,40.6041679382,164.666666667,6.58576,-41.0729192098,6.6383766667,-57.4375025431,3.3539511295,90.0416717529,"Rbp4-Cre_KL100"
"628",3.0234216667,-51.9687512716,3.0214583333,38.6875,75.5,3.0209533333,-41.6666666667,3.0561483333,-57.0208358765,3.2794925362,90.6562512716,"Nr5a1_Scnn1a"
"653",2.306985,-50.7916692098,2.304785,45.0520846049,57.625,2.3042766667,-36.6041679382,2.3211383333,-53.7708358765,3.5005414111,95.8437538147,"Nr5a1_Scnn1a"
"655",5.02271,-49.9166666667,5.0205316667,34.9479166667,125.500002543,5.01997,-34.4375,5.054515,-54.1875012716,2.310317396,84.8645833334,"Ntsr1-Cre_GN220"
"665",3.4914575,-50.3750038147,3.488445,47.3125038147,87.1875,3.487975,-32.578125,3.50731,-54.7031269073,4.2232945368,97.6875076294,"Nr5a1_Scnn1a"
"672",5.6432266667,-41.7916666667,5.6417083333,32.7500012716,141.041666667,5.6412216667,-28.0833352407,5.6698416667,-45.770837148,2.3156746325,74.5416679383,"Ntsr1-Cre_GN220"
"703",2.5459833333,-51.4791704814,2.54403,37.1770846049,63.5833295186,2.543605,-37.3541666667,2.5731066667,-58.833337148,2.7215900509,88.6562550863,"Rorb-IRES2-Cre"
"723",3.4842616667,-49.5312525431,3.48249,36.0104179382,87.0416666667,3.4820933333,-40.3333346049,3.5299566667,-55.6250025431,2.9970162449,85.5416704813,"Rbp4-Cre_KL100"
"726",4.6081966667,-49.0416692098,4.6051433333,39.71875,115.124997457,4.6047416667,-34.6875,4.6313666667,-56.6666692098,3.2935162974,88.7604192098,"Rorb-IRES2-Cre"
"732",3.3085483333,-41.2708358765,3.3071233333,41.8333346049,82.625,3.30671,-31.8958352407,3.3541266667,-51.0937525431,2.7333353755,83.1041704814,"Nr5a1_Scnn1a"
"734",4.95288,-46.4166692098,4.9498733333,37.6354179382,123.70833079,4.94944,-34.2916679382,4.9754933333,-57.7916666667,3.4650382421,84.052087148,"Nr5a1_Scnn1a"
"736",2.37264,-49.4270846049,2.3706066667,39.1458346049,59.2083333333,2.3701333333,-33.4583346049,2.3987466667,-55.6562512716,3.3559592614,88.5729192098,"Cux_Slc17"
"737",2.9948533333,-43.3541679382,2.9918666667,43.7916692098,74.7916666667,2.99128,-41.2083358765,3.03814,-49.2083358765,4.2028488449,87.145837148,"Ctgf-T2A-dgCre"
"750",2.5995066667,-49.145837148,2.5969533333,42.2916679382,64.9166666667,2.59648,-35.8333358765,2.61352,-54.8958346049,4.2149879569,91.4375050862,"Nr5a1_Scnn1a"
"753",2.608725,-49.7187525431,2.60722,47.6250038147,65.1666653951,2.6067816667,-41.1458346049,2.646955,-51.4166692098,3.1180586943,97.3437563578,"Rbp4-Cre_KL100"
"758",6.7726983333,-48.0104179382,6.7709066667,43.4583333333,169.25,6.7705,-33.1562525431,6.78942,-54.0000025431,3.0896951838,91.4687512715,"Rorb-IRES2-Cre"
"763",3.554735,-46.6041679382,3.5522,33.71875,88.7916666667,3.5517533333,-37.90625,3.5859283333,-57.2604179382,2.7998434396,80.3229179382,"Rorb-IRES2-Cre"
"776",3.00341,-50.4687512716,3.00173,43.1770846049,75.0416666667,3.00127,-38.3333346049,3.0356233333,-54.8541666667,2.979551254,93.6458358765,"Nr5a1_Scnn1a"
"784",3.73336,-48.6041666667,3.7314716667,41.4687525431,93.2916666667,3.731035,-35.125,3.7542966667,-53.8125012716,3.0654555121,90.0729192098,"Nr5a1_Scnn1a"
"786",2.375995,-48.6250038147,2.372885,37.7812538147,59.2499923706,2.372435,-37,2.407275,-56.0625,3.4785479582,86.4062576294,"Rorb-IRES2-Cre"
"789",3.5675833333,-52.1041704814,3.565665,45.427087148,89.125,3.5652383333,-36.1041679382,3.59466,-53.3229179382,3.637358464,97.5312576294,"Rorb-IRES2-Cre"
